character,radius,mentions,degree_centrality,eigenvector,pagerank
Jude,0.15685911779815306,5635,0.7005347593582887,0.50114213284541,0.23682351635904683
Phillotson,0.43543497511318324,818,0.1443850267379679,0.17930995609146166,0.06484601408418932
Baker,0.31455673965123093,1,0.0106951871657754,0.036201872639887785,0.0012176755527653306
Drusilla Fawley,0.1732703228912403,7,0.0374331550802139,0.0855195889677631,0.003750853370399967
Arabella,0.23604579158952138,1474,0.2887700534759358,0.2651059663128595,0.09701010577325592
Caroline,0.7338512895998641,1,0.026737967914438502,0.05827857604847403,0.0021007191661621067
Farmer Troutham,0.7201515405589367,19,0.0320855614973262,0.06161577661577865,0.0037651586958440198
Goddy - mighty,0.6870683180998363,1,0.026737967914438502,0.058278576048474015,0.0021007191661621067
Mrs. Williams,0.7052228040909317,1,0.026737967914438502,0.05827857604847401,0.0021007191661621067
Miss,0.32911219191048435,1,0.0053475935828877,0.030924607816033386,0.0009724481096499476
Sue,0.23511987131059425,3226,0.4598930481283422,0.3677090082274842,0.18072661917115065
the Fawleys,0.1700780655272212,7,0.0213903743315508,0.07525178208705452,0.001726951109313005
Mr. Troutham,0.36080119135139554,2,0.0053475935828877,0.030924607816033386,0.0009724481096499476
God,0.2934607690770611,36,0.06951871657754011,0.12087064071664345,0.009987115239893839
Job,0.4991838503104498,2,0.0160427807486631,0.05741749222309315,0.0015599630760296424
Nature,0.6858732808328988,8,0.0106951871657754,0.032958414124115466,0.001773889257350291
Cottagers,0.7524310541929912,1,0.0106951871657754,0.03522856521350137,0.001171352767557101
Vilbert,0.7651660414561702,63,0.0427807486631016,0.06974686316715736,0.006084876516479957
Alfredston,0.1994217758262151,5,0.026737967914438502,0.08737843017624643,0.002326012483028105
Grimm,0.39664837944226916,1,0.0053475935828877,0.030924607816033386,0.0009724481096499476
Israel,0.4055781936151238,2,0.0106951871657754,0.038383324446805915,0.0011698499092233426
Caesar,0.8939505926755712,2,0.026737967914438502,0.039704368722159725,0.0030758011579041615
Horace,0.883606180583621,2,0.0160427807486631,0.035569635454582145,0.00239809663377922
Virgil,0.8979384821347357,2,0.0160427807486631,0.03556963545458213,0.00239809663377922
Dido,0.3982478715293726,1,0.0053475935828877,0.030924607816033386,0.0009724481096499476
Clarke,0.4344093248927469,1,0.0106951871657754,0.03537732699483716,0.0012843988675929853
Griesbach,0.3009077415571719,3,0.0213903743315508,0.07215759046976365,0.002202146691570166
Achilles unarmed,0.956990025358754,2,0.026737967914438502,0.041059431786537946,0.003042697793223432
Ajax,0.956701318370843,1,0.026737967914438502,0.04105943178653797,0.003042697793223432
Hector,0.955064783241793,1,0.026737967914438502,0.04105943178653794,0.003042697793223432
Phœnix,0.957852737626284,1,0.026737967914438502,0.04105943178653793,0.003042697793223432
