character,radius,mentions,degree_centrality,eigenvector,pagerank
Robert,0.24160177071946706,4672,0.6755555555555556,0.44705131041680823,0.21214834597438467
Sir Michael,0.3590765880300615,578,0.24888888888888888,0.2458345994590635,0.04708571830260359
a Nimrod,0.3828232201257238,1,0.0044444444444444444,0.02357971040349359,0.0008139671782948506
Alicia,0.2609342904618728,738,0.21777777777777776,0.2351206937953515,0.05286229087261999
Lady Audley,0.27439737328306046,1203,0.2577777777777778,0.24420076320470926,0.06023528031382711
Miss Lucy Grahamwhen,0.38976504231362175,1,0.017777777777777778,0.06182804881615445,0.0012586387808045255
Bob,0.45346240133642646,70,0.07555555555555556,0.12555312015476444,0.009719317544123961
George,0.283879560815992,1046,0.2577777777777778,0.23627161724944531,0.060156155581205586
Messrs. ,0.19843814017122002,1,0.008888888888888889,0.036041851060485866,0.0009652317086989107
Helen Talboys,0.3896193033243473,103,0.08,0.13141692972244134,0.010357321696268242
George Talboys,0.21134314944997712,167,0.15555555555555556,0.19134950743556264,0.023602850778997916
Mr. Maldon,0.5724209575139776,66,0.05333333333333333,0.09314682304014407,0.006939295695621639
Captain Maldon,0.6750790274071309,28,0.035555555555555556,0.053543738779737386,0.004535109479784012
Georgey,0.6718462273735718,122,0.08,0.0955932350742843,0.01161485520316202
Heaven,0.5091016719018151,21,0.044444444444444446,0.09387822385336451,0.005189939448397576
Miss Graham,0.27320893529466,271,0.11555555555555555,0.17100003240042308,0.01931111327865868
February,0.2296166075943965,1,0.0044444444444444444,0.02357971040349359,0.0008139671782948506
Izaak Walton,0.2313116236642701,1,0.008888888888888889,0.03646007366942495,0.0009585866482894779
Nicholas PoussinSalvatorhahum,0.8880138083907224,1,0.008888888888888889,0.026359910272653733,0.0010724860695343638
Wouvermans,0.8911060914139715,3,0.035555555555555556,0.05271023152788755,0.0030415693281120914
Georgevery,0.30989800030892245,3,0.0044444444444444444,0.02357971040349359,0.0008139671782948506
Smithers,0.37322663562486413,4,0.013333333333333332,0.03804873041292745,0.0014779186938754965
