character,radius,mentions,degree_centrality,eigenvector,pagerank
Lewisham,0.2273993945942333,2678,0.6666666666666667,0.5180722233117346,0.21068524355382223
ALICE HEYDINGER,0.20623506939169975,2,0.02666666666666667,0.08220528532499106,0.0023519943547902662
Chaffery,0.5070933025211695,335,0.2,0.20928732374782888,0.06782626295776406
Lagune,0.21666745037778534,211,0.09333333333333334,0.1387861210259919,0.04092504385767784
Miss Heydinger,0.36618014036430546,380,0.21333333333333335,0.25189724787806567,0.05464204597168447
Mr.,0.46452041434461505,7,0.03333333333333333,0.08490921082518,0.007746426745981468
Mrs. Munday,0.6464903714066101,15,0.03333333333333333,0.06219722717599991,0.005847313811800831
Carlyle,0.7878240549039456,5,0.02,0.04490463298672617,0.0041258913583594806
Emerson,0.7613348665343096,1,0.02,0.04490463298672615,0.0024910927054622046
Shakespeare,0.7927176570367611,2,0.02666666666666667,0.0477540304842244,0.0037607935817981623
Satan,0.7401568361061941,2,0.013333333333333334,0.04160297245618535,0.0019901855625904163
Mother,0.4883224688469775,10,0.02,0.07501333636381873,0.005203419817701868
Glycera,0.1821901777538815,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Horace,0.24157513637278646,5,0.006666666666666667,0.038091806967523796,0.0024232818793874203
Henry VIII,0.22041774069731654,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
The Impot,0.1941100627348479,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Easter,0.7438386765429441,1,0.02666666666666667,0.055920254016801674,0.002680769193579906
Mrs. Frobisher,0.6618452903465568,101,0.07333333333333333,0.10328972966655427,0.017274571345441702
the Frobishers,0.7423998563585281,8,0.07333333333333333,0.08326796462950974,0.009183594206691462
young Siddons,0.7135127192604485,3,0.02666666666666667,0.05592025401680167,0.002680769193579906
Chance,0.5272541037904684,1,0.013333333333333334,0.04169057961721015,0.0019630372800316072
Dame Nature,0.5640520273521626,3,0.02,0.048945542263354506,0.002881097788993185
Susie Hopbrow,0.20575682752775284,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Mr. Frobisher,0.7012403483092216,1,0.02666666666666667,0.056381775092747555,0.002493386984071512
Teddy Frobisher,0.2449699574602771,4,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Bonover,0.5501595303930199,62,0.07333333333333333,0.10592695873538366,0.019919961114000156
Whortley,0.3720895283308523,9,0.04666666666666667,0.09799941815849136,0.005788116529203571
Smith,0.7502063678471104,5,0.04,0.06761375058249298,0.004998867714509804
Harris,0.5229881579291389,2,0.013333333333333334,0.04588019839876485,0.0016894147985663118
Dunkerley,0.45461513417162386,82,0.06666666666666667,0.10339370482402774,0.016651712916949817
Curiosity,0.30205642865875515,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Perseus,0.6172329206176607,1,0.013333333333333334,0.04568629334827433,0.001700369875717666
Miss Henderson,0.7356773243169843,8,0.03333333333333333,0.06094934991281162,0.004831267540508995
Ethel,0.5925282148620911,1421,0.3866666666666667,0.2928683980512503,0.12277187391716017
Butler,0.7353886262792759,1,0.02,0.047723060318455975,0.002353552474147037
Saturday,0.7262545496501429,2,0.02,0.04772306031845595,0.002785903708333481
Huxley,0.1067620847222595,4,0.04,0.094108746712833,0.003311451124710662
Lockyer,0.3254875231599273,1,0.02,0.05261338315136784,0.002156913961639601
Madam Gadow,0.5815190874240813,22,0.04666666666666667,0.10114197316053511,0.011939589648423782
God,0.28606390142671956,2,0.02,0.06381832860198862,0.0024256847880219177
Grummett,0.2379719288506089,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Socialism,0.3818166172383676,5,0.04666666666666667,0.0994906831553551,0.005553930018841197
Burlington Arcade,0.6212532223012177,1,0.02,0.06445837999908642,0.002134330859654865
Rossetti,0.845484543269483,5,0.07333333333333333,0.10670451452241395,0.007321015947781416
Goethe,0.7376157403503106,1,0.02666666666666667,0.06957387239160034,0.00271024848134567
The Blessed Damozel,0.7504728390621398,1,0.02666666666666667,0.0695738723916004,0.00271024848134567
Smithers,0.14207211527288,130,0.11333333333333334,0.1742035505051104,0.030239408242210844
Michael Angelo,0.5267966573913628,1,0.03333333333333333,0.07793190225960853,0.002988703245935384
Moses,0.3449180845595646,7,0.060000000000000005,0.11253019662335108,0.007015319495153019
Trajan,0.4948415755509754,1,0.03333333333333333,0.0779319022596085,0.002988703245935384
Luther,0.6229619110698168,5,0.04666666666666667,0.09800373031609708,0.004463201482373336
Mr. Medium,0.08147994003377215,2,0.02666666666666667,0.07962571387159187,0.0030398778914999492
Sludge the Medium,0.2501466125277427,2,0.006666666666666667,0.038091806967523796,0.0017083296814155646
Browning,0.8928711386884491,3,0.060000000000000005,0.0958510879966899,0.005629964919371148
Foucault,0.2541039976770963,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Capri,0.35273998232982634,2,0.013333333333333334,0.059625265013475495,0.0017046077681352127
Christmas,0.24878032137162437,1,0.013333333333333334,0.059625265013475495,0.0017046077681352127
Raphael,0.2524002158322421,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Biver,0.13847189191232004,3,0.02666666666666667,0.07818219317320937,0.002588356406957616
Weeks,0.1287106727339562,1,0.02666666666666667,0.07818219317320942,0.002588356406957616
Fate,0.20828904720685668,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
Chelsea,0.21400119983215962,1,0.006666666666666667,0.038091806967523796,0.0013508535824296366
The Statue,0.8595369731244233,1,0.013333333333333334,0.045139359369112536,0.0018294255889971325
