character,radius,mentions,degree_centrality,eigenvector,pagerank
Fanny,0.1107244460783204,5700,0.746031746031746,0.2711122167333437,0.13541600902311485
All Huntingdon,0.6991730174302878,1,0.042328042328042326,0.04181811157925025,0.0013127733371139393
Lady Bertram,0.08257571916048449,419,0.2804232804232804,0.1765839153656979,0.02910932166074009
Maria,0.05425843243795973,429,0.31216931216931215,0.19619178311112404,0.032372205771275246
Mr.,0.4979503508537318,25,0.07936507936507936,0.07920257621694696,0.003156260150072616
Mr. Norris,0.6123112880778608,16,0.06349206349206349,0.06348651984379738,0.0027093343067538626
Mrs. Norris,0.14112240798718845,825,0.30158730158730157,0.17105903240372142,0.04073678422894979
Mrs. Price,0.6439060220283659,146,0.14814814814814814,0.10262640982405122,0.0071883806624872424
Sir Thomas,0.02795271347665693,1404,0.5185185185185185,0.23763613154889207,0.06778298612103696
Julia,0.05943417002714199,481,0.2962962962962963,0.19265467505062966,0.033874535839858944
the Miss Bertrams,0.08804592233542402,32,0.20105820105820105,0.14588538960646522,0.00869451005520967
Miss Lee,0.4819519571171128,17,0.06878306878306878,0.0672487268747715,0.0029189083046991153
Edmund,0.1031685629642432,1888,0.5396825396825397,0.23493435279961178,0.08403163780483955
Mama,0.8215481754672227,1,0.010582010582010581,0.01630474996492138,0.0009129085048479229
William,0.31052558461820295,422,0.2698412698412698,0.16301234441467055,0.02642591827024181
Eton,0.8210685745352514,1,0.031746031746031744,0.03360287667029897,0.001273808176181804
Oxford,0.8184752690902777,2,0.031746031746031744,0.033602876670299035,0.0013512347348172441
Cousin,0.833593264174576,3,0.010582010582010581,0.014246696041256925,0.0009119740795646757
the Grants,0.32051610904948025,16,0.13227513227513227,0.12217430282639732,0.003798175417453793
Dr. Grant,0.06990490071973054,108,0.1693121693121693,0.14290421236525389,0.011261668748825842
September,0.5020819709668013,2,0.037037037037037035,0.048107724549355246,0.0013361321146451142
Admiral Crawford,0.7176458189349123,17,0.0582010582010582,0.05936541910473914,0.0023156278662735197
Mansfield,0.03795123413853382,42,0.20634920634920634,0.16175140276854602,0.010013403013165556
Miss Crawford,0.07182789477302189,1153,0.3915343915343915,0.2055903451340818,0.05076194973265242
Mrs. Crawford,0.7752034112699951,7,0.042328042328042326,0.04645553669184579,0.0016989995981711848
Mrs. Grant,0.024285119059567067,221,0.1693121693121693,0.13823658848245535,0.019714404484618444
Miss Price,0.09712710020274451,93,0.15343915343915343,0.12946113772895004,0.008858310146650132
Mr. Crawford,0.10799570343159556,988,0.3492063492063492,0.19986254533358155,0.04782657009406864
the Mr. Bertrams,0.7383641375022745,2,0.031746031746031744,0.038240012353495584,0.0012871722875096325
Cowper,0.8177117260108959,2,0.005291005291005291,0.008735197850175064,0.0008518620383149822
Henry,0.13836876700702228,613,0.3333333333333333,0.19272851261493293,0.030592213031473282
Mr. Rushworth,0.11384913222077972,384,0.21164021164021163,0.15109316158421113,0.024820787485277593
Mrs. Rushworth,0.009587641244998345,74,0.15873015873015872,0.14230322281194932,0.010830781756290516
John Groom,0.9450555797194723,2,0.021164021164021163,0.015227983024017577,0.0015875251501050597
Mr. Green,0.9439794389363058,1,0.021164021164021163,0.015227983024017545,0.0015875251501050597
Mrs. Jefferies,0.947141345072604,1,0.021164021164021163,0.015227983024017566,0.0015875251501050597
Pug,0.810994779713339,5,0.037037037037037035,0.0366227278222463,0.0017988906453033828
Wednesday,0.7517835931019089,1,0.031746031746031744,0.039331298923980684,0.0011459116156869783
Each,0.7704255814440631,1,0.010582010582010581,0.01630474996492138,0.0009129085048479229
Smith,0.8829078833499003,6,0.047619047619047616,0.04641924272047342,0.002083906079278987
Quarterly Reviews,0.7553116062977686,1,0.026455026455026454,0.030950655545649037,0.0010964928551454821
Mrs. Whitaker,0.8229813714586448,10,0.010582010582010581,0.014246696041256925,0.0009720861208143693
Arcturus,0.8530768104523041,1,0.005291005291005291,0.008735197850175064,0.0008518620383149822
Cassiopeia,0.9491269724121532,1,0.010582010582010581,0.009026014789122301,0.001483153894601256
the Bear,0.9479953026673066,1,0.010582010582010581,0.009026014789122334,0.001483153894601256
Mr. Yates,0.18244236894117585,160,0.2222222222222222,0.1470467788852528,0.01406820738188062
Douglas,0.8233737007547737,1,0.042328042328042326,0.040380521762162544,0.0014937306916202801
Macbeth,0.8320393159110325,1,0.042328042328042326,0.04038052176216252,0.0014937306916202801
Mary,0.0774508591071059,261,0.2698412698412698,0.17811038570507504,0.0167570878852087
Wheel of Fortune,0.8203945383488894,1,0.042328042328042326,0.04038052176216246,0.0014937306916202801
Agatha,0.5792059904186239,19,0.10052910052910052,0.08759702123740638,0.004810533131427884
Amelia,0.6234936421551377,26,0.06878306878306878,0.06928585241297279,0.0031904403524096073
_,0.7957607299495523,5,0.0582010582010582,0.05589362702064142,0.0021134856239570653
Cottager,0.5495476714944278,13,0.0582010582010582,0.06300363759305508,0.0018509001394987185
Phoo,0.8319621167122153,2,0.005291005291005291,0.008735197850175064,0.0008518620383149822
Anhalt,0.6192642802111791,19,0.1164021164021164,0.09138172886409461,0.0044556401447375955
Charles Maddox,0.5746143017456434,14,0.09523809523809523,0.07898497388328311,0.003563493126168971
Tom,0.7295818856872184,5,0.07407407407407407,0.06874298410241925,0.002307252966082937
the Butler,0.799948781235149,2,0.042328042328042326,0.03956428173186629,0.0016121217205905137
the Olivers,0.8220006879834779,1,0.042328042328042326,0.03956428173186633,0.001451334574500431
Crabbe,0.8620005509897755,1,0.021164021164021163,0.02475908735968674,0.0012370753308968802
Lord Macartney,0.8461927008706803,1,0.021164021164021163,0.024759087359686766,0.0012370753308968802
the Crawfords,0.07144457527467793,22,0.08994708994708994,0.09944630689906003,0.003112180956333912
Lord _ Edmund,0.9160219649073433,1,0.026455026455026454,0.023020235511102976,0.0013276670254622875
Mr. John,0.8615114560043065,2,0.06349206349206349,0.04717007189289786,0.0020280686224028034
Mr. Thomas,0.9031876856369147,1,0.026455026455026454,0.023020235511102948,0.0013276670254622875
Bath,0.4414799114070197,3,0.10582010582010581,0.10499526737929443,0.0024587273495590856
Poor Rushworth,0.8357951859936503,1,0.026455026455026454,0.03110204047529789,0.0010922140545693273
Mrs. Brown,0.8276604286015538,1,0.010582010582010581,0.014944883674540792,0.0009136156972641326
Twice,0.8060595817308719,1,0.015873015873015872,0.020845764520752832,0.0009695635809091879
Northamptonshire,0.6563949420033047,3,0.0582010582010582,0.057948565600165244,0.0017004598054024549
Thornton Lacey,0.44859687416589705,48,0.12698412698412698,0.1140229686019202,0.004858317617652923
Lucy,0.8372179703200758,1,0.010582010582010581,0.013987432875362363,0.0009146216753509904
Antigua,0.7374404482866715,2,0.026455026455026454,0.03281339184273941,0.0011067581689507568
Wilcox,0.5562868810488176,2,0.037037037037037035,0.04748590151264459,0.0012133807649194824
Dearest Fanny,0.7462061407312404,1,0.015873015873015872,0.022928842241066724,0.0009749039990615857
Chapman,0.6716539334910245,8,0.042328042328042326,0.047762876454996,0.0017301080109680409
Colonel Harrison,0.7328279381196706,1,0.047619047619047616,0.05008136815436916,0.0014973795458338842
Lady Prescott,0.7028978042704056,1,0.047619047619047616,0.05008136815436919,0.0014973795458338842
the Miss Maddoxes,0.7184701103673502,1,0.047619047619047616,0.05008136815436909,0.0014973795458338842
Mr. Owen,0.7928400335096242,2,0.021164021164021163,0.028253127601301883,0.0010990030817255392
the Miss Owens,0.7105545970735565,5,0.037037037037037035,0.04411997842336471,0.0013538732528839243
Everingham,0.5177546246838012,8,0.08994708994708994,0.08835328152069492,0.0027199032848028693
Charles,0.8809618224069409,10,0.06878306878306878,0.04801410274676387,0.0033448647755599547
Baddeley,0.7360078370725427,7,0.031746031746031744,0.03820357142616652,0.0013989992244602058
"whom she had hated to see or to speak to , in whom she could believe no good quality to exist , and whose power , even of being agreeable , she had barely acknowledged",0.7822177460734954,1,0.021164021164021163,0.026748248157196244,0.0010309315739410556
Fanny?—when,0.7921229992161769,1,0.010582010582010581,0.01630474996492138,0.0009129085048479229
Buckingham,0.8707737753212876,1,0.037037037037037035,0.037027127015406065,0.001436268715314314
Cardinal Wolsey,0.8560599581608503,2,0.037037037037037035,0.037027127015406024,0.001436268715314314
Cromwell,0.8648874211822949,1,0.037037037037037035,0.037027127015406044,0.001436268715314314
Hunter,0.7924839158561846,1,0.015873015873015872,0.02274429332952584,0.000971059031675893
Fanny!—so,0.8213511872675698,1,0.010582010582010581,0.01630474996492138,0.0009129085048479229
Shakespeare,0.8713576690924104,15,0.021164021164021163,0.023501508664319673,0.0012330795197252893
Henry the Eighth,0.8808329725666113,2,0.021164021164021163,0.023501508664319652,0.0012330795197252893
Lady Stornaway,0.7158941420139748,5,0.10582010582010581,0.09292636317244428,0.0030404963643030332
Mrs. Fraser,0.6995015115512005,23,0.13756613756613756,0.10950027991124847,0.004143728517068827
Flora,0.8793328883801215,5,0.047619047619047616,0.03760855155635519,0.0016966389849866923
Janet,0.8718751385889844,8,0.047619047619047616,0.03760855155635522,0.0016966389849866923
Mr. Fraser,0.8914840368447098,2,0.047619047619047616,0.03760855155635523,0.0016966389849866923
Poor Margaret Fraser,0.8894030445837671,2,0.047619047619047616,0.03760855155635514,0.0016966389849866923
the Frasers,0.616652003457484,4,0.1164021164021164,0.10054048390919432,0.002937722417925842
the Rushworths,0.08709151070624366,7,0.09523809523809523,0.10003006933912441,0.0025829272806878727
Experience,0.8525765348679115,1,0.010582010582010581,0.015359290126320417,0.0009138575325286448
Portsmouth,0.81518896751884,2,0.021164021164021163,0.026379488422909887,0.0011089883587369592
the Thrush,0.946763108892152,17,0.042328042328042326,0.018312659076508746,0.0031911621337972606
Mr. Campbell,0.8956212107046404,8,0.031746031746031744,0.021946029442433845,0.001576363196970448
Betsey,0.7995348977934503,53,0.10582010582010581,0.07832414595010571,0.005934048207344091
Susan,0.7467356789224364,208,0.1693121693121693,0.11012288955583117,0.011158768377613258
Sam,0.8957770867811771,19,0.08465608465608465,0.047745816243218504,0.004255913975330954
Rebecca,0.843794228795304,35,0.06878306878306878,0.05387525372813816,0.004198037994537432
Captain Walsh,0.9591253931450391,1,0.031746031746031744,0.016137287681657536,0.001661527347561398
Sharp,0.950332785978806,1,0.031746031746031744,0.01613728768165755,0.001661527347561398
Turner,0.9576690548153914,1,0.031746031746031744,0.01613728768165754,0.001661527347561398
old Scholey,0.9550560827576136,15,0.031746031746031744,0.016137287681657498,0.002098317001678825
Sally,0.8894917975192295,1,0.010582010582010581,0.012283342008685218,0.000927158794608741
Aunt Norris,0.8540510403217881,2,0.037037037037037035,0.030163562793190962,0.001442800312824948
old Mrs. Admiral Maxwell,0.8936980248763577,1,0.031746031746031744,0.0248241013072601,0.0012907375475891517
Frederick,0.5989683119924657,13,0.12698412698412698,0.09632349928398683,0.0037948668995050013
Saturday,0.8964808343155867,1,0.026455026455026454,0.023025316306318832,0.0011751938345884961
Dr. Johnson,0.8397660021811056,1,0.005291005291005291,0.008735197850175064,0.0008518620383149822
Baron Wildenheim,0.5553901514288346,7,0.07936507936507936,0.07731062008240647,0.0021831176317901233
Lady Lascelle,0.7162008035927794,1,0.047619047619047616,0.052743466411375714,0.0013905409765828953
the Miss Prices,0.8072461316112017,2,0.015873015873015872,0.020426976239966827,0.0010933110831113863
Norfolk,0.8263594089060072,1,0.031746031746031744,0.03251135996952399,0.0011899534298263812
Sunday,0.8781249135082794,3,0.037037037037037035,0.03323870823591163,0.0014962897822030606
Maddison,0.8549896170929455,10,0.005291005291005291,0.008735197850175064,0.0008518620383149822
Easter,0.7996519641275028,4,0.06349206349206349,0.05272744464473459,0.0024379314577789315
Lord S.,0.8447229589945464,4,0.037037037037037035,0.03253634982147677,0.001375993814686541
Goldsmith,0.8388444961963415,1,0.015873015873015872,0.018907434284830594,0.0009891542888224036
June,0.7053868725476519,1,0.07407407407407407,0.07061743636591768,0.0017683068649735362
God,0.2714902255245508,3,0.06349206349206349,0.07075999310759364,0.0018558049471798484
Poor Tom,0.6697622519020853,1,0.031746031746031744,0.04148656210207503,0.0011571929827410084
April,0.8823489079192236,1,0.010582010582010581,0.010434068770325933,0.0009813686141561626
Mrs. R.,0.7237681393626392,10,0.042328042328042326,0.04758671374093411,0.0014980283827925266
the Aylmers,0.7479877152220092,1,0.042328042328042326,0.0475867137409341,0.0013570353024416624
Wimpole Street,0.8090825080122483,1,0.026455026455026454,0.03023339604927581,0.001114975821040848
Hymen,0.9487398489004211,1,0.010582010582010581,0.009026014789122292,0.001483153894601256
Mr. R.,0.9470132766962103,1,0.010582010582010581,0.009026014789122272,0.001483153894601256
Mr. Harding,0.7756056235693254,3,0.015873015873015872,0.02271307281702466,0.0009713120932728698
Providence,0.816142240931653,1,0.026455026455026454,0.03017012498713737,0.0011389231904740745
Nature,0.7680882084670294,2,0.026455026455026454,0.03340580925379421,0.0011682123268264525
