character,radius,mentions,degree_centrality,eigenvector,pagerank
Mary,0.07741140122385341,5206,0.6,0.39359770365810465,0.19739092799187205
Elizabeth Cleghorn Gaskell,0.961122048472502,6,0.00909090909090909,0.019985297031951458,0.0021608286118196506
Alice,0.08379891918075627,463,0.15,0.2082273511965266,0.03507198867789455
Esther,0.07785869778542649,641,0.15454545454545454,0.19382836325518155,0.029013035812428978
IX . BARTON,0.409946020618928,1,0.049999999999999996,0.11003864692013914,0.0021714497275115434
JEM . XXX,0.3592389511624012,2,0.049999999999999996,0.11003864692013912,0.0021714497275115434
JEM WILSON TO THE RESCUE,0.3549243973031435,1,0.049999999999999996,0.11003864692013916,0.0021714497275115434
Jem,0.11596083155713185,2451,0.39999999999999997,0.3201442967891304,0.1278132519028784
John Barton,0.06575648970007143,813,0.2590909090909091,0.2551397830923441,0.04480232701779803
John Cropper _,0.3882833867460293,24,0.07272727272727272,0.14082633005480774,0.005036458895221619
MR . CARSON 'S INTENTIONS REVEALED . XII . OLD ALICE 'S BAIRN . XIII,0.42795651605787316,1,0.049999999999999996,0.11003864692013918,0.0021714497275115434
Mr. Duncombe,0.3898165279683004,38,0.06818181818181818,0.12830082555021355,0.004398168423880536
Mrs. Wilson,0.11366742492399458,388,0.14545454545454545,0.20253349839020043,0.025089460150032772
Jane Wilson,0.20663335444533615,249,0.10454545454545454,0.1633053136170129,0.019525022579996117
Richard,0.9087834750549415,5,0.03636363636363636,0.048368399200671194,0.002635630896725735
God,0.36781495684305204,133,0.16818181818181818,0.1873585437336028,0.022387017270785715
Dives,0.6887939756290917,1,0.01818181818181818,0.03899629102923092,0.0013785352981915862
Lazarus,0.6907196816610893,2,0.01818181818181818,0.03899629102923093,0.0013785352981915862
Thomas,0.2930381778301236,29,0.04090909090909091,0.08224834627862422,0.0036324254399896757
Mrs. Bradshaw,0.504125279530425,5,0.01818181818181818,0.044173588574737084,0.0013196030216853533
Mr.,0.5933765174385358,1,0.013636363636363636,0.033932100501430223,0.001063570678052318
Mrs. Barton,0.5030601205956302,41,0.03636363636363636,0.07385843358824058,0.0036109985787462794
George,0.2629902727094153,58,0.09545454545454544,0.15175949051734727,0.009517991199724466
Miss Simmonds,0.3254814193524467,62,0.06818181818181818,0.10371751087493467,0.010744931910115631
the Sultan,0.19155269712253412,1,0.01818181818181818,0.05365051213575789,0.0011741278132121164
Job,0.34291027913066846,835,0.18181818181818182,0.20053405507201588,0.05203098064057057
Alice's,0.18072319428145203,1,0.013636363636363636,0.04669379201588971,0.001035572039952339
David,0.9195025450126437,1,0.01818181818181818,0.025209445443411395,0.0018707683687388384
Deborah Travers,0.9176130335882599,2,0.01818181818181818,0.025209445443411423,0.0018707683687388384
Lord,0.8679619795222518,7,0.04090909090909091,0.05374413696412442,0.004182278872149699
Mrs. Knyvett,0.9214290052810336,1,0.01818181818181818,0.025209445443411416,0.0018707683687388384
