character,radius,mentions,degree_centrality,eigenvector,pagerank
Immalee,0.058087738186682315,608,0.4036697247706422,0.2191124292710585,0.05682939271902405
God,0.16226988802584275,53,0.46788990825688076,0.22830934498900513,0.05843213800249246
Immalee.--“I,0.9183018456283517,7,0.01834862385321101,0.010211551807002492,0.004226938535182418
Immalee.--“We,0.9273625344662011,1,0.01834862385321101,0.010211551807002478,0.0032931209147152897
Immalee.--“And,0.840165845553573,1,0.009174311926605505,0.009756842317759851,0.0020955106950588157
Maha - deva,0.8645938316328972,6,0.009174311926605505,0.009756842317759851,0.0028273850264812677
Juggernaut,0.9911392602196228,3,0.03669724770642202,0.009820973544760123,0.008189487389202353
the Almahs,0.8508210720149246,1,0.009174311926605505,0.009756842317759851,0.0020955106950588157
Turks,0.7885117047021718,1,0.01834862385321101,0.019923213464022385,0.0027577472379725
Christ,0.9074321227396742,4,0.03669724770642202,0.02045703658355151,0.008086070331485562
Stanton,0.8130956349726374,3,0.03669724770642202,0.030904641364981653,0.0042077798601610275
David,0.7936828629350322,1,0.009174311926605505,0.009756842317759851,0.0020955106950588157
Immalee?”--A,0.9409779130697338,1,0.027522935779816515,0.012415711299405642,0.0039880669294564755
Immalee?”--“I,0.8769388988480264,2,0.08256880733944955,0.04729533277695677,0.008972451893090077
Smiles,0.9410142159031898,1,0.027522935779816515,0.012415711299405632,0.0039880669294564755
"Go,--but",0.9434219242083332,1,0.01834862385321101,0.01021155180700252,0.0036443261383498566
"Immalee,--stay",0.9428341529945025,1,0.01834862385321101,0.01021155180700252,0.0036443261383498566
Linnæus,0.8114452793224801,2,0.009174311926605505,0.009756842317759851,0.0020955106950588157
Nature,0.10946490915065571,6,0.2018348623853211,0.20159789617232937,0.013305978190172945
Eve,0.8309665170659982,2,0.009174311926605505,0.009756842317759851,0.0020955106950588157
The Indian Apollo,0.8370636738441598,3,0.009174311926605505,0.009756842317759851,0.0028273850264812677
Love,0.8233523368885183,1,0.009174311926605505,0.009756842317759851,0.0020955106950588157
Christian,0.0981093595351185,4,0.2018348623853211,0.20159789617232948,0.01383279394116505
Isidora,0.14641462503816843,509,0.44954128440366975,0.22958774965471823,0.06670957009077011
Christianity,0.8256302502734201,2,0.06422018348623854,0.04623675347034926,0.006570279687564054
Dejanira,0.8129648881473784,2,0.06422018348623854,0.04623675347034925,0.006013209830056415
Isidora--“is,0.8358655416526508,9,0.06422018348623854,0.04623675347034929,0.006013209830056416
