character,radius,mentions,degree_centrality,eigenvector,pagerank
Dorothea,0.5513767318958563,4270,0.3365539452495974,0.22176575042491153,0.07013586900173686
Bedlam,0.9181991619586953,1,0.00966183574879227,0.01307161513137702,0.000576655164661178
Celia,0.7992155042062047,902,0.0998389694041868,0.09693128162237516,0.020863760873037096
Cromwell,0.9181626050634553,2,0.01288244766505636,0.02417342014077322,0.0006635945770117827
Jeremy Taylor,0.9241080478587979,1,0.00966183574879227,0.013071615131377026,0.000576655164661178
Miss Brooke,0.80853248499622,198,0.0821256038647343,0.08754237456106595,0.007696163706949565
Pascal,0.9258999596575994,3,0.01610305958132045,0.019894355964594494,0.0009578423849696457
Mr. Brooke,0.2571786591256518,2812,0.391304347826087,0.28579501363515547,0.06118871201326656
Peel,0.7909803387695066,6,0.017713365539452495,0.03718767433812403,0.0010792173065780988
Hebrew,0.6984247474817312,1,0.00966183574879227,0.025484344826620303,0.00046491158699769625
John,0.5362773502761216,17,0.024154589371980676,0.05443721104661878,0.0014716590442097892
Sir James,0.705700237249157,962,0.15619967793880837,0.15692897765858854,0.028278733723933767
Mrs. Cadwallader,0.6786240853777618,334,0.11916264090177134,0.12141956808317139,0.0135464153016496
Edward Casaubon,0.9409010993501514,15,0.01610305958132045,0.021818647177331202,0.0010185306190841886
Mamma,0.6170418526976114,30,0.014492753623188406,0.03528368274743772,0.001017292243282676
Madame Poincon,0.8935187604050095,2,0.00644122383252818,0.011715421714983855,0.000490749429067522
Souls,0.7629363469264724,1,0.00322061191626409,0.00872538144953309,0.0003165878259885611
St. John,0.8094397130024018,4,0.00644122383252818,0.015135963162905525,0.00045601200828981756
Locke,0.7829243725044135,4,0.00644122383252818,0.015206986139676986,0.00048746640068956214
Adam,0.8581073987520687,5,0.017713365539452495,0.029637392087703402,0.0011628858544846193
Southey,0.832788311327956,2,0.004830917874396135,0.01515401131666888,0.0003866406823870731
Monsieur Liret,0.6915685129177966,5,0.00644122383252818,0.017470130776021213,0.0005002003887504592
the Waldenses,0.6913253153701767,1,0.004830917874396135,0.014810780772222677,0.00040104192558139905
Mr. Casaubon?—if,0.7034236294974169,1,0.00644122383252818,0.02147919286842375,0.0003845249584666695
Wilberforce,0.5875319504075517,6,0.008051529790660225,0.021314070221602335,0.0005733113024849058
Dodo,0.7705952707043454,147,0.0499194847020934,0.063450063558857,0.00683751118493789
Sinbad,0.7038354913640731,2,0.00322061191626409,0.00872538144953309,0.0003165878259885611
Parnassus,0.4421249147672244,1,0.00322061191626409,0.014317959722012878,0.000316014597845573
Monk,0.8203162766809211,8,0.011272141706924315,0.022309672073313424,0.0010523939659699852
the Feejeean,0.8230772501887191,1,0.004830917874396135,0.00935472281863705,0.0003725099938496476
Dorcas,0.7903728450742368,1,0.00322061191626409,0.007680533431047827,0.00033353715044208854
Sarah Dunkirk,0.8058524613826873,6,0.02576489533011272,0.050503308319408,0.0011786384434543686
Lazarus,0.9091660853633009,1,0.00322061191626409,0.006437464580080585,0.0004833448699285319
Loudon,0.9099850757184654,1,0.00322061191626409,0.00643746458008058,0.0004833448699285319
Oberlin,0.645337393949461,1,0.00322061191626409,0.01068273248756575,0.00031256187499576784
Lovegood,0.7291532359687082,6,0.01288244766505636,0.03189255129598429,0.0008521160155342766
Kitty,0.8139559950037034,5,0.00644122383252818,0.015206986139676986,0.00048541451490519095
Tantripp,0.6336205125112909,55,0.0322061191626409,0.06296745945606542,0.0026182467186562242
Christy,0.5958615284494354,26,0.03542673107890499,0.06842600704506653,0.0023854215738439723
"Mr. Casaubon’s,—taking",0.6906118795146866,1,0.008051529790660225,0.02325546403067363,0.0004204060940425369
Freshitt,0.47687206306646496,13,0.03864734299516908,0.06935688358706177,0.002299889325936478
Romilly,0.5931935585285626,3,0.008051529790660225,0.021314070221602324,0.0005297514848849908
Aquinas,0.6410211955693065,19,0.017713365539452495,0.032887175258139625,0.001053296376177507
"MISS BROOKE,—I",0.8919645058659688,23,0.008051529790660225,0.010479581020646262,0.0005563439399728622
great Tostatus,0.8785180533387783,1,0.004830917874396135,0.00747921592995828,0.0004251341931275165
"MR . CASAUBON,—I",0.7455645592860313,13,0.00644122383252818,0.016714230957580595,0.0003939034942882422
Jonas,0.8312523280578831,4,0.008051529790660225,0.022532780364003076,0.0005450871475084241
Mrs. Fitchett,0.9273217976982054,11,0.00644122383252818,0.01775725757844788,0.0007887320854249107
Pinkerton,0.4187196916924004,5,0.02254428341384863,0.046020294872703954,0.0011681388974829842
Humphrey,0.7025224988552463,45,0.01932367149758454,0.04099608868832904,0.0018262414311942484
Mrs. Carter,0.7588082269274246,4,0.008051529790660225,0.017331169273643574,0.000501175900820956
the De Bracys,0.7493749433399964,1,0.008051529790660225,0.017331169273643577,0.00045601993900192797
the Miss Brookes,0.5631995622808358,7,0.01932367149758454,0.04731115836002519,0.0008874565633887767
Gluck,0.45024022370749844,1,0.00322061191626409,0.014317959722012878,0.000316014597845573
Mr. Cadwallader,0.8169023158075361,53,0.033816425120772944,0.05292055820119355,0.002431881795792443
Freke,0.7413549817883349,1,0.00322061191626409,0.00872538144953309,0.0003165878259885611
Providence,0.16165751425538982,16,0.028985507246376812,0.06834369753061324,0.0015956977116830303
Mr. Tucker,0.6534473782832304,14,0.01288244766505636,0.027107289955402635,0.0009796607759277802
Everybody,0.7105972650535511,1,0.008051529790660225,0.0185558004584161,0.00046731666117517717
The French,0.6764450753660254,2,0.01288244766505636,0.026189653944238698,0.0006703305833577504
Julia,0.46104094132192386,8,0.00644122383252818,0.023254832691436834,0.0006803469869809555
Mr. Ladislaw,0.3228449630115891,195,0.07407407407407407,0.10847999166802008,0.0072331172524872376
Young Ladislaw,0.8430354290980395,33,0.02576489533011272,0.03623314883339577,0.001482360166897664
Aristotle,0.7956176791773094,1,0.004830917874396135,0.01248477818524221,0.00043872031833015117
Pegasus,0.7662909929147443,1,0.004830917874396135,0.012484778185242197,0.00043872031833015117
Will,0.2536375261575358,2760,0.2431561996779388,0.2083253465740474,0.040164093037769084
Caesar,0.8170094533710267,1,0.00966183574879227,0.02248539282158024,0.0005652237081476253
De Quincey,0.8281006620844381,1,0.00966183574879227,0.02248539282158023,0.0005652237081476253
Genius,0.8021549644132109,2,0.00966183574879227,0.022485392821580234,0.0005652237081476253
Saint Theresa,0.9545470504999886,10,0.00644122383252818,0.008225471678197933,0.0011538722674785398
Santa Barbara,0.6523365427419268,1,0.001610305958132045,0.00625586788251046,0.00027788565852511775
Lady Chettam,0.8257190844822896,83,0.0499194847020934,0.06261569314125558,0.0037069469985661677
Lydgate,0.3719422403857645,3976,0.30434782608695654,0.24328116356258614,0.059225142363545834
Miss Vincy,0.0824148580213856,29,0.05314009661835749,0.09765516239936677,0.0028108813723555282
Rosamond,0.2541539657176492,2435,0.18840579710144928,0.18792478386482028,0.03793590835701751
Fred,0.2779343924675213,2381,0.2608695652173913,0.2319545087886269,0.04332309140919963
Miss Morgan,0.43155749763077766,10,0.01932367149758454,0.049540338929706496,0.001076787014286394
George the Fourth,0.8682554616931045,2,0.011272141706924315,0.018078467248049814,0.0007475671935914216
Mrs. Casaubon,0.2547012639461033,279,0.09017713365539452,0.11841112135879439,0.010860377443247212
St. Peter,0.5406912239870197,2,0.00644122383252818,0.016247379596236178,0.00042469830303153735
Dagon,0.5524040326283052,2,0.008051529790660225,0.025336266781856607,0.0005018677855682964
Raphael,0.924034024456108,4,0.008051529790660225,0.007082118154692315,0.000927390050995634
Cupid,0.925630460956665,1,0.004830917874396135,0.006643045850792692,0.0005716519050318257
Psyche,0.9253290992709257,1,0.004830917874396135,0.006643045850792688,0.0005716519050318257
Napoleon,0.5956584214701297,1,0.001610305958132045,0.00625586788251046,0.00027788565852511775
Naumann,0.8338805311062996,77,0.01932367149758454,0.022189386647025477,0.002465912838522826
Ariel,0.498641882427131,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
the Germans,0.5592112788247134,3,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Poor Dorothea,0.43291046968413527,45,0.00644122383252818,0.023254832691436834,0.0006436188847259343
Dorothea—‘who,0.6727275579355279,1,0.001610305958132045,0.00625586788251046,0.00027788565852511775
Catholicism,0.8434767510204376,1,0.00966183574879227,0.022061723213476745,0.0006131660342026911
Middleton,0.8577736864875872,1,0.00966183574879227,0.02206172321347673,0.0006131660342026911
the Laocoon,0.8698874280829577,1,0.00966183574879227,0.02206172321347674,0.0006131660342026911
the Madonna di Foligno,0.8445330640394829,1,0.00966183574879227,0.02206172321347675,0.0006131660342026911
Thorwaldsen,0.8213149069529019,1,0.004830917874396135,0.01275853889117667,0.00035901118700476606
Marlowe,0.8559465095445583,1,0.00644122383252818,0.013128896541301453,0.0004422489796364556
Tamburlaine,0.8679332858677261,5,0.00644122383252818,0.013128896541301458,0.0004897054553763011
Santa Clara,0.797960463585495,2,0.008051529790660225,0.017026565638638278,0.0004908134529962647
the Casaubons,0.3082090040621668,5,0.017713365539452495,0.0448973979792352,0.000832692975817878
Bryant,0.9264353263077167,1,0.008051529790660225,0.013365522863644511,0.0006075538470999207
Chus,0.9250974435100267,1,0.008051529790660225,0.013365522863644501,0.0006075538470999207
Mizraim,0.9190142212254906,2,0.011272141706924315,0.016975460315200454,0.0008139255319358903
Paracelsus,0.924901446979125,1,0.008051529790660225,0.013365522863644515,0.0006075538470999207
Goethe,0.6089138474592289,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Apollo,0.6220674708049093,1,0.001610305958132045,0.00625586788251046,0.00027788565852511775
Mr.,0.9192845647899279,7,0.04830917874396135,0.049071135550870684,0.0025042150505023464
Mr. Casaubon—“about,0.4485425437820584,1,0.00322061191626409,0.014317959722012878,0.000316014597845573
Carp,0.9500728926932662,10,0.011272141706924315,0.01364254905506744,0.0009682597274637456
Brasenose,0.9520511158597612,2,0.00966183574879227,0.007927056574927349,0.0007906437114865849
Inclination,0.9557746322228995,8,0.00966183574879227,0.007927056574927357,0.0007618062465434217
Pike,0.9562069543060189,1,0.00966183574879227,0.007927056574927347,0.0006738133193447798
Warburton,0.9545015767123944,1,0.00966183574879227,0.007927056574927352,0.0006738133193447798
Smollett—‘Roderick Random,0.5219850683104496,1,0.00644122383252818,0.022337236497968333,0.00039262433989045557
the Poste Restante,0.7889376257674555,1,0.00644122383252818,0.016098839770014795,0.0003935717980477853
Peter,0.7414880977755698,152,0.07729468599033816,0.11436078881292595,0.005255462040047987
Cush,0.9024331060723825,1,0.004830917874396135,0.010159901808387774,0.0004030189457968461
Sir James’s,0.7358500638133116,1,0.00322061191626409,0.009681035090812059,0.0003165184187536229
Hobbes,0.7082485665874932,1,0.00644122383252818,0.016313799817574984,0.00045421070650206
Swift,0.6639326089975156,1,0.00644122383252818,0.01631379981757498,0.00045421070650206
Saint Bonaventure,0.4129488096283613,1,0.004830917874396135,0.020194682535379493,0.00035255565962032944
Shelley,0.5189884864552198,2,0.00966183574879227,0.023054146620262235,0.0005845840641407118
Tom,0.8663299205100008,7,0.017713365539452495,0.03709198569355982,0.0011866901416923345
Beatrice,0.7264034108896357,1,0.011272141706924315,0.02448015876216057,0.0006335899568915331
Laura,0.727910090342574,1,0.011272141706924315,0.024480158762160573,0.0006335899568915331
Middlemarch,0.04577404386500642,29,0.05152979066022544,0.0784763910785054,0.002954651134737075
Necessity,0.7201236882721989,1,0.011272141706924315,0.024480158762160566,0.0006335899568915331
Petrarch,0.7801776290779182,1,0.011272141706924315,0.024480158762160555,0.0006335899568915331
Pratt,0.5559664618683119,15,0.01288244766505636,0.028591230676674788,0.0009544428169752204
Dr. Spanning,0.5659718494329107,3,0.001610305958132045,0.00625586788251046,0.000314613760780139
the Ladislaws,0.565841663715431,2,0.00322061191626409,0.012132590695877075,0.0003144267202998742
young ardor,0.5291714795334266,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Poor Mr. Casaubon,0.7216678636553875,4,0.00644122383252818,0.02121679614685807,0.000405067354590822
Keck,0.6176151871680087,35,0.017713365539452495,0.040703164469632964,0.0009680132898268131
Mr. Hawley,0.5207728050054657,208,0.07246376811594203,0.09240443224283641,0.006842054767447482
Mr. Garth,0.25702395775684783,201,0.07407407407407407,0.12204091809063879,0.008007190578051784
happy!”—she,0.5047723656482089,3,0.00644122383252818,0.02218751941579344,0.00038339540738241553
Dagley,0.8322105452186797,119,0.03542673107890499,0.04032656833502349,0.0029574145794137915
Laennec,0.8073181117899331,2,0.004830917874396135,0.013505256688338806,0.00047468110110010075
God,0.33079816700463593,22,0.043478260869565216,0.08359134594295849,0.0023205167580937396
Cato,0.5947272423731712,1,0.00966183574879227,0.024261829885155003,0.00047323034153261295
Imogen,0.7500796670082376,2,0.017713365539452495,0.031103078415811017,0.0007885179890022944
Sir Godwin,0.21803877124006266,68,0.030595813204508857,0.057577488015387916,0.0026511450274637155
Confound Casaubon,0.6368862139929589,1,0.00644122383252818,0.019546796871329698,0.000444671541719085
Diana,0.6405337151852584,1,0.00644122383252818,0.019546796871329694,0.000444671541719085
Tertius,0.1968246218915704,250,0.03542673107890499,0.07355915744005531,0.005162228452824612
Dr. Minchin,0.7408839711921162,46,0.043478260869565216,0.064411137048476,0.0025598624538577977
Mrs. Dollop,0.8673768696940074,57,0.03864734299516908,0.039094952927156194,0.00272266535989931
the Tankard,0.7179423666461867,1,0.008051529790660225,0.024100603062190487,0.0004579463158572074
old Drayton,0.5315819712465094,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Objection,0.5293410700737033,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Everything,0.5811084395919057,1,0.00322061191626409,0.012132590695877075,0.0003144267202998742
Reform,0.6784940550803011,4,0.01610305958132045,0.02961139846565711,0.0008790778455089331
Rigg,0.1078866711862248,156,0.05958132045088567,0.09357186860333457,0.004485196215460297
