character,radius,mentions,degree_centrality,eigenvector,pagerank
Lucilla,0.06950528248417161,6494,0.882051282051282,0.28584915027654356,0.15430710132156122
Dr Marjoribanks,0.14699226606778515,466,0.37948717948717947,0.19644303275688854,0.03314942416955027
Miss Marjoribanks,0.046216171144515296,2930,0.7692307692307693,0.2758005100795189,0.11984405988158182
Mrs John,0.3520470065171182,221,0.15897435897435896,0.09666226847772634,0.011984478954004393
Ellis,0.6738719909437685,2,0.02564102564102564,0.028678261896157253,0.0011870602577075192
Mr Lake,0.3407140642115803,113,0.1641025641025641,0.10481772417115352,0.008912246523330251
Papa,0.2320348213181497,52,0.11282051282051282,0.08876180476103449,0.0053739208217922305
dear Miss Martha,0.727893396574882,4,0.035897435897435895,0.03529069991686338,0.0014583856055830763
Charles,0.4108817025695582,44,0.13846153846153847,0.09373491012185167,0.004607076019826342
Colonel Chiley,0.05157422668806331,56,0.18974358974358974,0.13784586761278916,0.009131222775288233
Mr Centum,0.10159346688351788,42,0.15897435897435896,0.10892899244556176,0.006905810426994806
Mrs Centum,0.22045850203239437,155,0.23076923076923078,0.14577469973459212,0.012064632857715328
Mrs Chiley,0.05166954556000692,757,0.38461538461538464,0.19927100038682244,0.03462696790560974
Mrs Woodburn,0.11921859469236842,396,0.35384615384615387,0.18879987808509086,0.025244088872779798
Nancy,0.3188204623152573,246,0.1794871794871795,0.11357480225713788,0.011979283735477488
Sissy Vernon,0.6992877774950765,1,0.010256410256410256,0.01678573837352514,0.0008677438867687096
Fanny,0.6008447141298292,9,0.03076923076923077,0.035500792764111756,0.0012876984085031756
Tom,0.24328933322920615,991,0.31794871794871793,0.1700005210333882,0.03461815439706179
Rose,0.3970155465086709,711,0.30256410256410254,0.15494316465021638,0.02428517315979027
Carlingford,0.07141351763091974,81,0.2923076923076923,0.17114355491996558,0.016720186820373843
Mr Bury,0.17000247639382435,99,0.21025641025641026,0.13473341383047716,0.009735829639468882
Mr Cavendish,0.11700107228889531,2427,0.5435897435897435,0.23318633087645482,0.07329332348360793
the Wengern Alp,0.062475118068801266,1,0.046153846153846156,0.05472221475560847,0.0012308760233094224
The Doctor,0.4190640962736832,4,0.046153846153846156,0.04924252058508208,0.001350313061009415
Miss Lake,0.18400211555373566,24,0.06153846153846154,0.06431350070048795,0.0026369463701251443
Barbara,0.10724922516592822,1067,0.4153846153846154,0.19820491416707947,0.04164238950743918
papa----,0.7100647444971084,1,0.010256410256410256,0.01678573837352514,0.0008677438867687096
Mrs Lake,0.6131025018898728,2,0.03076923076923077,0.03336162608320873,0.0010852041853977167
Susan,0.6577846280638462,4,0.02564102564102564,0.032740510253840616,0.0010730109057469355
Providence,0.1367513070890483,29,0.16923076923076924,0.12176441523521674,0.007157213715425189
Tummas,0.538849169116859,2,0.041025641025641026,0.042774691404586514,0.001186950175596489
Mr Holden,0.14037572894953687,25,0.11282051282051282,0.0955238897412699,0.003819374512720805
Lady Macbeth,0.8880821224298113,1,0.005128205128205128,0.008543028491808713,0.0008170627957542595
Scotch,0.24524200314684663,3,0.06666666666666667,0.06630401230422513,0.0017885017562537468
Miss Marjoribanks;--perhaps,0.637768857578206,1,0.015384615384615385,0.021866457673916692,0.0009184002546369347
Miss Bury,0.2749516314530239,96,0.11794871794871795,0.09517704596790885,0.004756674314715962
Jove,0.3956785367711791,13,0.11794871794871795,0.09940401356719815,0.003970984802534534
German,0.4300476520300418,1,0.046153846153846156,0.04899766941730258,0.0013063746236278285
_,0.44197076215277536,6,0.046153846153846156,0.04899766941730262,0.0013063746236278285
the Fates,0.4934719727021032,1,0.03076923076923077,0.037687809752740074,0.001075389560108528
Evangelical,0.6557395783812257,1,0.02564102564102564,0.03013997559095041,0.001027320699587154
Mrs Mortimer,0.40553721960769606,332,0.19487179487179487,0.11565541928461785,0.016269093059675593
Tom----But,0.8770462499244203,1,0.005128205128205128,0.008543028491808713,0.0008170627957542595
the Miss Browns,0.40076178219812325,14,0.1282051282051282,0.09682851639812048,0.0035591779260364166
Heaven,0.5455285549338289,9,0.1076923076923077,0.07908072357946706,0.003077786383920327
the St Cecilia,0.685576924989699,1,0.020512820512820513,0.024721331690224124,0.0009785185615282597
Mary Chiley,0.07480560257149758,14,0.08717948717948718,0.08138684103932278,0.0029506842378685025
Miss Brown,0.2706654719840392,46,0.1076923076923077,0.09040384258703199,0.00433434921515267
Mr Chiltern,0.3478378850527381,32,0.1641025641025641,0.11405466654453068,0.006604591520535689
Old Mrs Chiley,0.467300085460283,1,0.035897435897435895,0.04049430011796814,0.0011338937158778778
Grange Lane,0.18631387870414928,7,0.07692307692307693,0.07128237053226832,0.0025165741783502657
Maria Brown,0.3837864453784624,29,0.05641025641025641,0.055982335281747196,0.002505693192557945
the Miss Blounts,0.6766805301543904,3,0.02564102564102564,0.03101479056324224,0.0012840315591989494
Gulliver,0.8744154218210756,1,0.015384615384615385,0.016899045392654116,0.0009360681713847165
the Woodburns,0.15011276821510047,1,0.035897435897435895,0.04639146757311857,0.0011229296983442385
the Cavendishes,0.06321492632004518,11,0.1076923076923077,0.08998989867649193,0.003252568536712386
Willie,0.5453556336861194,5,0.041025641025641026,0.039201640949836226,0.002053314434050726
mamma,0.857713318056647,1,0.020512820512820513,0.02026898545715577,0.0010093358826459278
"Miss Marjoribanks--""some",0.6470182398489528,1,0.041025641025641026,0.04290344129191031,0.0012848027187869872
Poor Osmond,0.6300343432984039,6,0.06153846153846154,0.056295541113956495,0.001750671316874764
young Osmond Brown,0.4737280274948358,2,0.05128205128205128,0.0522053567482416,0.0015743073157496235
Osy,0.8259667516728748,1,0.03076923076923077,0.0300877516427269,0.0011450309656808482
Mr,0.5654189505720776,3,0.06666666666666667,0.059714571301600364,0.0020963736641627186
Mrs Cavendish,0.5780933422217825,2,0.041025641025641026,0.04320629273891449,0.0014560872176245605
the Incurables,0.58914450926179,1,0.035897435897435895,0.038709964488090394,0.001213556865159283
John Brown,0.5820362275143515,30,0.1076923076923077,0.07597928122954957,0.0040595529837540115
Sir John,0.2846123059477914,19,0.15897435897435896,0.11287633560318118,0.005110580416272971
the Powells,0.7237438460429896,1,0.035897435897435895,0.03830022420039663,0.0011531465514669822
the Virgin Mary,0.40130778606477147,1,0.035897435897435895,0.044685280937666993,0.001127756921242513
Lydia,0.49466707442374364,5,0.06666666666666667,0.06299144466271972,0.0019885369327547436
Mr Woodburn,0.056196951941438596,73,0.12307692307692308,0.09978418870783295,0.004584930168864691
Policy,0.5706319866983348,1,0.020512820512820513,0.027393971192433784,0.0009739857100188505
Harry,0.2300563200094471,67,0.13333333333333333,0.09802378890268444,0.005745169297378078
Lady Richmond,0.3332259310670669,74,0.11794871794871795,0.0959523228275641,0.00547627608371508
Thursday,0.4174593192585533,2,0.05641025641025641,0.053190391337562586,0.0013777760624916874
paternal,0.8615460878893932,1,0.041025641025641026,0.040001178092642774,0.0012265035640391855
Carlingford;--which,0.4496760084248619,1,0.02564102564102564,0.03430921732350818,0.0010236765242473819
Ariadne,0.8872113268287645,2,0.010256410256410256,0.011937380970014726,0.0008745915633408353
Archdeacon of Stanmore,0.5954084622569397,2,0.035897435897435895,0.038583842584730514,0.0012982201343919677
dear Mrs Chiley----,0.8853691000677066,1,0.005128205128205128,0.008543028491808713,0.0008170627957542595
Brava,0.520049769994885,1,0.03076923076923077,0.03568083242325868,0.0011017891256668104
Mr Beverley,0.2871793566922791,396,0.2153846153846154,0.1317434936868799,0.018831564214630635
"Barbara--""oh",0.8707946736732202,1,0.015384615384615385,0.01909738590810656,0.0009220572083096626
Mr Tufton,0.23904349843800654,11,0.09230769230769231,0.082340913359735,0.002316609573720158
Lydia[1 ],0.6070983335543858,1,0.046153846153846156,0.047301444628404146,0.0012947953334552628
the Richmonds,0.5669560320848451,2,0.06666666666666667,0.05941397978277551,0.0017958045556180692
George,0.15049165644063534,9,0.08205128205128205,0.07695634888806989,0.0026705437724369994
the Cavendishes----,0.8861715107686908,1,0.005128205128205128,0.008543028491808713,0.0008170627957542595
Armida,0.7490507443999043,2,0.03076923076923077,0.03308298691174118,0.001495808628613201
Ethelfreda Lake,0.7880731573712496,1,0.02564102564102564,0.02697202201604875,0.0011720475560153666
Ethelinda,0.7796837736966746,3,0.02564102564102564,0.026972022016048737,0.0011720475560153666
Mary Jane,0.597015816455224,27,0.06666666666666667,0.055997291662569545,0.0030407497024450892
Miss,0.932236397973563,11,0.03076923076923077,0.01675971030560758,0.0020562434657259198
Missis,0.9227214259175479,2,0.015384615384615385,0.010717480086964363,0.001036590276568378
Mr Cavendish;--though,0.7190775915470855,1,0.015384615384615385,0.020242273196961525,0.0009215576814171332
Crawford,0.6170159660530131,1,0.02564102564102564,0.031148745669379984,0.0010234747326394583
the wistaria,0.6943618460382499,1,0.02564102564102564,0.02585318677415154,0.001046405824636125
Lucilla----,0.8913610537209894,5,0.035897435897435895,0.03161948879190884,0.0014270000507329065
Garrett,0.8863748795864143,20,0.015384615384615385,0.014800971005536965,0.0010934693157587335
Edward,0.7529796112329155,24,0.041025641025641026,0.03574455472804519,0.0019118759160737663
Mr Kavan,0.6933195050680886,16,0.03076923076923077,0.028049311193524606,0.0016289575232152158
Helen,0.622461170806188,25,0.08717948717948718,0.06645371640631449,0.0037852146990300616
St Swithin,0.7116337140868609,1,0.03076923076923077,0.02852913808784439,0.0011116986090988035
Mr Garrett,0.8707433035975182,9,0.03076923076923077,0.023925539491351337,0.001116321116411225
General Travers,0.285670212497129,98,0.17435897435897435,0.11948533298805507,0.009876553808327061
Lord Palmerston,0.89982473989997,1,0.03076923076923077,0.02322164727164902,0.001219519026720657
"Mrs Centum--""but",0.9014749867586614,1,0.03076923076923077,0.02322164727164903,0.001219519026720657
Dr Rider,0.4666062599627166,34,0.08717948717948718,0.07279117048296262,0.0035287492831064127
Rose Lucilla,0.5738547557450876,6,0.035897435897435895,0.03861345100204284,0.0012781927905175165
Miss Hemmings,0.7893869558657186,6,0.035897435897435895,0.032313284842846894,0.001940717234084274
old Mr Wrangle,0.7268998352085156,2,0.035897435897435895,0.032313284842846866,0.0015885425217415196
Millais,0.7820125167158323,1,0.03076923076923077,0.029271557281377546,0.001176950523926728
the Lakes,0.3370717004316693,4,0.05128205128205128,0.05491711446194823,0.0015517231881189957
Arcadian,0.5714600896435144,1,0.041025641025641026,0.04071030240755726,0.00120656324539438
Lily,0.5017349978312378,1,0.03076923076923077,0.03707144572345678,0.0010772274696097513
Fate,0.4552160614686323,2,0.05128205128205128,0.05325291132041576,0.001486403542198274
fortune,0.36485250071483477,1,0.035897435897435895,0.043096556819845554,0.0011851293849205274
the Tokay,0.6361580109752097,1,0.03076923076923077,0.03431308178377544,0.001096843329131193
The Centums,0.623315685030974,1,0.02564102564102564,0.03218324037612822,0.0010215823298950358
Good God,0.49921046811721936,2,0.041025641025641026,0.0463431882746726,0.0011787748029379274
"Mr Beverley--""always",0.6737906992241116,1,0.015384615384615385,0.021416446104988444,0.0009215120120225404
Everybody,0.5579520295506085,1,0.046153846153846156,0.04887098279324677,0.0012327708222224147
the Beverleys,0.5785380314546583,2,0.03076923076923077,0.03485939623155648,0.001141223426564463
Miss Marjoribanks----,0.6430961094616673,3,0.035897435897435895,0.03568433088780703,0.001163704523794249
Dreda,0.9345735525726612,1,0.015384615384615385,0.013579582308366206,0.0012156985316245394
Fleda,0.9299190750444725,1,0.015384615384615385,0.0135795823083662,0.0012156985316245394
"Rose--""quite",0.8780576918833143,2,0.010256410256410256,0.01317373622327202,0.0008708309210080903
Christmas,0.6311462390006001,1,0.015384615384615385,0.022709388058359654,0.0009189701740702819
Mr Ashburton,0.19911133508357295,597,0.27692307692307694,0.15082288755179546,0.024944033975444157
The Firs,0.8543506928035479,4,0.041025641025641026,0.03795695073185619,0.001649397890749303
old Penrhyn,0.8478677929794534,3,0.035897435897435895,0.03217426370186075,0.0015309089524920996
Masters,0.45735262249584807,5,0.06153846153846154,0.055252233513748035,0.0018156950541214497
Minerva,0.7647495503057661,3,0.041025641025641026,0.03466423825326406,0.0016090873672659624
Mr Holden's,0.7213183687064091,2,0.041025641025641026,0.03466423825326403,0.0016090873672659624
Joan of Arc,0.7293938368983657,2,0.05128205128205128,0.03876623374270889,0.001728148566431692
the Whigs,0.7480530265646266,1,0.03076923076923077,0.02847814900301029,0.0011423944097134484
Aunt Jemima,0.2944636757059169,270,0.24615384615384617,0.13074424130274295,0.020459670583287633
Radical,0.7145883604514257,1,0.015384615384615385,0.020693225163353462,0.000922777496611902
"Lucilla--""green and violet",0.5918324596718982,2,0.041025641025641026,0.04448529710022686,0.00126064307124624
me;--papa,0.5131970117386668,1,0.041025641025641026,0.044485297100226855,0.00126064307124624
King Bomba,0.43658657606629264,1,0.035897435897435895,0.04265699474997047,0.001127804503696991
Mrs Beverley,0.7411965927315596,6,0.05641025641025641,0.04364578387570594,0.0022016701165898794
Mr Cavendish?--and,0.8625881861975854,1,0.020512820512820513,0.02597522838893917,0.0009696023958828574
poor little Oswald Brown,0.9118027616763835,6,0.015384615384615385,0.015443535369766065,0.0010188209769752452
Mr Wentworth,0.5837224614540861,10,0.046153846153846156,0.04337530953360424,0.0014316593623487977
Mary Centum,0.87234892677106,2,0.015384615384615385,0.017115181870019005,0.0009267688983407586
Tozer,0.5971889197188913,8,0.06153846153846154,0.05291072510474874,0.0015559527573174837
Major Brown,0.5538897854901813,18,0.046153846153846156,0.04328709741331238,0.001560781544986207
Mr Cavendish----,0.877882014763652,1,0.015384615384615385,0.01593949175648692,0.000922710846542048
"Mr Ashburton--""I",0.5527059823514718,7,0.020512820512820513,0.028262427007988245,0.001021602942039767
Woman,0.6432539468368009,1,0.02564102564102564,0.03216991379781655,0.0010251761367090653
The Chileys,0.8648977472740641,1,0.015384615384615385,0.016512643956100605,0.000921906799236379
"Aunt Jemima--""my",0.6858107241277168,1,0.020512820512820513,0.023582121327253812,0.0009769651322257965
Solomon,0.6631767566279565,3,0.02564102564102564,0.029537632589921176,0.001027106092257231
Poor Lucilla,0.5518930901529719,6,0.05128205128205128,0.04758266527332298,0.0022345227972586246
Mrs Brown,0.6406989695314489,1,0.03076923076923077,0.03210857368945646,0.0011093864057505783
Elsworthy,0.7581922850871186,3,0.035897435897435895,0.029944951942984816,0.0013974255989707882
Miss Ravenswoods,0.7749398289662283,1,0.02564102564102564,0.023345794654210508,0.0011262764495571693
"Mrs John--""brought",0.8919255438469803,1,0.015384615384615385,0.013872594251446557,0.0009546814268835518
Dr Beverley,0.7734634909087724,2,0.02564102564102564,0.02488654072061832,0.0010870409571530533
Betsy,0.7524226631670782,7,0.035897435897435895,0.0326327116633943,0.0015050091323180177
Nancy----,0.8775029874047163,1,0.010256410256410256,0.011937380970014726,0.0008745915633408353
Inmates,0.8695528166203029,1,0.010256410256410256,0.012450515281637039,0.0008720964055974518
Art,0.7044422395754225,1,0.041025641025641026,0.03909180602244517,0.0012764017398649366
Fitz - James,0.6566398668410729,1,0.041025641025641026,0.03909180602244518,0.0012764017398649366
Good Lord,0.8555710389743755,2,0.02564102564102564,0.028963255417998643,0.001027504278761613
the Miss Penrhyns,0.877484357056262,6,0.020512820512820513,0.022038801682806433,0.001077430277118745
Lydia Richmond,0.7062986747447533,2,0.015384615384615385,0.021293305474302984,0.0009192043019426037
Blunderer,0.7249839998981118,1,0.015384615384615385,0.021866457673916692,0.0009184002546369347
Mr Vincent,0.7301749404129565,4,0.07179487179487179,0.06090157154087482,0.0017294836863460524
Marchbank,0.64550348977571,6,0.046153846153846156,0.04612463809976593,0.0017668419619430824
Poor Mrs Chiley,0.8941192318307802,1,0.010256410256410256,0.009847447885173206,0.0009271386206815164
Mrs Rider,0.7035654605446365,3,0.020512820512820513,0.022868697935570694,0.0009894330600683844
Lady Western,0.9165544801103969,9,0.05641025641025641,0.04537831401482981,0.0014886566436058258
Mrs Bury,0.9153755985101673,1,0.05641025641025641,0.045378314014829814,0.0014886566436058258
Mr Western,0.9204543877024786,1,0.035897435897435895,0.039986710019225664,0.0011269653269163034
Adam Smith,0.9374839541826071,3,0.020512820512820513,0.02219019633935431,0.0010421177039739537
Olympus,0.9501436486337614,1,0.02564102564102564,0.022605294389192072,0.0011798695225311408
the Belveder Apollo,0.9500298549839425,1,0.02564102564102564,0.02260529438919211,0.0011798695225311408
Mariana,0.9317643098652665,1,0.020512820512820513,0.024268115229721592,0.0009764299761479809
"DEAREST MRS CHILEY,--I",0.9386327134853192,3,0.015384615384615385,0.01696254046733135,0.0009219471796585264
Cambridge,0.9525566176246214,1,0.010256410256410256,0.009231444322618946,0.0009976436777042446
Mary Jane----,0.9477474596518402,1,0.005128205128205128,0.008242709881716425,0.0008159872134634298
Good Heavens,0.9427572626986443,1,0.015384615384615385,0.014166129318804373,0.0009354211546152007
Mademoiselle Barbara,0.9529390822218684,1,0.015384615384615385,0.018535337362832326,0.0009190461394924428
the philosophical old Scotchman,0.9536279737453642,3,0.010256410256410256,0.012840114762931593,0.0008664694323038302
"MR CAVENDISH,--It",0.9608762186404278,1,0.005128205128205128,0.006969121533685246,0.000816244347372249
Nelson,0.958238799494802,1,0.005128205128205128,0.006969121533685246,0.000816244347372249
old Lichfield,0.9614723892021437,1,0.005128205128205128,0.006969121533685246,0.000816244347372249
Pleasure,0.9535483888036751,1,0.015384615384615385,0.016025405348005162,0.0009257488851335308
Society,0.9454530067064807,1,0.02564102564102564,0.026611624342135858,0.0010296579704187961
young Carmine,0.9420535486289197,1,0.02564102564102564,0.026033723472832226,0.0010269375849785763
Betsy----,0.9665205387703157,1,0.010256410256410256,0.005581608257090389,0.0009616206542113874
Mary Chiley----,0.9586120363844624,1,0.010256410256410256,0.009892862201400556,0.0008664259087794701
Tom----,0.9586472399350146,1,0.005128205128205128,0.0039074867898283225,0.000820339732292172
Miss Lucilla?--though,0.9575627076289314,1,0.005128205128205128,0.0033943524782060076,0.0008228348900355555
