character,radius,mentions,degree_centrality,eigenvector,pagerank
Jack,0.07425694605849074,5275,0.676056338028169,0.41143445122988015,0.20644805900872326
Mr Easy,0.9264891505376692,256,0.107981220657277,0.07080704486101555,0.017001620148971632
Ned,0.27685153559082837,94,0.09859154929577466,0.13704572318416874,0.013808833683332375
Johns,0.9318854612650771,3,0.009389671361502348,0.023249689138107994,0.0012248234556737907
Mrs Easy,0.9136674484545655,118,0.08450704225352113,0.04930088123159295,0.01421992362871239
Pray,0.7911885780032811,1,0.014084507042253521,0.028820049350940957,0.0011433363343321065
Dr Middleton,0.7680316271316691,180,0.10328638497652583,0.1235475414629771,0.017642340391274467
Sarah,0.8782710716326734,33,0.03286384976525822,0.03785157701175156,0.00598186678019474
Bob,0.9603866737943009,6,0.018779342723004695,0.025851238683347655,0.0021739296387852805
Mary,0.8164088500873055,16,0.046948356807511735,0.06426178307534398,0.00352083087131392
Lord,0.21937072989047382,2,0.004694835680751174,0.0198359601347947,0.0008338647335672962
A,0.3452939886065359,1,0.004694835680751174,0.0198359601347947,0.0008338647335672962
Mercy,0.9008214612174006,2,0.014084507042253521,0.024037729534991226,0.001171276238863699
Solomon,0.8135280323346712,1,0.014084507042253521,0.028169278872889357,0.0011599909146833799
Mr Bonnycastle,0.8699415005787805,101,0.03755868544600939,0.0417221896291775,0.00537498015794516
Observe,0.8494919539767315,1,0.009389671361502348,0.021847458412945244,0.0009861874672045334
Whack,0.7570906864403437,6,0.009389671361502348,0.021847458412945244,0.0012520477754606211
James,0.4461819465261905,8,0.028169014084507043,0.05488388667649136,0.0028189224448495107
William,0.3404798995780294,21,0.03755868544600939,0.06467387579412356,0.0037164583294681257
Caesar,0.9218571573414702,13,0.018779342723004695,0.026294515547243182,0.002557092487231503
Truth,0.9109985275683301,1,0.009389671361502348,0.021103663800833693,0.0010754988048337938
Susan,0.923449733378407,9,0.023474178403755867,0.04205165987494416,0.00291860549379393
Captain Wilson,0.10715081091876932,593,0.2535211267605634,0.24295664953873028,0.04472813171732196
Abraham,0.8017244494971929,2,0.009389671361502348,0.020840727322147406,0.0015020385111725624
Isaac,0.8297451115737831,1,0.009389671361502348,0.020840727322147385,0.0012594309764184164
George,0.21372067327826225,1,0.009389671361502348,0.031549316661764,0.0009618588860476083
Waiter,0.20199848497980105,1,0.004694835680751174,0.0198359601347947,0.0008338647335672962
God,0.39047665635809925,34,0.09859154929577466,0.13134650295818703,0.007097961771526303
Harpur,0.5405052598299883,1,0.014084507042253521,0.03242567799309467,0.0011254747155662924
Jolliffe,0.29840939667961536,171,0.09389671361502347,0.12978749927660166,0.015881969197703544
Mesty,0.1873912959350495,1218,0.3427230046948357,0.2683913151975922,0.0665406914208368
Massa Yolliffe,0.2829222253553763,3,0.014084507042253521,0.03903284330007187,0.0012329459592105873
Mr Smallsole,0.41979509136651466,30,0.07042253521126761,0.12098665653776614,0.006370277697436805
Lieutenant Asper,0.4913465725595405,1,0.009389671361502348,0.025367150321647127,0.0009639556597009371
Mr Asper,0.39343558852713467,85,0.06572769953051644,0.1147271008668656,0.007347279747439758
Gascoigne,0.22928108998630414,1034,0.3474178403755869,0.29943130266226065,0.08609813849559414
Vigors,0.3706648753729203,131,0.09859154929577466,0.12875886330701722,0.014080626780898714
Mr O'Connor,0.4083591571146276,2,0.023474178403755867,0.05119021625346104,0.0017595083254191859
Jasus,0.7096567272498987,2,0.04225352112676056,0.05927273565352841,0.002467574959577573
Massa Easy,0.3934202060684526,92,0.11737089201877934,0.12931961579030155,0.013240482352789249
Mr Vigor,0.7389854902372839,1,0.028169014084507043,0.05070189738154472,0.0016755076820766032
nebber,0.6948642955366976,3,0.03286384976525822,0.05447401951600306,0.001993666211517108
Gossett,0.3197368801651638,29,0.051643192488262914,0.09236751957207298,0.005165370783936564
A Jew,0.5959773577367296,1,0.018779342723004695,0.03989031868602488,0.001371945121844845
Moses,0.5955654957656005,3,0.018779342723004695,0.03989031868602491,0.0015393879458242715
Mr Biggs,0.4114805540795298,150,0.07981220657276995,0.10768280389619493,0.01012554625498161
Jove,0.7642246745644453,2,0.018779342723004695,0.0321418365366225,0.0014687105241882417
Mr Biggs?--you'll,0.7706308948281715,1,0.014084507042253521,0.026577145723888,0.0012847502441575517
Captain Crouch,0.76862825822381,1,0.018779342723004695,0.03193382429344614,0.0014238746443655005
Mr Easthupp,0.5831685882360808,84,0.07511737089201878,0.10480695057445323,0.008027875436379055
the Tender,0.786810244956046,1,0.018779342723004695,0.031933824293446156,0.0014238746443655005
the _ Harpy _,0.4784437174368962,27,0.07981220657276995,0.11419127315720595,0.006801669375973131
Captain Vilson,0.7879877402041914,10,0.023474178403755867,0.03976274160092584,0.002817039032436914
Mr Heasy,0.8150271406256991,24,0.028169014084507043,0.0447155316579318,0.002413829265935999
Old Jolliffe,0.23009106107500124,2,0.004694835680751174,0.0198359601347947,0.0008338647335672962
Mr Minus,0.5608687511047106,2,0.018779342723004695,0.047688096103742986,0.001405656241870818
the Spaniards,0.1856387497258597,12,0.014084507042253521,0.04448892201778219,0.0016358486213165194
Houris,0.23700774915669504,1,0.004694835680751174,0.0198359601347947,0.0008338647335672962
Don Cordova de Rimarosa,0.20137718874460947,3,0.009389671361502348,0.032775565490812876,0.0012419941605801197
de Lord,0.17530450644733458,2,0.009389671361502348,0.032775565490812876,0.000971464370009686
David,0.24879658595972862,2,0.009389671361502348,0.032775565490812876,0.0011043945241377298
Harpy_--I,0.5832230758517186,1,0.014084507042253521,0.03625754533184877,0.001146449706709606
