character,radius,mentions,degree_centrality,eigenvector,pagerank
Jasper,0.2364507890201968,3550,0.44390243902439025,0.3341431857978247,0.1400869011011454
The Lonely Man Chapter XXVIII,0.6355269545246066,4,0.004878048780487805,0.0165608751064234,0.0008362945618726781
the Miss Milvains,0.3081911839653214,11,0.03902439024390244,0.08754135518553853,0.0031556475065294964
Maud,0.42326060213248157,373,0.16585365853658537,0.18610279537299068,0.029532263766882227
Dora,0.3585375442064775,625,0.2634146341463415,0.2442806855349427,0.04975068297576358
Jack,0.22323499453128615,11,0.024390243902439025,0.06616091673746062,0.0017409743067174843
Mrs Milvain,0.11806924026559894,85,0.09268292682926829,0.14758181915015223,0.008665826494611962
Amy,0.28429328449402524,2569,0.3170731707317073,0.2607480913493421,0.08688628873588537
Dora.)--I’m,0.7951706066095028,1,0.014634146341463414,0.03102162749961277,0.0013312900583721944
One,0.8101281588179111,1,0.014634146341463414,0.031021627499612757,0.0013312900583721944
Reardon,0.34851785987246664,1879,0.3073170731707317,0.25231645177590006,0.07161224258064919
John,0.11958278968737111,323,0.13658536585365855,0.1771552349657095,0.0221623938951252
the Reardons,0.3044603764057093,19,0.058536585365853655,0.11184547246036898,0.0037419623694283206
Dante,0.8319328687151907,1,0.03902439024390244,0.06386570657654216,0.0020058885947523693
Homer,0.7962070186533969,4,0.04878048780487805,0.08015656126809259,0.0022595759033252807
Shakespeare,0.8032928732472486,1,0.03902439024390244,0.06386570657654224,0.0020058885947523693
a George Eliot,0.8069996320481115,1,0.03902439024390244,0.06386570657654224,0.0020058885947523693
the Holy Spirit,0.8150268558031851,1,0.03902439024390244,0.06386570657654222,0.0020058885947523693
Alfred Yule,0.48471035018767344,457,0.2048780487804878,0.2193939198844034,0.03083280285373858
Miss Yule,0.18786528365168606,104,0.07317073170731707,0.13058249379724537,0.008725015964971414
Simpatica,0.6724864818050832,1,0.014634146341463414,0.028476048831159676,0.0010688320918076325
Whelpdale,0.4953774871782407,343,0.08780487804878048,0.10982594368765983,0.021601671215157846
Miss Harrow,0.03089659123273392,46,0.07804878048780488,0.1440163568601606,0.006527787983290441
Mrs Yule,0.12094369324120946,599,0.2097560975609756,0.21582191954918795,0.040142659823536334
Marian,0.3324319542454585,2829,0.32195121951219513,0.2718768315231808,0.09283965118533483
vacancy,0.4445556662811181,1,0.014634146341463414,0.040909339786539475,0.0010570413275978767
Fadge,0.557250835743409,157,0.14634146341463414,0.15960423405836852,0.01753876303399704
Ralph Warbury,0.7004449705683412,18,0.004878048780487805,0.0165608751064234,0.0010525730060063835
Each,0.5291727646734634,1,0.01951219512195122,0.04520611330649204,0.0011667673275462603
the Yules,0.48438946331484867,10,0.04390243902439024,0.08479535722985579,0.0022162284306441625
William,0.5250439584312284,7,0.00975609756097561,0.023875356379141142,0.0013924951530024342
Father,0.20414189876431257,44,0.058536585365853655,0.11140847281811612,0.004325968194219569
Willie,0.5868642990573447,95,0.05365853658536585,0.08423783839248392,0.007834847069075123
Biffen,0.6240011522715665,1228,0.17560975609756097,0.1599450724255653,0.039578340499994785
Barlow,0.5157096335674656,13,0.05365853658536585,0.09293741828419298,0.0033576267323473146
Culpepper,0.6620636288951176,4,0.06829268292682927,0.09547719727047688,0.0032857330025156746
The Study,0.5716114067314332,1,0.004878048780487805,0.0165608751064234,0.0008362945618726781
Jolly,0.539580084841249,6,0.04878048780487805,0.0824978449900601,0.003621988171818003
Monk,0.48708489425927687,17,0.04878048780487805,0.08249784499006023,0.00374708341480446
February,0.6821319509441948,1,0.029268292682926828,0.054899106389918975,0.0016065052518440014
January,0.657814989563159,1,0.029268292682926828,0.054899106389918975,0.0016065052518440014
March,0.6610109260696815,2,0.029268292682926828,0.05489910638991896,0.0017319254210139546
Diogenes Laertius,0.5172661159032148,7,0.00975609756097561,0.029484127049341956,0.0010718856814094868
Margaret Home,0.7942098788885559,4,0.01951219512195122,0.03500542664811101,0.0016445276652628472
Jedwood,0.6068890049165174,60,0.08292682926829269,0.12309947587836294,0.005620981435492865
