character,radius,mentions,degree_centrality,eigenvector,pagerank
Margaret,0.20331348886306422,7835,0.7171314741035857,0.3505850434571224,0.19133474896156547
Edith,0.2991736323812854,432,0.18725099601593626,0.1744539995116842,0.026442193563295906
Captain Lennox,0.3909425772165696,125,0.11952191235059761,0.13689022999246153,0.012152875880198597
Titania,0.6457048922586885,1,0.01195219123505976,0.025336537215164073,0.0008239678843255513
Mr. Grey,0.6882635105416779,2,0.01593625498007968,0.031402455342385664,0.0008966920710341449
Mrs. Shaw,0.06650273932734024,185,0.12749003984063745,0.15847504107195917,0.013607013872725704
General Shaw,0.6800828300620889,3,0.0398406374501992,0.06611806357224048,0.0015751607502819424
Mrs. Gibson,0.7648020835912083,15,0.027888446215139442,0.03610714370311454,0.0017384668785439242
"love,—and",0.7359471536944591,1,0.02390438247011952,0.03531530959171188,0.0011526898725022475
Helen,0.7907368137530307,5,0.01195219123505976,0.02147888274853869,0.0008828908303195188
Aunt Shaw,0.25994385670457903,30,0.06374501992031872,0.09632720752363569,0.004476967927169336
Newton,0.7648124006080698,11,0.01593625498007968,0.03039078209276211,0.0013913501265560104
Tiny,0.7482031716442803,5,0.01195219123505976,0.021260078694099308,0.0008963996570472939
Mr. Hale,0.018905539814216086,1200,0.34661354581673304,0.24767474005906903,0.05675718435309041
Mr. Lennox,0.3256710605824733,572,0.18725099601593626,0.17099899756139952,0.029396171074559028
Jenny,0.755180131379469,14,0.02390438247011952,0.03714820937220283,0.0012094936443921094
Tennyson,0.7410867833766687,2,0.00398406374501992,0.01341927508492441,0.0006736868488810128
MRS . HEMANS,0.6481138683255406,4,0.00796812749003984,0.0208124279095078,0.0007487620327142685
Dearest Maria,0.7281284634601819,4,0.0199203187250996,0.03897867377867879,0.0010126110552391952
Miss Beresford,0.6376532334019308,4,0.04780876494023904,0.06845216697650863,0.002119012737325689
Mrs. Hale,0.009736056420827411,427,0.20318725099601592,0.19314968862986812,0.03082766905323612
Figaro,0.7102484783447625,1,0.00398406374501992,0.01341927508492441,0.0006736868488810128
Frederick,0.1649208582857083,570,0.23505976095617528,0.19896480122004462,0.03376943013113753
Mr. Houldsworth,0.6814729696524137,1,0.01593625498007968,0.03149827891133724,0.0010505643525576742
Mr. Hume,0.7298051607134209,1,0.01593625498007968,0.03149827891133727,0.0010505643525576742
the Gormons,0.9157830961692567,4,0.01195219123505976,0.021126366703264805,0.0011751896380470305
Dixon,0.10390839136702754,586,0.250996015936255,0.22371615401334255,0.037765780616708204
Hayley,0.710113935357609,1,0.0398406374501992,0.06117289697571916,0.0015448766346296133
John,0.4263161932015449,94,0.11553784860557768,0.13211019632872573,0.008865595751732746
Lady Beresford,0.6473376250351588,4,0.0398406374501992,0.06117289697571914,0.002122227110253074
Thomson,0.6419456010713221,1,0.0398406374501992,0.06117289697571918,0.0015448766346296133
the pretty Miss Beresfords,0.6893804286501083,2,0.0398406374501992,0.06117289697571916,0.0015448766346296133
Sarah,0.7459775886071086,30,0.03585657370517928,0.04494128642639835,0.002876429872468436
Mamma,0.4645348193177408,23,0.043824701195219126,0.0669315466880668,0.0024487533532938774
Hampshire,0.82847974894376,1,0.00796812749003984,0.015139483908664436,0.0007800021708147116
Dante,0.6535078355679627,2,0.03187250996015936,0.0567937779306034,0.0013743616538397765
