character,radius,mentions,degree_centrality,eigenvector,pagerank
Morton,0.253297391501502,3274,0.3694656488549618,0.2692956328971146,0.07367000065655405
Andrew Fairservice,0.8106177381771905,1,0.01984732824427481,0.03174084088597257,0.0011059858008989239
Archbishop Sharpe,0.76541968455857,10,0.03206106870229008,0.0494514802092636,0.0019159448245557908
Burnet,0.8020548356018558,2,0.02900763358778626,0.038767472835834524,0.0016426800404316533
Burns,0.7821790637664184,3,0.01984732824427481,0.031740840885972586,0.0011059858008989239
Cervantes,0.8185708946013585,1,0.01984732824427481,0.031740840885972586,0.0011059858008989239
Charles II,0.587506741977014,32,0.0732824427480916,0.08313416086734755,0.0054435893095450445
Don Quixote,0.8007198711328184,1,0.01984732824427481,0.03174084088597256,0.0011059858008989239
Dr. McCrie,0.48222641690882845,35,0.1083969465648855,0.17068530174878324,0.006447757962177302
God,0.4705465038394612,115,0.1267175572519084,0.12524802532233198,0.0123659758000296
Mr. James Guthrie,0.8188610962943857,6,0.0366412213740458,0.04796939784180239,0.00202282046839184
Princesse de Cleves,0.7961234787898219,1,0.01984732824427481,0.03174084088597257,0.0011059858008989239
Russell,0.8223958857343009,2,0.024427480916030534,0.03838202037168343,0.0013490672794359095
Scott,0.43578111943202275,152,0.16946564885496182,0.19791432191397215,0.011687538761870113
Monmouth,0.7161337531503942,34,0.025954198473282442,0.0442722934389939,0.0030838529347941377
the Apostle Paul,0.6780287803236471,1,0.004580152671755725,0.014144205053247531,0.00041039038919188516
Bessie McLure,0.5875128607160186,6,0.07480916030534351,0.15057196653379418,0.0037759255545310316
Burley,0.24691914291002456,730,0.1801526717557252,0.2039479448462498,0.02522643739404512
Cardinal Beaton,0.7890295114201455,3,0.02900763358778626,0.05836556279721916,0.0014134128474224995
Claverhouse,0.08030970902288007,722,0.18778625954198472,0.1852161611365371,0.029135661786319076
Dundee,0.7191191527157562,10,0.06412213740458016,0.09082304882656916,0.003742923027271299
Hogg,0.7692227599150071,1,0.02748091603053435,0.05812173999401684,0.0013001437876459323
John Brown,0.7641348409593091,1,0.02748091603053435,0.05812173999401683,0.0013001437876459323
Kirkton,0.7339973183675554,2,0.03206106870229008,0.06407163172501842,0.0015501720383297947
Knox,0.7583282316424482,5,0.035114503816793895,0.060713030533457,0.001928676692369097
Macaulay,0.6923723932479198,3,0.02748091603053435,0.058121739994016784,0.0013001437876459323
Patrick Walker,0.6682728548359952,5,0.07480916030534351,0.10196385062801573,0.00425814027450566
Poundtext,0.17847592612073124,92,0.06870229007633588,0.11698682373713876,0.007400185885332545
The Brownie of Bodsbeck,0.7624104831240306,1,0.02748091603053435,0.05812173999401685,0.0013001437876459323
The Shepherd,0.7755817829279996,1,0.02748091603053435,0.05812173999401679,0.0013001437876459323
Wodrow,0.473033957689461,10,0.0717557251908397,0.14063235077332745,0.00395998960145678
the Earl of Linlithgow,0.7734922623701876,1,0.02748091603053435,0.05812173999401681,0.0013001437876459323
Ailie,0.4670209618451591,88,0.05801526717557252,0.124005284126808,0.0045019163727901745
Bothwell,0.24316433585794872,394,0.1450381679389313,0.17505363771713217,0.016429482788224765
Corporal Raddlebanes,0.4391508054015514,4,0.044274809160305344,0.1095574002689594,0.0020362309453401104
Cuddie,0.15813614894199016,589,0.18778625954198472,0.20594798820553734,0.024097546814893317
Di Vernon,0.39352078527116696,1,0.04122137404580153,0.10910225208870275,0.0017174823673982043
Edith,0.2236554389138754,849,0.166412213740458,0.1878108672099849,0.028882216924420164
