character,radius,mentions,degree_centrality,eigenvector,pagerank
Oliver,0.20182200318865204,3042,0.5723684210526315,0.32547237840903853,0.14398915647966004
A NOTABLE PLAN,0.17288630834165938,1,0.11184210526315788,0.17770345428977993,0.004030188013418781
APPERTAINING TO THIS HISTORY XIV COMPRISING FURTHER PARTICULARS OF OLIVER ’S STAY AT MR . BROWNLOW,0.19267560056783106,1,0.11184210526315788,0.17770345428978007,0.004030188013418781
Beadle,0.28347556647254313,3,0.11184210526315788,0.17770345428978016,0.004542736594102975
CONNECTED WITH WHOM VARIOUS PLEASANT MATTERS,0.22169763449198732,2,0.11842105263157894,0.17855739426817457,0.0048320353418743935
Fagin,0.4868718648796526,974,0.30921052631578944,0.2496768605919532,0.06412496148943884
Harry,0.2708200348911534,167,0.14473684210526316,0.1940587789666467,0.016495251450670663
Monks,0.11894309166230034,371,0.19736842105263158,0.21694559059820653,0.021690785177942262
Mr. Brownlow,0.17548876560433377,481,0.256578947368421,0.2439510922726744,0.04248614166664628
Mr. Bumble,0.5727688574195754,664,0.3026315789473684,0.2196344326439927,0.05982853055405518
Mr. Grimwig,0.22466641367128354,194,0.14473684210526316,0.19238397327682796,0.018157232953740016
NANCY XVII OLIVER,0.1968833269735338,1,0.11184210526315788,0.1777034542897801,0.004030188013418781
Nancy,0.19985068665477165,357,0.23026315789473684,0.23896308716334597,0.030773975985564615
OLIVER CONTINUES REFRACTORY VIII OLIVER,0.21698173107740248,1,0.11184210526315788,0.17770345428978004,0.004030188013418781
OLIVER MINGLES WITH NEW ASSOCIATES,0.1963380764510554,1,0.11184210526315788,0.1777034542897801,0.004030188013418781
Rose,0.34110217192953846,561,0.23684210526315788,0.2352631315840869,0.034239305986701475
THE READER,0.18518700119322618,3,0.11842105263157894,0.17855739426817457,0.0048320353418743935
The Jew,0.17716251089960208,22,0.11842105263157894,0.18426290955312605,0.0051335522030304115
Nature,0.2759983551139229,3,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Mrs. Mann,0.8918860582742069,103,0.06578947368421052,0.034512970082995566,0.012715605157389811
Susan,0.7968483254714356,2,0.019736842105263157,0.02904493563133024,0.0017129670373968067
Poor Oliver,0.5636716153263828,3,0.013157894736842105,0.021782719339530812,0.0016353910933461161
Mr. Limbkins,0.6879964109209865,27,0.019736842105263157,0.02886117951149951,0.0031774010893238546
Mr. Gamfield,0.7405297444532698,67,0.02631578947368421,0.030845938993286068,0.0042766020680096665
Oliver!—seventy shillins,0.6555280437620682,1,0.013157894736842105,0.027315479482435675,0.001321970627999958
Mr. Sowerberry,0.7614292646233656,96,0.046052631578947366,0.04566658702076777,0.010754061944366332
Mrs. Sowerberry,0.8100138607084609,78,0.05263157894736842,0.04159255448753135,0.01181071114777134
Charlotte,0.7386602494888138,93,0.06578947368421052,0.05369308631271465,0.014290769101493853
Work’us,0.8699617752618196,18,0.019736842105263157,0.021924188683729265,0.0030127449030333507
Noah,0.7890318447532737,451,0.1513157894736842,0.09096319990480735,0.03273462338955523
D’ye,0.8002151187868043,1,0.019736842105263157,0.023558300194239136,0.0014576429419641311
Mr.,0.7845832914683695,6,0.039473684210526314,0.04250552939560589,0.0027904322491485124
Char,0.8258133835505005,1,0.019736842105263157,0.023558300194239136,0.0014576429419641311
God,0.515452563389607,20,0.046052631578947366,0.06609707494357679,0.0031027113168966705
Dick,0.8148331193477083,25,0.02631578947368421,0.04083404762452727,0.003919318690136793
Angels,0.42049197782553277,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
YOUNG GENTLEMAN Oliver,0.4589827160142515,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Hullo,0.4873588752885511,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Beak,0.4874116510764632,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Morrice,0.43096190907630677,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Jack Dawkins,0.7187833166839425,10,0.02631578947368421,0.037950998556298625,0.002933106881401518
Mr. Dawkins,0.7352347960407994,43,0.06578947368421052,0.058707474149219264,0.005512758364957646
the Dodger,0.731150653224997,58,0.05921052631578947,0.06230356475682897,0.005465605325901508
Master Bates,0.6709536021343923,319,0.17763157894736842,0.10922285302081675,0.0309180198159824
Bet,0.7647810243614706,18,0.046052631578947366,0.05583581237663605,0.005347105997962798
French,0.6851769900178438,1,0.019736842105263157,0.03265393340002372,0.0014720580974326982
CHAPTER X. OLIVER,0.5028811300139434,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Mr. Fang,0.24094100918686528,64,0.019736842105263157,0.04050851317017447,0.0022294264099605287
THE NARRATIVE,0.3775538321149821,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Pretty creetur,0.4201150198440126,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Hem,0.6452639347065757,4,0.02631578947368421,0.04163148062293535,0.002010986331686956
Mrs. Bedwin,0.4742595719766748,44,0.05263157894736842,0.0687440577840346,0.007564827669208843
Tom White,0.3456956526574775,2,0.013157894736842105,0.028533995200273596,0.0012992367019288007
Oliver White,0.2734654242185809,2,0.013157894736842105,0.028533995200273596,0.0014617671736090426
Sikes,0.59465222587268,1023,0.1907894736842105,0.137459728976159,0.051131373200371394
CHAPTER XIV,0.7110408589320326,1,0.019736842105263157,0.038174418633326955,0.0014583324528190807
Dear heart,0.6641855138943088,1,0.013157894736842105,0.01975431375305859,0.0013121143858689773
Mealy,0.3232396625478505,1,0.013157894736842105,0.028533995200273596,0.0012992367019288007
Spiders,0.4246308956669506,3,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Tom,0.7606717946213677,46,0.08552631578947367,0.059238195648855595,0.009084732245565838
Mr. Chitling,0.7607784410289744,81,0.08552631578947367,0.07297678822041784,0.009433888105707652
Mr. Sikes,0.6218872819373413,81,0.046052631578947366,0.0568452850212568,0.004200257975417022
Toby,0.6780229781512368,205,0.08552631578947367,0.07075919626106728,0.017820783690359054
Edward Leeford,0.6635687311422783,3,0.02631578947368421,0.03970575946876998,0.0018517345661822559
Hampton,0.30949585449796513,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Ecod,0.3298422813594065,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Barney,0.8427696688469121,60,0.07894736842105263,0.05868478890445903,0.01180598109967304
Mrs. Corney,0.8199252140410197,131,0.046052631578947366,0.04106447150874791,0.010256193086643795
PROCEEDS WITH,0.4232510904968598,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Brittles,0.855756182981934,104,0.05263157894736842,0.05079095980948986,0.010182581098406229
Mr. Giles,0.8618620520028377,286,0.11184210526315788,0.09283068614503069,0.017832220893812867
Mr. Losberne,0.7344398962270107,80,0.11184210526315788,0.12490979555812601,0.014778444480576348
Blathers,0.8289429267569831,64,0.06578947368421052,0.059129729057560886,0.005802316388254501
Spyers,0.8296213324093644,43,0.039473684210526314,0.044592273929738836,0.002600266415502031
Duff,0.8406430697196108,24,0.07236842105263158,0.08004605816375097,0.0065444098055386386
Messrs. Blathers,0.8225021982717107,10,0.07236842105263158,0.08004605816375096,0.004835058960568628
Chickweed,0.8478913852028015,40,0.05263157894736842,0.052276232629889396,0.004081322269939805
Mrs. Maylie,0.7204710672296825,149,0.09210526315789473,0.09376335586781386,0.013641556126962518
Miss Maylie,0.5907054145187307,21,0.046052631578947366,0.06617577812958493,0.0036744233149881306
A YOUNG GENTLEMAN WHO NOW ARRIVES UPON THE SCENE,0.48136611964949344,1,0.006578947368421052,0.01630952667305184,0.0011429226285429874
Mr. Maylie,0.560849171915744,6,0.02631578947368421,0.04497488304972262,0.0022803089225682718
Young Twist,0.6433432336340583,1,0.013157894736842105,0.027315479482435675,0.001321970627999958
old Sally,0.6862136244621594,39,0.02631578947368421,0.040244447557756205,0.00205409888405884
Heaven,0.5758860099433556,9,0.05921052631578947,0.0854836316978553,0.0031467446501899287
