character,radius,mentions,degree_centrality,eigenvector,pagerank
Mr Boffin,0.4808485304419424,3468,0.3485714285714286,0.292470660097128,0.07580640852145053
Boffin,0.9062236335364617,8,0.013333333333333332,0.023762002435119996,0.0011631672802202826
Wegg,0.9045597381248704,2119,0.1657142857142857,0.10985799929337839,0.03610839904373991
Nick,0.7068544010392374,2,0.007619047619047619,0.017935330167051688,0.0005548824281221702
Nicodemus Boffin,0.7439924787205477,25,0.015238095238095238,0.03343653660350856,0.001057476025854169
Noddy,0.5542813831756378,54,0.03428571428571429,0.05802909165600854,0.003924813142889722
Lard,0.46569449226678755,1,0.0019047619047619048,0.010622961796462355,0.0003335752655147062
Henerietty Boffin,0.9083489928176554,5,0.007619047619047619,0.0154562512778237,0.0008377194248819515
Henery,0.9262616292467554,1,0.005714285714285714,0.011605898630221448,0.0006310490434690917
Hetty,0.9217681963617065,1,0.005714285714285714,0.01160589863022145,0.0006310490434690917
Mellers,0.843738207916356,1,0.0038095238095238095,0.01461316487919819,0.0003833142283409258
Hem,0.8828710332985085,5,0.005714285714285714,0.01674399604087958,0.0005792126120778842
Rooshan Empire,0.819234653833765,1,0.0038095238095238095,0.01461316487919819,0.0003833142283409258
Augustus,0.9789213078639196,1,0.017142857142857144,0.01959526568499865,0.0011337870096539949
Hadrian,0.97685308094243,1,0.017142857142857144,0.019595265684998656,0.0011337870096539949
Polly Beeious,0.9799281310923895,1,0.017142857142857144,0.019595265684998645,0.0011337870096539949
Polybius,0.9792831384082566,1,0.017142857142857144,0.019595265684998663,0.0011337870096539949
Titus Antoninus Pius,0.9785049039108351,1,0.017142857142857144,0.019595265684998652,0.0011337870096539949
Trajan,0.9789762502559578,1,0.017142857142857144,0.019595265684998663,0.0011337870096539949
the Antonines,0.9786137926905417,1,0.017142857142857144,0.019595265684998652,0.0011337870096539949
the Romans,0.976958759737261,1,0.017142857142857144,0.01959526568499866,0.0011337870096539949
Commodious,0.8620392934225224,3,0.005714285714285714,0.01516394139138219,0.0005348477194828255
Vittle,0.8527353770369664,1,0.005714285714285714,0.015163941391382184,0.0005348477194828255
Nature,0.8393349252077881,1,0.0038095238095238095,0.01461316487919819,0.0003833142283409258
Eugene,0.3436834307320208,3198,0.23809523809523808,0.23957076348927364,0.04172773951853272
the amiable Pertinax,0.4163242655878257,1,0.0019047619047619048,0.010622961796462355,0.0003335752655147062
Young Blight,0.49432434710672873,42,0.05904761904761905,0.08888830553373041,0.003888566792523167
Mr Aggs,0.8674650078848583,1,0.013333333333333332,0.026386687391270855,0.0008930579030269144
Mr Baggs,0.8728896782284393,1,0.013333333333333332,0.02638668739127085,0.0008930579030269144
Mr Caggs,0.8428320451796301,1,0.013333333333333332,0.026386687391270855,0.0008930579030269144
Mr Daggs,0.8628719276644915,1,0.013333333333333332,0.026386687391270855,0.0008930579030269144
Mr Faggs,0.8671432650321383,1,0.013333333333333332,0.026386687391270855,0.0008930579030269144
Mr Alley,0.9686042217569506,1,0.01904761904761905,0.01952489742413977,0.0012630105115690013
Mr Balley,0.9663804468101755,1,0.01904761904761905,0.019524897424139785,0.0012630105115690013
Mr Calley,0.9694684937634399,1,0.01904761904761905,0.019524897424139803,0.0012630105115690013
Mr Dalley,0.9690757029489467,1,0.01904761904761905,0.019524897424139803,0.0012630105115690013
Mr Falley,0.9694168692070931,1,0.01904761904761905,0.019524897424139778,0.0012630105115690013
Mr Galley,0.9643137885203149,1,0.01904761904761905,0.019524897424139778,0.0012630105115690013
Mr Halley,0.969356464363134,1,0.01904761904761905,0.01952489742413978,0.0012630105115690013
Mr Lalley,0.9675399687011459,1,0.01904761904761905,0.019524897424139785,0.0012630105115690013
Mr Malley,0.9668656712727192,1,0.01904761904761905,0.019524897424139803,0.0012630105115690013
Harmon,0.921156445622687,12,0.013333333333333332,0.028167710913390785,0.0010834201201886432
Lord,0.32847966366669695,9,0.024761904761904763,0.06302726205121914,0.0012110364293635187
Cressy,0.3011941520517732,1,0.0038095238095238095,0.019324522039293936,0.0003901568400162824
Doctor Scommons,0.46275784871934805,2,0.0019047619047619048,0.010622961796462355,0.0003335752655147062
Punch,0.46267721212295493,1,0.0019047619047619048,0.010622961796462355,0.0003335752655147062
Fortune,0.5563556329206842,4,0.007619047619047619,0.02638408932957086,0.0005585797953049539
Bella,0.4518232693755137,3206,0.20952380952380953,0.22508099730573078,0.054737858639677214
the Minders,0.755522808353094,21,0.007619047619047619,0.01948758642239763,0.0010836652466183158
John,0.42541250782674694,703,0.12761904761904763,0.16708755213668725,0.027948591988701487
John Harmon,0.3004071270754178,280,0.11047619047619048,0.1721313592952236,0.010892906288507352
Fashion,0.4304985186213826,1,0.005714285714285714,0.026423277648084064,0.00042145063182635043
Mr,0.40129732178936217,121,0.12,0.20993222173887055,0.013812693123870054
Bof,0.6906279550892755,7,0.009523809523809525,0.03134034666693909,0.0006662131081268104
the Boffins,0.5803637387816697,52,0.03428571428571429,0.07846804778663906,0.002690397578694389
Mr Milvey,0.5987980580728509,105,0.024761904761904763,0.05546407802178635,0.0029719483089387247
Mrs Milvey,0.6696953962552433,83,0.03428571428571429,0.06870591962596814,0.004230301154073598
the Reverend Frank,0.6158586128693756,92,0.0419047619047619,0.08453431018565145,0.0028105804488256906
Miss Lavinia,0.6143128981143713,232,0.04380952380952381,0.08799604845763867,0.007773094333426443
Mr Sampson,0.4908122597750391,298,0.08190476190476191,0.1208572431670838,0.01162097184941336
Mrs Wilfer,0.7302217656324835,469,0.08190476190476191,0.09195473591522897,0.014311375386349141
Ma,0.4897152299226076,166,0.08,0.1495538196796703,0.01066941540966503
Lor,0.36875742526057237,11,0.01904761904761905,0.05483025461426832,0.0011397052332935336
R. W.,0.6835911556467221,123,0.0419047619047619,0.06672815486675449,0.005187596303484343
Steward,0.4348862847215055,1,0.0038095238095238095,0.016691825874736003,0.00037813206077329524
Goldsmith,0.4929513028610536,1,0.0038095238095238095,0.016691825874736003,0.00037813206077329524
God,0.4336487727464484,14,0.022857142857142857,0.05431494767173661,0.001250200961687915
Belisarius,0.8503535491192005,1,0.005714285714285714,0.015163941391382187,0.0004698525662804008
Bully Sawyers,0.8477411634190052,3,0.005714285714285714,0.015163941391382193,0.0007127185647163388
Candour,0.4952907324570313,1,0.0019047619047619048,0.010622961796462355,0.0003335752655147062
Thomas,0.9146792486854627,4,0.009523809523809525,0.020986248812549804,0.0007647216683293055
Death,0.8092863018465145,7,0.0038095238095238095,0.01425132359778154,0.0003903735484456875
the Golden Dustman,0.23777507706575673,34,0.024761904761904763,0.056985863727132546,0.0018539523780065216
Mr Julius Handford,0.3634597735671053,34,0.045714285714285714,0.11598770707205187,0.0029345073505128547
Betty,0.7128229784368313,519,0.07238095238095238,0.07665495205903719,0.010475444835584784
Sloppy,0.5500510280600369,367,0.07238095238095238,0.09743175411255112,0.009010991744419961
Johnny,0.7855506642310072,160,0.05142857142857143,0.06997353479849046,0.005164297476643086
Toddles,0.9071721822084017,5,0.013333333333333332,0.019979746066104045,0.0013624011393679257
Lavater,0.7989149583044819,1,0.0038095238095238095,0.013962892189161785,0.000380695083222704
Lady Tippins,0.7646676572484281,181,0.10857142857142857,0.1532962229730105,0.01172810681020402
Miss Antonina Tapkins,0.8689898464142871,2,0.02095238095238095,0.05116781445629427,0.0012708580549652846
Miss Euphemia Tapkins,0.8957921244243602,3,0.02095238095238095,0.051167814456294265,0.0012708580549652846
Miss Frederica Tapkins,0.8629645116738842,3,0.02095238095238095,0.051167814456294286,0.0012708580549652846
Miss Malvina Tapkins,0.8772872230740892,2,0.02095238095238095,0.05116781445629425,0.0012708580549652846
Mrs Tapkins,0.88085195131489,12,0.026666666666666665,0.06245754971286155,0.0014303754722755557
Mrs Veneering,0.8156400619783176,274,0.10666666666666666,0.15064335968103346,0.010944212769770232
the Podsnaps,0.8610822960191538,4,0.024761904761904763,0.05361270503802855,0.0011733880482800339
the Veneerings,0.8138434484867293,35,0.06285714285714286,0.10775161999095653,0.004028137413925375
Lady,0.5887507954202695,2,0.005714285714285714,0.02164830672609738,0.0004230373265119565
LINSEED,0.6259027242947802,1,0.0038095238095238095,0.011837425670640805,0.00040846980337267243
Providence,0.41000546021658135,11,0.011428571428571429,0.03322958317906122,0.0008552935541667208
Mr Venus,0.8529183432447307,1021,0.06476190476190476,0.05866589830154752,0.021255746842111935
Pa,0.5859930660011943,378,0.0761904761904762,0.1479218680767418,0.011417466375694015
Lavvy,0.5827092104971294,142,0.0380952380952381,0.07225168011805944,0.005962570018623293
the Wilfers,0.7926672499694686,2,0.017142857142857144,0.03654871497559906,0.0008144438067505904
Doffin,0.8485669803734409,1,0.009523809523809525,0.023278991246102002,0.0006435831221642039
Moffin,0.8408305386941651,1,0.009523809523809525,0.023278991246101995,0.0006435831221642039
Poffin,0.8557549907396577,1,0.009523809523809525,0.023278991246102023,0.0006435831221642039
R. Wilfer,0.8000337938348494,93,0.03238095238095238,0.05173177011996692,0.002317314622654539
Rumty,0.8474934892545108,24,0.015238095238095238,0.03180661385806724,0.0013013369416383705
Stobbles,0.6729853188508758,13,0.03619047619047619,0.07819909472893637,0.001871112452715551
the Three Magpies,0.6818225672967425,1,0.007619047619047619,0.02512131613741739,0.00048789185273697273
Ancoar,0.5915713080190139,2,0.0038095238095238095,0.012730663210137399,0.0004303162593294544
Miss Elizabeth,0.8144910570075653,35,0.02857142857142857,0.05362706969508786,0.0029889860038456377
Pleasant,0.8830303148127914,273,0.05142857142857143,0.06611220978237806,0.004045058922962527
Lawyer Lightwood,0.848217563315927,67,0.0419047619047619,0.05463225021673482,0.004360242876980748
Radfoot,0.3110920697742875,22,0.017142857142857144,0.03970470736973319,0.0009646488090499907
the Sexton Rokesmith,0.2217258753832979,4,0.005714285714285714,0.024500069414015967,0.0004707350700428157
Bradley,0.6684482851682193,1332,0.07238095238095238,0.09683625449520253,0.01838661215034014
Gaffer,0.8524765656050073,192,0.06476190476190476,0.09151093337007672,0.007429326094008918
Mr Tom Noakes,0.5688797872854209,3,0.005714285714285714,0.019233366919163986,0.0004323384910260832
