character,radius,mentions,degree_centrality,eigenvector,pagerank
Paul,0.3364024615929579,1943,0.35817805383022777,0.34310265416424457,0.08492559475892301
Pelham,0.7223198631663272,2,0.004140786749482402,0.014548619843591166,0.0008020846501453885
Rienzi,0.6852404433626205,1,0.004140786749482402,0.014548619843591149,0.0006459650951033378
Brandon,0.48036590319409855,1024,0.14078674948240166,0.1595078263500652,0.028845257692143834
Mrs. Lobkins,0.6863517094150006,200,0.08902691511387165,0.10520693495858793,0.015034002369770769
Richard Turpin,0.4552713826330453,18,0.018633540372670808,0.058677092654260375,0.0022888897501838934
the sagacious Mr. Combe,0.6743941074509487,1,0.006211180124223603,0.020623319515358556,0.0006423289531024276
Dummie,0.6608643108393035,365,0.09730848861283645,0.1437976075970803,0.01933025782793575
Tom Tobyson,0.7800391905433273,3,0.006211180124223603,0.01883534478653907,0.000995427926850907
"Paul,--it",0.78925856041898,1,0.004140786749482402,0.01472299621549701,0.0005879286282319759
Tape,0.2253831301220725,1,0.002070393374741201,0.013956807777660424,0.0004187597599441232
MacGrawler,0.5222566892092668,237,0.13043478260869565,0.170281644847857,0.020880586073111954
Dr. Keate,0.6335565315906536,1,0.006211180124223603,0.025163194865119764,0.0006374508284847748
Cardinal Richelieu,0.381487760345377,5,0.012422360248447206,0.03918517667069533,0.0013770950395104158
Horace,0.4050980577908997,8,0.028985507246376815,0.07004973802198962,0.0029928923488879433
"Mr. Augustus,--“I",0.3907614984984549,2,0.012422360248447206,0.039185176670695335,0.0010340689442554
Tomlinson,0.12404451291117646,875,0.26915113871635615,0.3014916823217453,0.054507838618627846
the Reverend Zedekiah Fooks Barnacle,0.33393147408614254,1,0.012422360248447206,0.03918517667069531,0.0010340689442554
Burn,0.3027804897146765,1,0.006211180124223603,0.02907045415211869,0.0006480923566252505
Lord Dunshunner,0.8325779694499543,6,0.014492753623188408,0.03468375987357736,0.0018993331594399279
"the great Malebranche , whom Bishop Berkeley found suffering under an inflammation in the lungs , and very obligingly talked to death ( an instance of conversational powers worthy the envious emulation of all great metaphysicians and arguers),--by the soul of that illustrious man",0.22803886684860777,2,0.002070393374741201,0.013956807777660424,0.0004187597599441232
Bachelor Bill,0.9547206386197422,45,0.04761904761904762,0.052813091259070036,0.004123630327019503
Flash,0.9204438860263084,1,0.004140786749482402,0.0161051507120582,0.0005485933030429444
Bill:--,0.9189183478218804,1,0.010351966873706004,0.02219008933173655,0.0009964949503258862
Fiddler,0.9037264816151263,2,0.010351966873706004,0.022190089331736572,0.0009964949503258862
Tacitus,0.9104367894047147,1,0.010351966873706004,0.022190089331736544,0.0009964949503258862
Mr. William Duke,0.7736808706400736,1,0.004140786749482402,0.014548619843591157,0.000728213986447124
N. B. Gentlemen,0.7809289043388892,1,0.004140786749482402,0.01454861984359115,0.000728213986447124
young Mrs. Dot,0.9274198328451904,2,0.004140786749482402,0.0161051507120582,0.0005485933030429444
Charley,0.509769212344934,5,0.020703933747412008,0.05702456914126206,0.001902765097265639
Harry Finish,0.43471889837351213,5,0.02484472049689441,0.06993238565780983,0.0026369630409478323
Long Ned,0.47267494334923754,454,0.16563146997929606,0.22024701794219417,0.03537485047049834
Ned,0.26147103117142484,295,0.14285714285714288,0.2110979599750686,0.027048517032072734
the merry Jack Hookey,0.5415056516885934,1,0.014492753623188408,0.04099868323397538,0.0011103380647902459
the smart Mr. Allfair,0.7534759696595829,2,0.02484472049689441,0.05366014456215978,0.0020776319171119423
"Dummie Dunnaker,--is",0.24418799022006873,5,0.004140786749482402,0.022543898591064357,0.0007327885520845329
Mr. Hookey,0.5103402880480397,1,0.006211180124223603,0.025760791535660327,0.000635874927910838
"Long Ned,--although",0.793549011632199,1,0.016563146997929608,0.045030694718453425,0.0012455123635281822
