character,radius,mentions,degree_centrality,eigenvector,pagerank
Pen,0.1945761032822238,6620,0.5160628844839371,0.3455990655406715,0.08560393050170978
Altamont,0.6622326640774817,429,0.0710868079289132,0.08589796383962146,0.0076266191362668635
Blanche,0.34040123804362943,1503,0.18113465481886537,0.17223866351235,0.027909951795157505
Fanny,0.2892726729090198,760,0.10252904989747096,0.11530723095251115,0.013685418005767683
Foker,0.21843640968537703,1285,0.177717019822283,0.16692082905715458,0.02040181774027569
Huxter,0.2027905306225539,292,0.05741626794258373,0.08773729349443599,0.006738361779723518
Laura,0.1931904862446719,1852,0.1729323308270677,0.17640138184532453,0.029701533701434968
Major Pendennis,0.44164907335044223,2041,0.29460013670539986,0.23206470387188713,0.041738983626595054
Miss Fotheringay,0.42360764714841065,525,0.11004784688995216,0.12568051905499927,0.011608118245721255
Mrs. Haller,0.5213618373045067,43,0.036910457963089546,0.06828547775482248,0.0022145584367767915
Old Pendennis,0.023758073361826733,112,0.025290498974709502,0.05977546360041773,0.001679807461978379
Pendennis of Boniface,0.6959888837521407,11,0.028708133971291867,0.05394501881169913,0.0015795752804828153
the Sylph,0.2837303682455792,2,0.008202323991797676,0.03295192559213323,0.00035843586031158396
Mr. Pendennis,0.21365765718510799,175,0.04237867395762133,0.06093462977824829,0.0033330943214695953
the Druids,0.475301117772526,1,0.002734107997265892,0.009102973409713867,0.00021684864519116282
the Normans,0.4670851788618329,1,0.002734107997265892,0.009102973409713862,0.00021684864519116282
the Pendennises,0.32821673992686384,19,0.021189336978810664,0.051185594731804965,0.001244312058696964
Lady Ribstone,0.840304004941036,9,0.008202323991797676,0.019491545691853674,0.0004962535523038317
Mrs. Pendennis,0.30958315469303166,551,0.16473000683527,0.16569498874078364,0.01933428179227254
Mr. Wakley,0.9083393111085437,1,0.002734107997265892,0.01041003253651106,0.00022750310789868998
young Fluxmore,0.9145462473157641,2,0.002734107997265892,0.010410032536511066,0.00022750310789868998
young Swettenham,0.9149057494969012,2,0.00888585099111415,0.012147296973306427,0.0005394742835336623
little Timmins,0.2911384780177354,2,0.000683526999316473,0.006739136819907263,0.00012325037396046612
Cinderella,0.5653172311931989,3,0.005468215994531784,0.020462360911514977,0.00031148278801277886
Arthur,0.126685743254624,2306,0.29528366370471637,0.2465195638720047,0.042683637707518166
Flora,0.7679937030639814,17,0.02255639097744361,0.04684334348865079,0.001362985773804278
Ponto,0.47576355526941605,12,0.006835269993164731,0.025039394706755154,0.00034978068979683304
Sally Potter,0.5095394154948741,1,0.004784688995215312,0.02005058185091873,0.00026165532389620203
Tom Jones,0.5296873984616925,6,0.0075187969924812035,0.02214408808165853,0.000407150280320731
"His Royal Highness the Commander - in - Chief , who was pleased to be very kind to him",0.6694860372436578,1,0.001367053998632946,0.007694526163800626,0.00014696602132419016
Tom,0.6292915989891545,23,0.02460697197539303,0.04899465217885363,0.0013127378673613531
Helen,0.4800663053397974,144,0.04784688995215312,0.06436138422657045,0.0035001441717959457
Martha,0.3524031521600678,77,0.030075187969924814,0.05728366396743042,0.002526603313604609
Chaucer,0.8464737644913864,1,0.006151742993848257,0.014503411850701448,0.00032894186213918466
Doctor Portman,0.4539734055868843,125,0.0608339029391661,0.09735726805308503,0.005189196603049576
Hakluyt,0.8683151222052607,1,0.006151742993848257,0.01450341185070144,0.00032894186213918466
Hobbes,0.8546527092583717,1,0.006151742993848257,0.014503411850701442,0.00032894186213918466
Inchbald,0.8550267824824405,1,0.006151742993848257,0.01450341185070145,0.00032894186213918466
Minny,0.8714564093358471,2,0.010936431989063569,0.017572033565977647,0.000594402254200297
Mrs. Portman,0.7489765429478371,64,0.023239917976760085,0.04524428952419535,0.0020385841723208347
Myra Portman,0.8204166526776038,10,0.015037593984962407,0.028791791119392566,0.0008588567609023445
Dr. Portman,0.2639416216078596,40,0.02665755297334245,0.05704150249416483,0.0019903598843804757
Mr. Hardhead,0.5424283940869279,1,0.004101161995898838,0.013819495368242606,0.00024079525757522474
Mr. Pen,0.18987534080738064,379,0.11004784688995216,0.13773487694172606,0.010365313729113118
Rebecca,0.45274458314860877,32,0.04101161995898838,0.07109009589191705,0.002604750407030513
Smirke,0.5000598901113764,330,0.061517429938482575,0.08341176175676428,0.0060294748792959095
the Cistercians,0.5210901206683638,1,0.004101161995898838,0.013819495368242606,0.00024079525757522474
Aristophanes,0.8134849649129964,3,0.005468215994531784,0.013525201266900705,0.00033220399836821014
Byron,0.578516427714256,17,0.028708133971291867,0.04774663936786279,0.0016997145554341073
Moore,0.570984830530572,5,0.012303485987696514,0.02877014576201731,0.0007024130949782779
Zuleika,0.48342487232501424,1,0.004101161995898838,0.016528557403434244,0.00023093028242561383
Bishop,0.6459099109779999,3,0.0075187969924812035,0.016479867181482054,0.0004067371285377599
Lalla Rookh,0.6804591631209813,1,0.004784688995215312,0.012853513520344289,0.000280606230275186
Mrs. Hemans,0.6500144171478576,1,0.004784688995215312,0.012853513520344303,0.000280606230275186
Pope,0.5577356399218675,2,0.00888585099111415,0.024643547099193103,0.00043714434232962893
Shakspeare,0.5905969428016444,11,0.021189336978810664,0.04614131540687606,0.0011988429295961018
Madame Caradori,0.37928700566767837,1,0.0034176349965823654,0.012833505118458191,0.00021375403843011898
Mr. Tatham,0.5022688086578188,67,0.021189336978810664,0.042186236519799504,0.0016810404010410942
Saint Bartholomew,0.1148256850361766,3,0.009569377990430623,0.033562471427315374,0.0004607857088888712
Ariadne,0.7810584306193205,5,0.008202323991797676,0.018421734841674208,0.0005171341599033066
Cortez,0.8234984818675143,1,0.006151742993848257,0.014877280732260386,0.000340223691499817
Lord Eyrie,0.8304437253761581,2,0.008202323991797676,0.020147567893521595,0.00044135802700991117
Lord Trehawk,0.8262178193819774,1,0.006151742993848257,0.014877280732260377,0.000340223691499817
Seneca,0.7891327920099362,1,0.006151742993848257,0.01487728073226039,0.000340223691499817
Sir Giles Beanfield,0.801541821586821,1,0.006151742993848257,0.014877280732260384,0.000340223691499817
Mercy,0.9153743418515048,2,0.0034176349965823654,0.009228679389446534,0.0002719195163892634
