character,radius,mentions,degree_centrality,eigenvector,pagerank
Anne,0.01820780435767388,2636,0.808,0.28501478915797507,0.15467014974291457
Elizabeth,0.22436829653798443,240,0.264,0.17797816265646801,0.024227000598727486
James Stevenson,0.8834942636402797,2,0.056,0.04404844447962306,0.002760215713701681
Mary,0.03743984717465568,503,0.34400000000000003,0.20379014959731345,0.04752817676141328
Sir Walter,0.38428353037342217,330,0.352,0.17567164622487857,0.0393943511656271
Charles,0.15225970120024715,474,0.328,0.20146097173683272,0.05218641607579222
Lady Russell,0.0947340534363031,349,0.304,0.19320306117633793,0.03555405196303062
Lady Elliot,0.7216104925312643,25,0.12,0.07824433005851246,0.0051003070592542344
Mr Shepherd,0.883531840861022,88,0.128,0.07614322007118557,0.009129558840719906
Mrs Clay,0.11455577391669426,152,0.304,0.20193702816102072,0.02173941618205127
Kellynch,0.3053178142783731,12,0.12,0.1058065472749521,0.004262596521621392
Admiral Baldwin,0.9689238501813652,6,0.024,0.012211905776637461,0.003005709412258928
Lord St Ives,0.9665908860485108,2,0.024,0.012211905776637439,0.003005709412258928
Sir Basil,0.9674599368526051,4,0.024,0.01221190577663746,0.003005709412258928
Admiral Croft,0.039134844599993265,46,0.2,0.1695154275405232,0.008934969685337885
Mr Wentworth,0.7896890338666291,11,0.056,0.04722653658486232,0.0028548798436690568
Captain Wentworth,0.1821885043953173,794,0.44,0.22792389481524616,0.0700306388504894
Providence,0.8066663924912103,3,0.032,0.034199666743366115,0.0018451876286710957
the Crofts,0.05747145310518448,72,0.192,0.15592369951181903,0.009353975032598279
Mrs Croft,0.1749554260990961,110,0.264,0.1840811903469783,0.014642231115165678
Mrs Musgrove,0.13855942623784318,96,0.248,0.17457706470204717,0.020721116927387248
the Miss Musgroves,0.10712656152697675,40,0.256,0.17908401097951474,0.015637423943691057
Mackenzie,0.782638126238138,2,0.032,0.03393910766982104,0.0016128204670974489
Henrietta,0.11709032834775195,159,0.272,0.18296548513890848,0.029941518022600748
Louisa,0.14648035024873352,300,0.336,0.20629224271642027,0.03965747538924622
Mr,0.14370206633342347,11,0.136,0.12708891154299712,0.006655986390501164
Mrs,0.8113825033474268,1,0.016,0.018315526263700182,0.0014188827621910557
Jemima,0.7138937954931625,8,0.032,0.036236097764499264,0.0021271981571200933
The Mr Musgroves,0.8029574535469393,9,0.032,0.02986771860688804,0.001787477067251121
mamma,0.6439371887369969,3,0.07200000000000001,0.06655495114882135,0.0027524827539420456
Michaelmas,0.7767750112751041,2,0.024,0.025444031106399295,0.0015182332672663418
Edward,0.8621587336698574,7,0.07200000000000001,0.04590577398723972,0.0030299411306630797
Dick,0.6991524463292311,8,0.04,0.04215071095041554,0.0023582353103308836
Mr Robinson,0.8765808823019838,3,0.048,0.03778383889683998,0.0028783549969816783
papa,0.8630281731792354,1,0.032,0.029684706244689794,0.0018114489139133107
Heaven,0.815601333595097,2,0.032,0.02779137221975863,0.0018510215177476909
the Asp,0.813590204960385,9,0.04,0.03690831800614361,0.002394372665022307
the Great Nation,0.827294481433894,1,0.04,0.036908318006143644,0.001849313475154386
Mrs Harville,0.1351960583255141,48,0.168,0.14755859393178944,0.009626492762131698
the Hayters,0.2060518991755934,6,0.176,0.1494240127930596,0.005753157701621385
Winthrop,0.6754311840262854,6,0.056,0.05327341575493818,0.0027002066290953766
Frederick,0.8348890153945728,51,0.12,0.08251889512351133,0.006288574537947571
Sophy,0.8731980957942673,8,0.128,0.06679716870004795,0.005899326351825088
Captain Benwick,0.28546531190368607,238,0.28,0.1689673396193068,0.026963281742694686
Captain Harville,0.35432542895891717,162,0.264,0.16721764632351116,0.016454912254788557
Captains Wentworth,0.912432374472201,1,0.04,0.026616278911037728,0.002319588834018316
Giaour _,0.9200045351782212,1,0.04,0.026616278911037707,0.002319588834018316
Marmion,0.9022553361799807,1,0.04,0.026616278911037707,0.002319588834018316
Dr Shirley,0.5702797195388999,35,0.08,0.07566768715750585,0.00351844127369463
Mrs Shirley,0.835264685059143,6,0.024,0.021454911138048875,0.0015598040662669664
Mr Elliot,0.1833601465496712,775,0.424,0.22627762102572008,0.05171104411673003
Lord Byron,0.8731157757302186,4,0.04,0.0339984756575331,0.0025571786713323072
Mr Scott,0.8655525397846746,2,0.04,0.03399847565753315,0.0022861740151013023
The Laconia,0.8942508276669069,1,0.032,0.0228844664607342,0.0021551540949579532
the Grappler,0.896992954364672,1,0.032,0.022884466460734183,0.0021551540949579532
God,0.6808317183371536,7,0.096,0.07739862988406707,0.0034884754551986748
Master Harry,0.8242543551654036,2,0.04,0.03625285437224483,0.0018636189745655945
Sarah thither,0.8289627954173504,3,0.048,0.04288091377803229,0.0021319879002161
Scenes,0.838848110111691,1,0.016,0.01887273053706142,0.0014044248814697115
Bath,0.4405519694471017,4,0.168,0.12776114342262967,0.0053557454769015906
the Harvilles,0.17024770978977485,22,0.184,0.15492278716931435,0.007990629248933293
Lord,0.8370826977668947,1,0.032,0.02382195978096222,0.001769469047264749
Mrs Wallis,0.8317632318040382,21,0.10400000000000001,0.06298956145528825,0.005268435286673483
Merely Gowland,0.8026358513257419,1,0.016,0.019217414043346842,0.0014122111571861244
Colonel Wallis,0.8332850439034906,33,0.10400000000000001,0.06846066291712165,0.0069768714675969255
Miss Carteret,0.3323569338286762,15,0.2,0.1508481888977557,0.008658879353009599
the Dalrymples,0.7413373793186305,5,0.088,0.07095925081579416,0.0033607208127542864
the Dowager Viscountess Dalrymple,0.7199667006473632,4,0.07200000000000001,0.059359864936012766,0.002815500911627291
the Elliots,0.7751201457071507,3,0.088,0.06848208751281123,0.0032397179633720137
Lady Dalrymple,0.22404803157405043,40,0.20800000000000002,0.155690255415457,0.011176902885065825
Miss Hamilton,0.869242796889736,19,0.024,0.022767445070200527,0.0018774908194002272
Mrs Smith,0.8601027367609118,346,0.20800000000000002,0.09868852882978649,0.022970768303554098
Nurse Rooke,0.8873789585178536,9,0.048,0.0297987601519089,0.0023117993688774848
Sir Henry Russell,0.8564529709521149,1,0.024,0.022075572798847615,0.001549241767032423
Sunday,0.7832219387689788,1,0.016,0.020178008571398554,0.0014123472651186664
Admiral Brand,0.9500185554642702,1,0.04,0.02054806188531873,0.002520386906698144
Captain Brigden,0.9383923178565667,2,0.04,0.02054806188531872,0.002520386906698144
old Sir Archibald Drew,0.9430938652399941,7,0.04,0.020548061885318724,0.002520386906698144
Belmont,0.7581898426007954,1,0.016,0.018512738516612892,0.001417623918188849
James Benwick,0.877264817659786,4,0.056,0.03488548957241866,0.0028377921239046387
November,0.899232094043798,1,0.048,0.028470411128145204,0.0022017003538536174
Molland,0.7616378719895015,1,0.032,0.034291666919621544,0.001652726932185319
Miss Atkinson,0.7894107192985953,6,0.016,0.020178008571398554,0.0014123472651186664
Lady Alicia,0.49852511989920656,3,0.088,0.07932012435958356,0.002857201002316956
Mrs Frankland,0.767486189605474,1,0.024,0.02337332429153808,0.0016062891133229278
Miss Larolles,0.8122552428376164,2,0.04,0.03585682684376064,0.001773782520558734
Italian,0.7597844218074602,1,0.04,0.04275084389288811,0.0017471490261212843
The little Durands,0.9238234826473819,7,0.024,0.02020948410778333,0.003092765742305268
Marlborough Buildings,0.8955903788348017,2,0.056,0.032397963784692604,0.0027589378077002937
Mrs Rooke,0.8741711268661123,5,0.08,0.049705052770986254,0.0038810962219723165
September,0.8239082098549975,1,0.04,0.03409344440572136,0.0018058952683121252
Sir William,0.8275513669146063,2,0.056,0.04416258678704658,0.0022858100773129786
Mr Smith,0.9154985356510104,5,0.032,0.02506177903844146,0.0023041208697138597
the Smiths,0.9073643913297545,3,0.032,0.025061779038441433,0.0023041208697138597
Captains Harville,0.7964227206883269,1,0.024,0.02608826048532247,0.0015106535230042192
Lyme,0.7622699196072439,1,0.024,0.028220528474762287,0.001515134661752842
Thornberry,0.7768463563243364,1,0.016,0.020178008571398554,0.0014123472651186664
the Sultaness Scheherazade,0.8251423166729865,1,0.032,0.03114022232136899,0.0016578071712438887
Poor Fanny,0.8197503994609933,4,0.024,0.0268421748284659,0.001645038063141859
Miss A. E.,0.8007960115775032,1,0.032,0.03140510513092339,0.0016396634935684604
Presently,0.7965617614109513,1,0.024,0.02819357786113553,0.001505639724167622
The Wallises,0.6398242373461892,2,0.088,0.08448578727217117,0.002457521194759969
Cousin Charles,0.9419804440926245,1,0.016,0.01621563173142516,0.001396368443426491
Lady Wentworth,0.9300523843558712,2,0.04,0.03341171208434493,0.0017658566959371262
the Spicers,0.9067716632243682,1,0.048,0.04245243559187266,0.0018780323001779961
Fanny Harville,0.9325345828649186,3,0.048,0.037696219347631336,0.002274356503359865
Fortune,0.9337300041496456,1,0.04,0.029864049400157508,0.0018816463231627182
Penelope,0.9344131929097281,6,0.056,0.04162366603463449,0.002539725478446501
Nursing,0.950968253123927,1,0.016,0.009533648286917999,0.001599072776856055
June,0.948956385092561,2,0.032,0.023253149977707034,0.0019144551242252185
Miss Harville,0.9505495909289056,1,0.032,0.023253149977707003,0.0019144551242252185
Tuesday,0.9428229700871179,1,0.008,0.00795059956600495,0.0012922044033624376
Mrs Speed,0.9578257893568192,1,0.008,0.003894714533139122,0.0013172693421639983
