character,radius,mentions,degree_centrality,eigenvector,pagerank
Phoebe,0.20411943570275,3861,0.6262135922330097,0.2956189792198431,0.112749626079174
Junior,0.9486366509151863,4,0.014563106796116504,0.011964110085001343,0.001911266645992762
Maria Pigeon,0.882690124305441,16,0.058252427184466014,0.035582347005389876,0.003847765347648338
Mr. Beecham,0.8214490922404855,75,0.16504854368932037,0.11526935104131093,0.010212721036898097
Mrs. Pigeon,0.8791290688361771,11,0.06310679611650485,0.052880806965240695,0.0031228570188148504
Mrs. Rider,0.9079347021269426,1,0.02427184466019417,0.019423356927587055,0.0015601145780465677
the Miss Hemmingses,0.9083030581997916,1,0.02427184466019417,0.019423356927587065,0.0015601145780465677
Henery,0.823694386437126,17,0.019417475728155338,0.022592480227745723,0.0018078624926490317
Brown,0.9167288349205734,3,0.04854368932038834,0.03603172291981139,0.0028710684144799543
Mr.,0.4465563678294341,14,0.15048543689320387,0.12433108321935377,0.007528426773023343
Queen,0.9078552733348049,1,0.029126213592233007,0.02451900460313543,0.001689050135283963
The Beechams,0.9352048141401467,15,0.06796116504854369,0.030741607370227058,0.004641814972538511
Mr. Copperhead,0.013448433615096534,2014,0.44174757281553395,0.25707056008565854,0.0785040579104644
Cook,0.9172753228389422,1,0.029126213592233007,0.022970988786557022,0.0018504443098104942
Heaven,0.307796706019285,13,0.14563106796116504,0.1337265865070597,0.00667308532371108
Mr. Ruskin,0.9274514134477867,1,0.029126213592233007,0.022970988786557043,0.0018504443098104942
Sophocles,0.9194562903564323,1,0.029126213592233007,0.022970988786557022,0.0018504443098104942
Virgil,0.9231162628748705,1,0.029126213592233007,0.02297098878655703,0.0018504443098104942
Mamma,0.6146935128098694,20,0.038834951456310676,0.05180605201409974,0.0024936110200828978
Mr. Copperhead--,0.6929071318343053,5,0.014563106796116504,0.025952250804366913,0.00128110963557643
Black,0.7303666492974825,2,0.0048543689320388345,0.011068217832468086,0.0009125661626929265
Joe,0.5832488656058332,19,0.06310679611650485,0.06105181303983201,0.003198714763055582
Mrs. Copperhead,0.5866647258888485,216,0.1699029126213592,0.14046431864793693,0.014969825074401049
Providence,0.19776346961150884,11,0.09708737864077668,0.1080249155840748,0.004383994714385938
the Phoebes,0.6014908043651896,1,0.03398058252427184,0.04194451414672068,0.0014480849096498796
Chance,0.6506653662072115,1,0.03398058252427184,0.050540612491309166,0.0013773410732256046
Lady Dorset,0.6380900585437901,2,0.04854368932038834,0.06290867025197669,0.002039507140160695
Sir Robert,0.3562364736413909,189,0.1844660194174757,0.15866813279642633,0.017901731702492957
Ursula,0.15958254819902434,2255,0.4660194174757281,0.26734078366193254,0.10545948941117571
the Dorsets,0.31616896789945637,48,0.18932038834951453,0.16780840952543932,0.011961729701585383
Miss Dorset,0.5295749649715011,44,0.1116504854368932,0.11360218253189089,0.0069697427033744465
Amy,0.4340466752316054,21,0.13106796116504854,0.1377733189237578,0.0071077731963517556
Cousin Anne,0.47105707964460963,195,0.1844660194174757,0.15824734423217404,0.020194133935262832
Janey,0.2164072689648373,695,0.2815533980582524,0.20903668534985184,0.04214347547848857
Johnny,0.4157018458189765,1,0.06310679611650485,0.08703660353796303,0.0018954246291614843
Madame Tussaud,0.45748481965600973,1,0.06310679611650485,0.08703660353796303,0.0018954246291614843
