character,radius,mentions,degree_centrality,eigenvector,pagerank
Elizabeth,0.03471286424014555,4335,0.7017543859649122,0.2700412454345894,0.141078004873243
Anne,0.27819092599718154,12,0.12280701754385964,0.09728085411613781,0.003465226455019702
Crawford,0.8868929522046222,2,0.11695906432748537,0.06762257888059789,0.004522294797279776
Emma,0.7458241694667447,2,0.08187134502923976,0.06297578302803243,0.002920336315795363
Fielding,0.7556243345311668,4,0.14619883040935672,0.09598450395413305,0.005041536063494256
Frank Churchill,0.7585478056533979,1,0.07602339181286549,0.06276837268491488,0.002307490071411645
Jane,0.09964959353647983,864,0.5146198830409356,0.24658227199606575,0.05827961639469968
Jane Fairfax,0.6984340670705326,1,0.07602339181286549,0.06276837268491493,0.002307490071411645
Lydia,0.16007270435077867,415,0.4444444444444444,0.22212616796919693,0.03833472932722851
Miss Austen,0.6905374924021512,82,0.29239766081871343,0.13909377902597445,0.012459300982060604
Mr. Bingley,0.05496993663250562,690,0.34502923976608185,0.1937574942056517,0.040061941720084926
Mr. Collins,0.10033800321734816,746,0.40350877192982454,0.20966038362647915,0.037945075862614766
Mrs. Rushworth,0.7744410292753788,1,0.07602339181286549,0.06276837268491499,0.002307490071411645
Wickham,0.20335760302865502,607,0.3567251461988304,0.1973933722924186,0.032983319904270066
Addison,0.858576421316655,5,0.1111111111111111,0.07300796520026773,0.0038600327882322943
Frenchman,0.7778434385234247,1,0.05847953216374269,0.04953625301801829,0.0019260273229203591
M. de Maupassant,0.754883397775566,3,0.05847953216374269,0.04953625301801828,0.0019260273229203591
Mr. Darcy,0.13818541854298705,1808,0.40350877192982454,0.20982623164271927,0.06811061046949372
Mrs. Bennet,0.23196762681583824,707,0.3508771929824561,0.19301869652103323,0.03660596406385926
Swift,0.8306621979002448,5,0.12280701754385964,0.08130127536633268,0.004668107392935606
Swift--“taller,0.8034418820920491,1,0.05847953216374269,0.04953625301801828,0.0019260273229203591
Lady Catherine,0.09445088099918786,541,0.43859649122807015,0.21811864313413823,0.043560466502408114
Mr. Bennet,0.11432002291559304,373,0.2573099415204678,0.15578562670329776,0.02012215068447889
Thackeray,0.7513865195923655,1,0.04678362573099415,0.044920153336915916,0.0015976505606304476
Henry Tilney,0.8008264644486404,1,0.017543859649122806,0.018046503134792762,0.0011448355076459646
Miss Darcy,0.256711931524436,130,0.2222222222222222,0.14519914671135936,0.012369054398326336
Pemberley,0.5303557613641067,12,0.08771929824561403,0.07629826719623918,0.0031043834335188693
Argemone Lavington,0.9753047552627591,2,0.023391812865497075,0.009742807260353037,0.0026007356380959384
Barbara Grant,0.973943547386054,2,0.023391812865497075,0.009742807260353033,0.0026007356380959384
Beatrix Esmond,0.9751720959114547,2,0.023391812865497075,0.009742807260353058,0.0026007356380959384
Diana Vernon,0.9749916607631441,2,0.023391812865497075,0.009742807260353033,0.0026007356380959384
George Allen,0.4227094677069986,99,0.08771929824561403,0.07066628421800551,0.004022094861385687
Mrs. Long,0.44254747887721574,34,0.09941520467836257,0.07311769018423886,0.003973552922830879
Mary,0.4215678069616794,98,0.19883040935672514,0.10733775283659662,0.012310750985914371
Miss Bingley,0.17070978343668275,350,0.2222222222222222,0.14860604637276004,0.021683439306135737
Maria,0.19686931501017083,28,0.13450292397660818,0.11329076357987754,0.005919545316230731
Miss King,0.09634106187123706,20,0.06432748538011696,0.067776514928972,0.002205870337572657
Miss Lucas,0.045124754266901775,67,0.16374269005847952,0.12025912940522777,0.008682209934963504
Mrs. Hurst,0.6382168780017907,35,0.1111111111111111,0.08955189921698298,0.005972588749638591
Lady Lucas,0.06914916001739621,25,0.1111111111111111,0.09743375497917142,0.004878876886322501
Mr. Robinson,0.7059992734919053,3,0.029239766081871343,0.033325498195386945,0.0014291717521136252
Charlotte,0.12828917498326356,253,0.23976608187134502,0.15009921221912867,0.01882057053307463
Lizzy,0.6812793992476418,13,0.04678362573099415,0.04299859565692282,0.0021830353089043403
Commerce,0.9355184752419077,1,0.011695906432748537,0.009087100958512548,0.0016374182511812536
Vingt,0.9340955638453662,1,0.011695906432748537,0.009087100958512553,0.0016374182511812536
Sir William,0.2400861376296152,169,0.21637426900584794,0.14137658153860558,0.011518885590572988
"Sir William,--",0.7452279438830037,18,0.011695906432748537,0.015622219195061933,0.0012122398538471088
"Miss Bingley,--",0.7596710144730441,1,0.005847953216374269,0.008791267859161516,0.0009415222177694124
Mr. Hurst,0.6582754374795028,44,0.05847953216374269,0.04629807787723639,0.0038903721041265577
Louisa,0.6623092205794568,13,0.05847953216374269,0.04690670349826428,0.002510144461790897
Charles,0.6643244387333118,24,0.05263157894736842,0.042575539996817756,0.0018737141860183568
Mr. Jones,0.48842401664721397,12,0.07602339181286549,0.0719220363573592,0.0021858863004096916
Longbourn,0.4640954550416814,4,0.07017543859649122,0.06726455539447175,0.0020761070334896605
Mrs. Philips,0.3985247723577931,66,0.1286549707602339,0.09822458922781274,0.005253035085310344
Miss de Bourgh,0.21627599265037034,32,0.12280701754385964,0.10354688530801184,0.005784418758848388
Vain,0.8024667142750825,1,0.011695906432748537,0.013629179034735464,0.001008049669547221
Mr.,0.12479296993574211,32,0.13450292397660818,0.10527278261046007,0.006874151491381525
Society,0.7781413151755028,1,0.005847953216374269,0.008791267859161516,0.0009415222177694124
Netherfield,0.49810982908405343,5,0.05847953216374269,0.0578427525109789,0.001986901275869013
the Miss Bennets,0.5668978665017983,11,0.0935672514619883,0.07865807571606975,0.003523407891319119
the Bingleys,0.5850375074934429,6,0.08187134502923976,0.07326387823452338,0.002649088670639345
Mr. Darcy;--but,0.7246628801418102,1,0.023391812865497075,0.02653260225102343,0.001147666916253261
George Wickham,0.27883846474585894,18,0.10526315789473684,0.09779096473678879,0.0035171705072034277
Hunsford,0.6239277146799748,4,0.04678362573099415,0.04376242837540556,0.001957635450751811
Lord,0.19006414616300588,6,0.1111111111111111,0.0958790292843651,0.003172356834060424
Caroline,0.4776125651006011,49,0.12280701754385964,0.09799167715145897,0.004476937621468051
Georgiana,0.3734498513927859,54,0.13450292397660818,0.09634083474487344,0.004841147284180027
the Lucases,0.30666979763078756,10,0.11695906432748537,0.10266489690056224,0.004148726340268505
Lucas Lodge,0.623676146132482,3,0.05847953216374269,0.056399158417674976,0.002001194161710747
Wednesday,0.7659687874866986,1,0.029239766081871343,0.026254501270728262,0.0012763537383755194
Good Lord,0.802583297988976,1,0.017543859649122806,0.020219373903728396,0.0010856162272547217
God,0.6393439327573314,3,0.029239766081871343,0.029703149040182977,0.001306302506712875
Mrs. Gardiner,0.12859422692076816,179,0.19298245614035087,0.13470926513371256,0.012414934751341615
the Gardiners,0.39322031511847994,9,0.0935672514619883,0.08000380886959921,0.0027884405211517967
the Philipses,0.4475247664547493,2,0.07017543859649122,0.06577659030565138,0.0018865249613785801
Rosings,0.5303199789510832,6,0.05847953216374269,0.059611700955904505,0.0022463824914356343
February,0.7859348532194281,1,0.03508771929824561,0.03424841669428547,0.0014250529819560122
January,0.7499164833025198,1,0.03508771929824561,0.03424841669428547,0.0014250529819560122
Mr. Gardiner,0.19368197429049652,108,0.15204678362573099,0.1083339406037968,0.008576549308458612
Mrs. Collins,0.5209919150823625,56,0.14035087719298245,0.09218318613838564,0.008629674671565658
Sir Lewis de Bourgh,0.6990932509333432,3,0.029239766081871343,0.03388803202527001,0.0015087999553633283
Mrs. Jenkinson,0.6249553991532569,14,0.07017543859649122,0.053914876769131696,0.003757935873079434
The Miss Webbs,0.7870331434570348,2,0.005847953216374269,0.008791267859161516,0.0009415222177694124
Lady Metcalfe,0.8266158681566367,2,0.029239766081871343,0.02134328046639109,0.0014252901133941453
Miss Pope,0.838617383918357,1,0.029239766081871343,0.02134328046639109,0.0014252901133941453
Ladyship,0.7137995520770384,2,0.03508771929824561,0.035207857873561364,0.001447540725813865
the Collinses,0.7222849044965726,19,0.04678362573099415,0.04427632280705923,0.001986453772539761
Colonel Fitzwilliam,0.30342946016196626,81,0.1111111111111111,0.09211927966039976,0.00643708867926663
"Darcy,--",0.7191031351958661,1,0.011695906432748537,0.015892180957762774,0.0010145464104776626
Detection,0.6797345600244178,1,0.05847953216374269,0.051842691681893156,0.0015858661594411153
Mr. Philips,0.35596269343010123,12,0.14619883040935672,0.11267767881686615,0.004602213454377888
Meryton,0.30639585978733014,5,0.05263157894736842,0.060121762607694536,0.0019554838372608054
_,0.7433088339585179,1,0.017543859649122806,0.020503341571799318,0.0010818026752067401
Chamberlayne,0.6618143492077551,3,0.07602339181286549,0.06464825543008698,0.00208572149498346
Colonel Forster,0.5368719017466507,73,0.23391812865497075,0.13312824373348023,0.01033379120465418
Harriet,0.6909076152179987,9,0.0935672514619883,0.06764515610786515,0.0029559795252947206
Mrs. Forster,0.5276203231357501,23,0.0935672514619883,0.08025390657987111,0.0041327835743401545
Pen,0.6764805619456702,2,0.07602339181286549,0.064648255430087,0.00208572149498346
Pratt,0.7888896185307768,8,0.0935672514619883,0.06764515610786516,0.0029559795252947206
"Elizabeth,----",0.694293909423128,2,0.023391812865497075,0.028174244077898206,0.0011553019497052696
Mrs. Reynolds,0.7111505236090102,19,0.023391812865497075,0.023876059374774803,0.0018543464197924003
Dovedale,0.8829430053685644,1,0.017543859649122806,0.015607193503936884,0.0014074447594873073
Matlock,0.8929233164133076,1,0.017543859649122806,0.01560719350393688,0.0014074447594873073
Mrs. Annesley,0.7724215592625342,5,0.029239766081871343,0.0256570622295729,0.0013638474002674477
Colonel F.,0.8790325042867365,13,0.04678362573099415,0.03776362692137268,0.0018194793326492546
Gretna Green,0.8752036434691353,2,0.07017543859649122,0.043649845909000055,0.002675929662868358
Mrs. F.,0.8727020822079559,2,0.04678362573099415,0.03776362692137265,0.0018194793326492546
W.,0.8486838591724722,2,0.04678362573099415,0.037763626921372626,0.0018194793326492546
Heaven,0.6909132634370894,2,0.023391812865497075,0.02741414581175278,0.0011845203257222323
Surprise,0.6528723579255178,1,0.023391812865497075,0.030476397638525672,0.0011545078020523745
John,0.4583194653832908,3,0.09941520467836257,0.0808108915259686,0.0023786244160806224
Hill,0.43869378177958884,11,0.07602339181286549,0.06801433094464805,0.002733756068478844
Brother,0.8642349438620939,23,0.017543859649122806,0.016149450368916223,0.001276455166038698
Haggerston,0.875072822624514,2,0.04093567251461988,0.028627811557471808,0.0018343592262928647
William Goulding,0.7953719031184721,5,0.005847953216374269,0.008791267859161516,0.0009415222177694124
Mrs. Wickham,0.5055692055378125,6,0.06432748538011696,0.05836965718511797,0.0022352243540178624
Mr. Stone,0.7893392946483297,1,0.011695906432748537,0.015622219195061933,0.0010074518412946623
Sally,0.8395449016529051,2,0.05263157894736842,0.03994298031650885,0.0019731541992405012
"Elizabeth,--",0.6732889232122844,14,0.029239766081871343,0.036232889604562314,0.001720341008085336
April,0.8026021069025243,1,0.005847953216374269,0.008791267859161516,0.0009415222177694124
Console Lady Catherine,0.7589313477225984,1,0.017543859649122806,0.02069386360535175,0.001083463787724523
