character,radius,mentions,degree_centrality,eigenvector,pagerank
Romola,0.1371565162504,4835,0.3849462365591398,0.2720998909280328,0.09398350852441101
Ariadne,0.7379814821277809,19,0.034408602150537634,0.045542063664990355,0.0026944992550542086
Baldassarre,0.5150286339557363,1508,0.10967741935483871,0.11764343154282661,0.022018410671458166
Florence,0.25980889437443205,92,0.09247311827956989,0.10633238134980932,0.009165300816578906
The Benediction CHAPTER LXIII . Ripening Schemes CHAPTER LXIV,0.7399816780798343,1,0.017204301075268817,0.029372936469733976,0.0009681048094108066
The Old Man,0.7243412569864501,2,0.017204301075268817,0.029372936469733994,0.0009681048094108066
The Prophet,0.741075122518147,5,0.021505376344086023,0.03452793916016801,0.0012421185822435172
The Young Wife,0.7042108975503025,2,0.017204301075268817,0.029372936469734,0.0009681048094108066
Tito,0.29858762979859277,4492,0.45376344086021503,0.3089392026505314,0.10619872448801358
Advent,0.3986902463098213,1,0.004301075268817204,0.00986125312548254,0.00047766422720017354
Easter,0.30403512865588855,3,0.023655913978494623,0.04476847055976126,0.0013281005306699906
Bratti,0.7470709736444769,277,0.09247311827956989,0.08247773968924513,0.009934960892193824
Lorenzo,0.1424907842430907,54,0.13118279569892474,0.1404600160667896,0.008729572918645755
Nello,0.419644678049642,558,0.2817204301075269,0.20361643843536834,0.03310564248169854
Scala,0.670719945683558,95,0.07311827956989247,0.07907949914377749,0.0062017625950996835
Nonnus,0.9539289149835585,3,0.015053763440860214,0.012892103560209275,0.0013014889460354444
Poliziano,0.7707818271921425,27,0.07956989247311828,0.07741432907876555,0.0048912455138725155
Bardo,0.21705635996223888,496,0.23655913978494625,0.19848707211194738,0.026011093985187087
Actreon,0.9564528211924296,2,0.012903225806451613,0.010555607998003553,0.0012008606622930299
Lamiae,0.7333534857918527,1,0.008602150537634409,0.018192389660454916,0.0006281488710999383
Petrarca,0.7703799437463393,9,0.03010752688172043,0.03656870419942044,0.0018550270075608903
Greek,0.13568951479326027,7,0.02795698924731183,0.05585019065654003,0.0015133366322628624
Homer,0.49278204122216657,3,0.012903225806451613,0.028511829449847016,0.0008821340537502454
Cennini,0.12527281922801908,119,0.10752688172043011,0.1289280604705184,0.009884611373344485
Niccolò Niccoli,0.306480058734163,1,0.010752688172043012,0.02633791414375047,0.00067977181335122
Cassandra Fedele,0.4099401716642335,3,0.002150537634408602,0.008468014563709875,0.0004453226029937456
Demetrio Calcondila,0.8193695086238967,10,0.034408602150537634,0.05158522241773362,0.001919201988564428
Monna Brigida,0.4236528746301651,222,0.12688172043010754,0.13773886399586918,0.011290915926765867
Plautus,0.8191596528975735,1,0.012903225806451613,0.020137071612347113,0.0008199581542043418
Quintilian,0.7953085049073891,1,0.012903225806451613,0.020137071612347082,0.0008199581542043418
Aldo Manuzio,0.9315893811115111,4,0.015053763440860214,0.01826960063789707,0.001111641817989058
Hadrian,0.9577694843915467,2,0.023655913978494623,0.018552115558680873,0.002115598546683318
Hymettus,0.9271276599811784,1,0.015053763440860214,0.018269600637897055,0.001111641817989058
Merula,0.9256521485335659,1,0.015053763440860214,0.018269600637897076,0.001111641817989058
Poggio,0.914940641982737,3,0.023655913978494623,0.023431380181816102,0.0015669227438318356
Pontanus,0.9015837920013009,3,0.023655913978494623,0.03794133087785717,0.0014637349029298437
Epictetus,0.8353525265832832,1,0.010752688172043012,0.016750362193228632,0.0008550941953434812
Epicurus,0.8391543668775676,2,0.010752688172043012,0.016750362193228625,0.0008550941953434812
Horace,0.8174866493818057,3,0.01935483870967742,0.034146120686639074,0.0011891875858406984
Zeno,0.8543134542617818,1,0.010752688172043012,0.016750362193228646,0.0008550941953434812
the Signoria,0.4725169536971359,27,0.07526881720430108,0.11172253356295986,0.004024457504584441
Maso,0.2502367737504577,58,0.06236559139784946,0.09404233396821192,0.00624299699568485
Messere,0.4847847705896768,13,0.047311827956989246,0.0646945267304588,0.0031738287200613223
Pliny,0.5158175979404133,3,0.017204301075268817,0.0331690271295723,0.0009985578554603594
the discreet Camillo Leonardi,0.49552306406629437,1,0.015053763440860214,0.03269294631817626,0.0008198571954861798
Messer Segretario,0.521870858890975,3,0.012903225806451613,0.02943503542692495,0.0007692046064935328
Bernardo,0.18535556394532912,257,0.11827956989247312,0.1484344535577279,0.01627359174724274
Apollino,0.21619285308297848,1,0.010752688172043012,0.035215784070119785,0.0006485770028015823
Tessa,0.6334274028551645,1335,0.13548387096774195,0.11161162649071983,0.032590289090875885
Politian,0.7294546649761862,42,0.03010752688172043,0.040479370715973524,0.0022525546752963483
Calderino,0.8936873063114616,1,0.017204301075268817,0.024367987720159193,0.0011239287874689249
Pluto,0.9148092628651966,1,0.017204301075268817,0.024367987720159197,0.0011239287874689249
Pope Nicholas the Fifth,0.9057186574376915,3,0.017204301075268817,0.02436798772015919,0.0011239287874689249
Thomas of Sarzana,0.8996184419026422,2,0.023655913978494623,0.027083057884251416,0.0015817629880060927
Thucydides,0.9053387023261744,1,0.017204301075268817,0.024367987720159207,0.0011239287874689249
Valla,0.9143517268250355,8,0.017204301075268817,0.024367987720159193,0.0011239287874689249
Fra Domenico,0.48564307889870967,62,0.08817204301075268,0.12425762092661612,0.006555738392289554
Francesco Valori,0.5494166728036768,54,0.11397849462365592,0.1364000796760895,0.00779872123760821
Jacopo,0.4867288950616481,11,0.04086021505376344,0.07524116258752313,0.0020906948452476754
Luca Antonio,0.598287787361731,1,0.03655913978494624,0.07047220177992233,0.001520991737140398
Messer Domeneddio,0.4426999627737101,10,0.07096774193548387,0.10467828370858505,0.003476856766777869
Monna Berta,0.5476617370865015,10,0.04516129032258064,0.07907612133484124,0.002210312428748395
Piagnoni_—they,0.5440439143070991,2,0.03655913978494624,0.07047220177992235,0.001520991737140398
Saint Francis,0.6026391785189837,2,0.04086021505376344,0.0755034486484713,0.0017036093834498786
San Giuseppe,0.5673629658236871,1,0.03655913978494624,0.07047220177992237,0.001520991737140398
Savonarola,0.35305793111600736,976,0.25591397849462366,0.22567042866515516,0.03554101272413843
the Acciajoli,0.470314424204921,3,0.06021505376344086,0.09523121158969412,0.002458695390087479
the Albizzi,0.5897185650126793,4,0.04086021505376344,0.07416007878613981,0.0017542929785030908
the Holy Madonna,0.5384927254128833,6,0.043010752688172046,0.07557189733825995,0.002045636253537122
Silenzio,0.30162566749214287,1,0.008602150537634409,0.02854618428428706,0.0005804888470834463
Donna,0.6201405784358172,2,0.010752688172043012,0.024756172711663842,0.0006722178614623263
Fra Luca,0.24020429910304691,47,0.025806451612903226,0.05351707397062535,0.002777442028611426
Marullo,0.6621348340398927,15,0.02795698924731183,0.04600237616598781,0.0018005598771018124
Giovanni de ’ Medici,0.19425981099312262,5,0.023655913978494623,0.04605513996815888,0.0014167147262239893
