character,radius,mentions,degree_centrality,eigenvector,pagerank
Luke,0.23850469507397726,2403,0.20575221238938052,0.19096101066906596,0.0643798261001684
Sybil,0.3445473790148006,636,0.10619469026548672,0.12254885198504663,0.022391707595759754
Sir Piers,0.1535211614681046,336,0.13716814159292035,0.15293290565998724,0.018083909277124117
Susan Bradley,0.2661280822945161,30,0.05752212389380531,0.09812008885271618,0.0044903870908247195
Peter,0.3073953856514356,625,0.1261061946902655,0.14341966010929105,0.02133785750701721
God,0.21184442260068062,21,0.05530973451327434,0.08228322352647685,0.00555879350611377
Pshaw,0.23439804418895605,11,0.022123893805309734,0.05860749551601677,0.001774857896239141
Mole,0.3106344408069472,7,0.00663716814159292,0.0182571957108044,0.0006374724376837448
Cain,0.6628849923446645,2,0.00663716814159292,0.017308965246000247,0.0005735114795199095
Sir Reginald,0.6465398521918326,227,0.08849557522123894,0.09945684082152832,0.00964697507039199
Softly,0.17920624772399912,1,0.0022123893805309734,0.007618837487848111,0.00040585017570759997
Hugh,0.670803239205234,88,0.017699115044247787,0.027956973347940842,0.0020990598613444813
Rust,0.23017986058017811,39,0.048672566371681415,0.08627474704095353,0.00599206422421901
Jack,0.38799862968729115,387,0.10619469026548672,0.1103072232139449,0.019744628588758386
ha!--devil,0.3044157359900106,1,0.0022123893805309734,0.007618837487848111,0.00040585017570759997
Ranulph,0.34364561840966135,1169,0.12389380530973451,0.14951633648039708,0.03362655072072238
Villain,0.7720586279264857,9,0.008849557522123894,0.014799164217326131,0.0007124231399255303
Heaven,0.3417180004812198,12,0.0331858407079646,0.06995281696989487,0.0021566950121362787
Rooted,0.5859591161437281,1,0.004424778761061947,0.010409769220160878,0.0004974726623241138
Coates,0.40560592144622865,583,0.1261061946902655,0.13425645226915947,0.03144906791974978
Agnes,0.33122325107926204,97,0.02654867256637168,0.055308628289418287,0.003264229884750646
Lady Rookwood,0.3502611909073165,898,0.16150442477876106,0.1722903429785512,0.04119749923027734
Barbara,0.38040276851283833,383,0.09513274336283185,0.11975245031925089,0.016780659756740646
the Rookwoods,0.8104891278547629,24,0.030973451327433628,0.047827048486272124,0.0024697587349549292
Death,0.33736799871941736,4,0.022123893805309734,0.04985494557354281,0.0012826914755882017
Titus,0.2117240305208811,419,0.12389380530973451,0.12317068634191917,0.021676241571141834
Black Will,0.7206187371750861,4,0.004424778761061947,0.008524688024186777,0.0005560486630422773
Tim,0.5287151452936004,29,0.01327433628318584,0.031171637569686807,0.001368579176391654
PAUL LIDDY,0.7231324793637027,2,0.011061946902654867,0.02270453126349655,0.0008837199241996997
Wilder,0.24600478916886806,55,0.04424778761061947,0.08239866935745366,0.005611832100311685
Fly,0.386081293861699,3,0.011061946902654867,0.036399671340620623,0.0007932836409887231
Egad,0.32431006403135415,2,0.00663716814159292,0.02861597021779259,0.0005740279985992779
Devil,0.3227179223618459,12,0.030973451327433628,0.06203076585463864,0.0020127336601764904
Scoundrel,0.5031851616923647,1,0.004424778761061947,0.012975313597552003,0.0004865869907811938
Mr. Coates--'Know,0.4830081313340405,1,0.00663716814159292,0.019406948361884464,0.0005641469684123656
speedy,0.18106601097908165,1,0.0022123893805309734,0.007618837487848111,0.00040585017570759997
Rook,0.20261158452583822,10,0.01991150442477876,0.04813931359356898,0.001562959583327269
Soho,0.3215495298506294,3,0.011061946902654867,0.03382408927105249,0.0008469047060302493
Simon Toft,0.8992899256858108,29,0.024336283185840708,0.026326352481491642,0.002349285500178817
Sibila Perez,0.4226987548430171,1,0.004424778761061947,0.01239664241544725,0.0004833367230793242
Eleanor,0.39160362081580796,428,0.0663716814159292,0.09892191225378136,0.015123760035489923
Alan,0.2940779200050756,426,0.07964601769911504,0.12322359633967757,0.011803013330537952
Ben,0.9881919286091833,3,0.048672566371681415,0.050304475719964804,0.002713122339673957
Turpin,0.18504769262984194,2060,0.4004424778761062,0.3539885931003468,0.06917936018274903
Whither,0.18422417853397094,3,0.011061946902654867,0.03534559184870583,0.000735672677668559
Sir Edward Davenham,0.15154105571964163,1,0.0022123893805309734,0.007618837487848111,0.00040585017570759997
St. Francis,0.4661684359781906,3,0.01327433628318584,0.0361030784099636,0.0010923814900532108
Jove,0.35655749323398944,1,0.004424778761061947,0.021742042816172317,0.0005030346672313903
Bess!--Ay,0.39969745718804434,1,0.004424778761061947,0.021742042816172317,0.0005030346672313903
yonder,0.17233785714936914,1,0.0022123893805309734,0.007618837487848111,0.00040585017570759997
Venus,0.6014452035859417,1,0.00663716814159292,0.018230275201922684,0.0005630364129708684
Grasshopper,0.3329290136263936,17,0.004424778761061947,0.021742042816172317,0.0007721279981720015
Bear,0.7878029682136408,3,0.00663716814159292,0.013027993794086649,0.0006695236854042585
"Sir Luke Rookwood""--and",0.8016777833245528,1,0.00663716814159292,0.013027993794086644,0.0006695236854042585
Fate,0.4508560379327133,5,0.01327433628318584,0.02984560820113499,0.0009002726219075247
Ralph,0.804557275709036,44,0.02654867256637168,0.04744715725507866,0.0027320811988127093
SELF,0.5373969979154165,1,0.00663716814159292,0.017287623015924108,0.0005596100161751646
Richard Cooper,0.6273078650227003,2,0.008849557522123894,0.018726433353282817,0.000660487715348283
Bethink,0.4970673638776595,2,0.00663716814159292,0.019382138821482604,0.0006255874116307917
Mother,0.7283946200231401,20,0.015486725663716814,0.03103159100655361,0.0015258138151261781
Balthazar,0.3371752053412341,50,0.03761061946902655,0.07423325164965168,0.0030369415227339716
