character,radius,mentions,degree_centrality,eigenvector,pagerank
Ruth,0.11471889115464567,5998,0.7323232323232324,0.34034841519844267,0.16159259685350547
Child XVI,0.5567224701925897,2,0.06060606060606061,0.09223448747528615,0.0019433684053027406
Jemima,0.08748263418209586,1559,0.32323232323232326,0.2354310670419404,0.061039862506083106
Leonard,0.1261480563638,1062,0.393939393939394,0.2584103149822741,0.06565065659335043
Lovers XXIX,0.6193821011057589,1,0.06060606060606061,0.09223448747528616,0.0019433684053027406
Mr Bellingham,0.7334632217217445,455,0.196969696969697,0.16048042508434607,0.02369278914320446
Mr Bradshaw,0.18080947771278957,1195,0.2878787878787879,0.22576350463147613,0.056761162400193486
Mr Farquhar,0.22875977646533363,789,0.2272727272727273,0.2008943384716356,0.04004673044107533
Mrs Bellingham,0.7519850653404495,115,0.10606060606060606,0.11458993418591588,0.008935699320200994
Mrs Mason,0.8405791745921212,260,0.13636363636363638,0.11120105660464458,0.0149881544277983
Sally,0.29191972465765587,919,0.29292929292929293,0.20933618933521847,0.04081789440047053
The Bradshaw Pew Again Occupied XXXIII,0.5695949030684834,2,0.06060606060606061,0.09223448747528616,0.0019433684053027406
Thurstan,0.4814753925935066,174,0.21212121212121213,0.17585905265282425,0.015867212381883825
Jenny,0.8334640250077076,102,0.06060606060606061,0.05191279366879728,0.006753007778632359
Monnoyer,0.6494870644338769,2,0.005050505050505051,0.014160997161620933,0.0008433129953984363
Miss Booth,0.9490016597469377,1,0.020202020202020204,0.017315891360631205,0.001677077067536642
Miss Hilton,0.9053778002025329,21,0.03535353535353536,0.03653030326782459,0.003481937300251357
Miss Jennings,0.9533602679424578,1,0.020202020202020204,0.017315891360631212,0.001677077067536642
Miss Sutton,0.9522197645900314,2,0.030303030303030304,0.021979203011055774,0.0023204341601112967
Miss Wood,0.8461604227744883,4,0.015151515151515152,0.020947732952344346,0.0012532709382305249
Holbein,0.6960840394206421,1,0.005050505050505051,0.014160997161620933,0.0008433129953984363
Miss Smiths,0.9131643042910532,1,0.010101010101010102,0.014775778203202366,0.0014669443607857203
Mr Thomsons,0.9028049608632926,1,0.010101010101010102,0.014775778203202366,0.0014669443607857203
Miss Duncombe,0.7522203682288305,9,0.015151515151515152,0.02560594710975295,0.0015220306358650912
Lady Farnham,0.8175855993104222,1,0.010101010101010102,0.018787778943547166,0.0009522495074845246
Fanny Barton,0.8863256097078772,3,0.010101010101010102,0.014968620195603202,0.001307699365320118
"Miss Hilton,""--""Ruthie",0.879629086735444,7,0.015151515151515152,0.019410583630267143,0.001322799082688897
Tom,0.8105869735210353,55,0.04040404040404041,0.05254729325037468,0.0029034870748076147
Smith,0.5653267608116821,2,0.025252525252525256,0.04838593108595917,0.0011835111496874408
Mrs Wood,0.8902800116181309,6,0.020202020202020204,0.02185715119007375,0.0014198416387356315
Sunday,0.8821028766120361,4,0.020202020202020204,0.02185715119007373,0.0012962168717458185
Mr Hilton,0.7714102016365985,13,0.015151515151515152,0.02599432169890667,0.0011434073293801062
Mrs Hilton,0.7822041513163736,14,0.015151515151515152,0.025994321698906645,0.0015205856604616908
Skelton,0.7398987608867055,1,0.005050505050505051,0.014160997161620933,0.0008433129953984363
the Leasowes,0.6302936821292151,1,0.010101010101010102,0.020838163096976087,0.0009425508118635386
Mrs Brownrigg,0.8105612601417856,1,0.015151515151515152,0.025464944878902288,0.001051487323949627
Palmer,0.8384894996617586,1,0.010101010101010102,0.018787778943547166,0.0009522495074845246
Old Thomas,0.6785551157249344,5,0.015151515151515152,0.027112849757920544,0.0015816288150558473
Mary,0.08222328683163732,96,0.13131313131313133,0.15080715267051237,0.015467755334368082
Moel Wynn,0.6602226050099104,1,0.010101010101010102,0.020838163096976087,0.0009425508118635386
Howard,0.9098520112552902,1,0.020202020202020204,0.022774658240177475,0.0016210398705319724
Johnson,0.9130673805694458,3,0.025252525252525256,0.02376747756465939,0.0019623205081903522
Wilbraham,0.9144647440553854,1,0.020202020202020204,0.02277465824017748,0.0016210398705319724
Mrs Morgan,0.8194768017658153,73,0.06060606060606061,0.05713718324061443,0.007503257063443008
Maneg Ellyllyn,0.9174014182545495,1,0.010101010101010102,0.014775778203202368,0.0014669443607857203
the Welsh,0.9211713558652102,1,0.010101010101010102,0.01477577820320236,0.0014669443607857203
Harry,0.7964812013607677,9,0.025252525252525256,0.037338399567052954,0.002082618978584985
Mr Jones,0.8430553763790509,41,0.06060606060606061,0.05688975495957149,0.004015473044860422
the Mighty One,0.6265106810977128,1,0.010101010101010102,0.02491276674122644,0.0009279855786618803
Gelert,0.867247039941994,1,0.015151515151515152,0.018905356400842538,0.001066513814662687
Gwen,0.8977540790315578,3,0.030303030303030304,0.03085437922893528,0.001633630385095313
Nest,0.8659712491196024,2,0.030303030303030304,0.03141670241423965,0.001501179283503166
Henry,0.8887203104473966,24,0.05555555555555556,0.05869930986697395,0.003212390688524181
Mrs Hughes,0.5653930480687873,84,0.030303030303030304,0.04747630461124572,0.004355077036759819
Mr Benson,0.05855618254921524,1791,0.3535353535353536,0.2397645544317277,0.0921082323345628
"DEAR FAITH,--You",0.8851475847216397,12,0.020202020202020204,0.0248544499574998,0.0019426630086380675
Dear Faith,0.8804009766045126,2,0.015151515151515152,0.02390505010915336,0.0015924943276120567
Faith,0.5057181936224121,34,0.03535353535353536,0.0580426539557628,0.0024098991650679663
Mrs Denbigh,0.15646001988629732,204,0.15656565656565657,0.15907495788016848,0.02191453150612023
Mr,0.11270681741221407,22,0.08585858585858587,0.11885762784805491,0.008025332981732422
