character,radius,mentions,degree_centrality,eigenvector,pagerank
Elinor,0.07054502854439226,3207,0.6590909090909091,0.27174433629923955,0.14509804857300326
Mrs. Dashwood,0.08491975752322946,598,0.33333333333333337,0.20958072379313544,0.03641032921791592
Marianne,0.14035218809026223,2096,0.6212121212121212,0.26515118224244844,0.11181862334026209
Edward,0.31596284903121374,1010,0.4545454545454546,0.2293260234388163,0.06872747452839668
Mama,0.5488771575064607,20,0.08333333333333334,0.07629727522166813,0.0042581052069596455
Music,0.8148144192850455,1,0.030303030303030304,0.032966258314077235,0.0015190551227922677
Fanny,0.4426478186528332,116,0.2196969696969697,0.14922011965194498,0.014612375067027615
Sir John,0.082851685857972,384,0.25757575757575757,0.18041915510882428,0.032964590316118814
Mr.,0.23661495033665644,6,0.16666666666666669,0.13139698587519985,0.005232729156119845
Lady Middleton,0.12583102190812753,231,0.2727272727272727,0.17741762007465525,0.025722414997178644
Mrs. Jennings,0.009328645037491992,802,0.5454545454545454,0.25439568039560434,0.0685318151884436
Colonel Brandon,0.10788571395665571,529,0.3484848484848485,0.20832388866792023,0.04438735420931259
Willoughby,0.22263286090770748,996,0.3181818181818182,0.17587744852828552,0.05435809740798899
Cowper,0.7987554012737408,3,0.05303030303030303,0.05521150131140139,0.0023606238049907503
Scott,0.8095774393640403,2,0.045454545454545456,0.0473197708051541,0.0020300703727678324
Mr. Jennings,0.8279166518983524,4,0.030303030303030304,0.030806156766046054,0.0015450267966145756
Norland,0.4868753717101177,18,0.09090909090909091,0.08375545511362197,0.002939336819750004
Miss Dashwood,0.1380279378895401,149,0.3712121212121212,0.21204111093698294,0.02399173758599605
Queen Mab,0.8168395322184724,1,0.022727272727272728,0.02788953465722003,0.0013905876985257936
Margaret,0.14478029196334058,76,0.09848484848484848,0.10117426474097545,0.007407942415409262
Miss Williams,0.4973943217213887,14,0.045454545454545456,0.05429171633305239,0.0022792215705382205
the Careys,0.6626161749424155,3,0.06060606060606061,0.06042540038299611,0.0027128634967065616
the Miss Dashwoods,0.05021955531520662,34,0.25,0.17564131677795009,0.012197224899852987
Mrs. Smith,0.63870016674276,52,0.07575757575757576,0.06831469526713421,0.005440506995338086
Little,0.6794880846248609,2,0.05303030303030303,0.05899518376749129,0.0019267746884899404
Charlotte,0.18456600930819908,53,0.16666666666666669,0.14222030933386925,0.008516148268595838
