character,radius,mentions,degree_centrality,eigenvector,pagerank
Shirley,0.04552009036759318,3828,0.3723150357995227,0.2725394639819868,0.0974288765831534
Caroline,0.14008968730229257,3569,0.3723150357995227,0.2904891321666339,0.09334994945846849
Mr. Helstone,0.17090909637362878,513,0.1957040572792363,0.20924552490222112,0.02569164805666711
Tartar,0.35430185555140026,117,0.0405727923627685,0.070941610071416,0.0037059382626168707
Providence,0.3584181682369272,6,0.011933174224343677,0.0342506674336726,0.0010116953214979677
St. Athanasius,0.23451374278579498,2,0.002386634844868735,0.009334084744430505,0.0004192573292147011
Mrs. Pryor,0.06537845156396387,692,0.10978520286396182,0.14464123337790974,0.019772269339015134
Robert,0.23671494419807643,1915,0.2959427207637232,0.24579795896056014,0.05478295234866162
Tony Lumpkin,0.3684644719594012,2,0.00954653937947494,0.029872423995858724,0.0006044459568345859
Mr. Moore,0.15531317440087686,2324,0.34128878281622915,0.2776750987851024,0.06753821293287027
"Helstone.--""Mrs",0.6056528582252968,2,0.00477326968973747,0.014287839001383145,0.00047863016239651596
Mrs. Keeldar,0.770657322579926,1,0.00954653937947494,0.01789599652333965,0.0006576431890604234
the Misses Pearson,0.7801036089654151,2,0.016706443914081145,0.03211524055855003,0.0009612475496887716
the Misses Sykes,0.6557282996604682,12,0.04534606205250597,0.07323684739879945,0.0021715792489401006
Bob,0.6460621847404507,74,0.026252983293556086,0.04550888067647552,0.0028471762750170997
Mrs. Gill,0.29353927353326764,101,0.042959427207637235,0.07247395806776888,0.00441148276724486
Saul,0.588314446580783,4,0.011933174224343677,0.028051806604707085,0.0008947435530096684
the Wynnes,0.3552157014736629,3,0.011933174224343677,0.03373654608634796,0.0007944522101977582
Fanny,0.09128075135701354,101,0.05966587112171838,0.10298659850718175,0.007271074422838479
Mesdames Pryor,0.5871920016515405,1,0.007159904534606206,0.016419355164054534,0.0005433249749112302
Miss Mann,0.14110254924133603,116,0.057279236276849645,0.10379238501966058,0.005094328222885693
Mrs. Yorke,0.5218345511794027,252,0.06682577565632458,0.10308550983596149,0.009169574173203033
God,0.7037785628615356,86,0.13365155131264916,0.133031079848634,0.01003913444240823
The Castaway,0.49527038133272877,1,0.00477326968973747,0.01928291981353683,0.00047903893207870067
Cowper,0.7844464792460539,27,0.014319809069212411,0.032062671576230176,0.001771802921763556
Rousseau,0.7857418772043965,3,0.00954653937947494,0.019230255529496646,0.00087850144929523
Rousseaus,0.7749524707449806,1,0.007159904534606206,0.011090793741357251,0.0006229402074708186
Cary,0.18803766347212367,161,0.06682577565632458,0.10060283969902817,0.007746418098865171
that Cousin Robert of yours,0.2933333787604689,1,0.00954653937947494,0.03114664906208602,0.0006076913917055526
Prince Ali,0.21576877989146362,1,0.007159904534606206,0.027701146463815846,0.0005411937785682611
Lina,0.13234194362357107,58,0.05966587112171838,0.10251768627175342,0.006158658620063294
Hortense,0.123832091286665,314,0.11455847255369929,0.14800846403607798,0.015015894942901136
Moses,0.7675665033896019,71,0.06443914081145585,0.07570666728678588,0.005091369241578804
Mike,0.5254355530147237,96,0.06205250596658712,0.09138749957558645,0.005269930366475123
Satan,0.7365059294536789,4,0.026252983293556086,0.043825214079825696,0.001311442672176316
Smart,0.25276933294211573,3,0.002386634844868735,0.009334084744430505,0.0004192573292147011
Colonel Ryde,0.21305666831866799,3,0.00477326968973747,0.018844057596103664,0.0004823301903868988
Moore,0.24366496927335413,29,0.00954653937947494,0.03265490072076851,0.0007845771587577633
Slumber,0.38944740030033226,1,0.00954653937947494,0.02844581264863975,0.0006033629909152065
Miss Ainley,0.14908850714228183,116,0.06682577565632458,0.1095923581036947,0.00590141952157211
Mr. Wynne,0.20507511803528392,44,0.06443914081145585,0.08330719657076956,0.004646662203425546
Mercy,0.9342881806103197,4,0.00477326968973747,0.009345046147165506,0.0011343099799515511
Dr. Boultby,0.17076612119392925,56,0.06443914081145585,0.11540785996268564,0.004950775354168526
Mr. Hall,0.1222008719841642,199,0.10978520286396182,0.1615616595254655,0.012238893288573716
Sweeting,0.49384422611098017,121,0.08353221957040573,0.11811645330246315,0.008962990342778001
Whinbury,0.08033084857244004,7,0.03341288782816229,0.0780096438449065,0.0015908664950836401
Captain Keeldar,0.22204418414105648,19,0.01909307875894988,0.049945903060241284,0.0009802329217852815
Donne,0.4963471774391585,276,0.0883054892601432,0.123547362538304,0.010496539625133014
John Sykes,0.45129373193485856,4,0.03579952267303103,0.06842959537315692,0.0016099916828736782
Malone,0.5816742057467765,291,0.13365155131264916,0.1586031851010932,0.013140444442889244
Mr. Donne.--Take,0.609975202223145,1,0.00477326968973747,0.01476601577137361,0.00048380804120859693
March,0.48041907849440035,1,0.011933174224343677,0.030743772352086852,0.0006790621640884351
Peter,0.48135554094844535,124,0.07159904534606205,0.10509268596850792,0.004861849666547834
Messrs. Hall,0.5472700362840381,1,0.00954653937947494,0.028861493015951353,0.0006007447071552979
Dora,0.7355010879030122,19,0.03341288782816229,0.055600755835160456,0.0021128057770878534
Whitsuntide,0.27276295764556613,2,0.007159904534606206,0.02481617433538909,0.0006583761815349221
Cyril Hall,0.4468386374129882,36,0.03579952267303103,0.07376089827509583,0.002138411303059896
Christ,0.9045171169564994,3,0.016706443914081145,0.024674804944132496,0.0014685757673119598
Mary Ann Ainley,0.4832564791904302,5,0.021479713603818618,0.03919342516004818,0.0012532284627228673
Margaret,0.41709349383210104,18,0.050119331742243436,0.08172610967886698,0.003214342866980349
Eliza,0.22588543324091534,18,0.03341288782816229,0.07169215596976297,0.0026561777899211853
Hercules,0.5867311295345607,1,0.011933174224343677,0.029511279815075304,0.0007305702684015671
Mammon,0.5839109110929425,2,0.014319809069212411,0.03495491565026751,0.000808313455072016
Boultby,0.38382041507522685,14,0.05966587112171838,0.0939681791162006,0.003005110072872833
Mrs. Sykes,0.4579389990796369,40,0.06682577565632458,0.10652908429789573,0.004090119582030086
Helstone,0.6909980958950519,37,0.028639618138424822,0.051113252519993636,0.0016788104233176034
Grace,0.6525380725594135,13,0.023866348448687354,0.04252006882709628,0.001710383378706669
Armitage,0.5806484645311384,4,0.03341288782816229,0.06437341561405702,0.0017340429505020175
Miss Birtwhistle,0.6298987940337484,1,0.016706443914081145,0.03653207611149385,0.0008554204623999171
Mr. Ramsden,0.5383679467106536,8,0.023866348448687354,0.04389103070505171,0.00135267458801192
"Timothy Ramsden , Esq .",0.3069718421237767,3,0.028639618138424822,0.06091112333196559,0.0012956729669564824
De Walden,0.1364837292485538,1,0.007159904534606206,0.021697209287426765,0.0005516058306206992
Harriet Sykes,0.6335312985112682,2,0.014319809069212411,0.03106935115155077,0.0008902035753435543
Hush,0.33227470866185593,1,0.002386634844868735,0.009334084744430505,0.0004192573292147011
frank,0.2357889455205301,1,0.002386634844868735,0.009334084744430505,0.0004192573292147011
Adam,0.9839653265587464,14,0.07637231503579953,0.063087528796789,0.00396512774250447
Eve,0.8779745758817609,7,0.023866348448687354,0.036076075023104524,0.0018317280438581586
John,0.7417180002080548,39,0.06443914081145585,0.06581270765241515,0.003689800788119143
