character,radius,mentions,degree_centrality,eigenvector,pagerank
Sybil,0.5122547730970879,2290,0.23404255319148937,0.24674943606848238,0.06017657641331027
Gerard,0.6897643102235077,213,0.08723404255319149,0.11371454408052517,0.01650961779224451
Morley,0.6271840414898379,819,0.1276595744680851,0.14705112165122183,0.03216225544361619
Chaffing Jack,0.8822004173313908,60,0.05319148936170213,0.09883603381160344,0.006466118657035645
John Trottman,0.646292350464366,1,0.006382978723404256,0.020409006948626112,0.0005965889016990736
Arthur,0.9175615063546803,1,0.019148936170212766,0.03269566957131822,0.0013897078804019636
Byron,0.9182564437569312,4,0.023404255319148935,0.03743067585469849,0.0017234447769302482
Haidee rescued Juan,0.9159645661427805,1,0.019148936170212766,0.03269566957131822,0.0013897078804019636
Jeanie Deans,0.9239370294926239,1,0.019148936170212766,0.03269566957131824,0.0013897078804019636
King Richard,0.9274131426247477,1,0.019148936170212766,0.03269566957131824,0.0013897078804019636
Scott,0.9142663106993164,1,0.019148936170212766,0.0326956695713182,0.0013897078804019636
Sir Robert,0.3145069399293227,70,0.13191489361702127,0.19450486961961802,0.011950281954410192
the Muses,0.921283729042508,1,0.019148936170212766,0.03269566957131821,0.0013897078804019636
Sherry Cobler,0.6538632919617893,1,0.00425531914893617,0.016314416056452254,0.0005018645940564719
Mr Trafford,0.28540156138996686,107,0.0425531914893617,0.10303035692544872,0.00415969984983768
Warner,0.8579115612979699,123,0.04893617021276596,0.08632755305854067,0.0073276683209786775
Harold,0.43333932473717623,51,0.04680851063829787,0.08112268610459218,0.006201112037428745
Amelia,0.8847236941722391,12,0.010638297872340425,0.01675356693128852,0.0013968148885251312
Harriet,0.8747872836914504,31,0.023404255319148935,0.03633440364183729,0.002870658286310343
Maria,0.8753695998319784,7,0.012765957446808512,0.030719017621973894,0.0012185367394677961
God,0.5454457120379579,14,0.025531914893617023,0.05791975968479518,0.002835775508185849
Mr St Lys,0.4742480442797646,82,0.055319148936170216,0.11186068646204798,0.006132092098996405
Egremont,0.24300979929477792,1481,0.21914893617021278,0.257551485851017,0.049679926252593584
Lord Marney,0.053659578972154995,646,0.2297872340425532,0.31127918428091395,0.04401198497149062
Lady Maud,0.40974652784174387,130,0.06595744680851064,0.1357324083033919,0.011087752584104224
Lady Firebrace,0.3276728247870896,134,0.10851063829787234,0.18476892124469485,0.01403808895422724
the People,0.5101221375095156,8,0.006382978723404256,0.023291744857718594,0.0011527863061085995
Mr Franklin,0.5531010871583586,41,0.03404255319148936,0.0801009112159117,0.004995775349435162
the Earl de Mowbray,0.3798021271602729,7,0.03829787234042553,0.08731178219538513,0.0028002002046676458
Lady Marney,0.38421579916878135,316,0.12340425531914893,0.17572872080171115,0.019018509979654413
Miss Poinsett,0.1222446492799435,15,0.014893617021276596,0.05664962195965356,0.00175484793277297
Harold--,0.7384455413414555,1,0.00425531914893617,0.014933344380130128,0.0005024542730241782
Alack,0.6293384927364807,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
The Norman,0.6143026177032278,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
The Bedouin,0.4851872564795848,1,0.00425531914893617,0.020892238206790873,0.0005019499490461261
Ursula,0.5039496200814542,46,0.031914893617021274,0.07283453657480049,0.003679587148021592
the Normans,0.56511451828897,3,0.006382978723404256,0.023909635997796417,0.0006919520273075938
Henry the Eighth,0.890510230598966,3,0.012765957446808512,0.025112947674520405,0.001239493092543334
the Chronicles,0.897687523348959,1,0.00851063829787234,0.014401687763395284,0.0008867740972276534
the Plantagenets,0.89586180801319,2,0.012765957446808512,0.015695523965439478,0.0012368464178636799
the Tudors,0.81571854916511,3,0.029787234042553193,0.06007284129940198,0.0020629459869332743
King John,0.49361592041822794,1,0.00425531914893617,0.020892238206790873,0.0005019499490461261
Mr Morley--,0.5822352407037742,2,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Pierce,0.6845465654661614,1,0.00851063829787234,0.028921647799774245,0.0006820706320292419
Mrs Trafford,0.472102118430135,22,0.023404255319148935,0.07080816403136565,0.0026409170395406494
Lord Milford,0.4832150833178414,74,0.06382978723404255,0.09528740882736317,0.008422559551206374
Mr Mountchesney,0.3388859011754016,251,0.09148936170212767,0.16751802328981674,0.014941574016326101
Lady Joan,0.3636051444812872,162,0.10425531914893617,0.18781865766179226,0.015366858765464978
Protege,0.5844036388349658,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Mrs Lawrence,0.46324222658835923,1,0.00851063829787234,0.03268879194149671,0.0006876341880592892
Prithee,0.6051195417276902,1,0.00851063829787234,0.03030271947609636,0.0006814809530615354
tommy,0.9462652105147231,6,0.010638297872340425,0.021291142274748293,0.0013665735724102167
Hatton,0.26309229852587895,689,0.17659574468085107,0.22144534620487,0.026868228079259922
Temple Bar,0.6318470397804273,1,0.006382978723404256,0.025488480036124986,0.0005998531734811801
Sir Vavasour,0.2839659358200162,157,0.07872340425531915,0.12090990762663958,0.010329878792087365
Westminster,0.6544287558234944,1,0.00425531914893617,0.016314416056452254,0.0005018645940564719
Baron Valence,0.7235859619328282,2,0.014893617021276596,0.03116639288514997,0.0012267830048282911
Shrewsbury,0.7558573585343065,1,0.012765957446808512,0.027693121162710183,0.0010195370368717939
Sybils,0.7581001252884021,1,0.012765957446808512,0.027693121162710194,0.0010195370368717939
The Valences,0.7747286172633382,1,0.012765957446808512,0.027693121162710197,0.0010195370368717939
Arabella,0.16512435737559547,56,0.05319148936170213,0.11862733160817353,0.00657316659533912
the Countess of Marney,0.11773830336264751,2,0.012765957446808512,0.048999964175681726,0.0011315665024941542
Mowedale,0.6267888361526276,2,0.012765957446808512,0.035537971083360535,0.0011750091824486158
Smith,0.6448396102591605,5,0.019148936170212766,0.04876112026143388,0.001731573131141998
Morleys,0.6293427519289034,1,0.00425531914893617,0.012621871456671544,0.000511169516916041
St John,0.9046544846909336,9,0.02127659574468085,0.0330520238181463,0.0021551156817796015
Heaven,0.5921140406531659,2,0.00425531914893617,0.014030951318814629,0.0005169963914473886
Egremont;--and,0.6033207605233049,1,0.006382978723404256,0.02698428945749931,0.0005930455488495055
Sybil--“Swear,0.614911492059158,1,0.006382978723404256,0.017683699206276583,0.0006428314280125573
St Stephen,0.605055529799036,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Ma’am,0.7623394267255994,8,0.00851063829787234,0.025317339958108524,0.0008892775699838467
Tanner,0.8440700063257844,84,0.019148936170212766,0.02920556497803717,0.0036801413227292574
Cobbett,0.8705632232399253,2,0.014893617021276596,0.02861240144026947,0.001253213779243009
General Jackson,0.8768036575468208,1,0.00851063829787234,0.013184394803071134,0.0008555761981804445
Tom Paine,0.8752465123075365,2,0.010638297872340425,0.013680091550410781,0.0011078076824911015
Hem,0.7171904330229718,7,0.012765957446808512,0.041056139753157694,0.0011023214149962358
Mother Poppy,0.6170464894367929,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Cockaigne,0.8904602725066165,1,0.00425531914893617,0.010664160925164042,0.0007143148621892709
Hilloa,0.8942467961569697,1,0.00425531914893617,0.010664160925164022,0.0007143148621892709
THE RICH,0.9157020077799527,3,0.00425531914893617,0.010606182989432939,0.0005850292133290015
"Street,--I",0.5666355529726974,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Maclast,0.9176532108863901,14,0.010638297872340425,0.022242248340296363,0.0015127227441082652
Wilkins,0.9515223615051378,9,0.01702127659574468,0.01699390671875305,0.0024392126374243265
Birmingham,0.9160405728293531,2,0.010638297872340425,0.012814400891901213,0.0010071571668841502
Langley,0.9288063019037941,6,0.00851063829787234,0.012378721390586118,0.0009624472832927812
Dick Curtis,0.889452632116429,1,0.00425531914893617,0.010664160925164035,0.0007143148621892709
Dutch Sam,0.8902795704765843,1,0.00425531914893617,0.010664160925164043,0.0007143148621892709
Hope,0.6172395095094969,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Devilsdust,0.8763900258329068,135,0.07872340425531915,0.11891336738819393,0.013945600798915292
Julia,0.9062811146813443,88,0.04468085106382979,0.07866512262495226,0.007243818176914612
the Druids,0.5836345134278752,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Nature,0.5661641904197902,2,0.00851063829787234,0.02850587782713052,0.0006975575950691732
the Lady Superior,0.6481381984854719,2,0.00425531914893617,0.013239762596749343,0.0006007710725145601
Toil,0.6185857523334015,2,0.002127659574468085,0.010222364805743818,0.0004107689942530924
"yore,--we",0.5937644177518251,1,0.002127659574468085,0.010222364805743818,0.0004107689942530924
Field,0.5607655284382709,62,0.029787234042553193,0.0678908784748902,0.0029159221103170303
Dale,0.6061326625642832,1,0.00425531914893617,0.013583125035213328,0.0005161867400791878
St James,0.43318726155109794,1,0.012765957446808512,0.046822904157004394,0.000856399876768121
Mick,0.8390542358534939,322,0.07872340425531915,0.12513827081935047,0.016326216105244505
Bamford,0.8719506683821459,16,0.014893617021276596,0.033359406273946624,0.0011777717226820633
Butler,0.8569475406092829,3,0.014893617021276596,0.03335940627394665,0.0011777717226820633
Couchman,0.8648415613154666,3,0.014893617021276596,0.033359406273946665,0.001276810350038864
Godfrey,0.8752788303493095,4,0.01702127659574468,0.03341447382218982,0.001566433143477311
Samuel Carr,0.8496681144658285,2,0.014893617021276596,0.0333594062739466,0.0011777717226820633
True,0.35391305242430116,1,0.006382978723404256,0.03229213962817907,0.0005961301065580452
Caroline,0.8960606759966312,120,0.06170212765957447,0.08422164388558996,0.008368289009676894
Co.,0.8769003463787086,1,0.027659574468085108,0.07397181383275428,0.0016064583549902393
Mick Radley,0.8855938491662639,12,0.029787234042553193,0.07430049187043392,0.0029275539186821606
Mrs Carey,0.8781333357002444,72,0.04680851063829787,0.08354867998579191,0.00478267215969929
Mrs Mowbray,0.8723398626786727,4,0.027659574468085108,0.07397181383275428,0.0016064583549902393
Mrs Radley,0.8825400808567385,1,0.027659574468085108,0.0739718138327542,0.0016064583549902393
Mango,0.9669212650233701,6,0.012765957446808512,0.013722891415585485,0.0013235040874713302
Lord Fitz - Warene,0.1834618124624431,18,0.04042553191489362,0.07719976049114227,0.0031785284881783384
Lord Fitzheron,0.6031206074149504,11,0.01702127659574468,0.04798276172876313,0.0015294274365601828
Mr Berners,0.7658835487607645,73,0.06382978723404255,0.08901815667728173,0.008191163918771005
Lord Eugene,0.6422661088354229,38,0.02127659574468085,0.04147962117572514,0.0027241083200882873
Phosphorus,0.9707540086210823,14,0.029787234042553193,0.020455128786022677,0.003410080882790322
