character,radius,mentions,degree_centrality,eigenvector,pagerank
Tess,0.035260659298146806,5531,0.6079295154185023,0.49059524462538157,0.2246880044844792
King Norman,0.789795193824661,3,0.026431718061674013,0.05771794683352303,0.002517058062967737
Joan,0.45367325104040107,120,0.07048458149779736,0.12163827368963777,0.015929089215307696
Mrs Durbeyfield,0.6026468256571447,106,0.10572687224669605,0.15730642569874087,0.019503410429156605
Nick,0.47862283691077373,1,0.013215859030837006,0.046863512420571615,0.0012821050071106367
Oliver Grumble,0.752435565420267,1,0.00881057268722467,0.03181370712379498,0.0015086766903880072
Saint Charles,0.7729094475995809,1,0.00881057268722467,0.03181370712379497,0.0015086766903880072
Mr Durbeyfield,0.4074515063874935,1,0.00881057268722467,0.03728385162204545,0.0010695870399254881
Rolliver,0.673419692864416,11,0.022026431718061675,0.05654700224139012,0.0025198749607982904
Abraham,0.6814754412594747,54,0.05726872246696036,0.10476928872174641,0.010751309627766865
Hope and Modesty,0.7167326252023914,3,0.022026431718061675,0.054795917637357854,0.0024471800911811284
Liza - Lu,0.49424893521566415,45,0.06607929515418502,0.12741008503173887,0.010196156558313251
the Durbeyfields,0.4107461512413604,10,0.01762114537444934,0.05462254318803009,0.0019028850017936009
Sir John,0.8896393872365927,52,0.0881057268722467,0.07879589899708794,0.010093305725759982
Prince,0.6726902090419676,32,0.026431718061674013,0.05498813946183174,0.005426771080515836
God,0.15087188738394394,24,0.039647577092511016,0.07557208478516153,0.006443731683015859
Nettlecombe - Tout,0.4256642310451556,1,0.013215859030837006,0.04085875825140621,0.0013289627416403777
Durbeyfield,0.7085141743414916,88,0.08370044052863437,0.12203423160400766,0.009150603491670337
Distress,0.12669261796636078,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Mrs d’Urberville,0.3197019696383055,47,0.052863436123348026,0.10727669608147723,0.006746454752363323
old Mr Simon Stoke,0.12304296217112959,16,0.004405286343612335,0.029876313138546915,0.001077144542593077
Alec,0.5602978815970403,44,0.04405286343612335,0.08198729757826624,0.010098972627051863
D’Urberville,0.6116150570632506,158,0.030837004405286347,0.07038719353303624,0.011846097677677029
Shaston,0.12786464352891141,3,0.01762114537444934,0.06338205440965623,0.0020008573472123617
young Mr d’Urberville,0.7176742408210334,2,0.00881057268722467,0.03730796470257158,0.0011667161902768398
Pa’son Tringham,0.689246221056968,6,0.022026431718061675,0.053846142601949525,0.0024643591221875168
Mother,0.5088870415742739,8,0.00881057268722467,0.03625656266490321,0.0012896549519675585
tell’n,0.7540055960933885,3,0.013215859030837006,0.03663008876051549,0.001982686716667825
Dammy,0.7769144327599204,1,0.00881057268722467,0.03210701556400067,0.0012889050499030959
Trantridge,0.16993287541202842,1,0.00881057268722467,0.03373615916366133,0.0012076400845852312
Wingreen,0.18313596528415554,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Christians,0.7863319455621244,1,0.00881057268722467,0.031813707123794985,0.0015086766903880072
Mrs Stoke - d’Urberville,0.7623029473094349,1,0.00881057268722467,0.03181370712379497,0.0015086766903880072
Mis’ess,0.4507947113890039,1,0.00881057268722467,0.03640925898282695,0.0010968735027597702
the Hamburghs,0.9673396454699728,2,0.013215859030837006,0.03011415886121826,0.00318126868641344
Phena,0.6147819678647957,3,0.013215859030837006,0.03877029593653525,0.0015304820823586237
Strut,0.5818294521725733,4,0.013215859030837006,0.03877029593653523,0.0015304820823586237
Mr d’Urberville,0.2124387058354716,8,0.00881057268722467,0.03426117854699571,0.0017521415739327043
Lotis,0.7567005852687102,1,0.00881057268722467,0.03181370712379496,0.0015086766903880072
Priapus,0.7471223384388456,1,0.00881057268722467,0.031813707123795026,0.0015086766903880072
Marlott,0.4187957198353737,13,0.026431718061674013,0.08348891112750932,0.00495973529832962
Car,0.91098576726207,9,0.013215859030837006,0.03193257235801782,0.002811056289206937
Nancy,0.8932675303768735,1,0.00881057268722467,0.0318209457894727,0.00166460908462646
dark Car,0.12407928842875655,4,0.004405286343612335,0.029876313138546915,0.0008675196397175912
the ironical Tishbite,0.13851601069206013,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Sad October,0.15083039769583848,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Theology,0.16694880141836682,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Mr Clare of Emminster,0.36152070602914527,6,0.013215859030837006,0.055590427217454094,0.002007173343746069
Robert South,0.16963554087531257,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Jenny,0.1743729841054781,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Aholah,0.7190199032594817,1,0.00881057268722467,0.031813707123794985,0.0015086766903880072
Aholibah,0.7127981119522163,1,0.00881057268722467,0.031813707123794964,0.0015086766903880072
SORROW,0.7434706654893793,2,0.00881057268722467,0.03181370712379499,0.0015086766903880072
Sissy,0.7327374677973134,5,0.00881057268722467,0.03181370712379498,0.0015086766903880072
Providence,0.11199890097238732,4,0.013215859030837006,0.05878175104858583,0.0015140172769360068
Keelwell,0.17014542097140745,1,0.00881057268722467,0.03447850872504997,0.0011164523322658962
Roger Ascham,0.1129538908024161,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Saint Augustine,0.2173622296958156,1,0.00881057268722467,0.03447850872504997,0.0011164523322658962
Jeremy Taylor,0.16482329158786235,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Babylon,0.6438068312943971,1,0.00881057268722467,0.03181370712379497,0.0015086766903880072
Blakemore,0.6514955609030825,1,0.00881057268722467,0.03181370712379502,0.0015086766903880072
Van Alsloot,0.07985463602545954,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Nature,0.04218900525424457,6,0.00881057268722467,0.053920048284436035,0.0012855740264466743
Caesar,0.5503639286517374,1,0.00881057268722467,0.03486918292818776,0.0010875948991279794
Mister Richard Crick,0.8187827969901379,2,0.013215859030837006,0.03960284414630453,0.0021592343468171604
Lord,0.44044513409394925,6,0.013215859030837006,0.04750519270202595,0.0015267419388664077
Dairyman Crick,0.4458007877705591,57,0.061674008810572695,0.12073531850101828,0.01014867668192065
Mrs Crick,0.3443777667390785,62,0.052863436123348026,0.11512044938506431,0.01166244570004307
Clare,0.44643428137987834,2540,0.4581497797356829,0.39481920245327506,0.15303214817694583
"Dumpling , Fancy , Lofty , Mist",0.7992619330523395,2,0.022026431718061675,0.0435477569675488,0.002167423855054135
Loud,0.8097327735266733,1,0.01762114537444934,0.038841489854019924,0.0019099490445708604
Old Pretty,0.7534783195756943,8,0.026431718061674013,0.06482681171419939,0.004101832185098607
"Young Pretty , Tidy",0.8187317489687898,1,0.01762114537444934,0.03884148985401993,0.0019099490445708604
Humiliation,0.17032358894299787,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Peter the Great,0.22474306816936848,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Adam,0.6747438443617536,2,0.013215859030837006,0.057597719021135044,0.00207873594053526
Eve,0.6941247116875892,21,0.026431718061674013,0.060390576519783995,0.00515988958673865
Izz,0.4914507576260445,255,0.0748898678414097,0.1454188093631436,0.025812532229344504
Jonathan,0.544150413248494,50,0.05726872246696036,0.12028721458777242,0.0079099575763239
Marian,0.39715916805316775,274,0.09691629955947137,0.16744742035919194,0.03346706121850036
Retty,0.4946202330761662,98,0.0748898678414097,0.13914345795179875,0.01705716700531128
old Deborah Fyander,0.4658385870166673,10,0.039647577092511016,0.10643934967463146,0.0034107487075155617
Beck Knibbs,0.6003261216434181,9,0.039647577092511016,0.10690793134747889,0.002589079045797289
Bill Lewell,0.5552561073526189,1,0.03524229074889868,0.10146111300785486,0.0023316116092349233
Frances,0.4959108896642773,1,0.03524229074889868,0.10146111300785494,0.0023316116092349233
Dumpling,0.5704523759294984,1,0.013215859030837006,0.05786787726925626,0.0013441158196943288
Resolutions,0.20527748318567943,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Tessy,0.07805977306257647,33,0.01762114537444934,0.06688707574399404,0.004627398323309457
Cuthbert,0.7434768301642701,10,0.01762114537444934,0.05944528497832598,0.0038007800114662083
Felix,0.7390006936969402,25,0.01762114537444934,0.059445284978325956,0.00403423160993968
Deb,0.4023207567095406,3,0.030837004405286347,0.08818349456971103,0.0025847218952854013
Talbothays,0.32530611288965405,6,0.026431718061674013,0.08551986984874074,0.003054112800489263
Friday,0.18649508403658935,1,0.013215859030837006,0.06411727628389047,0.0012559619978659725
Jack,0.4046579880047286,54,0.03524229074889868,0.09488834893832852,0.0026924932018252664
September,0.17937488995781686,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
J,0.22531723510254223,7,0.00881057268722467,0.03447850872504997,0.001326077235141382
Shelleyan,0.3305243384141699,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Christianer,0.14657527325941727,2,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Mr,0.09105282199772499,7,0.030837004405286347,0.07983342006804098,0.0037629710360351787
Heaven,0.40984825995872004,5,0.030837004405286347,0.08119724016131855,0.0030863760008705554
Queen Guinevere,0.4318579656819215,1,0.00881057268722467,0.03945597393707312,0.0010800376069027397
St John,0.989906905821337,2,0.07048458149779736,0.07233804523602197,0.004777873843590242
Friar Laurence,0.1739584324352001,1,0.00881057268722467,0.03447850872504997,0.0011164523322658962
Fate,0.1803392004935012,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Love,0.17058753155174322,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
St Paul,0.9922503418802624,4,0.06607929515418502,0.083810793718008,0.004773377146616408
Apostolic Charity,0.1597887337326863,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
M. Sully - Prudhomme,0.08548013158183829,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Nuttlebury,0.2662659693072469,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
The Lord - a - Lord,0.4619177270172352,1,0.00881057268722467,0.03945597393707312,0.0010800376069027397
Squire Jollard,0.7852333738191499,2,0.01762114537444934,0.045597284029848376,0.0017330069685644093
King Lemuel,0.37625288638924337,2,0.00881057268722467,0.053920048284436035,0.001284378607424786
Mercy Chant,0.36793139837045286,28,0.022026431718061675,0.06433629100986106,0.004094985467666349
Inwardly,0.21733975023513208,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Black Care,0.13524568343221624,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Solomon,0.22220532369560955,2,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Old Lady,0.43225945550150363,4,0.01762114537444934,0.04983680594606453,0.002167464410141648
Dark Car,0.6686920846975245,1,0.01762114537444934,0.05210219281613545,0.001556631293821756
Noted,0.6622045347801467,1,0.01762114537444934,0.052102192816135484,0.001556631293821756
the Amazons,0.2740195728219258,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Paulinism,0.14993414322142246,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Parson Clare,0.5848417753597168,2,0.00881057268722467,0.034162758753286365,0.0014880666648380409
Amby Seedling,0.39359732886821613,3,0.01762114537444934,0.06139810258262587,0.00205466077905693
Flintcomb - Ash,0.14915915799907836,2,0.013215859030837006,0.061327586767934573,0.001487641426654571
Farmer Groby,0.4421737077993609,15,0.013215859030837006,0.04892926881242146,0.002871605072072107
Angels of heaven!—God,0.1891608368262261,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Methodist pa’sons,0.13768786977673447,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Hymenaeus,0.5825661115503471,1,0.013215859030837006,0.037355147125487716,0.0014265015235825273
Satan,0.5552363330018936,2,0.01762114537444934,0.040821710759577405,0.0019937328806078052
Ephraim,0.18846218355668284,1,0.004405286343612335,0.029876313138546915,0.0008675196397175912
Cupid,0.3491283482803113,2,0.01762114537444934,0.06139810258262588,0.0018097539534264223
The Tailor,0.31288786220691917,1,0.01762114537444934,0.06139810258262591,0.0018097539534264223
Lady,0.3854881827699636,1,0.00881057268722467,0.03291127940978865,0.001174546572563174
Cornelia,0.14348599698995956,1,0.022026431718061675,0.07230634571534664,0.0019521460046274138
Faustina,0.13276243122561918,1,0.022026431718061675,0.07230634571534666,0.0019521460046274138
Uriah,0.15968224754082508,1,0.022026431718061675,0.0723063457153467,0.0019521460046274138
the Cæsars,0.23624736541114957,1,0.00881057268722467,0.053920048284436035,0.0010759491235711885
Mrs Brooks,0.061967306121701225,89,0.026431718061674013,0.07200333279851087,0.002708189602991953
Giotto,0.12257370882582347,1,0.013215859030837006,0.06167907905189445,0.0012774793125031809
High,0.5417549746168852,1,0.00881057268722467,0.0274290859605357,0.0012075148658862989
the Reverend James Clare,0.5719482128051282,1,0.004405286343612335,0.024043735145889155,0.0008663242206957026
the Hebrews,0.5414616941737348,1,0.004405286343612335,0.024043735145889155,0.0008663242206957026
Hodge,0.7376734503799091,24,0.013215859030837006,0.03263961465151488,0.001799790373167828
Pascal,0.7594591999358743,1,0.00881057268722467,0.026031425321717885,0.0012487528028874697
Matt,0.9730596681125893,1,0.030837004405286347,0.03788733194783419,0.0031966980895736996
the Billets,0.9718565860806495,1,0.030837004405286347,0.0378873319478342,0.0031966980895736996
the Drenkhards,0.968582770032677,1,0.030837004405286347,0.037887331947834176,0.0031966980895736996
