character,radius,mentions,degree_centrality,eigenvector,pagerank
Jeanie,0.21798277157705961,3133,0.4329004329004329,0.4135218486773848,0.1138757315581941
Mrs. Saddletree,0.8342416102835122,74,0.04329004329004329,0.07874740123041946,0.005372535659433435
decent Mr. John Kirk of Kirk - knowe,0.945257885341581,11,0.023809523809523808,0.02804487297258597,0.002766937257980389
St. Leonard,0.32381846187479457,10,0.025974025974025976,0.07395508836963594,0.0038892149818694237
Weel,0.3874800372644856,2,0.006493506493506494,0.029189877888811118,0.0008031271886451636
Muckle,0.24164332750482204,1,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
God,0.3449026510400213,56,0.13636363636363635,0.19151298887361418,0.016719971018989976
Jeanie'--try,0.4915624604478866,1,0.004329004329004329,0.026489364645902066,0.0005666886889621212
Ratcliffe,0.7679575841378923,78,0.049783549783549784,0.08972733410448257,0.006668778306477674
Effie,0.09974173120953705,310,0.1471861471861472,0.2258412896320521,0.02770421611335788
Porteous,0.7658133507574527,16,0.045454545454545456,0.08907173100804558,0.005499455420160961
Butler,0.3118020252303145,942,0.2813852813852814,0.32601482036540913,0.06648676885070971
Effie!--Dinna,0.781472989793975,1,0.004329004329004329,0.022033030634103713,0.0005673853408124823
MacCallummore,0.5724300775111832,13,0.030303030303030304,0.06947290732167061,0.0031460433521113317
Argyle,0.2932493641534847,61,0.06060606060606061,0.12300064706058333,0.00818625987474946
Daddie Ratton,0.41422100431571557,2,0.006493506493506494,0.03433674530897691,0.00081167637617512
St. Nicholas,0.32220306963288775,1,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
Madge,0.7049206971195219,466,0.14502164502164502,0.17923943243458834,0.027164342343382216
Sancho,0.9806838454305563,2,0.010822510822510822,0.019821384713575318,0.0013880703221133845
David,0.37773749942012047,449,0.1774891774891775,0.2226639044325169,0.03129281220056546
Dumbiedikes,0.22460176580200633,97,0.025974025974025976,0.06712263409677066,0.007498248599755107
Rory Bean,0.3930727738396651,12,0.006493506493506494,0.022857666255326533,0.00127860182791739
Certes,0.5094432425753764,1,0.006493506493506494,0.02083094419266251,0.0008129114431753653
Jenny,0.46460039738952896,32,0.021645021645021644,0.041439930138552815,0.0027695554266537283
the Brownie,0.5752721405265613,1,0.006493506493506494,0.020830944192662508,0.0008129114431753653
Mrs. Balchristie,0.4997262603752667,23,0.006493506493506494,0.029183509459723932,0.0012521203404894925
Don Quixote,0.9568136319715235,2,0.015151515151515152,0.030385157184228725,0.0016915950664455688
Gang,0.31698448832803416,1,0.0021645021645021645,0.018104628624363257,0.00044418501760053457
