character,radius,mentions,degree_centrality,eigenvector,pagerank
Guy,0.2811264542197175,6983,0.638121546961326,0.28582664565674337,0.13264615370928037
Philip,0.1454177840207883,4837,0.56353591160221,0.2720671719964386,0.10429232651831724
Amabel,0.09927821226166574,1798,0.2762430939226519,0.19713442294265707,0.04055867045279059
Mamma,0.06430095375798456,43,0.058011049723756904,0.08323300864118534,0.003179317068074825
Mrs. Edmonstone,0.16714605715472514,1197,0.23204419889502761,0.18967605322667544,0.03712775472572876
Colonel Harewood,0.8412413487267867,9,0.03314917127071823,0.04285122004422378,0.0014338698622108636
Laura,0.09834837336361965,2451,0.33977900552486184,0.21335746288442115,0.06496187388900378
Amy,0.14320342937973846,3055,0.4033149171270718,0.2394655228151953,0.07837207846557367
Master Guy,0.656854623776147,11,0.0055248618784530384,0.015963108131401234,0.0005523001140496685
Charles,0.3692075645743404,3336,0.4944751381215469,0.25760261985679683,0.09141702570331045
Charlotte,0.28617571675081277,796,0.17955801104972374,0.150177097322749,0.03090314632627449
Papa,0.16810201859546772,32,0.055248618784530384,0.08216488640423503,0.0030182537205367985
Bustle,0.1592494684239392,126,0.0856353591160221,0.10823378334103839,0.0057783379192679635
Archdeacon Morville,0.6966879582726258,39,0.03867403314917127,0.0465794475227029,0.001903006489066765
Fanny,0.5332615867710013,10,0.03867403314917127,0.05769372975366842,0.0014731122429651688
Margaret,0.22047746139207194,176,0.07734806629834254,0.0934697483758737,0.004800056221507695
Noble,0.7119888049196237,2,0.0055248618784530384,0.012891496905961534,0.0005187414583910321
Lord Thorndale,0.09086009443210018,30,0.07458563535911603,0.10064608771728774,0.0027415001063800628
Plague,0.47038710122068855,2,0.008287292817679558,0.023333934524502872,0.0006197030936416525
Markham,0.33370297084819334,540,0.2016574585635359,0.16471759453313828,0.016815779550697085
Arnaud,0.2587294390639161,111,0.1022099447513812,0.10204415375492686,0.007430169743475091
Deloraine,0.46890729253298025,46,0.06353591160220995,0.07894794557240455,0.0033561460208817165
Redclyffe,0.060520588971041886,41,0.1298342541436464,0.13623387263150613,0.005983214570852897
Berosus,0.9681253411153865,1,0.011049723756906077,0.008946355790511416,0.0012522948329605015
Manetho,0.9681068961135271,1,0.011049723756906077,0.008946355790511413,0.0012522948329605015
Ocellus Lucanus,0.9700185752340843,1,0.011049723756906077,0.008946355790511408,0.0012522948329605015
Sanchoniathon,0.968878493596796,1,0.011049723756906077,0.0089463557905114,0.0012522948329605015
Dombey,0.7509309420953103,2,0.013812154696132596,0.03005685203089819,0.0006899907744104541
Fra Cristoforo,0.6341547031284799,3,0.013812154696132596,0.030131093374131186,0.0007792055528736627
Soon Guy,0.6647345615503103,1,0.011049723756906077,0.02419608048566786,0.0005992465419649132
Don Abbondio,0.23121473593873965,1,0.013812154696132596,0.036290633552848305,0.000581011043981319
Mr. Radford,0.479078988946949,2,0.011049723756906077,0.025196534615945808,0.0005506278621484431
Observe,0.6368957287176701,1,0.008287292817679558,0.017759038902016737,0.0005424727388015537
Sir Hugh,0.36354574210176194,19,0.052486187845303865,0.0627658890494249,0.002601760506870989
Mr.,0.45083094760582504,18,0.07734806629834254,0.09582237891096694,0.002962929369681282
Mary,0.1325098654052122,444,0.1574585635359116,0.14370450783020486,0.015879633033650548
Maurice,0.35597192410912987,114,0.09668508287292818,0.10818940461840709,0.005777807588120154
Horace,0.5447005084150697,1,0.0055248618784530384,0.015963108131401234,0.00048269981029520556
Triton,0.8422236516237318,4,0.011049723756906077,0.016421827788326574,0.0006782615137721867
Farmer Holt,0.8414820196083703,5,0.016574585635359115,0.021337192617540884,0.0010278625581540354
Lucia,0.5230790537723932,8,0.008287292817679558,0.02160374799920362,0.0005850961721012341
Mr. Potts,0.7434305484104249,21,0.016574585635359115,0.02859330339219987,0.0010011531837066136
Mr. Lascelles,0.453946654174599,16,0.04696132596685083,0.06340942210294226,0.0019123492008735934
Madonna di San Sisto,0.594259958095972,2,0.016574585635359115,0.031942511335793504,0.0007039385398558689
Mrs. Deane,0.610585918813602,16,0.03314917127071823,0.047775218106656386,0.0014072967153552695
Homer,0.7370004702974304,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
Mr. Lascelle,0.7739585627053319,19,0.013812154696132596,0.023608953018378852,0.0006470160285185142
Mrs.,0.6674712394879704,1,0.016574585635359115,0.03207489244683757,0.0006250401928184048
Mrs. Brownlow,0.23199741234788948,37,0.049723756906077346,0.07124018110855877,0.0026944727339542783
Aeneas,0.4243765035811231,2,0.022099447513812154,0.044946300598832006,0.0007211394685101303
Mr. Brownlow,0.6344098679807191,21,0.03591160220994475,0.049132506849236465,0.0015303285921002237
the Miss Harpers,0.6395576875534189,6,0.03591160220994475,0.05716079321488863,0.001094592609714892
Montrose,0.6288055542719755,6,0.0055248618784530384,0.01554923150726389,0.0005155499059202087
Ben,0.7245763326233806,36,0.058011049723756904,0.06471618416092373,0.002557358973068922
Jonas Ledbury,0.8535087312578279,13,0.03038674033149171,0.0334084968866295,0.0011664796786759238
Sintram,0.1161726610066795,11,0.03591160220994475,0.06902359413196399,0.001333958290619516
Charles II,0.8636778487997018,1,0.008287292817679558,0.010268139870176793,0.0007085920486864631
Dark Hugh,0.8535938797809931,1,0.008287292817679558,0.010268139870176803,0.0007085920486864631
Judge Jeffries,0.835748408690021,1,0.0055248618784530384,0.009198012469016584,0.0005406255995543075
William of Orange,0.8481368047144572,5,0.027624309392265192,0.0356342032531855,0.0011983228249053467
the Morvilles,0.27043312307632567,11,0.03314917127071823,0.05410516771117645,0.0013434031255839594
Raffaelle,0.5810076824245479,2,0.008287292817679558,0.022814974765309394,0.0005474567350952644
Dear P.,0.6728165500786477,3,0.0055248618784530384,0.015030271748070421,0.0004804017547731288
Mr. Morville,0.17217484097195565,87,0.07734806629834254,0.09646520088443482,0.0038079553386129276
Mrs. Morville,0.6841769221507753,25,0.022099447513812154,0.029932271108768563,0.0008856106754174902
Captain Wellwood,0.71858955787385,3,0.0027624309392265192,0.008178405114162261,0.0004828234442503309
Hollywell,0.03663324384660748,41,0.06629834254143646,0.08738438776195875,0.004122716138402925
Hecuba,0.5124496079236222,1,0.011049723756906077,0.024326891157744827,0.0005544859684347995
Mr. Ross,0.2064221575251722,97,0.0856353591160221,0.10014719259369542,0.005135297370617737
Andrea Doria,0.9319966591593811,1,0.013812154696132596,0.01746204093248198,0.000987053374926143
Khan of Kipchack,0.9286595093664661,1,0.013812154696132596,0.017462040932481958,0.000987053374926143
Marco Polo,0.9328143102168277,1,0.013812154696132596,0.017462040932481965,0.000987053374926143
Sir John Mandeville,0.9242267208273156,1,0.013812154696132596,0.017462040932481958,0.000987053374926143
the Venetians,0.7212886525278045,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
Ellen,0.6196382145875998,7,0.022099447513812154,0.0421750381341521,0.0009497175384422193
Robinson Crusoe,0.6389514514157354,1,0.013812154696132596,0.028837738009045617,0.0006102665213327049
Byron,0.6175864839386512,4,0.0055248618784530384,0.015963108131401234,0.0006217767838490063
Oxford,0.41432845800211204,2,0.022099447513812154,0.044760296461530805,0.0007084456268824443
Lady Kilcoran,0.43479901151185657,27,0.055248618784530384,0.0764411581816349,0.002241928612608346
Captain Morville,0.13561266951314227,171,0.10497237569060773,0.12471186514254551,0.007148119424612626
Eveleen,0.14413671736599354,488,0.1408839779005525,0.13616689776973864,0.01846583303441588
Lord Kilcoran,0.39451680484838936,47,0.07734806629834254,0.10036989144573462,0.004127147394807579
Allonby,0.7336422122768854,1,0.0055248618784530384,0.014283237508599556,0.0004801927568856287
Poor Mary,0.44969487664296326,6,0.024861878453038673,0.051551086943612094,0.0007065909132103791
the Miss Alstons,0.1628047100346646,4,0.019337016574585635,0.044431617369089266,0.000783054960249513
Mr. Alston,0.33325943173421285,2,0.011049723756906077,0.03018580115841103,0.0005488415794687896
Colonel Deane,0.21372742454587457,8,0.04143646408839779,0.0689149675644304,0.0012299277016211954
Helmine von Chezy,0.6393360457087992,1,0.0055248618784530384,0.015963108131401234,0.00048269981029520556
Thalaba,0.7849639492097338,2,0.011049723756906077,0.021561445421929875,0.0007180008085130219
Southey,0.8011363765706296,2,0.008287292817679558,0.014900178714701147,0.0006022466953660812
Sits hushed,0.6994891946054553,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
Answers,0.5423634033739554,1,0.011049723756906077,0.026429575863316148,0.0005512837139440177
Dr. Mayerne,0.2500823486221487,62,0.06629834254143646,0.08687945978146268,0.004002512733317719
Eva,0.35953964717316517,127,0.06629834254143646,0.09082138046763263,0.004897915745849668
grandmamma,0.49855318596958625,2,0.013812154696132596,0.034146570403411715,0.0006130175248394582
Broadstone,0.657472498154529,4,0.011049723756906077,0.024230745481320988,0.000649370582315408
Mr. Gordon,0.6197872799237192,3,0.024861878453038673,0.04016237904050844,0.0008084307180671289
Mr. Thorndale,0.22140271747510273,92,0.11878453038674033,0.12870315861813889,0.00744236452685919
Butler,0.5716280893622978,1,0.013812154696132596,0.03408196713881098,0.0005806046611831331
Thursday,0.5534913798477851,1,0.016574585635359115,0.035073943583925044,0.000612314917286502
Petrarch,0.5746629436501786,5,0.013812154696132596,0.031697717550846445,0.0006904524066775695
Joan of Arc,0.7146386885110911,13,0.013812154696132596,0.02673302742919662,0.0010990560585905436
Sir Galahad,0.5339650365604516,8,0.024861878453038673,0.03855277061154132,0.0014599479962243342
the Saint Greal,0.6427928945949114,2,0.011049723756906077,0.022292988180744357,0.0007046477993039989
squire,0.42220110875111017,1,0.011049723756906077,0.02876116682532231,0.000547395523174922
Mr. Dixon,0.3419312088476654,192,0.058011049723756904,0.07874630712042606,0.003530994426089646
Sebastian,0.7313474625903812,18,0.013812154696132596,0.024976306990217908,0.000749326964682717
old Redford,0.6306801862495275,16,0.008287292817679558,0.01821628924891154,0.0006579328397438053
Music,0.7849092441180225,1,0.0055248618784530384,0.009511190554649204,0.0004955924107505274
the Brownlows,0.3525145672339445,2,0.016574585635359115,0.03402360794959018,0.0006724594178967378
the Miss Nortons,0.7244748139657402,1,0.008287292817679558,0.01750180339538168,0.0005107187801936046
"robust,--was",0.682205204521936,1,0.013812154696132596,0.029079794619130413,0.0005772425829474481
"Miss Ross,--I",0.6750879886255146,1,0.008287292817679558,0.019142112612543682,0.0005126080445864344
Mr. Wellwood,0.03300018506094005,44,0.06353591160220995,0.08730044770824745,0.002393846878552918
Mrs. Drew,0.46595433786378415,14,0.04419889502762431,0.06117992375637376,0.0017610942452938835
Jenny Robinson,0.7329886426489043,9,0.027624309392265192,0.03587675664782293,0.0010820623372140062
Lady Thorndale,0.4487820496186678,7,0.04419889502762431,0.0682693451678494,0.0012093204466389602
Lord,0.6825177942734341,4,0.019337016574585635,0.035244413122688806,0.0006461362576486914
Louisa Harper,0.6846048014706706,3,0.013812154696132596,0.026638907627050464,0.0007698160110937455
the Edmonstones,0.0496651110802469,16,0.058011049723756904,0.08234873324216763,0.0021020204968557462
Mrs. Henley,0.15765285503256135,246,0.10773480662983426,0.11393556216856457,0.00690425859480037
Dr Henley,0.8989293895619913,1,0.019337016574585635,0.025455962939359034,0.000768325372399834
Miss Wellwood,0.2380166744185045,76,0.09392265193370165,0.0988804641401174,0.004583845350069173
ST MILDRED,0.9179461156091435,2,0.03314917127071823,0.02845224716608185,0.0014017299314274183
Tom Harewood,0.8895710700412318,10,0.04143646408839779,0.03981202630057742,0.0019317260351857956
C. Edmonstone,0.9205070825831535,4,0.024861878453038673,0.025946914889024536,0.0011284176742341646
Drummond,0.9383298352089126,1,0.019337016574585635,0.012846111555348514,0.001001883794253967
John White,0.9245711072984428,2,0.027624309392265192,0.028781100868228802,0.0011236112458925176
Mr. Grey,0.9285437555406708,2,0.019337016574585635,0.012846111555348537,0.001001883794253967
one Jack White,0.9165228289180732,5,0.03591160220994475,0.02729302354750985,0.0015231632755025866
Miss Morville,0.3821775402513588,4,0.03591160220994475,0.05685038455468353,0.001244624941275036
Stylehurst,0.5214038956780289,6,0.03038674033149171,0.04739216102281668,0.0010002572259028408
Elizabeth,0.4594075937816616,11,0.03314917127071823,0.05085724683287006,0.0009576657201721606
Dr. Henley,0.5081277670327656,20,0.027624309392265192,0.04394589703251581,0.0013136524225167304
Mrs. Dixon,0.503777912135342,65,0.024861878453038673,0.03854675284944937,0.0016083351578108833
Harry Graham,0.45796346371794544,11,0.022099447513812154,0.041750503562761936,0.0009089536928689235
Young Graham,0.7200427082600241,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
"Amy,--‘that",0.8210348649489547,1,0.008287292817679558,0.0164333173606211,0.0006735343616637257
Meddling coxcomb,0.7915322713964411,1,0.008287292817679558,0.016433317360621095,0.0006735343616637257
Morning,0.559006449880735,1,0.008287292817679558,0.02240109814117205,0.0005141650615466835
Marianne,0.8464191712091024,19,0.013812154696132596,0.014806468944889198,0.0008721084812927298
Felix,0.8418613176015801,16,0.008287292817679558,0.010983624911069002,0.0007717781757643131
the Thorndales,0.5497934354412306,9,0.019337016574585635,0.03541814577276637,0.0007728799229699397
the Miss Wellwoods,0.6373105474678018,2,0.011049723756906077,0.022052448311493566,0.0005927580926258129
Young Morville,0.8839818669204911,4,0.016574585635359115,0.0223693621744369,0.0007311195541204526
Mr. Ashford,0.6391812953835013,114,0.09944751381215469,0.08960754141269038,0.005911472152106766
Railroads,0.6736625235235344,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
Mrs. Lavers,0.8269924163084389,83,0.022099447513812154,0.022303366093984194,0.0015345123758774915
Boots,0.8414591551332724,1,0.008287292817679558,0.013529666811034438,0.0005406524560498145
old Whiteface,0.7690719476030987,3,0.022099447513812154,0.02901342781350709,0.0008600873317004502
Todd,0.5882448743152263,9,0.016574585635359115,0.03193046259739445,0.0010031590232947344
Halroyd,0.7558228309236696,8,0.011049723756906077,0.02097871511425419,0.0006315741969922612
old Sarah,0.7439557543681283,3,0.019337016574585635,0.026901945241172547,0.0007747197532847251
Mr. Bernard,0.7649398020115779,1,0.022099447513812154,0.03318353612892706,0.0007296651671223685
Mrs. Ashford,0.481168424095775,89,0.09116022099447513,0.10556423832093678,0.004962338094618912
Grunt,0.7527354400934826,32,0.019337016574585635,0.028549096122625014,0.001010006022625476
Edward,0.8280282062777862,7,0.024861878453038673,0.031280878366921505,0.0009623214112968887
Robert,0.806298825620217,4,0.027624309392265192,0.0323877258126453,0.0010673936586832787
old John Barton,0.8305141655801169,1,0.008287292817679558,0.012594095413321836,0.0005450761494090513
Coombe Prior,0.3487889501947103,10,0.055248618784530384,0.06817646477276412,0.0022266296447567228
Mr. Harrison,0.8294634564828272,3,0.011049723756906077,0.016289841568147164,0.0006698049603917523
Lely,0.7125922780525725,1,0.0027624309392265192,0.008178405114162261,0.0004480232923730994
Harry Ray,0.8663250241204734,6,0.03314917127071823,0.034719458089814775,0.00122126074385117
Jem,0.8114999413356817,33,0.04696132596685083,0.03978999999794136,0.002434934990662686
God,0.28846362888191385,13,0.03038674033149171,0.052050759509455716,0.0010414828830503685
Robin,0.8377726451765107,4,0.011049723756906077,0.013162371877789217,0.0006884819714895349
the Ashfords,0.7041140096837691,43,0.055248618784530384,0.06546280914717575,0.002132249431453898
Mrs. Bernard,0.7402883833208854,1,0.0055248618784530384,0.01109821137302973,0.0004827195158462358
Ben Ledbury,0.8839331207498468,1,0.013812154696132596,0.012501371907987627,0.0007714286286805253
