character,radius,mentions,degree_centrality,eigenvector,pagerank
Kemp,0.7369511917515268,1065,0.3333333333333333,0.22403607454266253,0.11612804184023919
Cuss,0.27853109973559026,191,0.2361111111111111,0.2977626028382247,0.03685205724039395
Henfrey,0.2839396474231418,146,0.25,0.30099915174038394,0.05601286765592178
Mr. Marvel,0.2816912874132685,547,0.29166666666666663,0.28201314599730476,0.06937960755353094
The invisible Man,0.5649530533921265,7,0.08333333333333333,0.11948533502647034,0.009319626268149247
the Stranger,0.48397609288961785,2,0.06944444444444445,0.11846530836239158,0.006642038647978324
DR . KEMP,0.9136696650725444,5,0.027777777777777776,0.024000505151521016,0.0055779448613524855
Hullo,0.9185367698412027,1,0.027777777777777776,0.024000505151521016,0.004451006938572266
Thence,0.7997277322917844,1,0.013888888888888888,0.02167816927574658,0.002870524833696188
Good Heavens!—Kemp,0.7950022900121116,1,0.013888888888888888,0.02167816927574658,0.002870524833696188
the Voice,0.7703940048429941,51,0.041666666666666664,0.05643429287780719,0.021509273337199243
the Invisible Man,0.6859320989750666,155,0.16666666666666666,0.15347123006048097,0.05521813710802528
Griffin,0.851966192739867,151,0.09722222222222221,0.0590451339163871,0.026993888431261312
God,0.7083192856819928,7,0.06944444444444445,0.10383350176661797,0.009394995174867103
Mr. Huxter,0.26600834188684486,69,0.16666666666666666,0.2626743998645388,0.028625561365757043
Port Burdock,0.8316253805365741,5,0.09722222222222221,0.08556063731845157,0.011395176281707518
Adye,0.8554478131344585,129,0.1388888888888889,0.07717887797295156,0.04295692350885461
Delilah,0.7574023255692541,1,0.013888888888888888,0.02167816927574658,0.002870524833696188
Heaven,0.6986444878673739,4,0.05555555555555555,0.08852680707784176,0.006150839431996388
Hopps,0.9094857743981218,1,0.041666666666666664,0.032268513159426464,0.005113040645100441
Jove,0.9178132547334451,1,0.041666666666666664,0.03226851315942646,0.005113040645100441
One,0.7370579249501231,1,0.013888888888888888,0.02167816927574658,0.002870524833696188
Mr. Wicksteed,0.8794860662609997,13,0.08333333333333333,0.05853673519771259,0.009814084517737472
Death,0.8296351470156087,5,0.027777777777777776,0.029957184085823273,0.003839142653189112
Mr. Heelas,0.9374212445562938,36,0.041666666666666664,0.022137111509486787,0.011178587500610853
Mrs. Hall,0.3213747346124561,315,0.3333333333333333,0.3316645797956927,0.08355096212457604
Millie,0.38934769914320183,84,0.09722222222222221,0.15883265795964738,0.020265007855369443
Lord,0.4730958689227145,9,0.041666666666666664,0.06614736971834251,0.009726720546602103
Stones,0.38504423704079704,3,0.013888888888888888,0.02728814423924944,0.002909289912818612
Mr. Hall,0.27726683795049506,72,0.2222222222222222,0.28687822499416027,0.04519642725529486
Mr. Bunting,0.2959205046982619,86,0.1388888888888889,0.1998367913737883,0.027777642697617094
Blimey,0.4052423756767279,1,0.013888888888888888,0.02728814423924944,0.002909289912818612
Fear,0.4223905308902078,1,0.013888888888888888,0.02728814423924944,0.002909289912818612
Footsteps,0.4025502755170769,1,0.013888888888888888,0.02728814423924944,0.002909289912818612
Gawd,0.37986468718409777,2,0.013888888888888888,0.02728814423924944,0.002909289912818612
Lemme,0.3801189094168385,3,0.013888888888888888,0.02728814423924944,0.002909289912818612
Gleeson,0.380847439710252,1,0.027777777777777776,0.06121778153300421,0.00366459515631497
Fearenside,0.7081062513910944,28,0.09722222222222221,0.11493081895856891,0.015172647629678324
Carrier,0.5826401497180939,1,0.013888888888888888,0.032092514200034526,0.0028710805448231634
Mr. Wadgers,0.44976210822195295,26,0.19444444444444442,0.22994244267347114,0.029097820588154494
Mr. Gould,0.3312481770447215,4,0.027777777777777776,0.06121778153300421,0.00366459515631497
April,0.5173770128664733,2,0.05555555555555555,0.09816183711055163,0.005661268032409497
Whitsuntide,0.500436555075556,1,0.05555555555555555,0.09816183711055158,0.005661268032409497
Whit Monday,0.443928769635863,3,0.125,0.14460325049241643,0.013512244057295742
George,0.5438568522229703,2,0.027777777777777776,0.05985141300972087,0.0036550884066002647
Janny,0.3178853955870347,5,0.041666666666666664,0.0889766803426905,0.00526488904236729
Mr. Shuckleforth,0.6178146362942126,2,0.027777777777777776,0.054342195221851144,0.0037239402626820153
Babel,0.8316489643054409,1,0.027777777777777776,0.0355305165572688,0.00499316216184735
O Bogey,0.8364064579853404,1,0.027777777777777776,0.035530516557268806,0.00499316216184735
Jaffers,0.3534065837495377,57,0.18055555555555555,0.24663453042274353,0.026428250212634542
old Toothsome,0.4711629668236351,1,0.041666666666666664,0.08508262165155558,0.00449659249545003
Mrs. Bunting,0.7216842945946627,20,0.041666666666666664,0.04860376280426441,0.010010091275392454
Iping,0.5177321905392402,8,0.125,0.13620221437429825,0.011888482176441824
Higgins,0.7977270707637457,1,0.041666666666666664,0.031032096101522418,0.005507602773784063
Mrs. Gribble,0.7908968280096589,1,0.041666666666666664,0.031032096101522418,0.005507602773784063
Oliver,0.9140036800065718,3,0.013888888888888888,0.0057133227787599696,0.0029373508206692227
Jolly Cricketers,0.9355238529057087,1,0.013888888888888888,0.0057133227787599696,0.0029373508206692227
Leastways,0.7639265046938062,1,0.027777777777777776,0.04024619843065145,0.004137957978712166
Phipps,0.5316428008238201,1,0.05555555555555555,0.10065667776803146,0.005318088689540961
Dogs,0.9101978629178638,2,0.013888888888888888,0.007467979362811182,0.0028485973891540176
Cuss—“incredible,0.5603096906502215,1,0.013888888888888888,0.019336599249769874,0.00292927297366393
Arm,0.6456207423708683,1,0.041666666666666664,0.06537753883863966,0.004511982235997176
the Sidderbridge carter,0.4999473341827278,1,0.05555555555555555,0.09929030924474809,0.005308581939826256
the Unseen,0.6044178338811259,1,0.05555555555555555,0.07328580778856424,0.006138668808884348
Doctor Kemp,0.9604584146509949,8,0.027777777777777776,0.002371501374980834,0.0059349435315044245
Mr. Kemp,0.9561415028337388,4,0.027777777777777776,0.002371501374980831,0.0059349435315044245
Fearenside—“You’d,0.8165113088565908,1,0.013888888888888888,0.011120931097681745,0.003344443367220359
Silas Durgan,0.8101945398936176,1,0.013888888888888888,0.011120931097681745,0.003344443367220359
Haysman,0.7903657459325892,1,0.013888888888888888,0.0047029952638651465,0.003270278607706366
Lord Burdock,0.9169605783216769,2,0.013888888888888888,0.005664129123204742,0.0032464558085669674
Miss Statchell,0.6617381454406692,1,0.013888888888888888,0.011561634990974953,0.003375129175724252
Young Archie Harker,0.8527144639994332,5,0.027777777777777776,0.015491036724574626,0.005793323557251302
Mrs. Huxter,0.86141934024062,1,0.027777777777777776,0.015491036724574619,0.005793323557251302
