character,radius,mentions,degree_centrality,eigenvector,pagerank
Michael,0.09229270569260276,3645,0.44787644787644787,0.3123901113501588,0.11890468129679789
Sir Matthew,0.3501362658292062,1773,0.44787644787644787,0.29699988855442366,0.1036097186684135
Dr. Crockley,0.3638494683633874,278,0.12355212355212356,0.15252061237395526,0.019379218751267264
Lady Clarissa,0.37979859565497964,582,0.21235521235521235,0.21236474275186154,0.03714139117642389
Edward,0.14956316070176018,517,0.1312741312741313,0.15894803389150616,0.029611492917234167
Lady Cla- rissa,0.7174552907885958,47,0.019305019305019305,0.03892406240798491,0.0016476651484017032
God,0.24493395590309966,92,0.16602316602316602,0.1750221543373438,0.015882038013336236
Highlandloch,0.878196963414588,2,0.015444015444015444,0.030893585283773888,0.0010969580042880166
Dame Knight,0.6943449620235724,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Parsons,0.47254404496578545,397,0.1969111969111969,0.1799368821443115,0.02866836312924864
Mr. Simkins,0.8935952310662592,24,0.03861003861003861,0.043324303941738425,0.0032571957358120823
Mother,0.8813118235373617,9,0.02702702702702703,0.036943420635983645,0.0019138752460728637
Mrs. Thompson,0.8509440373068106,75,0.05791505791505792,0.05897217364761902,0.006318872583099415
Mary,0.30946466698610503,1869,0.2857142857142857,0.24992985346795268,0.06272152316191447
Mr. Osmond Norval,0.4468582817226116,54,0.07722007722007722,0.11487880192277217,0.008490311579640811
Robert Sykes,0.6058164642859916,3,0.007722007722007722,0.02122997255030301,0.0007895245470996196
Deed,0.3591297995808258,1,0.011583011583011584,0.03313203537970939,0.000873886501063121
Mr. Joseph Par-,0.7997013639278936,10,0.015444015444015444,0.03340137214726048,0.001262705055080356
Mr. Butchel,0.8593859424351716,27,0.03474903474903475,0.04576744553482478,0.003438275163919653
Mr. Larkin,0.5229854112123713,8,0.011583011583011584,0.03403711001132118,0.001114558496093278
Mrs. Armstrong,0.35011680893724384,126,0.08494208494208494,0.1250609218312647,0.010440861572881465
Sundays,0.7821041405240454,3,0.03474903474903475,0.06784507675259643,0.001840474941721926
Peggy,0.8088878326012131,99,0.06177606177606178,0.0653577013282484,0.007356104769945708
Mr. Jennings,0.8376515148144777,40,0.03861003861003861,0.04670254375334273,0.004470086182723361
THE MISS DOWLINGS,0.4768497251326942,2,0.019305019305019305,0.05084548849203699,0.0010905555890191295
Mademoiselle Beaujoie,0.6744314924943191,9,0.02702702702702703,0.05252478290472862,0.0017569696778629693
Ma'mselle,0.6400267265773119,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Martha,0.09298848612811793,1705,0.25868725868725867,0.23648956426542345,0.06971164933446691
Miss Bowlings,0.5349342942518914,3,0.019305019305019305,0.04796625085593885,0.0010706361873330534
Miss Harriet,0.4640688275499108,25,0.06177606177606178,0.09402476501090563,0.0048764408928230986
Mrs. Bell,0.4176944901450891,41,0.04633204633204634,0.08721685235514862,0.0028751776884692317
Mr. Sykes,0.6339192484644661,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Master Factory,0.4057222554444017,1,0.011583011583011584,0.036475757302535994,0.0008763893807300044
Miss Brotherton,0.19118118747835103,1027,0.25096525096525096,0.23978503308139473,0.05592957641253221
Miss Mogg,0.5253669624911093,48,0.08494208494208494,0.11757651481454735,0.007270118713168326
Mrs. Gabberly,0.2632437667477361,284,0.09266409266409267,0.14049968766829457,0.01490011369191144
Miss Arabella,0.6425049947030856,11,0.05405405405405406,0.08231380308508608,0.0040547093070253705
Lady Bowling,0.27800293801931925,14,0.03088803088803089,0.07354433793390174,0.002101177145781487
re-,0.3285687412205428,17,0.02702702702702703,0.06196990539563892,0.001655282866928131
Papa,0.39842082138289875,18,0.02316602316602317,0.05373752381441449,0.001271270516726438
D'ye,0.8326913976055359,2,0.019305019305019305,0.031725258291740506,0.0014596998497167512
Miss No,0.8425018243492417,1,0.011583011583011584,0.022598019339499616,0.001037855651449393
Milton,0.39045883355890254,2,0.019305019305019305,0.04783825687286623,0.0012722758052027198
Mr. ^Norval,0.4241584312858036,2,0.019305019305019305,0.04783825687286623,0.0011563547358362982
Lear,0.5234759120821971,1,0.011583011583011584,0.03444601778787982,0.0008674591019914743
Dowling Lodge,0.47920700437236907,6,0.03861003861003861,0.07983853510621061,0.001842844306918867
Blackguard,0.8605917113701355,2,0.015444015444015444,0.02751339726041807,0.001659695780531418
Vermin,0.8695792881601275,1,0.007722007722007722,0.014657214113601685,0.0010288460237295061
MISS BROTHER - TON PUSHES,0.5336967035722922,77,0.03474903474903475,0.07012907494797696,0.0027377714759313837
Mrs. Tremlett,0.22375840930433347,537,0.1891891891891892,0.2084630404403865,0.03170207111569798
Mr. Elgood Sharpton,0.7107433541487769,57,0.06563706563706564,0.08958765910569233,0.00583496532599553
James,0.5725049385862383,10,0.019305019305019305,0.04126153348861726,0.0011988488700802504
Joe Drake,0.34658779888652363,1,0.019305019305019305,0.05397203480233876,0.0010918773366377162
Whereupon Mr. Parsons,0.5412045123372936,1,0.011583011583011584,0.03403711001132118,0.0008953761834636683
Miss,0.5881080816064711,4,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Mr. Cantabury,0.5552473455248909,9,0.015444015444015444,0.03767896926866799,0.0012647230655241936
"Mr. Elgood Sharpton,/0r",0.563844849229216,1,0.011583011583011584,0.027902708230958008,0.0009970380721549164
Astonishment,0.6499683229729825,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Cowling Lodge,0.6901428756770024,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Miss Brother- ton,0.161385839895617,9,0.03088803088803089,0.0751035147650107,0.0021030811150261806
Jove,0.7152129749406022,4,0.02702702702702703,0.05168476682142529,0.0019866408944806263
John,0.37282630756693785,1,0.007722007722007722,0.026277927355914426,0.0007820455071981071
Mr. Parson,0.6041901650798235,1,0.003861003861003861,0.013470789894896276,0.0006761938708340585
Dame Pritchard,0.6235280184666303,2,0.007722007722007722,0.02122997255030301,0.0009028552233651809
Mrs. Pritchard,0.6722079720961022,1,0.007722007722007722,0.02122997255030301,0.0007895245470996196
Charley Ford,0.6560738296734844,5,0.003861003861003861,0.013470789894896276,0.0008747354586560213
per- haps,0.6584197301217988,2,0.011583011583011584,0.029727203977545972,0.0008623007541815378
Fanny,0.4424825921697049,360,0.138996138996139,0.15681756145697745,0.023468377660102294
April,0.8876397185488313,1,0.011583011583011584,0.01706137042741284,0.0011376650452666925
Mi- chael,0.7296210515514198,13,0.04633204633204634,0.06620485680322108,0.0031110996262574946
wijl,0.8757369390066948,1,0.011583011583011584,0.017061370427412834,0.0011376650452666925
Mr. Bell,0.31407986080297273,377,0.11969111969111969,0.15093303206618583,0.019604360558467204
Betsy Price,0.5733919594168326,2,0.011583011583011584,0.027780279625308376,0.0010826343018608504
Mrs. Poulet,0.6801379012322243,12,0.015444015444015444,0.031643450990664616,0.001514495002475267
Poulet,0.8060335717615885,40,0.04633204633204634,0.051838567190941605,0.003922564373903498
the iron - hearted Potilet,0.8130714197851562,1,0.011583011583011584,0.022468395027627167,0.0009596697497712646
