character,radius,mentions,degree_centrality,eigenvector,pagerank
Dick,0.13216779092997286,3344,0.7318840579710145,0.4730624380677544,0.25891015096053077
Maisie,0.27952732678166115,1384,0.2971014492753623,0.28048788493750854,0.10418150652486895
Revolvers,0.38180272952215233,1,0.014492753623188406,0.049541091378454014,0.0015376840120575053
Mrs. Jennett,0.5346506114470695,55,0.028985507246376812,0.060340602539169265,0.008907023214730591
Amomma,0.6178030587381002,35,0.028985507246376812,0.057011522849833685,0.009141151536607082
Amomma!—he,0.530924052906476,1,0.007246376811594203,0.03110081537562449,0.0013157651943726343
Providence,0.33140637799467715,7,0.050724637681159424,0.10725565207548955,0.004164505144413814
Torpenhow,0.08276384573354768,850,0.3695652173913044,0.3225439615155318,0.10477596620306938
Philae,0.20556290758738194,1,0.014492753623188406,0.0523060081586126,0.0015526130255178456
"Maisie,—and",0.20112611152539472,1,0.021739130434782608,0.0707462841614421,0.0017745318432027166
God,0.13755244904571268,19,0.07246376811594203,0.13823299642763245,0.00820999419326218
Madame Binat,0.7568140612855663,63,0.10144927536231885,0.12345835628702427,0.014019306224110033
Monsieur,0.8671147827903608,12,0.028985507246376812,0.0426984191559637,0.00413791644808465
Monsieur Binat,0.8554391877631498,7,0.021739130434782608,0.04202455562769095,0.003969717066348551
"I,—Binat",0.7951287597579771,1,0.014492753623188406,0.03921740895076446,0.0016063899042540438
Mr. Heldar,0.12053010191049665,31,0.043478260869565216,0.09546023468525829,0.005445071356165594
Torp,0.20584360433278903,97,0.15217391304347827,0.19152326879090287,0.02485007504177622
Ishmael,0.35084456767474714,1,0.007246376811594203,0.03110081537562449,0.0013157651943726343
"Vootsak_,—get",0.15987452304361538,1,0.021739130434782608,0.06489743234171141,0.0018040590338058255
the Egyptians,0.5823877098877983,1,0.007246376811594203,0.03110081537562449,0.0013157651943726343
Dickie,0.3113023940922216,41,0.06521739130434782,0.11487814110957477,0.00814347550999058
Art,0.5900402671891428,3,0.036231884057971016,0.07631344907292494,0.003168148046862827
Cassavetti,0.5727126258962012,16,0.036231884057971016,0.07324192427021174,0.0037473684089998783
the Nilghai,0.40294327604457636,225,0.2971014492753623,0.23460281948396774,0.05755348618337827
Pigs,0.5089911805796237,1,0.014492753623188406,0.04652444318504031,0.0015906253544284727
the Keneu,0.3001756370443792,24,0.08695652173913043,0.13855252269242593,0.011416427734488066
Jove,0.11989133895291888,12,0.050724637681159424,0.11153095215572122,0.005116806645042763
Halloo,0.6018860387397736,1,0.021739130434782608,0.053289232646397865,0.001766190664196257
John,0.6033550355949202,1,0.014492753623188406,0.03911061059531704,0.001554350819720912
Kami,0.4409714235854334,79,0.07971014492753624,0.12183388793147162,0.014316267434148476
the Balkans,0.5541038931204623,2,0.014492753623188406,0.04652444318504031,0.0018654855144843116
"yet,”—he",0.4904217567057557,3,0.014492753623188406,0.04652444318504031,0.0015906253544284727
"Torp,—in",0.23594655444814638,1,0.014492753623188406,0.0523060081586126,0.0015526130255178456
"Maisie,—always",0.411228592192472,1,0.014492753623188406,0.049541091378454014,0.0015376840120575053
Chuck,0.3231404109786774,1,0.014492753623188406,0.049541091378454014,0.0015376840120575053
Line,0.6423037458698887,1,0.028985507246376812,0.06160073936113023,0.002255548709418665
Oils,0.6052967679532938,1,0.028985507246376812,0.06160073936113021,0.002255548709418665
"Dick,—this",0.6074255397568279,2,0.021739130434782608,0.05732312704040013,0.0019373086633080747
Turks,0.5004773981866106,1,0.014492753623188406,0.04652444318504031,0.0015906253544284727
