character,radius,mentions,degree_centrality,eigenvector,pagerank
Henchard,0.017872848316068904,4352,0.7241379310344828,0.4919119181285514,0.2626306609931632
God,0.1037249205300113,11,0.041379310344827586,0.08951889656585954,0.005202970132182535
Nature,0.40108028289333264,2,0.006896551724137931,0.03367236878657923,0.0015557503728420583
Newson,0.15718630563407354,352,0.06896551724137931,0.12194283988724385,0.027639629081689984
Lord,0.5828082077102977,7,0.06206896551724138,0.10738358262841703,0.004964762667863242
Longways,0.47531731094049023,56,0.1103448275862069,0.16387344349229235,0.012420938954129417
Stannidge,0.6690588555958704,17,0.041379310344827586,0.09778223635329521,0.004321793363710964
Jipp,0.36021750633435373,2,0.013793103448275862,0.04541973468837622,0.001547548908072626
Jopp,0.30045663491954994,177,0.1103448275862069,0.17161457604414487,0.022286513510896635
Heaven,0.4307152793107803,6,0.027586206896551724,0.07907901447614517,0.003260041117766412
Farfrae,0.35766426046983646,1067,0.48275862068965514,0.38682386704256894,0.17235667348752007
Christopher Coney,0.4796429869054469,88,0.1586206896551724,0.19516431834995082,0.01965416200132058
bonnie Peg,0.28976955864756976,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Providence,0.3888878793135703,3,0.006896551724137931,0.03367236878657923,0.0015557503728420583
Bethesda,0.33157880140335066,1,0.013793103448275862,0.04541973468837622,0.001547548908072626
Susan,0.27916150131211726,35,0.04827586206896552,0.10691619935640598,0.007212180916309429
Chippendale,0.622176544792116,1,0.027586206896551724,0.06969242272928301,0.0026891849673261452
Josephus,0.5972243133380297,1,0.027586206896551724,0.06969242272928294,0.0026891849673261452
Sheraton,0.6648453152219406,1,0.027586206896551724,0.069692422729283,0.0026891849673261452
The Scotchman,0.39713897751052823,5,0.04827586206896552,0.112175785809043,0.0036131154121257563
Susan?—I,0.34918679957965704,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Achilles,0.15451656557772242,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Job,0.1833414092629352,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Casterbridge,0.25127564091227167,12,0.04827586206896552,0.09634172028297065,0.006470405798155363
Buzzford,0.6700073813272558,16,0.06896551724137931,0.12244602255430535,0.00787683049487928
Nance,0.4601792821567416,41,0.06206896551724138,0.12019814235044476,0.006270380269652551
Mother Cuxsom,0.5323056243225915,12,0.07586206896551724,0.1213654935389885,0.0063012146245976924
Mrs. Cuxsom,0.5306831051541163,36,0.08275862068965517,0.1426936584998161,0.006776370008160363
Toad,0.7191134372689617,1,0.034482758620689655,0.06989135183576257,0.002778372070875134
old Dame Ledlow,0.6262230758034368,1,0.034482758620689655,0.06989135183576262,0.002778372070875134
Jack Griggs,0.5592366494447236,11,0.04827586206896552,0.09282238524553747,0.005368081060411789
Joan Dummett,0.5923876704835842,1,0.027586206896551724,0.06101138946920946,0.002321118080037881
Miss Henchard,0.30707956193105035,20,0.04827586206896552,0.09804335768331086,0.00613353498474576
Miss Newson,0.39954643942525314,34,0.027586206896551724,0.06899835118144822,0.005596159286828456
Lizabeth - Jane,0.28561371878719133,4,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Whittle,0.06303770121929937,180,0.06206896551724138,0.11843549592500623,0.013453917386977737
Maister Farfrae,0.1794981261096377,11,0.020689655172413793,0.06825839725167977,0.0033819740375193386
Correggio,0.3003829612111816,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Fortune,0.11910712504612114,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Alderman Tubber,0.8626323439506358,3,0.034482758620689655,0.06968042579475073,0.003865919641208072
jocular Mr. Tubber,0.5448207429914209,1,0.013793103448275862,0.04002624937465001,0.0016717973928571362
Miss Newson?—and,0.2420043826231565,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Dear Sir,0.1797829684772692,1,0.013793103448275862,0.060151247273731834,0.0015463352970485626
Jacob,0.4251877328633096,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Character,0.7447186468508254,1,0.034482758620689655,0.0756958509895652,0.003155644067070424
Fate,0.7629070695717529,1,0.034482758620689655,0.0756958509895652,0.003155644067070424
Faust,0.7304446248494678,1,0.034482758620689655,0.07569585098956517,0.003155644067070424
Novalis,0.7620818600511913,1,0.034482758620689655,0.07569585098956516,0.003155644067070424
Bellerophon,0.21879373184059467,1,0.020689655172413793,0.06471525210464904,0.0020687280328431485
Everdene,0.13205218084560105,4,0.027586206896551724,0.06667450053645269,0.0030717614115982504
Jersey,0.2908101427729997,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Lucetta,0.47067864767864476,1152,0.20689655172413793,0.1974323984702699,0.10439702709497606
Misery,0.45328732412121914,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Mr. Newson,0.40756416640519294,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Minerva,0.3710027221433845,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Phoebe,0.39168769251783325,1,0.013793103448275862,0.03980011887240972,0.0016074435052298307
Hadrian,0.829503688555779,2,0.013793103448275862,0.03614668254087555,0.002246163116097127
Posthumus,0.8156633397018591,1,0.013793103448275862,0.036146682540875545,0.002246163116097127
Leisure,0.3000094053813297,1,0.006896551724137931,0.03367236878657923,0.0012915738165580155
"Sir,—On",0.32636206790622313,3,0.006896551724137931,0.03367236878657923,0.0012915738165580155
Father,0.4499038470837687,8,0.006896551724137931,0.03367236878657923,0.0015557503728420583
Lucette,0.660902377980211,1,0.020689655172413793,0.05108762985137585,0.0019391966761641043
Miss Le Sueur,0.6013288572113852,7,0.027586206896551724,0.056983158967673614,0.0028557205262035104
Miss Templeman,0.4401690672089322,58,0.04827586206896552,0.09202196276169819,0.010265362829650505
Titian’s,0.674904038741403,1,0.013793103448275862,0.03997145883173447,0.001555956340123218
Arthur,0.450990020129024,2,0.013793103448275862,0.047187017012631095,0.0015346619319611815
Mr. Mayor,0.35216827059009764,6,0.027586206896551724,0.07316160406262999,0.0020850871299396834
Lucetta?—as,0.3281716477958481,1,0.020689655172413793,0.07366589549978375,0.0017894234124517286
Each,0.23535330794598752,2,0.020689655172413793,0.07366589549978375,0.0017894234124517286
Emmaus,0.5160209546440557,1,0.013793103448275862,0.047187017012631095,0.0015346619319611815
Mr. ” Fall,0.9000072100226032,16,0.020689655172413793,0.03922845419630293,0.002996599781177098
Samuel Wakely,0.9137663413947061,4,0.034482758620689655,0.041939124137912044,0.004918928075734521
