character,radius,mentions,degree_centrality,eigenvector,pagerank
Maggie,0.15170927769772174,6762,0.5552407932011332,0.3128304764602319,0.14060986825140037
Mr Riley,0.6857358859844807,273,0.10764872521246459,0.0960361757121777,0.01046713162061038
Mrs Glegg,0.2762249580033694,415,0.24079320113314448,0.21392554984239895,0.02944875875396664
Tom,0.3087456191762908,5461,0.603399433427762,0.3197381709050351,0.13565434423235445
Lucy,0.28308937990287913,1007,0.2691218130311615,0.21424054277714255,0.04907681969366258
St Ogg,0.5326364331881567,50,0.14447592067988668,0.1507612318515197,0.010116015360837213
Mrs Tulliver,0.2712589930042346,947,0.1954674220963173,0.1897832855707316,0.03493255936556152
God,0.4447555714481538,28,0.07932011331444759,0.09524525354887058,0.0056000463488791756
Kangaroos,0.6278405802351028,1,0.0084985835694051,0.022187765413560535,0.0007660996726843913
Æsop,0.6409975344222532,1,0.0084985835694051,0.022187765413560538,0.0007660996726843913
Christian,0.5295358326861599,2,0.0084985835694051,0.02229817364881845,0.0007993566915697171
the Devil,0.6156284951434688,6,0.0113314447592068,0.025445889821822755,0.0008825474847742292
Bunyan,0.5599101910201295,1,0.0028328611898017,0.010600903008271304,0.00048539883709127
jocosely,0.7389278383148395,1,0.0056657223796034,0.013855286006788122,0.0005577273797331225
Mrs Pullet,0.27324149580433366,286,0.1614730878186969,0.16925569264409046,0.01823343943016459
Jael,0.6024277126763659,1,0.014164305949008499,0.031335978789614784,0.0008186344481247896
Sisera,0.5935160111757851,1,0.014164305949008499,0.031335978789614805,0.0008186344481247896
Yap,0.5540671605633218,67,0.0254957507082153,0.046888139740001306,0.002771309923990938
Luke,0.374839113618372,192,0.09348441926345609,0.09735642477416143,0.008938535393208807
Dutchmen,0.7572696984370485,5,0.0084985835694051,0.015695217628930603,0.000773093245513983
"Luke,—better",0.4198858192506354,1,0.0084985835694051,0.02473500977466043,0.0006220799536404267
Miss,0.8065471954986893,52,0.053824362606232294,0.0529757562462412,0.005968587797507771
Old Harry,0.5606396805074068,21,0.0481586402266289,0.06919708629349985,0.003413236019216148
Mrs Moggs,0.8373825264815123,3,0.0084985835694051,0.0143875779778392,0.0007792510424202267
Sir Charles Grandison,0.8322232245040413,1,0.0084985835694051,0.014387577977839208,0.0007792510424202267
Marls,0.3003161926047019,1,0.0056657223796034,0.0214358874259012,0.0005490309987046698
Gibson,0.7119544252673617,1,0.0084985835694051,0.0223417695568831,0.0006513448742335022
