character,radius,mentions,degree_centrality,eigenvector,pagerank
Charles,0.08625945449858426,3969,0.2437619961612284,0.2742809910045164,0.0566210808221732
Charley Watts,0.5699266079530604,9,0.0345489443378119,0.11366051812254561,0.0019444151169727153
Lady Hatfield,0.40775159592848204,220,0.10172744721689059,0.21022198276368012,0.011109876947056046
Richard Markham,0.9037243337671356,45,0.06717850287907869,0.09707611361104927,0.0047282989040857626
the beautiful Lady Frances Ellingham,0.2698929403138647,3,0.007677543186180422,0.031031835372501076,0.0006528916402647902
"Richard Markham,[1",0.08260628747969452,1,0.0019193857965451055,0.010997184236834831,0.00034497348652588375
Lady Frances Ellingham,0.3228179386442823,38,0.02111324376199616,0.05896591573052754,0.0023396008236218906
Esther,0.5881081806847215,206,0.09213051823416507,0.2009258492162608,0.010414089288027022
Lady Frances,0.26813454986371327,220,0.05566218809980806,0.12695207896849875,0.009581395457627097
Lord Ellingham,0.5314703606689687,104,0.09021113243761995,0.1923865364892444,0.008245342367263708
Mr. de Medina,0.6884014349455368,38,0.053742802303262956,0.14216319607469152,0.004398480324920101
Sir Ralph Walsingham,0.360692235714879,2,0.005758157389635317,0.02512592396401396,0.00045078439701515017
Sir John Lascelles,0.18846230322354257,94,0.05950095969289827,0.11992631133902744,0.003994234118032593
Arthur,0.4051015064082966,90,0.046065259117082535,0.12137997421879136,0.004176846329850659
the People,0.35004200600061613,7,0.011516314779270634,0.025608584888371835,0.0007231680526448984
the Castelcicalans,0.952434765112346,21,0.019193857965451054,0.02464141769772327,0.0021224983696908457
Benjamin Bones,0.7204163097476279,153,0.08253358925143954,0.1841930496837513,0.007850843042812392
Ferretti,0.8670283164375882,2,0.02879078694817658,0.06305488276644267,0.0016024790068569139
Jacob Smith,0.65016798820745,164,0.09213051823416507,0.1970133046136396,0.0072419151565719765
the Bunces,0.8240875217505383,8,0.0345489443378119,0.10203895550487407,0.0020905992804431243
Timothy Splint,0.8273968665428025,53,0.03838771593090211,0.09459424406612302,0.0025472309890446736
Joshua Pedler,0.8304812831113159,88,0.04798464491362764,0.13233114789475142,0.0031969408228272223
Matilda,0.8983737066692525,18,0.007677543186180422,0.024262338183003572,0.0007013414448468556
Harding,0.9005882391428333,5,0.01727447216890595,0.05319469270303113,0.0010005524804928766
God,0.08918103645880053,77,0.12476007677543186,0.2080543456609257,0.009746548588734055
Lady Georgiana,0.5570619468532094,28,0.06717850287907869,0.15218918903535653,0.0038204661856796364
"Mr. Rainford,--I",0.5406076498655916,1,0.019193857965451054,0.06897097430772271,0.0008585283331940356
Mr. de Medina.[6,0.55120377010935,1,0.019193857965451054,0.0689709743077227,0.0008585283331940356
Rainford,0.5602945741648763,346,0.12667946257197696,0.24333600289018711,0.015870435626357524
Tamar,0.5453207688168665,56,0.04990403071017274,0.13527988166484212,0.004659935309539761
