character,radius,mentions,degree_centrality,eigenvector,pagerank
Monica,0.1976203213092039,3510,0.41007194244604317,0.3067533313489046,0.1363597643439277
Alice,0.4942557958921156,324,0.20863309352517986,0.21783546185561745,0.028643833620553574
Gertrude,0.7692625447003302,8,0.06474820143884892,0.07436876966225581,0.004350095085249764
Isabel,0.5383323584455074,20,0.09352517985611511,0.13605311714072377,0.0063467862198874885
Martha,0.7280412060258804,3,0.05755395683453238,0.0724871841952264,0.0036361244639098204
Tennyson,0.8097178089252279,7,0.07913669064748202,0.09324357589400532,0.004378103810552409
Virginia,0.2837450290932945,528,0.2517985611510791,0.2584450161230793,0.0443628051483976
Dr. Madden,0.8128419405111788,78,0.10071942446043167,0.10525022704572921,0.007308766160221604
Mendelssohn,0.8472108112569849,1,0.02877697841726619,0.042604813899258055,0.001736573198652497
Mr. Hungerford,0.7543857689086365,3,0.05035971223021583,0.067442082076236,0.0026249614798558463
the three Miss Maddens,0.577868482654416,4,0.07194244604316546,0.11307957889128249,0.0032866639175130764
"Miss MADDEN,—This",0.8119498666795252,1,0.02158273381294964,0.03500696004668503,0.0016709493362521918
Mrs. Darby,0.7961477750435128,5,0.02877697841726619,0.04679331786985884,0.0020549219463864596
Miss Nunn,0.1887874353840953,547,0.18705035971223022,0.21848463772592563,0.04560065839665041
Rhoda,0.12443021833580667,2429,0.3381294964028777,0.2765264020076294,0.10892173429509427
Miss Madden,0.20748931080909347,108,0.1366906474820144,0.17462141510227977,0.01410825126024849
Miss Barfoot,0.06175290347735047,746,0.2733812949640288,0.24785746931856223,0.065811475406863
Co.,0.9223187189436808,1,0.014388489208633094,0.018611414680784883,0.0020791474291564885
Herein,0.9248550574752609,1,0.014388489208633094,0.018611414680784904,0.0020791474291564885
Mr. Bullivant,0.8043178560278131,88,0.03597122302158273,0.04522506775965557,0.006060073143157178
Miss Eade,0.804790460256552,69,0.03597122302158273,0.0600470272787132,0.005678875219280969
Virgie,0.5791927560217883,29,0.05035971223021583,0.090361295794523,0.003862435625428295
Oh!—her,0.7627305482537143,1,0.007194244604316547,0.017546810231019054,0.0011955162466259618
God,0.6530195233238946,4,0.02158273381294964,0.04164229812147215,0.001699348215954767
Mrs. Conisbee,0.18351492066762964,52,0.11510791366906475,0.17497246345582493,0.00927349393892102
Widdowson,0.07910431812915737,1583,0.26618705035971224,0.2466158971818231,0.05574085473743951
Scotcher,0.7152691718673444,2,0.014388489208633094,0.031653657347473114,0.0014420252232089142
Miss Radford,0.7878171770868303,3,0.007194244604316547,0.017546810231019054,0.0011955162466259618
Weston,0.710943616364938,1,0.03597122302158273,0.060820073077476465,0.001814683561658632
DEAR MR . WIDDOWSON,0.7200277500558131,36,0.02158273381294964,0.04164229812147215,0.0015844081831084488
Mildred,0.1306652648437409,178,0.10791366906474821,0.16717688587926546,0.01359142476029122
Miss Vesper,0.06878098964909186,44,0.10071942446043167,0.14903984013382268,0.006645006997428969
Jehu,0.7739121385512656,1,0.014388489208633094,0.026072141578488847,0.001352406283734695
Maunder,0.7332377720933956,3,0.014388489208633094,0.02710961132151384,0.001565391448419641
Everard,0.6008476708156734,2005,0.3165467625899281,0.23680160157977245,0.08933189860141098
Miss Haven,0.04752014853449002,50,0.09352517985611511,0.15892134117799228,0.005792623971800139
Mr.—what,0.7355934929630046,1,0.014388489208633094,0.03233030299089492,0.0013216229139022921
Mrs. Widdowson,0.10108443975954993,354,0.2517985611510791,0.2449956863554829,0.03587842714639107
Newdick,0.2522502414703665,68,0.07194244604316546,0.11216688068805043,0.007320164680626388
John Ruskin,0.742722846606988,2,0.007194244604316547,0.017546810231019054,0.0011955162466259618
Barrow,0.7115972882252571,1,0.014388489208633094,0.031653657347473114,0.001317937548011524
Mr. Barfoot,0.26706428468463134,264,0.1223021582733813,0.15916529054553322,0.02313665297186422
Mrs. Cosgrove,0.3690940756827966,77,0.09352517985611511,0.13004640135510065,0.0084022142586219
Pained,0.725357274880941,1,0.014388489208633094,0.031653657347473114,0.001317937548011524
Guy Mannering,0.7953542329409908,2,0.007194244604316547,0.017546810231019054,0.0011955162466259618
These,0.7495356156188288,1,0.014388489208633094,0.024985684703125233,0.0013383461967662498
Bevis,0.5508398444040948,240,0.10071942446043167,0.13002124794602313,0.019480440020342257
the Bevises,0.6071904805799764,3,0.02877697841726619,0.05937697727491765,0.001959847121772649
Mudie,0.72365130482283,1,0.02158273381294964,0.0390925318195793,0.0014607674981518119
Darling,0.740889549014761,9,0.007194244604316547,0.017546810231019054,0.0013196039218233522
Adultress,0.7788184961715722,1,0.007194244604316547,0.017546810231019054,0.0011955162466259618
Emma,0.766208662534914,1,0.03597122302158273,0.06280588124957863,0.001913494490440854
"RHODA,—I",0.7553677591994951,1,0.03597122302158273,0.06280588124957864,0.001913494490440854
Mary,0.44331000109239677,273,0.1510791366906475,0.16864439492633046,0.0215450413345735
Mrs. Williamson,0.7201978411815435,1,0.02877697841726619,0.052265430063153026,0.0015691656183538165
Barfoot’s,0.6599364989261587,1,0.02877697841726619,0.05387458576184292,0.001568536182954684
Lady Horrocks,0.8445150260528043,14,0.02877697841726619,0.047542239610170484,0.002211728643321754
Bordeaux,0.7621691261380688,1,0.02158273381294964,0.038529698666906254,0.0014522785323613802
Mr. Smithson,0.8374012265824505,9,0.05755395683453238,0.07260670360337006,0.004148851009953358
Mrs. Nunn,0.8390055681437266,1,0.014388489208633094,0.019971005115359482,0.0015185029922947734
Mrs. Smallbrook,0.6858694541886089,15,0.02158273381294964,0.039086215758288516,0.0020172351072221687
Miss Royston,0.764480156973124,12,0.007194244604316547,0.015817778664563086,0.0014508940455169393
"MARY,—I",0.9263748338489076,10,0.014388489208633094,0.016777478879587682,0.0020833429092047585
Nature,0.922673017859296,1,0.014388489208633094,0.01677747887958768,0.0020833429092047585
Mr. Poppleton,0.7893992391514819,4,0.007194244604316547,0.015817778664563086,0.00132440555415415
Satan,0.7811939343074743,1,0.007194244604316547,0.015817778664563086,0.0011979170627913608
Heaven,0.8984639215726964,2,0.02877697841726619,0.03782501433448444,0.0017251193139324167
"DEAR MICKLETHWAITE,—I",0.7714102442356425,1,0.007194244604316547,0.015817778664563086,0.0011979170627913608
Mrs. Orchard,0.9277045014475573,7,0.02877697841726619,0.03193773536261292,0.0028240395531832756
Micklethwaite,0.8811884369163228,373,0.1366906474820144,0.10083783629537392,0.018041193707334466
what”—she,0.8001325124411923,1,0.007194244604316547,0.015817778664563086,0.0011979170627913608
Useless,0.8836930668972033,1,0.02158273381294964,0.031144764752882206,0.0018560891482781827
the Widdowsons,0.8945178460422041,1,0.02158273381294964,0.03114476475288221,0.0018560891482781827
Happily,0.7712940892806208,1,0.014388489208633094,0.029995645810614428,0.0013271106500205286
Amy Drake,0.8104610339808072,20,0.06474820143884892,0.08010262915125224,0.005004465891300809
Mrs. Thomas,0.9070542665741923,24,0.04316546762589928,0.04950261206580444,0.004502470785693741
Words,0.6785051615836303,1,0.02877697841726619,0.05748424687476134,0.0015906009026572176
Mrs. Cosgrove’s,0.744134367837513,1,0.014388489208633094,0.029831946976914086,0.0013359092832030673
Agnes Brissenden,0.8298432733320591,25,0.04316546762589928,0.06031622967194943,0.003143574791654908
the Goodalls,0.8146810506731184,4,0.03597122302158273,0.04936007769902786,0.001974054839085438
Lest,0.7663645719846313,1,0.014388489208633094,0.029363231445956275,0.001330187380859949
Cousin Mary”—he,0.7806108578428508,1,0.007194244604316547,0.015817778664563086,0.0011979170627913608
the Mendips,0.8104223284858121,1,0.02158273381294964,0.03826697689676091,0.00146491964381264
Mr. Thomas,0.9442034309590129,6,0.014388489208633094,0.013590065912217885,0.003277836812172851
Tom,0.7817366113687113,4,0.014388489208633094,0.027723319927444555,0.0015974331128635042
Mrs. Poppleton,0.773457292782437,14,0.014388489208633094,0.027723319927444555,0.0013328924767263275
Cheddar,0.8363979567214062,1,0.007194244604316547,0.013545452781393212,0.0012036988894971597
Madeira of Mr.,0.9209391260033867,1,0.014388489208633094,0.016377086055068907,0.0014288413639495226
Fanny,0.8859930808941483,34,0.04316546762589928,0.047091049697737135,0.004488247401351098
Miss Wheatley,0.8758691346887132,20,0.03597122302158273,0.04075850502882666,0.0023767463178026495
the Brissendens,0.8376909487145103,5,0.02158273381294964,0.026642388395865902,0.0020092313281967586
Barfoot”—he,0.7897774147681585,1,0.014388489208633094,0.02264997704617086,0.0013313968894323662
Dr. Swain,0.9071344422399644,1,0.014388489208633094,0.016377086055068907,0.0014288413639495226
Poor Bella,0.8449575354148537,1,0.02158273381294964,0.027774203966675685,0.001526947787682103
Profoundly,0.8280387620869608,2,0.007194244604316547,0.013545452781393212,0.0012036988894971597
Jove,0.8231459520839909,1,0.007194244604316547,0.013545452781393212,0.0012036988894971597
Mrs. Goodall,0.8407090417437862,9,0.03597122302158273,0.047556467346815796,0.0030895731470030703
Ostend,0.7750165421664795,1,0.014388489208633094,0.027723319927444555,0.0013328924767263275
Todd,0.8132125768825414,1,0.007194244604316547,0.014106847116454036,0.0011938498728141335
