character,radius,mentions,degree_centrality,eigenvector,pagerank
Dorian,0.02195458709374905,3192,0.7434782608695653,0.4307878268276531,0.16654853703165237
Basil,0.2680784887396678,809,0.2391304347826087,0.14835037976621823,0.0667591468231852
Lord Henry,0.12011626628097925,1547,0.4173913043478261,0.1905231865303179,0.11881439150107644
Lady Brandon,0.15985645357240624,25,0.017391304347826087,0.03800551240368295,0.0024852653801773054
Agnew,0.21972072323418276,1,0.021739130434782608,0.03504355820310817,0.0020890784649338894
Antinous,0.22537984818225573,1,0.021739130434782608,0.03504355820310821,0.0020890784649338894
Greek,0.21783932771356193,2,0.021739130434782608,0.035043558203108185,0.0020890784649338894
the Venetians,0.27641468715553014,1,0.021739130434782608,0.0350435582031082,0.0020890784649338894
Lady Agatha,0.8425667593900134,31,0.0391304347826087,0.04550222887877197,0.0063841280482652045
Parker,0.029142177429062475,4,0.013043478260869566,0.03712847744476788,0.0017620741166358878
Schumann,0.05070285865597012,1,0.013043478260869566,0.03712847744476788,0.0011987765702865878
June,0.16861804976846603,1,0.004347826086956522,0.020781211393398162,0.0008383499272207595
Uncle George,0.657258726002808,13,0.034782608695652174,0.03879045499145051,0.004247542691980074
Lord Fermor,0.816151661440638,19,0.034782608695652174,0.03625310504992035,0.003766159649214888
Kelso,0.8693567749651326,15,0.026086956521739132,0.02623651415531287,0.003882275340065235
Margaret Devereux,0.8157464030641488,12,0.026086956521739132,0.03538351245229249,0.0029668547888131946
Aunt Agatha,0.5859838118772568,8,0.021739130434782608,0.041194757811424565,0.002462236181109154
Buonarotti,0.13343820729198014,1,0.021739130434782608,0.041093145374889686,0.001816285169595267
Plato,0.11064654997495224,1,0.021739130434782608,0.041093145374889686,0.001816285169595267
Worlds,0.12676028589406374,1,0.021739130434782608,0.04109314537488967,0.001816285169595267
Lord Faudel,0.8643270468853903,1,0.021739130434782608,0.027487503193001958,0.001956166828189065
Mr. Erskine,0.8489671199666542,67,0.0391304347826087,0.03816699818344872,0.006053728676263655
Mrs. Vandeleur,0.886308868091093,3,0.021739130434782608,0.027487503193001972,0.001956166828189065
