character,radius,mentions,degree_centrality,eigenvector,pagerank
Mordaunt,0.20624076944823647,2248,0.3020833333333333,0.2501167320253053,0.06858185643477085
Brenda,0.12525369339063927,734,0.13715277777777776,0.1860038600477216,0.03623639231314031
Cleveland,0.09486584346183058,1520,0.2517361111111111,0.245847927165528,0.056778339949421254
Dandie Dinmont,0.5284229101728496,2,0.024305555555555552,0.06797879538722039,0.0013332024404136755
Eric the Red,0.6714450942930913,4,0.041666666666666664,0.08378594238307778,0.002666979032445712
Frederick Altamont,0.21296553031225243,21,0.03819444444444444,0.08587432669480591,0.003271592240513229
Lowland Scot,0.46540535665844435,1,0.024305555555555552,0.06797879538722044,0.0013332024404136755
Minna,0.08443229839536505,1354,0.2621527777777778,0.2693920356144533,0.05456219235201712
Mr. Stevenson,0.9055481812119179,10,0.04513888888888889,0.07756929037156463,0.003072909816110755
Mrs. Radcliffe,0.5452663132836975,2,0.024305555555555552,0.06797879538722038,0.0013332024404136755
Norna,0.16595193466061334,1138,0.2222222222222222,0.2467496748370521,0.045501686049261664
Saint Ronald,0.3745538893091408,9,0.048611111111111105,0.09139450667589849,0.0032135306179223964
Scott,0.761516870218238,145,0.13715277777777776,0.16956476953444008,0.01183161527704667
Thackeray,0.4614571583791845,2,0.024305555555555552,0.06797879538722043,0.0013332024404136755
the Udaller,0.1584617680086913,479,0.14756944444444445,0.1854620883780025,0.025046379013686393
ANDREW LANG,0.8097834070677601,11,0.017361111111111112,0.04135619393940165,0.0013224301956827598
Gifford,0.7855939833595709,1,0.012152777777777776,0.03504673470840685,0.0008349203751136286
Meg Merrilies,0.7887263769468134,5,0.05381944444444444,0.09176305792713874,0.003701930393646335
Mr. Senior,0.7469726818989273,1,0.012152777777777776,0.03504673470840683,0.0008349203751136286
Magnus Troil,0.2143303742017894,529,0.18055555555555555,0.20503298652557825,0.0326984281278722
Meinheer,0.7746989615839285,20,0.006944444444444444,0.012763611969139582,0.0008102687673725451
Mr. Mertoun,0.7821675247175404,141,0.041666666666666664,0.063076940025251,0.00413674061092224
hab,0.8021185560813604,1,0.005208333333333333,0.010573178187018925,0.0005287200368775567
Swertha,0.6178048589938877,268,0.05208333333333333,0.07436716921381414,0.009181989827309951
Providence,0.28872687375813777,8,0.017361111111111112,0.052643112439225447,0.0012036465988652096
Sweyn,0.795642290733141,13,0.020833333333333332,0.03738288386971432,0.0021087400098109754
Berserkars,0.5189798908954529,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Guizards,0.7425575596807669,6,0.005208333333333333,0.020264058888585276,0.0004905800801552568
Sumburgh Cape,0.5368116435010988,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Jarlshof,0.6826637357548601,5,0.012152777777777776,0.029293044476066794,0.0012109642996863098
Old Magnus,0.6847583923717359,3,0.008680555555555556,0.023102941154454427,0.0007518878379077093
old doited Ringan Ewenson,0.4922943035711226,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Triptolemus,0.7595872713612304,550,0.18576388888888887,0.19375061431584653,0.024510862687864673
the Romans,0.6427733848308019,1,0.003472222222222222,0.01439786369057077,0.0004146195487278037
Baby,0.7781475712125437,255,0.109375,0.11389471378652866,0.01294951026691977
frae beyont Clochna - ben,0.9074858067758657,9,0.008680555555555556,0.01836518857609081,0.0011627871422224506
frae Lochaber,0.8145572202268375,1,0.005208333333333333,0.01809230208008602,0.0004980244361913145
Bacchus,0.8198899184830561,3,0.013888888888888888,0.035202467743589816,0.0009765701729316032
Ceres,0.8261563111273069,1,0.008680555555555556,0.019878996740218445,0.0007250079847863827
mellay,0.8140439006264406,1,0.008680555555555556,0.01987899674021844,0.0007250079847863827
Tolemus Yellowley,0.4597590658483427,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
"Mordaunt.--""Yes",0.8426036882401458,1,0.003472222222222222,0.011807552913744208,0.0004156632505427486
Troth,0.7420827261581081,3,0.006944444444444444,0.023043136692290682,0.0005715537448015477
Dame Baby,0.8526173178983627,12,0.012152777777777776,0.02386475678536088,0.0011365849526515806
Barbara,0.9082506664390457,13,0.024305555555555552,0.03233340013568159,0.0021648816790625428
Tronda,0.8499258063065389,22,0.03298611111111111,0.06235848306628268,0.0036851027185851996
the Pythoness,0.58927481647017,1,0.003472222222222222,0.016117010763232745,0.0004015350532117082
"Norna--""nay",0.634380121199472,5,0.003472222222222222,0.01439786369057077,0.000569273759500668
Stourburgh,0.7686489813741599,1,0.005208333333333333,0.019811449152747983,0.0004849399406752191
Tam o ' Shanter,0.7820358192802951,1,0.003472222222222222,0.010525385609768902,0.0004044818834157787
Johnnie Fea,0.7832839469596443,1,0.003472222222222222,0.010525385609768902,0.0004044818834157787
the Ranzelman,0.7544852064278916,42,0.041666666666666664,0.07143666715293248,0.004547072794065085
Erick,0.645169240764367,10,0.013888888888888888,0.04132436693328821,0.001131434373765351
God,0.12047763338363139,40,0.09722222222222221,0.15262776955808915,0.008653611274296947
Bryce,0.3172322606421104,198,0.07118055555555555,0.10813825555806417,0.010865751952613708
Heaven,0.30676894544105743,29,0.07291666666666666,0.10793804566227135,0.006912566018877921
Spenser,0.5775631651189413,2,0.003472222222222222,0.011620828880996366,0.00047724158346924394
Forbear,0.330657805993487,3,0.010416666666666666,0.03717859286065901,0.0007362524744436833
"Norna--""You",0.5373085752890695,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Earl Patrick,0.9728109048005072,3,0.013888888888888888,0.012062468686629099,0.0015462223535902364
Olaf Tryguarson,0.9041785906434933,2,0.005208333333333333,0.010711828301384075,0.0005748187930028669
the Jagger,0.1000725438968369,21,0.029513888888888888,0.06805248537571948,0.0024697951185200604
Neil Ronaldson,0.7462185471637193,6,0.008680555555555556,0.023282389987136786,0.0009293587482209998
Margery Bimbister,0.38938980802186024,8,0.001736111111111111,0.008113114524228955,0.00047684441332783455
El Santo Francisco,0.3157989559999343,2,0.003472222222222222,0.016087760492481982,0.0004052465976736769
Davy Jones,0.9552380412870104,5,0.017361111111111112,0.027229725922404913,0.0016433979048586283
"Captain Cleveland;--""but",0.34012316597004355,6,0.003472222222222222,0.016087760492481982,0.0004052465976736769
Unst,0.3992195873818379,1,0.003472222222222222,0.016087760492481982,0.0004052465976736769
Sir Arthegal,0.5840505967821202,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Captain Morgan,0.24042770229613258,1,0.013888888888888888,0.044730433285617544,0.000854847484698199
Sir Francis Drake,0.2995606561729304,1,0.013888888888888888,0.04473043328561755,0.000854847484698199
the Zetlanders,0.23625109484953832,10,0.029513888888888888,0.06971864846043076,0.00195555585717582
Muckle,0.36085370097622027,6,0.003472222222222222,0.016087760492481982,0.0004052465976736769
Flanders,0.925278213071295,1,0.003472222222222222,0.0095251555299064,0.0004436950780476099
Gow,0.9203992215339376,40,0.03645833333333333,0.04353138129272651,0.0028825422267494
Jacobus,0.4587296348218088,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
almaist,0.48923804375448515,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Candlemas,0.7376787044902028,1,0.012152777777777776,0.025517244722326485,0.0008523861133602076
Captain Plunket,0.7466990401031338,3,0.012152777777777776,0.025517244722326488,0.0008523861133602076
Claudio,0.7850077110266578,1,0.012152777777777776,0.025517244722326467,0.0008523861133602076
Martinmas,0.746813269626339,2,0.015625,0.035182904262033424,0.0010248518601581964
Saint John,0.2340644649826813,9,0.03298611111111111,0.07279893428796355,0.0026147867610192776
Cæsar,0.40578073692427413,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
all Dunrossness,0.5263740250987282,1,0.001736111111111111,0.008113114524228955,0.0003322583630792378
Odin,0.5370974645224442,26,0.06944444444444445,0.12881780129251835,0.005672840912412905
the Fatal Virgins,0.5857811033322989,1,0.005208333333333333,0.020295514001232143,0.000480557740700213
"Magnus Troil,--Minna",0.42271178018451333,1,0.003472222222222222,0.014146579803805452,0.0003965219352189855
Factor,0.5043728789450724,20,0.03125,0.07250025652532312,0.0030500749526152743
Mrs. Barbara,0.7136830112363431,26,0.020833333333333332,0.05646990006169182,0.0019504462295909634
Camacho,0.8755094353750378,1,0.006944444444444444,0.016094420808531993,0.0006269568300866235
Sancho,0.8804861917792545,2,0.013888888888888888,0.02843788491549202,0.001089380993576256
Abyssinian Bruce,0.8852984040430694,1,0.006944444444444444,0.01306843313910956,0.0006755856872380137
Gondar,0.8967050463165784,1,0.006944444444444444,0.013068433139109565,0.0006755856872380137
Ras Michael,0.8689396434921123,2,0.013888888888888888,0.02580285858269505,0.0010953475106782907
Mistress Barbara Yellowley,0.5511188500552334,1,0.005208333333333333,0.021048582686684976,0.0004862216586320002
Halcro,0.5584743684651844,515,0.20833333333333331,0.19085877631039305,0.03395102267049997
glorious John,0.6400567371654886,56,0.059027777777777776,0.08971059702207565,0.0069211700547960565
