character,radius,mentions,degree_centrality,eigenvector,pagerank
Eustacia,0.14588208326105243,2572,0.47305389221556887,0.30957695176177485,0.13041637886408525
Eustacia Dresses,0.6745010404368038,1,0.011976047904191617,0.030804131115020915,0.0011663229056241811
Thomasin,0.05231498324462313,1228,0.29341317365269465,0.27394346965087957,0.09099556221092436
Johnny,0.21916530055645453,11,0.05389221556886228,0.10770166666508073,0.002885312081866844
Albertus Magnus,0.8043831872687071,2,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Wildeve,0.07512181009046569,1411,0.28742514970059885,0.26902049654040966,0.09303228045482252
Captain Vye,0.28673798507346776,27,0.059880239520958084,0.11505655157556612,0.004600298615773165
Richter,0.781504890890723,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
the Cleopatras,0.9049663137733395,1,0.011976047904191617,0.01725342491194359,0.0018034473972703075
the Héloïses,0.9101066881206682,1,0.011976047904191617,0.017253424911943597,0.0018034473972703075
Jane Orchard,0.5990563436340287,13,0.05389221556886228,0.09180481008692469,0.0035777364363179295
Venn,0.03185091473521037,774,0.2095808383233533,0.21806374080290117,0.05448330283184213
Damon,0.3558920951503168,145,0.04790419161676647,0.08868281877958267,0.0107210373757764
Buonaparte,0.9806781044516187,5,0.07185628742514971,0.0673763282483522,0.005454354603486908
the Yeobrights,0.3290869215974862,6,0.04191616766467066,0.09309208246078891,0.0028403691781349366
God,0.04753561614516328,25,0.07185628742514971,0.13585786757708818,0.006823068474713767
Uncle,0.7344874280070399,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Budmouth,0.511845271557842,2,0.023952095808383235,0.058355080015197104,0.0015875109931597683
Zenobia,0.7619670179782522,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Mrs. Yeobright,0.10564696731281549,1304,0.3413173652694611,0.28266484838072076,0.0850125316787204
Cap’n Vye,0.7290969067866577,11,0.017964071856287428,0.033184367630011244,0.0017638082768595266
Clym,0.09452545131958066,1728,0.37125748502994016,0.29511050714539444,0.10079043573445284
Humphrey,0.11800609169517538,119,0.1377245508982036,0.18733451815136976,0.01478964274654876
Sam,0.22406451258946686,78,0.07784431137724551,0.14610177723777487,0.008806304862126638
Dr. Kitto,0.7594796263523752,4,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Nebuchadnezzar,0.7687019205350799,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Mr. Yeobright,0.0552123942466765,151,0.11377245508982037,0.17199706120022956,0.012975172555748316
Providence,0.7524721396992482,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Charley,0.17145053014539005,213,0.09580838323353294,0.13492939653308536,0.01766844316615272
Balaam,0.7683601815546033,1,0.005988023952095809,0.016342614006844464,0.0010369971770605084
Fairway,0.2717059334023401,301,0.2035928143712575,0.2096907625946635,0.02877779392720986
