character,radius,mentions,degree_centrality,eigenvector,pagerank
Crosbie,0.32414339586105756,4475,0.42296918767507,0.27668337990216774,0.09310775533644437
ADOLPHUS CROSBIE,0.34423080532344486,8,0.04481792717086835,0.0783228000003219,0.0019588552813014533
Amelia,0.5682110800866272,1202,0.2549019607843137,0.19578009725145745,0.03836772789598476
DOCTOR CROFTS,0.30525481207158195,4,0.03361344537815126,0.06167552411691511,0.001249092310153441
DR . CROFTS,0.3133958931180038,3,0.03081232492997199,0.055884007064685624,0.0011919982065422194
John Eames,0.27997847427715206,1815,0.288515406162465,0.23447774237309485,0.041448041368541536
Lily,0.07849800805015882,3568,0.39215686274509803,0.2807415597785216,0.09216113461682329
Lord De Courcy,0.5926407567792032,47,0.06722689075630252,0.08828291496924433,0.002831916912756179
Mr. Palliser,0.8831547056365534,555,0.12044817927170869,0.10583669270609192,0.012764418606542111
Mrs. Dale,0.3154794387813207,1862,0.21568627450980393,0.19532256398640924,0.043421460239344026
Pawkins,0.3959875290575386,27,0.04481792717086835,0.07841593996921374,0.002182292587439061
VALENTINE,0.3427113445962943,2,0.03081232492997199,0.05588400706468558,0.0011919982065422194
Bell,0.3666599653515819,1384,0.22408963585434175,0.18384239168973054,0.05063686902626297
Lord De Guest,0.18691136686556764,178,0.11204481792717087,0.1530330697632552,0.009362424925236385
Mr. Boyce,0.3457795744907742,40,0.05322128851540616,0.08223081111581851,0.003210801010174822
Johnny,0.2927284737902219,1730,0.2857142857142857,0.22124789368355285,0.04390975597131814
Bernard,0.33050889465853156,1019,0.15406162464985995,0.14695619266200105,0.024429479906516297
Colonel Dale,0.7206234012114024,12,0.03081232492997199,0.050250860542518226,0.0017744649847105422
Lady Fanny,0.39770706882474766,58,0.058823529411764705,0.0889821541155208,0.002902245589015373
Sebright,0.4509020417294484,12,0.05322128851540616,0.07849417383703897,0.002953373218412857
Damon,0.44807513095951723,2,0.01680672268907563,0.03563294741752951,0.0008695214769232722
"Lily Dale,--must",0.5023535332389147,1,0.01680672268907563,0.035632947417529516,0.0008047368618701494
Mamma,0.3019319000924439,141,0.07563025210084033,0.09489957133176971,0.0073749698451776625
Lady Hartletop,0.6410095211976493,14,0.047619047619047616,0.07986979354160596,0.002347803876367726
Hopkins,0.43185801117782574,441,0.0896358543417367,0.10635930134006051,0.009798406343468137
"Mr. Crosbie,--by",0.5645212902602935,1,0.014005602240896359,0.03365658959805706,0.0006856337026059703
Hem,0.48486682779828655,1,0.008403361344537815,0.02508441702181787,0.0005796754403801758
Phoebus Apollo,0.5125933408763336,1,0.008403361344537815,0.023836191503703186,0.0005792266344210363
Uncle Christopher,0.5126465816514706,14,0.028011204481792718,0.04826655449869845,0.0018913984162164765
Dr. Crofts,0.2816273439161506,533,0.12324929971988796,0.13574287132482582,0.017365598633185285
Montgomerie Dobbs,0.6351011807020942,11,0.014005602240896359,0.02336236491430746,0.001059395033293569
Cradell,0.5886182364017495,699,0.16526610644257703,0.15927072953086352,0.024648484605518942
Miss Roper,0.5786209922236858,90,0.06162464985994398,0.08324807504151059,0.005308408126202304
Mr. Love,0.7530430139409986,37,0.04201680672268908,0.06506974226023035,0.0028028385059050095
"Crosbie,--I",0.43333149739889726,1,0.0056022408963585435,0.018863207716791695,0.0005273306246118026
"Lily,--having",0.38583318022672913,1,0.0056022408963585435,0.018863207716791695,0.0005273306246118026
Mr. Dale,0.23775700351030596,282,0.0784313725490196,0.11254594866977267,0.008619969169507054
Squire Dale,0.4959440472886403,3,0.0196078431372549,0.04050985739395517,0.0008552728167152045
Gruddock,0.6223234951563754,4,0.014005602240896359,0.0260764778275163,0.0009071821568804555
Dingles,0.8436900531123569,8,0.028011204481792718,0.04252335253122168,0.0013470098980618473
Guestwick,0.21600285859729731,11,0.04481792717086835,0.08972339926672279,0.0020409853659187818
Mrs. Eames,0.19151046883929412,131,0.08403361344537816,0.12856910296531374,0.0068697844468084785
Dick Boyce,0.7656128795476039,18,0.036414565826330535,0.05610238968401503,0.0018054177556369095
Whereupon Bernard,0.6423318697796544,7,0.008403361344537815,0.020557132736992417,0.0007446784323669057
the Dales,0.38889728382179894,53,0.0896358543417367,0.12617097471361555,0.0067208878857527915
Paragons,0.5461146036179589,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Mrs. Boyce,0.6863752412359401,95,0.0784313725490196,0.0994719687701211,0.005708568215366509
Mrs. Hearn,0.6329204854570961,119,0.047619047619047616,0.06428977552521564,0.004478344422063254
Alexandrina,0.30836038570994434,781,0.19047619047619047,0.18017183391687447,0.028869754527891398
Margaretta,0.7096453706419006,98,0.09803921568627451,0.10844634730506687,0.006875004530714127
Mr. Gazebee,0.5954623388895558,337,0.0896358543417367,0.09711292503531407,0.009335770611640891
The Countess De Courcy,0.6967854622315237,1,0.011204481792717087,0.022416044129985876,0.0006598907127255596
Lady Dumbello,0.7112145330326847,165,0.12324929971988796,0.13313441218018013,0.011842631150078735
the De Courcys,0.6702581850271462,17,0.04481792717086835,0.05621909172291109,0.0029478201308002585
the Gazebees,0.7447036527494055,11,0.04201680672268908,0.06380070466258896,0.002586518535090425
Justice,0.5320546683403553,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Lady Julia,0.21862610261846172,470,0.15406162464985995,0.17693611196780826,0.018179548470166042
God,0.40452699653686397,25,0.04201680672268908,0.06219358200326165,0.0030456411533421315
Lady Amelia,0.7726349198810911,274,0.0700280112044818,0.07241408160341956,0.009420285478552259
John,0.14338793446566472,48,0.056022408963585436,0.0899573214644849,0.003236815842424967
"Lily,--all",0.17834207657349177,1,0.014005602240896359,0.03606326917594737,0.000698004549470371
Byron,0.6181466122329786,1,0.01680672268907563,0.035849371424180376,0.0009009617822787432
Shakspeare,0.6413404903408272,1,0.01680672268907563,0.03584937142418036,0.0009009617822787432
"much,--by",0.6042160962993345,1,0.01680672268907563,0.03584937142418035,0.0009009617822787432
Mr. Harding,0.9309952369492854,96,0.03361344537815126,0.04142069653792973,0.0030330168709308447
Miss Eleanor,0.9679156031992223,6,0.014005602240896359,0.011298714267048027,0.0013533483216446973
Hiram,0.967264523154586,2,0.014005602240896359,0.011298714267048017,0.0014999948733636099
Rosina,0.7462335852526619,38,0.05042016806722689,0.07221594830670448,0.0030327682728799404
Rumour,0.6986901340659083,2,0.025210084033613446,0.04091561160708305,0.0009754253091636215
the Honourable John,0.6392383699657381,67,0.06442577030812326,0.07788743103868788,0.0041939093000812385
Miss Gresham,0.8185068113962664,3,0.022408963585434174,0.028333736880047262,0.00108384359277704
Lady Clandidlem,0.7972676488054949,45,0.03361344537815126,0.047250138710660555,0.0031326428077508477
Lord Dumbello,0.8201593924138166,87,0.06162464985994398,0.07121080020363962,0.005311155918223967
George,0.612882250512398,121,0.1092436974789916,0.1280963424111,0.007457711580925042
Porlock,0.8065032221442493,65,0.03081232492997199,0.03804231256996919,0.0024445904261286466
Satan,0.7288152524858786,1,0.0056022408963585435,0.013868195675842118,0.000547323606632572
Apollos,0.32192234787301743,7,0.01680672268907563,0.04460180289494422,0.0008923572127939529
John Eames;--to John Eames,0.5189985532604745,2,0.01680672268907563,0.03729576868174232,0.0007979841166461936
"Bell,--though",0.3786888550896973,1,0.008403361344537815,0.02547290497641291,0.0005778738138131649
Mrs. Crump,0.6175046079076313,66,0.0392156862745098,0.05748357359327717,0.0031906779874837743
Lily;--but,0.43268474372402943,1,0.008403361344537815,0.02508441702181787,0.0005796754403801758
Diana,0.5796938698286758,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
"Miss Dale,--speaking",0.39853161781253377,1,0.011204481792717087,0.03094770713728458,0.0006396549860511644
Alexandrina--,0.5543827871157423,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
"Alexandrina,--as",0.5382800502888658,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
"Alexandrina,--if",0.5778721007355972,1,0.0056022408963585435,0.015459937619053081,0.00053422489626757
Don Juan,0.5625261393689589,60,0.04201680672268908,0.06931851242463634,0.0019053051572607898
Lothario,0.6243324355389136,2,0.014005602240896359,0.025750136102270064,0.000925501578263693
Lovelace,0.627917586168542,1,0.014005602240896359,0.025750136102270067,0.0007797471937870391
Pratt,0.5970210867852992,144,0.036414565826330535,0.05635896694200217,0.003959320920643969
tell;--much,0.44049271888777636,1,0.008403361344537815,0.024960205690790008,0.0005861949816005165
Lady Alexandrina;--that,0.5352135817860884,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Frank Gresham,0.9415634405503954,3,0.011204481792717087,0.012013560757564906,0.00112923587649441
February,0.48165625203513623,2,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Jane,0.792623370467899,9,0.0392156862745098,0.055183582218008016,0.0020812651947099666
Mr. Butterwell,0.7977765761619328,314,0.04481792717086835,0.04957565887819448,0.005380461601921317
Sir Raffle,0.6431077565958366,225,0.10364145658263306,0.10632837552140909,0.010980285268515485
Mrs. Butterwell,0.8008003542389578,2,0.0056022408963585435,0.011040575295249886,0.000652079681038701
a Lord Eldon,0.4969256849143399,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Mr. Optimist,0.8155582468201985,71,0.022408963585434174,0.034374161900144945,0.002697346179919777
Major Fiasco,0.9137481905721654,55,0.022408963585434174,0.014168391236117,0.0020659096374048007
Old Opt,0.911726969928545,1,0.008403361344537815,0.011520032326814962,0.0006388348524897753
Hum,0.9108222196302495,1,0.008403361344537815,0.011005615093765802,0.0006460920776211956
Mr. Chancellor,0.7076365836066031,1,0.0056022408963585435,0.012961081907577665,0.000537578821094172
Lord Brock,0.9277442482673476,2,0.011204481792717087,0.010683209591397885,0.0009314688645633618
Lord Sark,0.9219243431404445,3,0.014005602240896359,0.01416357656182246,0.0010931327895973711
the Earl of Sark,0.9289135365002715,1,0.011204481792717087,0.010683209591397892,0.0009314688645633618
Boggs,0.7514246408349076,2,0.008403361344537815,0.014638717557772792,0.0006541214549096118
L. D.,0.5836744965968618,10,0.036414565826330535,0.053537069441376164,0.001835359814681956
old Huffle Scuffle,0.791089866984234,9,0.03081232492997199,0.038678476584234615,0.001701172614632875
excellence;--nor,0.42572584460735935,1,0.008403361344537815,0.02547290497641291,0.0005778738138131649
"the Honourable John,--and",0.6918188251526285,1,0.014005602240896359,0.025724860258836586,0.0007380177973875679
Whereupon Crosbie,0.7601021527044529,6,0.011204481792717087,0.02170941492121786,0.0007590034857413132
Tomkins,0.7489850307052781,1,0.0196078431372549,0.03549169694041609,0.0008644243921864356
Theodore,0.17877994966781255,5,0.014005602240896359,0.036931243193907254,0.0008543134564049171
Mr. Smith,0.3736913112310837,1,0.008403361344537815,0.02478465245849271,0.0005900517591752905
Bushers,0.46587073220287467,3,0.0056022408963585435,0.016849947631899027,0.0005328656495077806
Stubbs,0.5814627374940614,1,0.0056022408963585435,0.016849947631899027,0.0005328656495077806
Providence,0.6065939659748033,4,0.014005602240896359,0.03165235972462464,0.0006890636891090256
Mr.,0.3019290648334047,8,0.06442577030812326,0.09780269820512742,0.0028664225848093537
Mr. C----,0.8375636049393003,1,0.008403361344537815,0.013116432637397495,0.0007632516739281916
the Earl De C----,0.8389695620323981,1,0.008403361344537815,0.013116432637397504,0.0007632516739281916
Butterwell,0.24637388799148174,8,0.008403361344537815,0.02679791254338538,0.0005845167342793125
Dicksey,0.7169763374888135,3,0.011204481792717087,0.019408315715478925,0.000776380759301368
aunt Dina,0.7855805512040188,3,0.014005602240896359,0.021778591538562746,0.0007804529385759371
Lord De Curse'ye,0.7925264966484903,6,0.0056022408963585435,0.012649231926802508,0.0005345950398790803
William,0.8452085982341551,3,0.0056022408963585435,0.010716525204934152,0.000582973636967595
Cookey,0.5062854720319478,1,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Fisher,0.7302974185146729,45,0.04201680672268908,0.05592904401483582,0.0023964193413962003
Mother Roper,0.6492117698606085,13,0.025210084033613446,0.04573254619338139,0.0011408932027646016
George the Third,0.8789226259147189,1,0.0056022408963585435,0.00969087805003652,0.0008267302511107542
the Monarch,0.8830929923878248,2,0.0056022408963585435,0.00969087805003651,0.0008267302511107542
old Scuffles,0.5663653540615956,3,0.008403361344537815,0.022239654192331388,0.0006471484595483596
"daughters,--the Ladies Amelia",0.8258326895903391,23,0.0196078431372549,0.029906873812419393,0.0010285238684464542
Richard,0.8163163772905021,7,0.028011204481792718,0.03999968406204655,0.0015192690866751308
Lambert,0.4901880626819835,2,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Twitch,0.4513560372595378,2,0.0028011204481792717,0.009362939645054753,0.00047536053927885603
Miss Spruce,0.7757910708134663,163,0.1092436974789916,0.0966977708818597,0.011926198349516217
Mr. Lupex,0.7435154760908597,183,0.036414565826330535,0.047128798696989806,0.0044181307472281875
Carlyle,0.5863634707471558,1,0.008403361344537815,0.022193846209702137,0.0005782485442485916
"mamma,--you",0.7757356264323955,1,0.008403361344537815,0.01745155620051939,0.0005984477039343819
Darby,0.8552375049240533,1,0.008403361344537815,0.01600142431832787,0.0007454448628207958
Joan,0.8498206419328415,1,0.008403361344537815,0.01600142431832786,0.0007454448628207958
Mr. Gresham,0.8253260907801035,9,0.03361344537815126,0.03783108159927069,0.001653767707316406
"Mr. Gresham,--and",0.8359422087850252,1,0.008403361344537815,0.0167401378748341,0.000627970472934495
Hannah,0.39566167418884546,6,0.0056022408963585435,0.018863207716791695,0.0006964290022249068
"Allington,--he",0.7723434195428999,1,0.0196078431372549,0.03672716899243282,0.00089432566279431
Griselda,0.9168925796019213,46,0.04481792717086835,0.04626632742913425,0.002909740886743418
the Crosbies,0.7265048458046806,31,0.014005602240896359,0.027530419909595406,0.0008953297445765988
"Crosbie,--no",0.6037519779996832,1,0.011204481792717087,0.025246430632918287,0.0006385982335310905
"Lady Julia De Guest,--are",0.2862380876810495,1,0.014005602240896359,0.040272421976724225,0.0006954818489588849
John Eames;--and,0.6061742062091562,2,0.011204481792717087,0.027106240657095475,0.0007029034905763686
Mr. Fanfaron,0.6851043082882349,3,0.008403361344537815,0.017461575751695844,0.0005849905765235814
"Miss Dale,--as",0.48685726325127154,1,0.014005602240896359,0.03040933295106923,0.000685669944215153
Johnny--,0.518533948593699,4,0.0196078431372549,0.04109428896432798,0.0009127316810247573
Dear Johnny,0.6667444336028937,3,0.0056022408963585435,0.016109965331358132,0.0005720508771434926
Don Juans,0.6922985313073424,1,0.014005602240896359,0.02892608026830229,0.0007943903271514026
Lotharios,0.6726995577748569,1,0.014005602240896359,0.02892608026830229,0.0007943903271514026
Uncle,0.801958401309391,15,0.011204481792717087,0.019511426912333565,0.0009483175106304337
Dear Bernard,0.5828015913191709,5,0.008403361344537815,0.02069446116367459,0.000627550140086748
"truly,--still",0.23327031917632488,1,0.0056022408963585435,0.017434972898330632,0.0005281506084082779
Mary Eames;--pray,0.6801767409172454,1,0.0028011204481792717,0.009500268071736935,0.0004709644987407679
Honour,0.6877798877984079,1,0.008403361344537815,0.02025207995570523,0.0005899574554789637
Ruth,0.8396013963942381,1,0.008403361344537815,0.012011356226941905,0.0007634381946413854
Ruth:--if,0.8422473894604267,1,0.008403361344537815,0.012011356226941909,0.0007634381946413854
Dr. Gruffen,0.6785494440101811,17,0.028011204481792718,0.04114379556087413,0.0016938080790656783
John Postman,0.7480099242787172,7,0.0056022408963585435,0.011445506814758739,0.0005312117486281233
Dear John,0.6136410833123377,3,0.011204481792717087,0.026867574803212647,0.0007479783994157966
Mr. John,0.6159377064856707,19,0.0196078431372549,0.03826610126184217,0.001377446842045718
Christmas Day,0.6810651596304246,1,0.0056022408963585435,0.016109965331358132,0.0005215076879421302
"Miss Lily!""--and",0.7415382100112018,1,0.008403361344537815,0.015275016839584297,0.0005809818453264643
Charles,0.8533934242445276,2,0.025210084033613446,0.029153705597203008,0.0011326126036423612
Christopher Dale,0.8381859822921208,47,0.028011204481792718,0.039554346348265296,0.001551792357542534
Miss Lily Dale--,0.48135705886121266,1,0.011204481792717087,0.031547161027605186,0.0006468430537858498
Susan Boyce,0.6095675441543101,1,0.0056022408963585435,0.015721477376763108,0.0005233093145091411
the Miss Gruffens,0.6370749456807727,1,0.011204481792717087,0.022298350907415037,0.0006315975115121023
Pilgrim,0.834901401282302,2,0.008403361344537815,0.01606135804956687,0.0008523887065751565
Paul,0.8579980517609728,1,0.0056022408963585435,0.010043782922859843,0.0006520754251916577
Charles the First,0.7323141673379037,2,0.0028011204481792717,0.009500268071736935,0.0004709644987407679
"conferred,--none",0.5765768992855947,1,0.008403361344537815,0.020703491375134848,0.000573100285925452
Lord,0.7221900353929359,4,0.022408963585434174,0.0376450060414319,0.0011226786224587323
Maria,0.6821585558186183,26,0.04201680672268908,0.060611092543956066,0.001883247277217843
Tartar,0.6612457679619284,1,0.0196078431372549,0.031869169149770206,0.000815398138682954
Orlando,0.46800563249650257,6,0.036414565826330535,0.06382601380990068,0.001299928684947388
the Lord Chamberlain,0.5393565289028942,1,0.01680672268907563,0.03482930880323432,0.0007658470606250794
Everybody,0.5514425738057439,1,0.008403361344537815,0.023656182203356788,0.000580495424176651
Ralph,0.6705466845279596,1,0.0056022408963585435,0.015721477376763108,0.0005233093145091411
Dame Commonplace,0.646005230481443,1,0.0056022408963585435,0.015721477376763108,0.0005233093145091411
Eames,0.8148343481290946,23,0.028011204481792718,0.03798659674171207,0.001492831688334216
FitzHoward,0.8258034365656584,125,0.04481792717086835,0.05990841420712551,0.0034999179298182584
Mr. Kissing,0.7645301766033822,49,0.04201680672268908,0.056828758502057146,0.003269463814815308
the Lupexes,0.7868291028549184,24,0.05322128851540616,0.06323454907250917,0.0032104480529817963
"Mr. Bernard,--he",0.7734415009125374,4,0.01680672268907563,0.027313684831841906,0.0010251799819049477
the Hingies,0.7838036098991509,1,0.011204481792717087,0.02024495870095506,0.0006862720034363085
"Providence,--as",0.7787535095494864,1,0.011204481792717087,0.020633446655550076,0.0006844703768692976
Rafferty,0.6900154373670329,8,0.014005602240896359,0.030547418269835556,0.001131917079744176
Lily;--to,0.17808207890626995,1,0.0056022408963585435,0.017434972898330632,0.0005281506084082779
Jove,0.602144423618231,9,0.036414565826330535,0.052436896967519395,0.0017424687812772123
Burton Crescent,0.8016926157170499,4,0.036414565826330535,0.05677349838163099,0.0014226384363122194
"Crosbie,--better",0.8872604278703153,1,0.01680672268907563,0.023438324520826136,0.0008863644148347542
"Lily Dale,--gone",0.8848932818331311,1,0.01680672268907563,0.023438324520826132,0.0008863644148347542
the Ropers,0.8226621313238658,4,0.03361344537815126,0.04840593106206288,0.0014459685274632334
"Hopkins,--pleading",0.711583222831077,1,0.0056022408963585435,0.013099456861064625,0.0005250267511573287
Tuppence,0.7778637842603755,1,0.011204481792717087,0.021032838220428358,0.0006393068078622342
"Lily,--so",0.6744186421589128,1,0.0056022408963585435,0.014093794115513647,0.0005225570967240898
Dale of Allington,0.8702998837890555,22,0.014005602240896359,0.01546946718526278,0.000964981057773185
Philip,0.7309758775314179,5,0.008403361344537815,0.013742547372069973,0.0006064093027814192
Cook,0.7666068504489568,1,0.0028011204481792717,0.006609697259621203,0.00046953760260918365
Jolliffe,0.8265436435943743,15,0.01680672268907563,0.019381058302162586,0.0010547713757768612
Bessy,0.8523949980716651,1,0.0196078431372549,0.018669699921583252,0.0009610194221389167
Florence,0.8573245273453445,1,0.0196078431372549,0.018669699921583252,0.0009610194221389167
the Mrs. Boyces,0.8517045544977239,8,0.014005602240896359,0.015457130114686666,0.0007732980868498392
the Mrs. Hearns,0.8543111537848324,1,0.014005602240896359,0.01545713011468667,0.0007732980868498392
Bell--,0.741881349023554,2,0.008403361344537815,0.01539122540168373,0.0005737569807618936
April,0.6367619237101209,1,0.008403361344537815,0.01780389035155885,0.0005737784281867905
Grimes,0.6795619965430708,1,0.0056022408963585435,0.012830906564647379,0.0005218824183775569
Settled;--well,0.8372279479640916,1,0.014005602240896359,0.017276709296765443,0.0007468798598332395
CHAPTER XIV,0.8341208417476549,1,0.01680672268907563,0.023460355205125398,0.0009120207490477619
MA'AM,0.8552751474935922,1,0.01680672268907563,0.0234603552051254,0.0009120207490477619
THE YOUNG MAN,0.8471644633911553,1,0.01680672268907563,0.023460355205125388,0.0009120207490477619
Caudle,0.8131233200624328,39,0.03081232492997199,0.04526585122787698,0.002707529401626016
Dearest John,0.8315980943440099,2,0.011204481792717087,0.013194201306919917,0.0007945826650169162
Grogram,0.6423253250473245,1,0.014005602240896359,0.028397570645517622,0.0007531341959602197
Mr. Juniper,0.661158094349317,3,0.014005602240896359,0.028397570645517616,0.0009551517746413666
Adolphus--,0.3012562165406977,3,0.0028011204481792717,0.007934704826593692,0.0004761805230753313
"Johnny!--""and",0.9092042515851012,1,0.0056022408963585435,0.008212619086802394,0.0008281477851910867
"her,""--Oh",0.9000530857540328,1,0.0056022408963585435,0.0082126190868024,0.0008281477851910867
Lily--,0.2999059699265143,2,0.0028011204481792717,0.007934704826593692,0.0004761805230753313
Mr.--,0.773727642217646,2,0.011204481792717087,0.02164067282827824,0.000652659124342289
young Mr. Roper,0.7922329293223364,1,0.011204481792717087,0.02234321153709493,0.000656217916036962
Judith,0.7180730332066392,1,0.0056022408963585435,0.01455988496902401,0.0005373678582239787
Lambkin,0.6499486092903949,3,0.008403361344537815,0.02060033755192946,0.0006442714884048593
Mrs. Lupex--,0.29163204559755124,2,0.0028011204481792717,0.007934704826593692,0.0004761805230753313
Tupper,0.8348873402302629,2,0.008403361344537815,0.016730588836092086,0.0006187405153784207
Hearts,0.6944123310158962,1,0.0056022408963585435,0.01455988496902401,0.0005373678582239787
Australia,0.6978617055685377,1,0.0056022408963585435,0.013324411387026051,0.0005329582228869858
Jemima,0.8318232943661856,31,0.047619047619047616,0.04771108915215157,0.003642093705393293
Miss Mealyer,0.9028359891855607,26,0.022408963585434174,0.027748982489494138,0.0016707019499510112
Vickers,0.8269547144834515,14,0.028011204481792718,0.03435558526998854,0.0014033297723206124
ollays,0.7840556079233484,1,0.0056022408963585435,0.009229626106985968,0.0005597963043856197
