character,radius,mentions,degree_centrality,eigenvector,pagerank
Little Billee,0.1806938212576553,2049,0.39858490566037735,0.34456660337925427,0.09460403243167996
Carrel,0.16537584698763783,65,0.06839622641509434,0.12987805994584514,0.007482865738008075
Taffy,0.06339053499187483,674,0.2712264150943396,0.2870716463380739,0.06231752189772787
the Laird,0.0857869511603676,70,0.04481132075471698,0.12175484874655863,0.007056741600846014
Leonardo da Vinci,0.9588734866683765,3,0.02830188679245283,0.04244537263488638,0.002778293198438645
Rembrandt,0.9712683804930082,2,0.018867924528301886,0.02457888828901008,0.0020627908871837363
Rubens,0.9703084097418809,2,0.018867924528301886,0.024578888289010076,0.0020627908871837363
Titian,0.9675287699367746,5,0.06132075471698113,0.055023993795304274,0.005335614423186363
Velasquez,0.9736128359825897,4,0.051886792452830184,0.0476434903309425,0.004407952595669697
Veronese,0.9662424485883668,2,0.025943396226415092,0.031507697629349525,0.002078738504549513
Betsy Prig,0.6374666908644553,1,0.009433962264150943,0.029546341427529314,0.0010039646480771774
Milton,0.6095025773486902,1,0.009433962264150943,0.0295463414275293,0.0010039646480771774
Sairey Gamp,0.6051994754942549,1,0.009433962264150943,0.029546341427529293,0.0010039646480771774
Gecko,0.4104311020878804,227,0.07783018867924528,0.139851426685057,0.017550509370799782
Chopin,0.6976173679609444,14,0.03537735849056604,0.05376609102173928,0.003963245995080559
Nancy,0.765748423940937,8,0.011792452830188678,0.030196621283878212,0.0015007110162115985
Svengali,0.5034112628860766,428,0.23113207547169812,0.2432701169709114,0.04832006187645998
Trilby,0.1291372112453171,1532,0.27594339622641506,0.29245369918406233,0.07397711763705614
Durien,0.22617481714944684,65,0.14858490566037735,0.20848131937465744,0.018760065351067744
Heaven,0.2924078536729339,9,0.014150943396226415,0.054391858051221854,0.0017964154363610636
Ben Bolt,0.4982506107498875,26,0.0330188679245283,0.07267366553095693,0.0044552808371709635
Patrick Michael O'Ferrall,0.3119595745097965,7,0.007075471698113208,0.030127274367030152,0.0008005424999477106
Alice,0.6648818602734609,70,0.03773584905660377,0.0749590858475228,0.005889988905559574
Allons,0.38628229489681615,2,0.009433962264150943,0.04363704862710244,0.0009978857253026972
