character,radius,mentions,degree_centrality,eigenvector,pagerank
Becky,0.20037469813490622,2980,0.28160484481453446,0.24139143726516338,0.04403119076850925
Miss Pinkerton,0.4244565618543884,160,0.050719152157456475,0.08242459036198618,0.004466665318510377
Sambo,0.37987348365542456,36,0.014383043149129447,0.036839994972591474,0.0015273337963782848
Amelia,0.26421168043020027,2320,0.2853898561695685,0.26384044290797554,0.04475073492144094
Jos,0.33753731864707304,1959,0.2323996971990916,0.22365984875580466,0.03366208009393961
Rebecca,0.5824968749049829,1355,0.1453444360333081,0.14224952999768922,0.021847825393685898
Guthrie,0.38756549836095955,1,0.002271006813020439,0.014269014254247536,0.00018445582855437114
Poor Joe,0.5198167794001812,2,0.002271006813020439,0.013383525556509958,0.00018530130960255919
Heaven,0.36166123430281266,12,0.024224072672218017,0.062071577383467955,0.0014525285038156375
Mrs. Blenkinsop,0.15888321106689773,14,0.013626040878122634,0.04667782914429269,0.0011033240694770176
Mrs. Sed,0.36349722377246996,1,0.000757002271006813,0.0053197169912278415,0.00013776107910083062
Emmy,0.24589026929111302,672,0.13323239969719908,0.16550148650557542,0.014974901475178432
George,0.5120776387461923,2285,0.2861468584405753,0.26140126091069554,0.045287781349271014
John Sedley,0.27867636741990787,164,0.03557910673732021,0.0704600897017909,0.003678463325171609
Alderman Balls,0.1863914735523341,2,0.006056018168054504,0.031664619678503717,0.000338874079900301
Dobbin,0.41698437982488823,1963,0.22331566994700985,0.21020135527425002,0.034093892200444446
Osborne,0.49077904802721967,180,0.036336109008327025,0.07492450443200231,0.0033944288692380033
Ma'am,0.18581266226412713,16,0.015897047691143074,0.046077039512966635,0.0009230444185504425
Lady Dobbin,0.46184807302035846,5,0.008327024981074942,0.035755974866909276,0.0004291162307333645
Mrs. Flamingo,0.36894259086908104,1,0.002271006813020439,0.010740055852840755,0.00019113817661598473
Captain Dobbin Proceeds,0.5973739819712441,12,0.01514004542013626,0.04719064159564782,0.0007254230477022308
Gad,0.1465940073563591,16,0.0174110522331567,0.05491164498714056,0.0011329616209438422
Mr. S.,0.32484459157023016,5,0.012869038607115822,0.04244530284048335,0.0007181215704775639
