character,radius,mentions,degree_centrality,eigenvector,pagerank
Vivian,0.10040379854216258,4629,0.6343612334801761,0.22049802281001452,0.12792708540250192
Bulwer,0.9378972716021161,1,0.008810572687224669,0.007305573755329326,0.0008847950105357183
Dickens,0.9338056037033239,1,0.008810572687224669,0.007305573755329326,0.0008847950105357183
Disraeli,0.9238375009939211,23,0.008810572687224669,0.007305573755329317,0.0009651146742936922
Sir Walter Scott,0.8826874220862583,20,0.02936857562408223,0.01067267797303879,0.0027964771595381946
Sybil,0.933461779185324,1,0.008810572687224669,0.007305573755329319,0.0008847950105357183
Thackeray,0.9230115709993684,1,0.008810572687224669,0.007305573755329329,0.0008847950105357183
Mrs. Grey,0.8851448994413345,26,0.01908957415565345,0.00823103400189786,0.002588766328781328
Dudley,0.8829866210923879,1,0.008810572687224669,0.007240127946501431,0.0008928182599478032
Flummery,0.8795727968197685,3,0.011747430249632892,0.007610866332844624,0.0014330703255062962
Miss Barrett,0.8826397679784175,1,0.008810572687224669,0.007240127946501423,0.0008928182599478032
Mrs. Metcalfe,0.8829232434960759,4,0.008810572687224669,0.0072401279465014205,0.0008928182599478032
Percy Metcalfe,0.8809329740394954,1,0.008810572687224669,0.00724012794650142,0.0008928182599478032
Horace,0.8192839412346989,7,0.004405286343612334,0.006954246664892833,0.0005860546757262884
God,0.2764207322503926,18,0.024963289280469897,0.01208158482518792,0.002584910308220322
Macassar,0.8648604861056158,1,0.004405286343612334,0.006630741869723927,0.000513047434099792
Academus,0.04257538742667136,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Dallas,0.9300279480179439,28,0.01908957415565345,0.008906320315228762,0.0027868577386508326
the Reverend Everard Dallas,0.8171349338316403,1,0.002936857562408223,0.006436157559911656,0.00036615477706835594
Barlow primus,0.9349146192736631,3,0.014684287812041116,0.008687906033923125,0.0014456923384774509
Johnson secundus,0.9329694540045906,3,0.014684287812041116,0.00868790603392315,0.0014456923384774509
Jove,0.8956869145701588,13,0.0381791483113069,0.012763591851530743,0.003334571634951034
Smith,0.9275543856717892,16,0.02202643171806167,0.00977793454123769,0.002606572318561676
Clarinda,0.9353077095503842,1,0.013215859030837003,0.008339583807892402,0.0009098157285314607
Dr. Hoadley,0.9384545290433165,1,0.013215859030837003,0.008339583807892414,0.0009098157285314607
Etherege,0.9228499972723648,8,0.020558002936857563,0.009568095022528115,0.0019262887143379754
Jack Maggot,0.9339912831142804,3,0.02790014684287812,0.01095377069082478,0.0018776521058139642
Poynings,0.9048282106746516,34,0.03083700440528634,0.011273730074927015,0.003425497484899224
Ranger,0.9305768425390335,4,0.02202643171806167,0.00946132801630265,0.0019045513040994407
Ben Burn,0.9152590816687598,1,0.005873715124816446,0.00691537640490398,0.0005609874498874716
Mallett,0.9147805613236234,27,0.02202643171806167,0.009293834896641947,0.0028516054185010785
the Cleon,0.9240515811169954,1,0.005873715124816446,0.006915376404903973,0.0005609874498874716
the Greyites,0.9141476183898525,1,0.010279001468428781,0.007911070796143229,0.0007467580780107506
Theophilus,0.7768794891949679,4,0.004405286343612334,0.006771019525857725,0.0005836923136917635
halloed King,0.8814239958272901,1,0.004405286343612334,0.006805124389120206,0.0004488895623317563
Eardley,0.9215918177811772,4,0.007342143906020558,0.0072816422323096885,0.0006613587461722197
Hederics,0.098359977803541,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Classic Reverie,0.10749472094045762,1,0.002936857562408223,0.0063648543080529205,0.000508049638664028
PLATO,0.08362333172658634,1,0.002936857562408223,0.006364854308052926,0.000508049638664028
Damascius,0.12218629666752605,1,0.008810572687224669,0.007195692289953475,0.0009709016279416737
Hierocles,0.08930996726455645,1,0.008810572687224669,0.007195692289953477,0.0009709016279416737
Iamblichus,0.12497984563098354,1,0.008810572687224669,0.007195692289953478,0.0009709016279416737
Maximus Tyrius,0.15925974612285312,1,0.008810572687224669,0.007195692289953479,0.0009709016279416737
Plotinus,0.12073161929613768,2,0.008810572687224669,0.0071956922899534675,0.001052783058037703
Syrirnus,0.11481153872558322,1,0.008810572687224669,0.007195692289953477,0.0009709016279416737
Porphyry,0.0786606525680112,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Julie,0.8365621134391836,50,0.05873715124816446,0.01638039194667045,0.006539687377646396
Mrs. Frank Delmington,0.7844534002780531,1,0.002936857562408223,0.006645849765293139,0.0003672741446205036
Wolsey,0.9395374888214822,4,0.033773861967694566,0.06378541469479783,0.001718931823713906
Noble Mind ”,0.08759500285809536,1,0.002936857562408223,0.006364854308052918,0.000508049638664028
the Eastern Genie,0.09154923174876636,1,0.002936857562408223,0.006364854308052933,0.000508049638664028
Lord Bacon,0.206483029609714,3,0.004405286343612334,0.006638580769518892,0.000570529893765534
Memnon,0.1838990701150143,1,0.002936857562408223,0.006372533964899489,0.0004537561889167269
Canning,0.9016617606498232,12,0.020558002936857563,0.009095305404821988,0.0025811414240266674
Evans,0.9414042525536548,1,0.007342143906020558,0.007033450167115285,0.0008003117469154432
Galileo,0.942723594129336,1,0.007342143906020558,0.007033450167115289,0.0008003117469154432
Turgot,0.9453728094217217,1,0.007342143906020558,0.007033450167115283,0.0008003117469154432
your Cousin Hargrave and his Debating Society,0.9375884553069981,3,0.007342143906020558,0.007033450167115298,0.0008003117469154432
Self,0.10119756437717888,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Clarke,0.1942065972421749,1,0.004405286343612334,0.006713599055251682,0.0005212127039246346
Mrs. Ormolu,0.2166840051021922,1,0.004405286343612334,0.006713599055251686,0.0005212127039246346
Clarence Devonshire,0.7656888388006118,1,0.007342143906020558,0.007039067167688886,0.000772589959025954
Mr. Grey,0.6312064344840596,15,0.011747430249632892,0.008086694651289346,0.0012641741083406263
a Mr. John Brown,0.7823617963042607,3,0.007342143906020558,0.007039067167688891,0.000772589959025954
a Mr. Thomas Smith,0.7714124895717667,2,0.007342143906020558,0.0070390671676888944,0.000772589959025954
Bolingbroke,0.10496135830294838,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Sadler,0.05282921278567215,4,0.0014684287812041115,0.006186282252204157,0.00036426126100610275
Sir Thomas,0.08771199613756317,1,0.0014684287812041115,0.006186282252204157,0.0002921013049898549
Miss Graves,0.89363508774061,69,0.026431718061674006,0.01054939446243052,0.004344599813966819
Lordship,0.18223083204718002,3,0.005873715124816446,0.0069725917854071345,0.0007195752143653617
Lord Courtown,0.6281288973397202,28,0.024963289280469897,0.011150958350847723,0.003253447637725638
Mrs. Felix Lorraine,0.700543157192692,486,0.09397944199706314,0.02129321724296515,0.01702918950849618
The Earl of Eglamour,0.6398360931597921,4,0.004405286343612334,0.0072432512759451504,0.0004407922023628429
Felix,0.7175643223540706,17,0.007342143906020558,0.007540886122944846,0.0007221026402846391
Miss Mexico,0.7246495349258093,1,0.004405286343612334,0.006995250512497545,0.00046796161407855626
Lady Carabas,0.7855833619153149,9,0.01908957415565345,0.009360555996230188,0.0015166617311061497
the Marchioness,0.8717780952907033,33,0.020558002936857563,0.009444363359947373,0.003082342378194419
Château Desir,0.6381541676545549,7,0.017621145374449337,0.01001984797488492,0.0016294910229778027
Colonel Delmington,0.42149913132012284,10,0.02202643171806167,0.011873847821274063,0.0019656706282483224
Lady Beaconsfield,0.6272358711627938,1,0.010279001468428781,0.008329988718349302,0.0007830008524344212
Lady Louisa,0.5824870672460921,6,0.016152716593245228,0.00955666474619008,0.0012346999888454492
Lord,0.7879117426936183,2,0.02202643171806167,0.015348663313717325,0.0014636346250842707
Sir Berdmore,0.7269828408367802,90,0.04405286343612334,0.014918699333431656,0.005060115414210031
Viscountess Courtown,0.6212382550494271,1,0.010279001468428781,0.008329988718349298,0.0007830008524344212
Ladyship,0.17120122101143528,1,0.002936857562408223,0.006378250713350675,0.00041583425046312427
the Courtowns Vivian,0.17201394069786652,2,0.005873715124816446,0.006842343171394349,0.0007276370384381541
the Beaconsfields,0.47798128039173327,4,0.020558002936857563,0.010033175498935868,0.0016917141663848154
Julia,0.7876918180459057,14,0.011747430249632892,0.008490641361255621,0.0011798975797997246
