character,radius,mentions,degree_centrality,eigenvector,pagerank
Waverley,0.09382482542260638,4594,0.5683269476372925,0.45536753082513287,0.1292240280334011
Cadell,0.4627403457106582,1,0.002554278416347382,0.014883278059033458,0.0004438853542462335
Messrs. Constable,0.3714402505632813,2,0.002554278416347382,0.014883278059033462,0.0004438853542462335
Shylock,0.11066901352342333,1,0.001277139208173691,0.014412227373744636,0.00025526630069197564
the Ghost of Hamlet to the partisan of Marcellus,0.1949808374542788,3,0.001277139208173691,0.014412227373744636,0.00025526630069197564
Colonel Whitefoord,0.7048764358681257,13,0.01277139208173691,0.0336009137421185,0.00123323518917325
Invernahyle,0.7437213744004012,19,0.015325670498084292,0.0344859241752352,0.0015405182945610768
Mr. Stewart,0.8301323873026091,17,0.016602809706257982,0.03404490974819701,0.001644647608828034
Sir John Cope,0.584001432710119,14,0.03831417624521073,0.07353113304894042,0.0030637134463388734
Talbot,0.6138218918670293,15,0.017879948914431676,0.04387779633855922,0.0014830763468132954
The late Alexander Stewart of Invernahylewas,0.6891261943905979,2,0.010217113665389528,0.026768378862042225,0.0007679984893651558
the Camerons,0.6316503823385143,3,0.016602809706257982,0.044380155662081734,0.0012593381584058675
the Highlanders,0.5913207658643653,108,0.08812260536398468,0.12648309638035093,0.010033251048863582
Cerberus,0.39858302669683987,1,0.002554278416347382,0.01488327805903346,0.0004438853542462335
Mrs. Malaprop,0.4506394972491985,1,0.002554278416347382,0.01488327805903345,0.0004438853542462335
Jamie Howie,0.6791034839216207,5,0.033205619412515965,0.0724489638864436,0.002463464435812078
Mordaunt,0.7607829861273712,1,0.005108556832694764,0.01894707358755042,0.00048749414678447617
Mortimer,0.7679849204091883,1,0.005108556832694764,0.0189470735875504,0.00048749414678447617
Stanley,0.7573761194594791,40,0.028097062579821204,0.05188658425416204,0.004026705342147149
Painters,0.4527379658007007,1,0.002554278416347382,0.014883278059033453,0.0004438853542462335
Will Wimble,0.5179776732397208,1,0.002554278416347382,0.014883278059033455,0.0004438853542462335
Sir Richard Waverley,0.10838874745570891,1,0.001277139208173691,0.014412227373744636,0.00025526630069197564
Stuart,0.48524097972671415,18,0.029374201787994894,0.06592282880931026,0.002664063082117037
Bois le Due,0.8690719808282373,1,0.003831417624521073,0.01546835681012868,0.0004897620896111572
George the First,0.8536517233639296,1,0.003831417624521073,0.015468356810128687,0.0004897620896111572
Richard Waverley,0.8640383229298806,31,0.008939974457215838,0.017901020539139795,0.0013520020522341477
Dyer,0.7597251368933452,2,0.003831417624521073,0.015631500938397307,0.0005051688235190204
Squire Stubbs,0.7540259792488614,4,0.010217113665389528,0.020623045043374377,0.0010617536800197045
Sir Hildebrand,0.40599110870256766,4,0.007662835249042146,0.02665954913148206,0.0007836616644521782
Wilfred,0.4107123724749097,1,0.002554278416347382,0.015255993030615745,0.00033848536463073394
Judith,0.8655906617152634,1,0.003831417624521073,0.015450672518178384,0.0005286586273858683
Lawyer Clippurse,0.865706493103793,10,0.006385696040868455,0.01735995342154266,0.0007270813084909478
"heiress of Oliver Bradshawe , of Highley Park , whose arms , the same with those of Bradshawe the regicide , they had quartered with the ancient coat of Waverley",0.8626602975060681,3,0.003831417624521073,0.01545067251817839,0.0005286586273858683
Alma,0.9552753547433931,1,0.005108556832694764,0.01592421536391145,0.0007058999062153916
Bentley,0.953967412235422,1,0.005108556832694764,0.015924215363911438,0.0007058999062153916
George I,0.9521254568195286,1,0.005108556832694764,0.015924215363911438,0.0007058999062153916
Scaliger,0.9533110876509564,1,0.005108556832694764,0.015924215363911445,0.0007058999062153916
Miss Rachel Waverley,0.6325811012958008,3,0.002554278416347382,0.01581537516016293,0.0003317520408488661
Brantome and De la Noue,0.9490171093933907,1,0.011494252873563218,0.025369232034425905,0.0009118003831803615
Drayton,0.9456237419881575,1,0.011494252873563218,0.0253692320344259,0.0009118003831803615
Froissart,0.9470097848012226,1,0.011494252873563218,0.0253692320344259,0.0009118003831803615
Milton,0.9450174446683698,2,0.014048531289910602,0.033122722811044315,0.001152645503593809
Pulci,0.9488258265335139,1,0.011494252873563218,0.025369232034425905,0.0009118003831803615
Shakespeare,0.9463126322986998,2,0.011494252873563218,0.02536923203442591,0.0009786680949934448
Spenser,0.9515090145339349,1,0.011494252873563218,0.025369232034425912,0.0009118003831803615
The Spanish,0.9486705476787647,1,0.011494252873563218,0.02536923203442592,0.0009118003831803615
