character,radius,mentions,degree_centrality,eigenvector,pagerank
Amyas,0.12804150780226123,4254,0.4883720930232558,0.31402916126143443,0.09284828323534723
Caxton,0.780906753884784,1,0.004651162790697674,0.011639891062484071,0.0004135021980245765
Las Casas,0.8165810244291593,2,0.00813953488372093,0.014212551541728213,0.0006329937429417518
Lord,0.8181597391767845,4,0.0069767441860465115,0.01689265562798201,0.0005198237338570295
Raleigh,0.45730210213532757,362,0.15930232558139534,0.14816644299058304,0.016489535840685198
Alva,0.5118185397276465,1,0.009302325581395349,0.025299717742309307,0.0005662324256918963
Eustace,0.7433022796621727,803,0.1058139534883721,0.09778039069020898,0.015514207481470938
Farina,0.4165244406261025,1,0.009302325581395349,0.02529971774230931,0.0005662324256918963
God,0.12084505567932644,566,0.32209302325581396,0.2471141452127301,0.04180652337282277
Mr. Oxenham,0.010399077304516897,274,0.08604651162790697,0.10200882684725399,0.010570756264956724
Shakespeare,0.5384412459781399,1,0.009302325581395349,0.025299717742309318,0.0005662324256918963
Sir Richard,0.44496574156881735,764,0.21511627906976744,0.18984544946786663,0.02434899812114631
Spenser,0.5590314379888162,67,0.05581395348837209,0.07082947201320941,0.004828120001343872
Stukely,0.8888922915413305,67,0.03255813953488372,0.04149544993904385,0.0028892494394771664
Frank,0.03439791468024325,1128,0.32325581395348835,0.2625892930683267,0.04203246544524544
Michael,0.7479293011089607,21,0.018604651162790697,0.03301553980293332,0.00114132093034294
Mrs. Leigh,0.4885563394782286,513,0.11976744186046512,0.14601701209385948,0.013905154873891063
Saul,0.07522305636995752,6,0.010465116279069767,0.026188716253856742,0.0007638590362529304
Thomas Braund of Clovelly,0.08872376958571468,3,0.011627906976744186,0.029965307439239697,0.0008070093861905301
old Bideford,0.21539742457328512,3,0.013953488372093023,0.035762883727854806,0.0007749532362867764
Elizabeth,0.6397598044444897,122,0.14534883720930233,0.13336829585219404,0.010469761440805853
Miss Foljambe,0.2915505649098065,1,0.004651162790697674,0.01983305374778284,0.0003528117859083253
Budaeus,0.768293147856341,6,0.04767441860465116,0.09072722210569195,0.0024450433296227306
Christ,0.6866468787478239,15,0.046511627906976744,0.08543700137396566,0.0025971531989394036
Ficinus,0.7963243832603492,1,0.03255813953488372,0.0716048856263744,0.0013278673289983378
Galileo,0.8056602629990299,1,0.03255813953488372,0.0716048856263744,0.0013278673289983378
Glasgerion,0.7900356589758302,1,0.03255813953488372,0.07160488562637443,0.0013278673289983378
Lady Grenville,0.6108830495407773,139,0.06744186046511627,0.10747733097750321,0.005263440697768625
Languet,0.8016907722623106,3,0.04883720930232558,0.07718239097265986,0.002313236801586935
Lord Hunsdon,0.7964512313735416,1,0.03255813953488372,0.07160488562637438,0.0013278673289983378
Michael Angelo,0.7999554050384682,1,0.03255813953488372,0.07160488562637445,0.0013278673289983378
Palestrina,0.7966152167710161,2,0.03255813953488372,0.07160488562637443,0.0013278673289983378
Paul Veronese,0.8085171663054957,1,0.03255813953488372,0.07160488562637439,0.0013278673289983378
Picus Mirandolensis,0.7920519899888547,1,0.03255813953488372,0.07160488562637443,0.0013278673289983378
Raffaelle,0.7548410797487227,1,0.03255813953488372,0.0716048856263744,0.0013278673289983378
Sarpi,0.7897846303530424,1,0.03255813953488372,0.07160488562637439,0.0013278673289983378
Sidney,0.7115427518736861,65,0.12790697674418605,0.14486347711103126,0.00843293992302667
St. Bartholomew,0.7844920652020452,3,0.033720930232558136,0.07195664765914132,0.001412138915570564
St. Leger,0.42015114378401497,46,0.08488372093023255,0.12394261194494403,0.006052432039995453
St. Peter,0.8008374283932187,4,0.03837209302325581,0.07688981629028865,0.0017578355965792297
Stephanus Parmenius,0.7963505469727364,4,0.03255813953488372,0.07160488562637439,0.0013278673289983378
Tasso,0.8020824504104596,1,0.03255813953488372,0.07160488562637447,0.0013278673289983378
Tintoretto,0.8094975426601538,1,0.03255813953488372,0.07160488562637442,0.0013278673289983378
Walsingham,0.7913230634459817,5,0.05465116279069768,0.09408880167150241,0.0025000760914498195
the Bellinis,0.7834099386161997,1,0.03255813953488372,0.07160488562637438,0.0013278673289983378
the Hungarians,0.8090074544770474,1,0.03255813953488372,0.07160488562637442,0.0013278673289983378
Vindex Brimblecombe,0.7910755417599482,46,0.013953488372093023,0.021849427347474432,0.0014240199706902785
Cerberus,0.7756291536033472,1,0.002325581395348837,0.007925367425123201,0.0002785969745038084
John Brimblecombe,0.23623763217122604,130,0.04767441860465116,0.07124618083543778,0.004614196625299917
Whereon,0.6798285883894419,9,0.00813953488372093,0.02403805716517366,0.0005463655750828443
Whereupon,0.8079448287144485,1,0.002325581395348837,0.007925367425123201,0.0002785969745038084
Captain Drake,0.21529399342912084,50,0.019767441860465116,0.038020482906302985,0.0018765374504417863
Yeo,0.40538062093258415,576,0.11162790697674418,0.11422581452301922,0.01747358666925949
Loyalty,0.5333154918769227,2,0.002325581395348837,0.011889389683218158,0.0002632641074668276
Admiral Grenville,0.7947392306472317,2,0.002325581395348837,0.007588876475176939,0.0003795464727173129
Triton,0.7984122590455901,2,0.002325581395348837,0.007588876475176943,0.0003795464727173129
Rose,0.5269080106845115,620,0.11744186046511627,0.11521929566866988,0.015635034324111
Upsee - Dutch,0.5319378862844897,1,0.002325581395348837,0.010128516235369263,0.00026235836788887157
Cary,0.32970520225271865,937,0.19767441860465115,0.1582627503009812,0.030265341874540247
King Neptune,0.878009178926653,3,0.004651162790697674,0.011449655310997434,0.00047509280721384566
Kilkhampton,0.18769542608735731,1,0.0011627906976744186,0.007409809882516929,0.00021808017334572726
Simon Salterne,0.47086687937843735,2,0.002325581395348837,0.010855216974274011,0.00026120128186026714
Lady Bath,0.49072086218265015,27,0.013953488372093023,0.03221270025431163,0.001079128365399696
Mr. Salterne,0.39070999282071767,105,0.03488372093023256,0.060015633339166784,0.0031177302760986144
the Lapithae,0.42113639639269185,1,0.005813953488372093,0.016039086137437434,0.0004098863387026225
Sir Humphrey,0.6059523206567436,58,0.08372093023255814,0.10093068084399362,0.006299554035810863
Ham,0.37018982572973436,2,0.004651162790697674,0.015946770743223378,0.0003540670127076725
Noah,0.7287154048058281,5,0.027906976744186046,0.04872065503203424,0.001545273853587742
Mr. Iscariot Judas,0.8282710546599099,1,0.002325581395348837,0.007588876475176944,0.0003795464727173129
Mr. Judas Iscariot,0.8173019474518347,1,0.002325581395348837,0.007588876475176946,0.0003795464727173129
Father Gampian,0.7841133448980366,1,0.00813953488372093,0.014317528976158251,0.0005003991380294558
Messrs. Evans,0.8152653792226006,1,0.00813953488372093,0.01431752897615826,0.0005003991380294558
Mr. Coffin,0.5583919309741961,34,0.031395348837209305,0.05359146410189711,0.0026664014808088555
Mr. Evan Morgans,0.7948673372933839,9,0.011627906976744186,0.021795276199920794,0.0012235503474426505
Mr. Morgan Evans,0.769676343213839,10,0.02441860465116279,0.042934479682768624,0.0016480617423551619
Parsons,0.7862050154000092,151,0.05,0.062331317864016314,0.006177220646853021
Fortescue,0.5135485056027999,13,0.018604651162790697,0.03503117952870608,0.001408951580950659
King Arthur,0.9148327793863107,4,0.019767441860465116,0.025213744106019995,0.001371327841292501
Cleophila,0.18547753454550509,1,0.005813953488372093,0.016701229518267545,0.0004635149492823674
Dianeme,0.13539235922971127,1,0.005813953488372093,0.01670122951826754,0.0004635149492823674
Flourdeluce,0.12112238050586775,1,0.005813953488372093,0.016701229518267538,0.0004635149492823674
Megaera,0.7753854301538168,1,0.002325581395348837,0.00845133440365903,0.0002707076743021542
Venus,0.7438240083761264,8,0.026744186046511628,0.044140008582294867,0.0017347712552190418
Daniel,0.21511522716081483,16,0.018604651162790697,0.03921182128406036,0.0011895959573109858
David,0.549686381712449,6,0.009302325581395349,0.022527659619968922,0.0006534180663012589
Nathan,0.5450922083751765,1,0.0034883720930232558,0.01138677803762079,0.00032289431189308536
