novel,graph_type,n_nodes,n_embedded,radius_mentions_rho,radius_degree_rho,radius_eigenvector_rho,radius_pagerank_rho,mean_radius,std_radius
A_Tale_of_Two_Cities,cooccurrence,136,136,-0.3293585801717691,-0.23022673452506007,-0.6154264668907741,-0.015153919045558656,0.6457526971477678,0.23302353693237554
Adam_Bede,cooccurrence,299,299,-0.4522131537906315,-0.38731166367147657,-0.6389861783329333,-0.21328438507133052,0.6607327776870917,0.19382887217383796
Almayer's_Folly,cooccurrence,81,81,-0.7332008214296676,-0.8356403888112524,-0.9159872628185678,-0.7575814047305716,0.6227266836313619,0.29972646124531627
Armadale,cooccurrence,240,240,-0.39840418082755324,-0.345621016917076,-0.6742988011175546,-0.13790518574408023,0.6677490116519216,0.21462776593624858
Aurora_Floyd1,cooccurrence,193,193,-0.1654087035511805,-0.15927415165672443,-0.6506580288088818,0.0586656964679091,0.6205407213179472,0.28788657794971656
Aurora_Floyd2,cooccurrence,165,165,-0.4392113960155334,-0.12586897790449855,-0.5894761167187111,0.1257920788888025,0.6800267021638361,0.25398128313392776
Aurora_Floyd3,cooccurrence,93,93,-0.5400738647190807,-0.602536442834504,-0.817790096023572,-0.4730839484674725,0.6243072517336706,0.24378879775672718
Barchester_Towers,cooccurrence,357,357,-0.2677325554952419,0.03264114853839187,-0.4612582800624826,0.18612896377466637,0.7483937991602115,0.2221376435868922
Belinda,cooccurrence,344,344,-0.3482647151156133,-0.36230403628297136,-0.6486694757187665,-0.2019173745407542,0.6872839467601578,0.22016204357132235
Bébée,cooccurrence,105,105,-0.2253267593539324,-0.08666411638280097,-0.5363974297362031,0.05786267220996284,0.5471670026370942,0.30779086495301017
Can_You_Forgive_Her,cooccurrence,429,429,-0.03434904507628273,-0.06465371647102254,-0.4940926103674013,0.12685304521702565,0.6333843577493918,0.23968676561214314
Daniel_Deronda,cooccurrence,527,527,-0.09390305554986014,0.03747456038066941,-0.43679188818496173,0.22907283205483006,0.6889746182781951,0.20938026545973043
Deerbrook,cooccurrence,207,207,-0.6097681914271208,-0.7024288671017703,-0.8239228436172448,-0.5399021063743454,0.7379086507281749,0.2854073992722673
Dombey_and_Son,cooccurrence,429,429,-0.28482999003832965,-0.22171154982694585,-0.46263205026277543,-0.09387816937693533,0.7058076239246966,0.18600970785121604
East_Lynne,cooccurrence,284,284,-0.49840353789533504,-0.553274513900458,-0.774344165896017,-0.3669918296310985,0.7063279447852683,0.2197601499563066
Emma,cooccurrence,313,313,-0.4332121997652655,-0.49273708589344245,-0.6998674720496001,-0.34023795145111024,0.7406991664907648,0.21201990580747274
Esther_Waters,cooccurrence,217,217,-0.24451158233117154,-0.1557808649575485,-0.5189930807589034,0.00629513065384692,0.6705701587239319,0.24465896647292715
Guy_Mannering,cooccurrence,560,560,-0.18239570655984205,0.210136924015229,-0.2572919527396083,0.33993764260975023,0.7663693104992344,0.20806240938746245
Hard_Cash,cooccurrence,645,645,-0.13916310750754152,0.05576922398197512,-0.4318911721584303,0.2668164780465099,0.7081829175605981,0.2382347294724401
Jack_Sheppard,cooccurrence,334,334,-0.19350085031028705,0.021766520920438102,-0.505899044088694,0.21388883559219138,0.6596444509597149,0.2370072850724317
Jude_the_Obscure,cooccurrence,188,188,-0.35038794537120965,0.1625271037391915,-0.4327913527520483,0.21666864222672674,0.6161344526677325,0.28181867724585413
Lady_Audley's_Secret,cooccurrence,226,226,-0.2746037934249763,0.014998264734060978,-0.4542932989085166,0.1386970184197763,0.632501975494687,0.25288548262127875
Love_and_Mr._Lewisham,cooccurrence,151,151,-0.11736071339986345,0.19959473310950057,-0.33899297583537474,0.21154839001868977,0.5913560324534679,0.2551658488574898
Mansfield_Park,cooccurrence,190,190,-0.579225250032521,-0.685024054256696,-0.8356010335757013,-0.45332444547362377,0.7339260914860413,0.26410942563695794
Mary_Barton,cooccurrence,221,221,-0.19241083386505906,-0.33400951868569206,-0.720960385720112,-0.0063259136256500125,0.6636802567304138,0.2506697676228899
Melmoth_the_Wanderer1,cooccurrence,147,147,-0.19378121748018218,0.1287994428907387,-0.4152661828505175,0.19918863809829357,0.7780355712287703,0.1894154543841699
Melmoth_the_Wanderer2,cooccurrence,47,47,0.07377955902776673,0.2664491115142896,-0.2854002982744327,0.3880885126095003,0.5551701351908916,0.3141220286646043
Melmoth_the_Wanderer3,cooccurrence,110,110,0.0407070221403939,-0.34808974524073516,-0.7479182085887026,-0.1276439693405971,0.7563859211147106,0.3427168983157808
Melmoth_the_Wanderer4,cooccurrence,172,172,-0.1518764999176186,0.13817991439479616,-0.29344958814976413,0.2675582879762575,0.7762054648798962,0.15314675340544928
Middlemarch,cooccurrence,622,622,-0.20388490394299094,-0.008997169171336958,-0.46407526830350804,0.19496186522018455,0.7013538440019822,0.21346409132482472
Miss_Marjoribanks,cooccurrence,196,196,-0.6034825672025674,-0.8136773032912674,-0.8828459101719287,-0.7260703639072926,0.6078249928038785,0.26647555414628327
Mr._Midshipman_Easy,cooccurrence,214,214,-0.2549152936168599,-0.1943798062728099,-0.5908534500593782,-0.036880733134703615,0.6573167774317148,0.2707322875011679
New_Grub_Street,cooccurrence,206,206,-0.3244199652272479,-0.242913577343158,-0.4749092358674143,-0.09334893588580648,0.7150613636588917,0.1907273923540053
North_and_South,cooccurrence,252,252,-0.3863714298000722,-0.47740227822189296,-0.6885269800525619,-0.3177734510127476,0.6981088102736172,0.2210198845532807
