chapter,method,character,tag,count
1,whole,Mr. Bennet,N,9
1,whole,Mr. Bennet,A,1
1,whole,Mr. Bennet,C,5
1,whole,Mr. Bennet,I,5
1,whole,Mr. Bennet,DN,2
1,whole,Mr. Bennet,DC,3
1,whole,Mrs. Bennet,N,9
1,whole,Mrs. Bennet,A,0
1,whole,Mrs. Bennet,C,2
1,whole,Mrs. Bennet,I,4
1,whole,Mrs. Bennet,DN,2
1,whole,Mrs. Bennet,DC,3
1,whole,Mr. Bingley,N,4
1,whole,Mr. Bingley,A,0
1,whole,Mr. Bingley,C,1
1,whole,Mr. Bingley,I,0
1,whole,Mr. Bingley,DN,1
1,whole,Mr. Bingley,DC,2
1,whole,Lizzy,N,4
1,whole,Lizzy,A,0
1,whole,Lizzy,C,2
1,whole,Lizzy,I,1
1,whole,Lizzy,DN,1
1,whole,Lizzy,DC,1
1,whole,Jane,N,3
1,whole,Jane,A,0
1,whole,Jane,C,0
1,whole,Jane,I,0
1,whole,Jane,DN,0
1,whole,Jane,DC,2
1,whole,Lydia,N,2
1,whole,Lydia,A,0
1,whole,Lydia,C,0
1,whole,Lydia,I,0
1,whole,Lydia,DN,0
1,whole,Lydia,DC,2
1,whole,Sir William Lucas,N,1
1,whole,Sir William Lucas,A,0
1,whole,Sir William Lucas,C,0
1,whole,Sir William Lucas,I,0
1,whole,Sir William Lucas,DN,0
1,whole,Sir William Lucas,DC,1
1,whole,Lady Lucas,N,1
1,whole,Lady Lucas,A,0
1,whole,Lady Lucas,C,0
1,whole,Lady Lucas,I,0
1,whole,Lady Lucas,DN,0
1,whole,Lady Lucas,DC,1
1,chunked,Mr. Bennet,N,17
1,chunked,Mr. Bennet,A,0
1,chunked,Mr. Bennet,C,2
1,chunked,Mr. Bennet,I,5
1,chunked,Mr. Bennet,DN,4
1,chunked,Mr. Bennet,DC,4
1,chunked,Mrs. Bennet,N,21
1,chunked,Mrs. Bennet,A,0
1,chunked,Mrs. Bennet,C,4
1,chunked,Mrs. Bennet,I,5
1,chunked,Mrs. Bennet,DN,5
1,chunked,Mrs. Bennet,DC,3
1,chunked,Mrs. Long,N,2
1,chunked,Mrs. Long,A,0
1,chunked,Mrs. Long,C,1
1,chunked,Mrs. Long,I,0
1,chunked,Mrs. Long,DN,1
1,chunked,Mrs. Long,DC,1
1,chunked,Mr. Bingley,N,7
1,chunked,Mr. Bingley,A,0
1,chunked,Mr. Bingley,C,5
1,chunked,Mr. Bingley,I,2
1,chunked,Mr. Bingley,DN,1
1,chunked,Mr. Bingley,DC,3
1,chunked,Mr. Morris,N,1
1,chunked,Mr. Morris,A,0
1,chunked,Mr. Morris,C,0
