chapter,method,character,tag,count
1,whole,Captain Carter,N,0
1,whole,Captain Carter,A,0
1,whole,Captain Carter,C,0
1,whole,Captain Carter,I,0
1,whole,Captain Carter,DN,0
1,whole,Captain Carter,DC,0
1,whole,Charlotte Lucas,N,0
1,whole,Charlotte Lucas,A,0
1,whole,Charlotte Lucas,C,0
1,whole,Charlotte Lucas,I,0
1,whole,Charlotte Lucas,DN,0
1,whole,Charlotte Lucas,DC,0
1,whole,Colonel Fitzwilliam,N,0
1,whole,Colonel Fitzwilliam,A,0
1,whole,Colonel Fitzwilliam,C,0
1,whole,Colonel Fitzwilliam,I,0
1,whole,Colonel Fitzwilliam,DN,0
1,whole,Colonel Fitzwilliam,DC,0
1,whole,Colonel Forster,N,0
1,whole,Colonel Forster,A,0
1,whole,Colonel Forster,C,0
1,whole,Colonel Forster,I,0
1,whole,Colonel Forster,DN,0
1,whole,Colonel Forster,DC,0
1,whole,Darcy's father,N,0
1,whole,Darcy's father,A,0
1,whole,Darcy's father,C,0
1,whole,Darcy's father,I,0
1,whole,Darcy's father,DN,0
1,whole,Darcy's father,DC,0
1,whole,Dawson,N,0
1,whole,Dawson,A,0
1,whole,Dawson,C,0
1,whole,Dawson,I,0
1,whole,Dawson,DN,0
1,whole,Dawson,DC,0
1,whole,Elizabeth,N,1
1,whole,Elizabeth,A,0
1,whole,Elizabeth,C,1
1,whole,Elizabeth,I,1
1,whole,Elizabeth,DN,0
1,whole,Elizabeth,DC,2
1,whole,Hill (housekeeper),N,0
1,whole,Hill (housekeeper),A,0
1,whole,Hill (housekeeper),C,0
1,whole,Hill (housekeeper),I,0
1,whole,Hill (housekeeper),DN,0
1,whole,Hill (housekeeper),DC,0
1,whole,Housekeeper (Mrs. Reynolds),N,0
1,whole,Housekeeper (Mrs. Reynolds),A,0
1,whole,Housekeeper (Mrs. Reynolds),C,0
1,whole,Housekeeper (Mrs. Reynolds),I,0
1,whole,Housekeeper (Mrs. Reynolds),DN,0
1,whole,Housekeeper (Mrs. Reynolds),DC,0
1,whole,Jane,N,2
1,whole,Jane,A,0
1,whole,Jane,C,1
1,whole,Jane,I,0
1,whole,Jane,DN,0
1,whole,Jane,DC,2
1,whole,John,N,0
1,whole,John,A,0
1,whole,John,C,0
1,whole,John,I,0
1,whole,John,DN,0
1,whole,John,DC,0
1,whole,Kitty,N,0
1,whole,Kitty,A,0
1,whole,Kitty,C,0
1,whole,Kitty,I,0
1,whole,Kitty,DN,0
1,whole,Kitty,DC,0
1,whole,Lady Anne Darcy,N,0
1,whole,Lady Anne Darcy,A,0
1,whole,Lady Anne Darcy,C,0
1,whole,Lady Anne Darcy,I,0
1,whole,Lady Anne Darcy,DN,0
1,whole,Lady Anne Darcy,DC,0
1,whole,Lady Catherine de Bourgh,N,0
1,whole,Lady Catherine de Bourgh,A,0
1,whole,Lady Catherine de Bourgh,C,0
1,whole,Lady Catherine de Bourgh,I,0
