novel,character,dc_in,dc_out,in_deg,out_deg,pagerank
Ruth,Mr Watson,6,10,6,10,0.005978195185423094
Ruth,God--,1,0,1,0,0.005256745937829751
Ruth,Aunt Faith,7,0,7,0,0.007399524612018655
Ruth,Ruth,326,385,326,385,0.07595025517190902
Ruth,St Paul,0,3,0,3,0.005089077757705837
Ruth,Jerry Dixon,22,0,22,0,0.008777777720431944
Ruth,Stephen Bromley,1,0,1,0,0.005256745937829751
Ruth,Tom,8,0,8,0,0.006390619281147647
Ruth,Billington,1,0,1,0,0.0056578821705576
Ruth,Eccleston,1,0,1,0,0.005232087369426258
Ruth,Mr Bellingham,26,61,26,61,0.011624253593951184
Ruth,Juliana,1,0,1,0,0.005256745937829751
Ruth,Job,1,0,1,0,0.005256745937829751
Ruth,Mrs Postlethwaite,1,0,1,0,0.005163661380955204
Ruth,Mrs Farquhar,2,0,2,0,0.005304294228281696
Ruth,Miss Faith,17,40,17,40,0.01512755686977121
Ruth,Thurstan,51,2,51,2,0.014544094220890754
Ruth,Jemima,77,219,77,219,0.01921717761328847
Ruth,February,1,0,1,0,0.005196685992993767
Ruth,Simpson,1,0,1,0,0.005408425828216748
Ruth,Lord,1,0,1,0,0.005196685992993767
Ruth,Sir Thomas Campbell,4,0,4,0,0.0056412447068523944
Ruth,Ben,2,0,2,0,0.005403366648925222
Ruth,Fordham,1,0,1,0,0.005408425828216748
Ruth,Leonard's,1,0,1,0,0.005256745937829751
Ruth,the Bensons,3,0,3,0,0.005381254615924993
Ruth,Nelly Brandon,1,0,1,0,0.005295758413637293
Ruth,Mr Farquhar's,1,0,1,0,0.005239852308774941
Ruth,Nest,1,0,1,0,0.005348173033022848
Ruth,Hector O'Brien,2,0,2,0,0.005424414117953665
Ruth,Hepzibah,1,0,1,0,0.005256745937829751
Ruth,Charity,1,0,1,0,0.005163661380955204
Ruth,Miss Sutton,2,0,2,0,0.005452183400693312
Ruth,Miss Jennings,1,0,1,0,0.005256745937829751
Ruth,Fanny Barton,1,0,1,0,0.005348173033022848
Ruth,Mr Jones,13,4,13,4,0.009645492912902353
Ruth,Mrs Dean,1,0,1,0,0.005163661380955204
Ruth,"Jemima--""so",1,0,1,0,0.005196685992993767
Ruth,the Volscians,1,0,1,0,0.005232087369426258
Ruth,Mary,15,43,15,43,0.007447600360586267
Ruth,Ruth Brown,1,0,1,0,0.005236301895032291
Ruth,Henry,4,0,4,0,0.006366470039749482
Ruth,Mamma,10,0,10,0,0.006287088616913581
Ruth,Walter,13,0,13,0,0.006310883197773831
