novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
A_Tale_of_Two_Cities,in_strength,10,M,0.7419354838709677,0.7,0.9434782608695651,-0.041935483870967794
A_Tale_of_Two_Cities,in_strength,10,F,0.25806451612903225,0.3,1.1625,0.04193548387096774
Adam_Bede,in_strength,10,M,0.620253164556962,0.6,0.9673469387755103,-0.020253164556962022
Adam_Bede,in_strength,10,F,0.379746835443038,0.4,1.0533333333333332,0.020253164556962022
Almayer's_Folly,in_strength,10,M,0.8823529411764706,0.8,0.9066666666666667,-0.08235294117647052
Almayer's_Folly,in_strength,10,F,0.11764705882352941,0.2,1.7000000000000002,0.0823529411764706
Armadale,in_strength,10,M,0.56,0.6,1.0714285714285714,0.039999999999999925
Armadale,in_strength,10,F,0.44,0.4,0.9090909090909092,-0.03999999999999998
Aurora_Floyd1,in_strength,10,M,0.47368421052631576,0.5,1.0555555555555556,0.026315789473684237
Aurora_Floyd1,in_strength,10,F,0.5263157894736842,0.5,0.9500000000000001,-0.02631578947368418
Aurora_Floyd2,in_strength,10,M,0.7272727272727273,0.6,0.825,-0.12727272727272732
Aurora_Floyd2,in_strength,10,F,0.2727272727272727,0.4,1.4666666666666668,0.12727272727272732
Aurora_Floyd3,in_strength,10,M,0.72,0.7,0.9722222222222222,-0.020000000000000018
Aurora_Floyd3,in_strength,10,F,0.28,0.3,1.0714285714285714,0.019999999999999962
Barchester_Towers,in_strength,10,M,0.6129032258064516,0.6,0.9789473684210526,-0.012903225806451646
Barchester_Towers,in_strength,10,F,0.3870967741935484,0.4,1.0333333333333334,0.012903225806451646
Belinda,in_strength,10,M,0.5,0.2,0.4,-0.3
Belinda,in_strength,10,F,0.5,0.8,1.6,0.30000000000000004
Bébée,in_strength,10,M,0.42105263157894735,0.6,1.425,0.17894736842105263
Bébée,in_strength,10,F,0.5789473684210527,0.4,0.6909090909090909,-0.17894736842105263
Can_You_Forgive_Her,in_strength,10,M,0.6901408450704225,0.6,0.8693877551020408,-0.09014084507042253
Can_You_Forgive_Her,in_strength,10,F,0.30985915492957744,0.4,1.290909090909091,0.09014084507042258
Daniel_Deronda,in_strength,10,M,0.4936708860759494,0.7,1.4179487179487178,0.20632911392405057
Daniel_Deronda,in_strength,10,F,0.5063291139240507,0.3,0.5924999999999999,-0.20632911392405068
Deerbrook,in_strength,10,M,0.46774193548387094,0.6,1.2827586206896553,0.13225806451612904
Deerbrook,in_strength,10,F,0.532258064516129,0.4,0.7515151515151516,-0.13225806451612898
Dombey_and_Son,in_strength,10,M,0.6421052631578947,0.6,0.9344262295081966,-0.04210526315789476
Dombey_and_Son,in_strength,10,F,0.35789473684210527,0.4,1.1176470588235294,0.04210526315789476
East_Lynne,in_strength,10,M,0.5862068965517241,0.5,0.8529411764705883,-0.08620689655172409
