novel,n_characters,n_male,n_female,n_unknown,pct_known
A_Tale_of_Two_Cities,79,23,8,48,39.24050632911393
Adam_Bede,208,49,30,129,37.98076923076923
Almayer's_Folly,47,15,2,30,36.170212765957444
Armadale,168,28,22,118,29.761904761904763
Aurora_Floyd1,58,9,10,39,32.758620689655174
Aurora_Floyd2,67,24,9,34,49.25373134328358
Aurora_Floyd3,48,18,7,23,52.083333333333336
Barchester_Towers,123,38,24,61,50.40650406504065
Belinda,276,36,36,204,26.08695652173913
Bébée,47,8,11,28,40.42553191489362
Can_You_Forgive_Her,235,49,22,164,30.21276595744681
Daniel_Deronda,311,39,40,232,25.40192926045016
Deerbrook,144,29,33,82,43.05555555555556
Dombey_and_Son,241,61,34,146,39.41908713692946
East_Lynne,202,51,36,115,43.06930693069307
Emma,186,24,34,128,31.182795698924732
Esther_Waters,143,37,24,82,42.65734265734266
Guy_Mannering,250,49,21,180,28.0
Hard_Cash,372,91,29,252,32.25806451612903
Hard_Times,92,15,11,66,28.26086956521739
Jack_Sheppard,228,49,11,168,26.31578947368421
Jude_the_Obscure,110,16,12,82,25.454545454545453
Lady_Audley's_Secret,111,23,17,71,36.03603603603604
Love_and_Mr._Lewisham,86,12,3,71,17.441860465116278
Mansfield_Park,139,24,28,87,37.410071942446045
Mary_Barton,152,30,21,101,33.55263157894737
Melmoth_the_Wanderer1,33,8,1,24,27.272727272727273
Melmoth_the_Wanderer2,13,6,0,7,46.15384615384615
Melmoth_the_Wanderer3,67,10,6,51,23.880597014925375
Melmoth_the_Wanderer4,71,20,9,42,40.84507042253521
Middlemarch,415,79,46,290,30.120481927710845
Miss_Marjoribanks,117,25,21,71,39.31623931623932
Mr._Midshipman_Easy,159,46,10,103,35.22012578616352
New_Grub_Street,140,35,19,86,38.57142857142857
North_and_South,187,35,29,123,34.224598930481285
Old_Mortality,314,61,16,237,24.522292993630572
Oliver_Twist,94,31,10,53,43.61702127659574
Our_Mutual_Friend,350,61,32,257,26.571428571428573
Paul_Clifford,228,44,11,173,24.12280701754386
Pendennis,615,126,67,422,31.382113821138212
Persuasion,85,14,20,51,40.0
Phoebe_Junior,141,23,21,97,31.20567375886525
Pride_and_Prejudice,107,18,28,61,42.99065420560748
Romola,306,69,15,222,27.45098039215686
Rookwood,228,41,11,176,22.80701754385965
Ruth,128,26,21,81,36.71875
Sense_and_Sensibility,101,12,18,71,29.702970297029704
Shirley,279,49,39,191,31.54121863799283
Sybil,286,60,21,205,28.321678321678323
Tess_of_the_d'Urbervilles,79,14,14,51,35.44303797468354
The_Heart_of_Midlothian1,174,33,14,127,27.011494252873565
The_Heart_of_Midlothian2,267,56,25,186,30.337078651685392
The_Heir_of_Redclyffe,274,53,32,189,31.021897810218977
The_Invisible_Man,41,15,2,24,41.46341463414634
The_Life_and_Adventures_of_Michael_Armstrong,141,34,28,79,43.97163120567376
The_Light_that_Failed,100,18,8,74,26.0
The_Mayor_of_Casterbridge,75,18,5,52,30.666666666666668
The_Mill_on_the_Floss,222,42,25,155,30.18018018018018
The_Mysteries_of_London1,267,71,30,166,37.827715355805246
The_Mysteries_of_London2,300,85,37,178,40.666666666666664
The_Mysteries_of_London3,321,81,41,199,38.006230529595015
The_Mysteries_of_London4,295,83,40,172,41.69491525423729
The_Odd_Women,96,13,30,53,44.791666666666664
The_Picture_of_Dorian_Gray,111,27,14,70,36.93693693693694
The_Pirate,335,48,16,271,19.104477611940297
The_Return_of_the_Native,85,18,10,57,32.94117647058823
The_Small_House_at_Allington,211,54,26,131,37.91469194312796
The_Story_of_a_Modern_Woman,58,14,11,33,43.10344827586207
Trilby,199,32,15,152,23.618090452261306
Vanity_Fair_1847,450,89,71,290,35.55555555555556
Vivian_Grey,400,88,22,290,27.5
Waverley,327,72,22,233,28.74617737003058
Westward_Ho!,484,105,18,361,25.41322314049587
