novel,n_nodes,n_edges,density,in_strength_gini,out_strength_gini,reciprocity,in_out_correlation
A_Tale_of_Two_Cities,79,171,0.027750730282375853,0.7194920031001197,0.6617023650156181,0.3391812865497076,0.7223319083901145
Adam_Bede,208,559,0.012983091787439614,0.8101922324389198,0.7606740149499557,0.2039355992844365,0.7851947694559608
Almayer's_Folly,47,106,0.04902867715078631,0.7226901319924576,0.6582582582582582,0.3018867924528302,0.6942277185748387
Armadale,168,362,0.012902765896777873,0.8547830877081777,0.7208818242028574,0.20441988950276244,0.5782653340181787
Aurora_Floyd1,58,84,0.025408348457350273,0.6999924828985943,0.709910358565737,0.2857142857142857,0.7235473880493791
Aurora_Floyd2,67,126,0.028493894165535955,0.7168500948766603,0.603343653250774,0.31746031746031744,0.8962785526567372
Aurora_Floyd3,48,91,0.040336879432624116,0.7560664673817479,0.718625554670611,0.3516483516483517,0.7170211439360659
Barchester_Towers,123,284,0.018925763028122086,0.7747813792742315,0.7213675213675214,0.28169014084507044,0.7853736492480626
Belinda,276,537,0.007075098814229249,0.854879161967288,0.7710558985919174,0.260707635009311,0.6599739833179711
Bébée,47,71,0.03283996299722479,0.6591187270501836,0.6864035087719298,0.3380281690140845,0.9106388119592727
Can_You_Forgive_Her,235,490,0.008910711038370612,0.8535347351881893,0.787969179744378,0.31020408163265306,0.9022785930521093
Daniel_Deronda,311,610,0.006327144487086401,0.8279586753989484,0.7649210750853243,0.2262295081967213,0.9115323497581501
Deerbrook,144,536,0.026029526029526028,0.8135640257029227,0.6924828972538339,0.34701492537313433,0.9282235030475157
Dombey_and_Son,241,627,0.010840248962655601,0.8111102395676245,0.7548618390708206,0.2647527910685805,0.7352538233323829
East_Lynne,202,737,0.018151815181518153,0.8362617352594748,0.7954189489462236,0.3337856173677069,0.7951758796162721
Emma,186,426,0.012380122057541413,0.8379594261947203,0.7736583269671505,0.24882629107981222,0.7285374691506564
Esther_Waters,143,341,0.016793066088840736,0.7954735323156376,0.7386783435376786,0.2697947214076246,0.8993103932514807
Guy_Mannering,250,462,0.007421686746987952,0.7020426712590891,0.7054952510176391,0.18181818181818182,0.6053252749468017
Hard_Cash,372,735,0.0053256238587948874,0.7827151661897425,0.7849312452253628,0.22312925170068026,0.8629667266935639
Hard_Times,92,186,0.022216913521261348,0.8062660918803208,0.6506168846171618,0.3225806451612903,0.7963020492017311
Jack_Sheppard,228,539,0.010414251487750213,0.7987684734960845,0.7535652112750356,0.29684601113172543,0.9686870372377825
Jude_the_Obscure,110,162,0.013511259382819015,0.859465737514518,0.7387784382045501,0.1728395061728395,0.901203641626883
Lady_Audley's_Secret,111,220,0.018018018018018018,0.7791637809613484,0.7721950457951707,0.2545454545454545,0.8021624029441177
Love_and_Mr._Lewisham,86,120,0.016415868673050615,0.7052881758764111,0.5693602693602694,0.26666666666666666,0.7795861155415552
Mansfield_Park,139,370,0.01928891669273277,0.8294506078915101,0.6466461327857632,0.35135135135135137,0.7939180868870331
Mary_Barton,152,288,0.012547926106657371,0.8011531571876399,0.7551559148655338,0.3055555555555556,0.8987820868592379
Melmoth_the_Wanderer1,33,30,0.028409090909090908,0.4009259259259259,0.5574074074074075,0.13333333333333333,0.8270300588656267
Melmoth_the_Wanderer2,13,8,0.05128205128205128,0.2571428571428571,0.22857142857142856,0.0,-0.5510745838075211
Melmoth_the_Wanderer3,67,86,0.019448213478064226,0.6575129533678756,0.5282981267437226,0.09302325581395349,0.29013729653643583
Melmoth_the_Wanderer4,71,108,0.021730382293762576,0.6821097647897363,0.5434782608695652,0.14814814814814814,0.3376226503780357
Middlemarch,415,924,0.005378033874628951,0.828806863022107,0.7845195659837831,0.23809523809523808,0.8304719449136007
Miss_Marjoribanks,117,322,0.023725316828765105,0.8148506043315541,0.7648112483333558,0.3416149068322981,0.8313130501608351
Mr._Midshipman_Easy,159,295,0.011742695645251175,0.7623262374691777,0.8054051933788342,0.3254237288135593,0.8663262872254117
New_Grub_Street,140,306,0.015724563206577596,0.807657133999845,0.7325439266615738,0.29411764705882354,0.8289365223406466
North_and_South,187,404,0.011615203266057157,0.8302224581383004,0.8107098598432618,0.21782178217821782,0.9087792767568855
Old_Mortality,314,550,0.005596141714657821,0.7343048903751145,0.7468525438344352,0.16727272727272727,0.8811862547864953
