novel,character,in_strength,out_strength,in_degree,out_degree,pagerank,gender
A_Tale_of_Two_Cities,Hundreds,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,the Bastille,1,0,1,0,0.0077285059274659704,UNK
A_Tale_of_Two_Cities,Charles Evrémonde,6,0,4,0,0.011536597650431853,M
A_Tale_of_Two_Cities,Carton,59,119,9,14,0.0320123939939887,M
A_Tale_of_Two_Cities,Cly,16,0,3,0,0.020847264429651943,M
A_Tale_of_Two_Cities,Lucie--,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Mr. Barsad?--,1,0,1,0,0.007471061043185319,UNK
A_Tale_of_Two_Cities,Number One,0,1,0,1,0.007242421552648119,UNK
A_Tale_of_Two_Cities,Mr. Stryver,16,69,3,7,0.012127073199401832,M
A_Tale_of_Two_Cities,Mr. Cruncher,20,53,5,13,0.03687346537419842,M
A_Tale_of_Two_Cities,Monsieur the Marquis,5,0,3,0,0.017012042544434697,M
A_Tale_of_Two_Cities,Barsad,2,0,2,0,0.007962453446792523,M
A_Tale_of_Two_Cities,Darnay--,8,0,2,0,0.012024843294137439,UNK
A_Tale_of_Two_Cities,the Defarges,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,The Gorgon,0,1,0,1,0.007242421552648119,UNK
A_Tale_of_Two_Cities,Doctor Manette,77,10,7,7,0.035983528648902634,M
A_Tale_of_Two_Cities,La Guillotine,1,0,1,0,0.007476369071974673,UNK
A_Tale_of_Two_Cities,Lucifer,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,Solomon,8,8,2,1,0.010331214213654854,M
A_Tale_of_Two_Cities,Madame Defarge,27,55,6,20,0.03145292436930578,F
A_Tale_of_Two_Cities,Lord,2,0,2,0,0.008114571706041936,UNK
A_Tale_of_Two_Cities,Memory,2,0,1,0,0.007541184818918056,UNK
A_Tale_of_Two_Cities,Jupiter,1,0,1,0,0.0073918031857830874,UNK
A_Tale_of_Two_Cities,Courage,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Mr. Crunches,1,2,1,1,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Darnay,82,73,8,16,0.055270119854304085,M
A_Tale_of_Two_Cities,Lucie,46,18,6,8,0.02784195198465984,F
A_Tale_of_Two_Cities,George the Third,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,Mr. Stryver--,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Defarge,6,38,3,11,0.010458965988763164,M
A_Tale_of_Two_Cities,Mam’selle,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Mischief,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,The Vengeance,1,6,1,4,0.0077285059274659704,F
A_Tale_of_Two_Cities,Co.,1,0,1,0,0.01030068830938717,UNK
A_Tale_of_Two_Cities,Sainte Guillotine,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Jacques Four,1,0,1,0,0.007476369071974673,UNK
A_Tale_of_Two_Cities,The gracious and merciful Heavens,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,Miss Manette--,6,0,1,0,0.011103150355801903,F
A_Tale_of_Two_Cities,Miss Manette,24,4,6,1,0.015987777974705807,F
A_Tale_of_Two_Cities,Aggerawayter,2,2,1,1,0.013635225899633084,UNK
A_Tale_of_Two_Cities,God,12,0,6,0,0.012533766283022208,M
A_Tale_of_Two_Cities,Monsieur Gabelle,4,1,2,1,0.009451024092034917,M
A_Tale_of_Two_Cities,the Old Un,1,0,1,0,0.007833908647681959,UNK
A_Tale_of_Two_Cities,Monsieur,9,0,3,0,0.01315013212289025,UNK
A_Tale_of_Two_Cities,Banker,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Young Jerry,3,0,1,0,0.009016882837749639,M
A_Tale_of_Two_Cities,Ecod,1,0,1,0,0.007833908647681959,UNK
A_Tale_of_Two_Cities,Mr. Carton,32,28,4,4,0.01956681717971661,M
A_Tale_of_Two_Cities,Mrs. Cruncher,15,1,2,1,0.015019325245313058,F
A_Tale_of_Two_Cities,Heaven,3,0,3,0,0.009360706599345622,UNK
A_Tale_of_Two_Cities,Lead,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,old Foulon,1,0,1,0,0.0077285059274659704,UNK
A_Tale_of_Two_Cities,Tellson,14,1,4,1,0.014183803469086261,M
A_Tale_of_Two_Cities,Hark,1,0,1,0,0.007520659690458025,UNK
A_Tale_of_Two_Cities,Midnight Murder,1,0,1,0,0.007560057964471295,UNK
A_Tale_of_Two_Cities,Jacques Two,1,0,1,0,0.007476369071974673,UNK
A_Tale_of_Two_Cities,Monsieur Charles,1,0,1,0,0.01339878167284548,UNK
A_Tale_of_Two_Cities,Solomon John,4,0,1,0,0.009608369932783477,UNK
