character,tag,count,chapter,novel
Aggerawayter,N,0,1,A_Tale_of_Two_Cities
Aggerawayter,C,0,1,A_Tale_of_Two_Cities
Aggerawayter,I,0,1,A_Tale_of_Two_Cities
Aggerawayter,A,0,1,A_Tale_of_Two_Cities
Aggerawayter,DC,0,1,A_Tale_of_Two_Cities
Aggerawayter,DN,0,1,A_Tale_of_Two_Cities
Alexandre Manette,N,0,1,A_Tale_of_Two_Cities
Alexandre Manette,C,0,1,A_Tale_of_Two_Cities
Alexandre Manette,I,0,1,A_Tale_of_Two_Cities
Alexandre Manette,A,0,1,A_Tale_of_Two_Cities
Alexandre Manette,DC,0,1,A_Tale_of_Two_Cities
Alexandre Manette,DN,0,1,A_Tale_of_Two_Cities
Barsad,N,0,1,A_Tale_of_Two_Cities
Barsad,C,0,1,A_Tale_of_Two_Cities
Barsad,I,0,1,A_Tale_of_Two_Cities
Barsad,A,0,1,A_Tale_of_Two_Cities
Barsad,DC,0,1,A_Tale_of_Two_Cities
Barsad,DN,0,1,A_Tale_of_Two_Cities
Carton,N,0,1,A_Tale_of_Two_Cities
Carton,C,0,1,A_Tale_of_Two_Cities
Carton,I,0,1,A_Tale_of_Two_Cities
Carton,A,0,1,A_Tale_of_Two_Cities
Carton,DC,0,1,A_Tale_of_Two_Cities
Carton,DN,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,N,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,C,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,I,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,A,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,DC,0,1,A_Tale_of_Two_Cities
Charles Evrémonde,DN,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,N,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,C,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,I,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,A,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,DC,0,1,A_Tale_of_Two_Cities
Citizen Gabelle,DN,0,1,A_Tale_of_Two_Cities
Citizen Manette,N,0,1,A_Tale_of_Two_Cities
Citizen Manette,C,0,1,A_Tale_of_Two_Cities
Citizen Manette,I,0,1,A_Tale_of_Two_Cities
Citizen Manette,A,0,1,A_Tale_of_Two_Cities
Citizen Manette,DC,0,1,A_Tale_of_Two_Cities
Citizen Manette,DN,0,1,A_Tale_of_Two_Cities
Cly,N,0,1,A_Tale_of_Two_Cities
Cly,C,0,1,A_Tale_of_Two_Cities
Cly,I,0,1,A_Tale_of_Two_Cities
Cly,A,0,1,A_Tale_of_Two_Cities
Cly,DC,0,1,A_Tale_of_Two_Cities
Cly,DN,0,1,A_Tale_of_Two_Cities
Darnay,N,0,1,A_Tale_of_Two_Cities
Darnay,C,0,1,A_Tale_of_Two_Cities
Darnay,I,0,1,A_Tale_of_Two_Cities
Darnay,A,0,1,A_Tale_of_Two_Cities
Darnay,DC,0,1,A_Tale_of_Two_Cities
Darnay,DN,0,1,A_Tale_of_Two_Cities
Darnay--,N,0,1,A_Tale_of_Two_Cities
Darnay--,C,0,1,A_Tale_of_Two_Cities
Darnay--,I,0,1,A_Tale_of_Two_Cities
Darnay--,A,0,1,A_Tale_of_Two_Cities
Darnay--,DC,0,1,A_Tale_of_Two_Cities
Darnay--,DN,0,1,A_Tale_of_Two_Cities
Death,N,0,1,A_Tale_of_Two_Cities
Death,C,0,1,A_Tale_of_Two_Cities
Death,I,0,1,A_Tale_of_Two_Cities
Death,A,0,1,A_Tale_of_Two_Cities
Death,DC,0,1,A_Tale_of_Two_Cities
Death,DN,0,1,A_Tale_of_Two_Cities
Defarge,N,0,1,A_Tale_of_Two_Cities
Defarge,C,0,1,A_Tale_of_Two_Cities
Defarge,I,0,1,A_Tale_of_Two_Cities
Defarge,A,0,1,A_Tale_of_Two_Cities
Defarge,DC,0,1,A_Tale_of_Two_Cities
Defarge,DN,0,1,A_Tale_of_Two_Cities
Doctor Manette,N,0,1,A_Tale_of_Two_Cities
Doctor Manette,C,0,1,A_Tale_of_Two_Cities
Doctor Manette,I,0,1,A_Tale_of_Two_Cities
Doctor Manette,A,0,1,A_Tale_of_Two_Cities
Doctor Manette,DC,0,1,A_Tale_of_Two_Cities
Doctor Manette,DN,0,1,A_Tale_of_Two_Cities
Ernest Defarge,N,0,1,A_Tale_of_Two_Cities
Ernest Defarge,C,0,1,A_Tale_of_Two_Cities
Ernest Defarge,I,0,1,A_Tale_of_Two_Cities
Ernest Defarge,A,0,1,A_Tale_of_Two_Cities
Ernest Defarge,DC,0,1,A_Tale_of_Two_Cities
Ernest Defarge,DN,0,1,A_Tale_of_Two_Cities
Evrémonde,N,0,1,A_Tale_of_Two_Cities
Evrémonde,C,0,1,A_Tale_of_Two_Cities
Evrémonde,I,0,1,A_Tale_of_Two_Cities
Evrémonde,A,0,1,A_Tale_of_Two_Cities
Evrémonde,DC,0,1,A_Tale_of_Two_Cities
Evrémonde,DN,0,1,A_Tale_of_Two_Cities
Foulon,N,0,1,A_Tale_of_Two_Cities
Foulon,C,0,1,A_Tale_of_Two_Cities
Foulon,I,0,1,A_Tale_of_Two_Cities
Foulon,A,0,1,A_Tale_of_Two_Cities
Foulon,DC,0,1,A_Tale_of_Two_Cities
Foulon,DN,0,1,A_Tale_of_Two_Cities
Gaspard,N,0,1,A_Tale_of_Two_Cities
Gaspard,C,0,1,A_Tale_of_Two_Cities
