character,tag,count,chapter,novel
Adam,N,0,1,Adam_Bede
Adam,C,0,1,Adam_Bede
Adam,I,0,1,Adam_Bede
Adam,A,0,1,Adam_Bede
Adam,DC,0,1,Adam_Bede
Adam,DN,0,1,Adam_Bede
Alick,N,0,1,Adam_Bede
Alick,C,0,1,Adam_Bede
Alick,I,0,1,Adam_Bede
Alick,A,0,1,Adam_Bede
Alick,DC,0,1,Adam_Bede
Alick,DN,0,1,Adam_Bede
Arthur,N,0,1,Adam_Bede
Arthur,C,0,1,Adam_Bede
Arthur,I,0,1,Adam_Bede
Arthur,A,0,1,Adam_Bede
Arthur,DC,0,1,Adam_Bede
Arthur,DN,0,1,Adam_Bede
Aunt,N,0,1,Adam_Bede
Aunt,C,0,1,Adam_Bede
Aunt,I,0,1,Adam_Bede
Aunt,A,0,1,Adam_Bede
Aunt,DC,0,1,Adam_Bede
Aunt,DN,0,1,Adam_Bede
Aunt Lydia,N,0,1,Adam_Bede
Aunt Lydia,C,0,1,Adam_Bede
Aunt Lydia,I,0,1,Adam_Bede
Aunt Lydia,A,0,1,Adam_Bede
Aunt Lydia,DC,0,1,Adam_Bede
Aunt Lydia,DN,0,1,Adam_Bede
Bartle,N,0,1,Adam_Bede
Bartle,C,0,1,Adam_Bede
Bartle,I,0,1,Adam_Bede
Bartle,A,0,1,Adam_Bede
Bartle,DC,0,1,Adam_Bede
Bartle,DN,0,1,Adam_Bede
Ben,N,0,1,Adam_Bede
Ben,C,0,1,Adam_Bede
Ben,I,0,1,Adam_Bede
Ben,A,0,1,Adam_Bede
Ben,DC,0,1,Adam_Bede
Ben,DN,0,1,Adam_Bede
Ben Cranage,N,0,1,Adam_Bede
Ben Cranage,C,0,1,Adam_Bede
Ben Cranage,I,0,1,Adam_Bede
Ben Cranage,A,0,1,Adam_Bede
Ben Cranage,DC,0,1,Adam_Bede
Ben Cranage,DN,0,1,Adam_Bede
Bessy,N,0,1,Adam_Bede
Bessy,C,0,1,Adam_Bede
Bessy,I,0,1,Adam_Bede
Bessy,A,0,1,Adam_Bede
Bessy,DC,0,1,Adam_Bede
Bessy,DN,0,1,Adam_Bede
Betty,N,0,1,Adam_Bede
Betty,C,0,1,Adam_Bede
Betty,I,0,1,Adam_Bede
Betty,A,0,1,Adam_Bede
Betty,DC,0,1,Adam_Bede
Betty,DN,0,1,Adam_Bede
Bill,N,0,1,Adam_Bede
Bill,C,0,1,Adam_Bede
Bill,I,0,1,Adam_Bede
Bill,A,0,1,Adam_Bede
Bill,DC,0,1,Adam_Bede
Bill,DN,0,1,Adam_Bede
Bony,N,0,1,Adam_Bede
Bony,C,0,1,Adam_Bede
Bony,I,0,1,Adam_Bede
Bony,A,0,1,Adam_Bede
Bony,DC,0,1,Adam_Bede
Bony,DN,0,1,Adam_Bede
Captain Donnithorne,N,0,1,Adam_Bede
