character,tag,count,chapter,novel
Abdulla,N,2,1,Almayer's_Folly
Abdulla,C,0,1,Almayer's_Folly
Abdulla,I,0,1,Almayer's_Folly
Abdulla,A,0,1,Almayer's_Folly
Abdulla,DC,2,1,Almayer's_Folly
Abdulla,DN,0,1,Almayer's_Folly
Ada,N,0,1,Almayer's_Folly
Ada,C,0,1,Almayer's_Folly
Ada,I,0,1,Almayer's_Folly
Ada,A,0,1,Almayer's_Folly
Ada,DC,0,1,Almayer's_Folly
Ada,DN,0,1,Almayer's_Folly
Ali,N,0,1,Almayer's_Folly
Ali,C,0,1,Almayer's_Folly
Ali,I,0,1,Almayer's_Folly
Ali,A,0,1,Almayer's_Folly
Ali,DC,0,1,Almayer's_Folly
Ali,DN,0,1,Almayer's_Folly
Almayer,N,44,1,Almayer's_Folly
Almayer,C,15,1,Almayer's_Folly
Almayer,I,3,1,Almayer's_Folly
Almayer,A,12,1,Almayer's_Folly
Almayer,DC,0,1,Almayer's_Folly
Almayer,DN,2,1,Almayer's_Folly
Babalatchi,N,0,1,Almayer's_Folly
Babalatchi,C,0,1,Almayer's_Folly
Babalatchi,I,0,1,Almayer's_Folly
Babalatchi,A,0,1,Almayer's_Folly
Babalatchi,DC,0,1,Almayer's_Folly
Babalatchi,DN,0,1,Almayer's_Folly
Bulangi,N,0,1,Almayer's_Folly
Bulangi,C,0,1,Almayer's_Folly
Bulangi,I,0,1,Almayer's_Folly
Bulangi,A,0,1,Almayer's_Folly
Bulangi,DC,0,1,Almayer's_Folly
Bulangi,DN,0,1,Almayer's_Folly
Dain,N,8,1,Almayer's_Folly
Dain,C,8,1,Almayer's_Folly
Dain,I,3,1,Almayer's_Folly
Dain,A,4,1,Almayer's_Folly
Dain,DC,3,1,Almayer's_Folly
Dain,DN,1,1,Almayer's_Folly
Ford,N,0,1,Almayer's_Folly
Ford,C,0,1,Almayer's_Folly
Ford,I,0,1,Almayer's_Folly
Ford,A,0,1,Almayer's_Folly
Ford,DC,0,1,Almayer's_Folly
Ford,DN,0,1,Almayer's_Folly
Hudig,N,7,1,Almayer's_Folly
Hudig,C,0,1,Almayer's_Folly
Hudig,I,0,1,Almayer's_Folly
Hudig,A,2,1,Almayer's_Folly
Hudig,DC,1,1,Almayer's_Folly
Hudig,DN,0,1,Almayer's_Folly
Jim - Eng,N,0,1,Almayer's_Folly
Jim - Eng,C,0,1,Almayer's_Folly
Jim - Eng,I,0,1,Almayer's_Folly
Jim - Eng,A,0,1,Almayer's_Folly
Jim - Eng,DC,0,1,Almayer's_Folly
Jim - Eng,DN,0,1,Almayer's_Folly
Jim- Eng,N,0,1,Almayer's_Folly
Jim- Eng,C,0,1,Almayer's_Folly
Jim- Eng,I,0,1,Almayer's_Folly
Jim- Eng,A,0,1,Almayer's_Folly
Jim- Eng,DC,0,1,Almayer's_Folly
Jim- Eng,DN,0,1,Almayer's_Folly
Joseph Conrad,N,0,1,Almayer's_Folly
Joseph Conrad,C,1,1,Almayer's_Folly
Joseph Conrad,I,8,1,Almayer's_Folly
Joseph Conrad,A,10,1,Almayer's_Folly
Joseph Conrad,DC,0,1,Almayer's_Folly
Joseph Conrad,DN,1,1,Almayer's_Folly
Kaspar,N,3,1,Almayer's_Folly
Kaspar,C,0,1,Almayer's_Folly
Kaspar,I,0,1,Almayer's_Folly
Kaspar,A,0,1,Almayer's_Folly
Kaspar,DC,1,1,Almayer's_Folly
Kaspar,DN,0,1,Almayer's_Folly
Lakamba,N,4,1,Almayer's_Folly
Lakamba,C,0,1,Almayer's_Folly
Lakamba,I,0,1,Almayer's_Folly
Lakamba,A,0,1,Almayer's_Folly
Lakamba,DC,3,1,Almayer's_Folly
Lakamba,DN,0,1,Almayer's_Folly
Lingard,N,12,1,Almayer's_Folly
Lingard,C,1,1,Almayer's_Folly
Lingard,I,2,1,Almayer's_Folly
Lingard,A,7,1,Almayer's_Folly
Lingard,DC,1,1,Almayer's_Folly
Lingard,DN,1,1,Almayer's_Folly
Mahmat,N,0,1,Almayer's_Folly
Mahmat,C,0,1,Almayer's_Folly
Mahmat,I,0,1,Almayer's_Folly
Mahmat,A,0,1,Almayer's_Folly
Mahmat,DC,0,1,Almayer's_Folly
Mahmat,DN,0,1,Almayer's_Folly
Mr. Almayer,N,0,1,Almayer's_Folly
Mr. Almayer,C,0,1,Almayer's_Folly
Mr. Almayer,I,0,1,Almayer's_Folly
Mr. Almayer,A,0,1,Almayer's_Folly
Mr. Almayer,DC,0,1,Almayer's_Folly
Mr. Almayer,DN,0,1,Almayer's_Folly
Mr. Vinck,N,6,1,Almayer's_Folly
Mr. Vinck,C,2,1,Almayer's_Folly
Mr. Vinck,I,0,1,Almayer's_Folly
Mr. Vinck,A,1,1,Almayer's_Folly
Mr. Vinck,DC,0,1,Almayer's_Folly
Mr. Vinck,DN,0,1,Almayer's_Folly
Mrs. Vinck,N,0,1,Almayer's_Folly
Mrs. Vinck,C,0,1,Almayer's_Folly
Mrs. Vinck,I,0,1,Almayer's_Folly
Mrs. Vinck,A,0,1,Almayer's_Folly
Mrs. Vinck,DC,0,1,Almayer's_Folly
Mrs. Vinck,DN,0,1,Almayer's_Folly
Nina,N,10,1,Almayer's_Folly
Nina,C,2,1,Almayer's_Folly
Nina,I,6,1,Almayer's_Folly
Nina,A,4,1,Almayer's_Folly
Nina,DC,4,1,Almayer's_Folly
Nina,DN,3,1,Almayer's_Folly
Poor Almayer,N,0,1,Almayer's_Folly
Poor Almayer,C,0,1,Almayer's_Folly
Poor Almayer,I,0,1,Almayer's_Folly
Poor Almayer,A,0,1,Almayer's_Folly
Poor Almayer,DC,0,1,Almayer's_Folly
Poor Almayer,DN,0,1,Almayer's_Folly
Reshid,N,0,1,Almayer's_Folly
Reshid,C,0,1,Almayer's_Folly
Reshid,I,0,1,Almayer's_Folly
Reshid,A,0,1,Almayer's_Folly
Reshid,DC,0,1,Almayer's_Folly
Reshid,DN,0,1,Almayer's_Folly
Sambir,N,1,1,Almayer's_Folly
Sambir,C,0,1,Almayer's_Folly
Sambir,I,0,1,Almayer's_Folly
Sambir,A,0,1,Almayer's_Folly
Sambir,DC,0,1,Almayer's_Folly
Sambir,DN,0,1,Almayer's_Folly
Taminah,N,0,1,Almayer's_Folly
Taminah,C,0,1,Almayer's_Folly
Taminah,I,0,1,Almayer's_Folly
Taminah,A,0,1,Almayer's_Folly
Taminah,DC,0,1,Almayer's_Folly
