character,tag,count,chapter,novel
Abraham Sage,N,5,1,Armadale
Abraham Sage,C,7,1,Armadale
Abraham Sage,I,0,1,Armadale
Abraham Sage,A,4,1,Armadale
Abraham Sage,DC,3,1,Armadale
Abraham Sage,DN,0,1,Armadale
Allan,N,1262,1,Armadale
Allan,C,529,1,Armadale
Allan,I,337,1,Armadale
Allan,A,542,1,Armadale
Allan,DC,360,1,Armadale
Allan,DN,33,1,Armadale
Allan Armadales,N,5,1,Armadale
Allan Armadales,C,0,1,Armadale
Allan Armadales,I,0,1,Armadale
Allan Armadales,A,0,1,Armadale
Allan Armadales,DC,2,1,Armadale
Allan Armadales,DN,0,1,Armadale
Arthur Blanchard,N,0,1,Armadale
Arthur Blanchard,C,0,1,Armadale
Arthur Blanchard,I,0,1,Armadale
Arthur Blanchard,A,0,1,Armadale
Arthur Blanchard,DC,0,1,Armadale
Arthur Blanchard,DN,0,1,Armadale
Augustus,N,6,1,Armadale
Augustus,C,1,1,Armadale
Augustus,I,1,1,Armadale
Augustus,A,1,1,Armadale
Augustus,DC,4,1,Armadale
Augustus,DN,0,1,Armadale
Benjamin,N,0,1,Armadale
Benjamin,C,0,1,Armadale
Benjamin,I,0,1,Armadale
Benjamin,A,0,1,Armadale
Benjamin,DC,0,1,Armadale
Benjamin,DN,0,1,Armadale
Blackstone,N,12,1,Armadale
Blackstone,C,0,1,Armadale
Blackstone,I,1,1,Armadale
Blackstone,A,6,1,Armadale
Blackstone,DC,8,1,Armadale
Blackstone,DN,0,1,Armadale
Brown,N,4,1,Armadale
Brown,C,2,1,Armadale
Brown,I,7,1,Armadale
Brown,A,8,1,Armadale
Brown,DC,1,1,Armadale
Brown,DN,0,1,Armadale
Captain Manuel,N,9,1,Armadale
Captain Manuel,C,0,1,Armadale
Captain Manuel,I,2,1,Armadale
Captain Manuel,A,4,1,Armadale
Captain Manuel,DC,0,1,Armadale
Captain Manuel,DN,1,1,Armadale
DAD,N,1,1,Armadale
DAD,C,0,1,Armadale
DAD,I,6,1,Armadale
DAD,A,5,1,Armadale
DAD,DC,0,1,Armadale
DAD,DN,3,1,Armadale
DEAR MADAM,N,1,1,Armadale
DEAR MADAM,C,0,1,Armadale
DEAR MADAM,I,2,1,Armadale
DEAR MADAM,A,6,1,Armadale
DEAR MADAM,DC,25,1,Armadale
DEAR MADAM,DN,0,1,Armadale
DEAR MID --,N,1,1,Armadale
DEAR MID --,C,0,1,Armadale
DEAR MID --,I,0,1,Armadale
DEAR MID --,A,0,1,Armadale
DEAR MID --,DC,0,1,Armadale
DEAR MID --,DN,2,1,Armadale
DECIMUS BROCK,N,7,1,Armadale
DECIMUS BROCK,C,0,1,Armadale
DECIMUS BROCK,I,0,1,Armadale
DECIMUS BROCK,A,0,1,Armadale
DECIMUS BROCK,DC,5,1,Armadale
DECIMUS BROCK,DN,0,1,Armadale
Darch,N,5,1,Armadale
Darch,C,0,1,Armadale
Darch,I,3,1,Armadale
Darch,A,7,1,Armadale
Darch,DC,6,1,Armadale
Darch,DN,3,1,Armadale
Death,N,1,1,Armadale
Death,C,0,1,Armadale
Death,I,0,1,Armadale
Death,A,1,1,Armadale
Death,DC,1,1,Armadale
Death,DN,0,1,Armadale
Doctor Downward,N,5,1,Armadale
Doctor Downward,C,0,1,Armadale
Doctor Downward,I,0,1,Armadale
Doctor Downward,A,0,1,Armadale
Doctor Downward,DC,2,1,Armadale
Doctor Downward,DN,0,1,Armadale
Eveleen,N,6,1,Armadale
Eveleen,C,0,1,Armadale
Eveleen,I,0,1,Armadale
Eveleen,A,1,1,Armadale
Eveleen,DC,6,1,Armadale
Eveleen,DN,0,1,Armadale
God,N,27,1,Armadale
God,C,0,1,Armadale
God,I,1,1,Armadale
God,A,2,1,Armadale
God,DC,22,1,Armadale
God,DN,0,1,Armadale
HON’D SIR,N,1,1,Armadale
HON’D SIR,C,0,1,Armadale
HON’D SIR,I,1,1,Armadale
HON’D SIR,A,2,1,Armadale
HON’D SIR,DC,3,1,Armadale
HON’D SIR,DN,0,1,Armadale
Heaven,N,9,1,Armadale
Heaven,C,0,1,Armadale
Heaven,I,1,1,Armadale
Heaven,A,2,1,Armadale
Heaven,DC,6,1,Armadale
Heaven,DN,0,1,Armadale
Ingleby,N,0,1,Armadale
Ingleby,C,0,1,Armadale
Ingleby,I,0,1,Armadale
Ingleby,A,0,1,Armadale
Ingleby,DC,0,1,Armadale
Ingleby,DN,0,1,Armadale
Jemmy,N,31,1,Armadale
Jemmy,C,0,1,Armadale
Jemmy,I,6,1,Armadale
Jemmy,A,8,1,Armadale
Jemmy,DC,5,1,Armadale
Jemmy,DN,6,1,Armadale
John,N,0,1,Armadale
John,C,0,1,Armadale
John,I,0,1,Armadale
John,A,0,1,Armadale
John,DC,0,1,Armadale
John,DN,0,1,Armadale
Lady Macbeth,N,3,1,Armadale
Lady Macbeth,C,0,1,Armadale
Lady Macbeth,I,0,1,Armadale
Lady Macbeth,A,2,1,Armadale
Lady Macbeth,DC,4,1,Armadale
Lady Macbeth,DN,0,1,Armadale
Lydia,N,36,1,Armadale
Lydia,C,0,1,Armadale
Lydia,I,20,1,Armadale
Lydia,A,40,1,Armadale
Lydia,DC,120,1,Armadale
Lydia,DN,0,1,Armadale
MARIA OLDERSHAW,N,9,1,Armadale
MARIA OLDERSHAW,C,0,1,Armadale
MARIA OLDERSHAW,I,0,1,Armadale
MARIA OLDERSHAW,A,0,1,Armadale
MARIA OLDERSHAW,DC,9,1,Armadale
MARIA OLDERSHAW,DN,0,1,Armadale
Major Milroy,N,74,1,Armadale
Major Milroy,C,13,1,Armadale
Major Milroy,I,15,1,Armadale
Major Milroy,A,31,1,Armadale
Major Milroy,DC,52,1,Armadale
Major Milroy,DN,4,1,Armadale
Mamma,N,5,1,Armadale
Mamma,C,0,1,Armadale
Mamma,I,9,1,Armadale
Mamma,A,8,1,Armadale
Mamma,DC,25,1,Armadale
Mamma,DN,0,1,Armadale
Manuel,N,18,1,Armadale
Manuel,C,0,1,Armadale
Manuel,I,5,1,Armadale
Manuel,A,19,1,Armadale
Manuel,DC,8,1,Armadale
Manuel,DN,1,1,Armadale
Matilda,N,3,1,Armadale
Matilda,C,0,1,Armadale
Matilda,I,0,1,Armadale
Matilda,A,2,1,Armadale
Matilda,DC,5,1,Armadale
Matilda,DN,0,1,Armadale
Midnight.--Midwinter,N,1,1,Armadale
