character,tag,count,chapter,novel
Andrew Floyd,N,0,1,Aurora_Floyd1
Andrew Floyd,C,0,1,Aurora_Floyd1
Andrew Floyd,I,0,1,Aurora_Floyd1
Andrew Floyd,A,0,1,Aurora_Floyd1
Andrew Floyd,DC,0,1,Aurora_Floyd1
Andrew Floyd,DN,0,1,Aurora_Floyd1
Archibald Floyd,N,0,1,Aurora_Floyd1
Archibald Floyd,C,0,1,Aurora_Floyd1
Archibald Floyd,I,0,1,Aurora_Floyd1
Archibald Floyd,A,0,1,Aurora_Floyd1
Archibald Floyd,DC,0,1,Aurora_Floyd1
Archibald Floyd,DN,0,1,Aurora_Floyd1
Archibald Martin Floyd,N,0,1,Aurora_Floyd1
Archibald Martin Floyd,C,0,1,Aurora_Floyd1
Archibald Martin Floyd,I,0,1,Aurora_Floyd1
Archibald Martin Floyd,A,0,1,Aurora_Floyd1
Archibald Martin Floyd,DC,0,1,Aurora_Floyd1
Archibald Martin Floyd,DN,0,1,Aurora_Floyd1
Aurora,N,1,1,Aurora_Floyd1
Aurora,C,0,1,Aurora_Floyd1
Aurora,I,0,1,Aurora_Floyd1
Aurora,A,0,1,Aurora_Floyd1
Aurora,DC,0,1,Aurora_Floyd1
Aurora,DN,0,1,Aurora_Floyd1
Bow - wow,N,0,1,Aurora_Floyd1
Bow - wow,C,0,1,Aurora_Floyd1
Bow - wow,I,0,1,Aurora_Floyd1
Bow - wow,A,0,1,Aurora_Floyd1
Bow - wow,DC,0,1,Aurora_Floyd1
Bow - wow,DN,0,1,Aurora_Floyd1
Constance Trevyllian,N,0,1,Aurora_Floyd1
Constance Trevyllian,C,0,1,Aurora_Floyd1
Constance Trevyllian,I,0,1,Aurora_Floyd1
Constance Trevyllian,A,0,1,Aurora_Floyd1
Constance Trevyllian,DC,0,1,Aurora_Floyd1
Constance Trevyllian,DN,0,1,Aurora_Floyd1
Eliza Floyd,N,0,1,Aurora_Floyd1
Eliza Floyd,C,0,1,Aurora_Floyd1
Eliza Floyd,I,0,1,Aurora_Floyd1
Eliza Floyd,A,0,1,Aurora_Floyd1
Eliza Floyd,DC,0,1,Aurora_Floyd1
Eliza Floyd,DN,0,1,Aurora_Floyd1
Francis Lewis Maldon,N,0,1,Aurora_Floyd1
Francis Lewis Maldon,C,0,1,Aurora_Floyd1
Francis Lewis Maldon,I,0,1,Aurora_Floyd1
Francis Lewis Maldon,A,0,1,Aurora_Floyd1
Francis Lewis Maldon,DC,0,1,Aurora_Floyd1
Francis Lewis Maldon,DN,0,1,Aurora_Floyd1
God,N,0,1,Aurora_Floyd1
God,C,0,1,Aurora_Floyd1
God,I,0,1,Aurora_Floyd1
God,A,0,1,Aurora_Floyd1
God,DC,0,1,Aurora_Floyd1
God,DN,0,1,Aurora_Floyd1
Heaven,N,0,1,Aurora_Floyd1
Heaven,C,0,1,Aurora_Floyd1
Heaven,I,0,1,Aurora_Floyd1
Heaven,A,0,1,Aurora_Floyd1
Heaven,DC,0,1,Aurora_Floyd1
Heaven,DN,0,1,Aurora_Floyd1
John,N,0,1,Aurora_Floyd1
John,C,0,1,Aurora_Floyd1
John,I,0,1,Aurora_Floyd1
John,A,0,1,Aurora_Floyd1
John,DC,0,1,Aurora_Floyd1
John,DN,0,1,Aurora_Floyd1
John Mellish,N,1,1,Aurora_Floyd1
John Mellish,C,1,1,Aurora_Floyd1
John Mellish,I,0,1,Aurora_Floyd1
John Mellish,A,1,1,Aurora_Floyd1
John Mellish,DC,0,1,Aurora_Floyd1
John Mellish,DN,0,1,Aurora_Floyd1
Lady Bulstrode,N,0,1,Aurora_Floyd1
Lady Bulstrode,C,0,1,Aurora_Floyd1
Lady Bulstrode,I,0,1,Aurora_Floyd1
Lady Bulstrode,A,0,1,Aurora_Floyd1
Lady Bulstrode,DC,0,1,Aurora_Floyd1
Lady Bulstrode,DN,0,1,Aurora_Floyd1
Langley,N,0,1,Aurora_Floyd1
Langley,C,0,1,Aurora_Floyd1
Langley,I,0,1,Aurora_Floyd1
Langley,A,0,1,Aurora_Floyd1
Langley,DC,0,1,Aurora_Floyd1
Langley,DN,0,1,Aurora_Floyd1
Lucy,N,0,1,Aurora_Floyd1
Lucy,C,0,1,Aurora_Floyd1
Lucy,I,0,1,Aurora_Floyd1
Lucy,A,0,1,Aurora_Floyd1
Lucy,DC,0,1,Aurora_Floyd1
Lucy,DN,0,1,Aurora_Floyd1
Maister Floyd,N,0,1,Aurora_Floyd1
Maister Floyd,C,0,1,Aurora_Floyd1
Maister Floyd,I,0,1,Aurora_Floyd1
Maister Floyd,A,0,1,Aurora_Floyd1
Maister Floyd,DC,0,1,Aurora_Floyd1
Maister Floyd,DN,0,1,Aurora_Floyd1
Miss Percival,N,0,1,Aurora_Floyd1
Miss Percival,C,0,1,Aurora_Floyd1
Miss Percival,I,0,1,Aurora_Floyd1
Miss Percival,A,0,1,Aurora_Floyd1
Miss Percival,DC,0,1,Aurora_Floyd1
Miss Percival,DN,0,1,Aurora_Floyd1
Miss Trevyllian,N,0,1,Aurora_Floyd1
Miss Trevyllian,C,0,1,Aurora_Floyd1
Miss Trevyllian,I,0,1,Aurora_Floyd1
Miss Trevyllian,A,0,1,Aurora_Floyd1
Miss Trevyllian,DC,0,1,Aurora_Floyd1
Miss Trevyllian,DN,0,1,Aurora_Floyd1
Mr. Maldon,N,0,1,Aurora_Floyd1
