character,tag,count,chapter,novel
Achilles,N,0,1,Barchester_Towers
Achilles,C,0,1,Barchester_Towers
Achilles,I,0,1,Barchester_Towers
Achilles,A,0,1,Barchester_Towers
Achilles,DC,0,1,Barchester_Towers
Achilles,DN,0,1,Barchester_Towers
Arabins,N,0,1,Barchester_Towers
Arabins,C,0,1,Barchester_Towers
Arabins,I,0,1,Barchester_Towers
Arabins,A,0,1,Barchester_Towers
Arabins,DC,0,1,Barchester_Towers
Arabins,DN,0,1,Barchester_Towers
Archdeacon,N,0,1,Barchester_Towers
Archdeacon,C,0,1,Barchester_Towers
Archdeacon,I,0,1,Barchester_Towers
Archdeacon,A,0,1,Barchester_Towers
Archdeacon,DC,0,1,Barchester_Towers
Archdeacon,DN,0,1,Barchester_Towers
Augusta,N,0,1,Barchester_Towers
Augusta,C,0,1,Barchester_Towers
Augusta,I,0,1,Barchester_Towers
Augusta,A,0,1,Barchester_Towers
Augusta,DC,0,1,Barchester_Towers
Augusta,DN,0,1,Barchester_Towers
Barchester,N,0,1,Barchester_Towers
Barchester,C,0,1,Barchester_Towers
Barchester,I,0,1,Barchester_Towers
Barchester,A,0,1,Barchester_Towers
Barchester,DC,0,1,Barchester_Towers
Barchester,DN,0,1,Barchester_Towers
Bertie,N,0,1,Barchester_Towers
Bertie,C,0,1,Barchester_Towers
Bertie,I,0,1,Barchester_Towers
Bertie,A,0,1,Barchester_Towers
Bertie,DC,0,1,Barchester_Towers
Bertie,DN,0,1,Barchester_Towers
Betsey,N,0,1,Barchester_Towers
Betsey,C,0,1,Barchester_Towers
Betsey,I,0,1,Barchester_Towers
Betsey,A,0,1,Barchester_Towers
Betsey,DC,0,1,Barchester_Towers
Betsey,DN,0,1,Barchester_Towers
Bishop,N,0,1,Barchester_Towers
Bishop,C,0,1,Barchester_Towers
Bishop,I,0,1,Barchester_Towers
Bishop,A,0,1,Barchester_Towers
Bishop,DC,0,1,Barchester_Towers
Bishop,DN,0,1,Barchester_Towers
Charlotte,N,0,1,Barchester_Towers
Charlotte,C,0,1,Barchester_Towers
Charlotte,I,0,1,Barchester_Towers
