character,tag,count,chapter,novel
Annabella,N,0,1,Belinda
Annabella,C,0,1,Belinda
Annabella,I,0,1,Belinda
Annabella,A,0,1,Belinda
Annabella,DC,0,1,Belinda
Annabella,DN,0,1,Belinda
Belinda,N,49,1,Belinda
Belinda,C,10,1,Belinda
Belinda,I,29,1,Belinda
Belinda,A,30,1,Belinda
Belinda,DC,6,1,Belinda
Belinda,DN,13,1,Belinda
Bobby,N,0,1,Belinda
Bobby,C,0,1,Belinda
Bobby,I,0,1,Belinda
Bobby,A,0,1,Belinda
Bobby,DC,0,1,Belinda
Bobby,DN,0,1,Belinda
Captain Sunderland,N,0,1,Belinda
Captain Sunderland,C,0,1,Belinda
Captain Sunderland,I,0,1,Belinda
Captain Sunderland,A,0,1,Belinda
Captain Sunderland,DC,0,1,Belinda
Captain Sunderland,DN,0,1,Belinda
Champfort,N,0,1,Belinda
Champfort,C,0,1,Belinda
Champfort,I,0,1,Belinda
Champfort,A,0,1,Belinda
Champfort,DC,0,1,Belinda
Champfort,DN,0,1,Belinda
Charles,N,0,1,Belinda
Charles,C,0,1,Belinda
Charles,I,0,1,Belinda
Charles,A,0,1,Belinda
Charles,DC,0,1,Belinda
Charles,DN,0,1,Belinda
Clarence,N,0,1,Belinda
Clarence,C,0,1,Belinda
Clarence,I,0,1,Belinda
Clarence,A,0,1,Belinda
Clarence,DC,0,1,Belinda
Clarence,DN,0,1,Belinda
Clarence Hervey,N,0,1,Belinda
Clarence Hervey,C,0,1,Belinda
Clarence Hervey,I,0,1,Belinda
Clarence Hervey,A,0,1,Belinda
Clarence Hervey,DC,0,1,Belinda
Clarence Hervey,DN,0,1,Belinda
Clary,N,0,1,Belinda
Clary,C,0,1,Belinda
Clary,I,0,1,Belinda
Clary,A,0,1,Belinda
Clary,DC,0,1,Belinda
Clary,DN,0,1,Belinda
Cupid,N,0,1,Belinda
Cupid,C,0,1,Belinda
Cupid,I,0,1,Belinda
Cupid,A,0,1,Belinda
Cupid,DC,0,1,Belinda
Cupid,DN,0,1,Belinda
Damme,N,0,1,Belinda
Damme,C,0,1,Belinda
Damme,I,0,1,Belinda
Damme,A,0,1,Belinda
Damme,DC,0,1,Belinda
Damme,DN,0,1,Belinda
Doctor X----,N,0,1,Belinda
Doctor X----,C,0,1,Belinda
Doctor X----,I,0,1,Belinda
Doctor X----,A,0,1,Belinda
Doctor X----,DC,0,1,Belinda
Doctor X----,DN,0,1,Belinda
Dr. X----,N,0,1,Belinda
Dr. X----,C,0,1,Belinda
Dr. X----,I,0,1,Belinda
Dr. X----,A,0,1,Belinda
Dr. X----,DC,0,1,Belinda
Dr. X----,DN,0,1,Belinda
Edward,N,0,1,Belinda
Edward,C,0,1,Belinda
Edward,I,0,1,Belinda
Edward,A,0,1,Belinda
Edward,DC,0,1,Belinda
Edward,DN,0,1,Belinda
Fawcett,N,0,1,Belinda
Fawcett,C,0,1,Belinda
Fawcett,I,0,1,Belinda
Fawcett,A,0,1,Belinda
Fawcett,DC,0,1,Belinda
Fawcett,DN,0,1,Belinda
God,N,0,1,Belinda
God,C,0,1,Belinda
God,I,0,1,Belinda
God,A,0,1,Belinda
God,DC,0,1,Belinda
God,DN,0,1,Belinda
Harriot,N,0,1,Belinda
Harriot,C,0,1,Belinda
Harriot,I,0,1,Belinda
Harriot,A,0,1,Belinda
Harriot,DC,0,1,Belinda
Harriot,DN,0,1,Belinda
Heaven,N,0,1,Belinda
Heaven,C,0,1,Belinda
Heaven,I,0,1,Belinda
Heaven,A,0,1,Belinda
Heaven,DC,0,1,Belinda
Heaven,DN,0,1,Belinda
Helena,N,0,1,Belinda
Helena,C,0,1,Belinda
Helena,I,0,1,Belinda
Helena,A,0,1,Belinda
Helena,DC,0,1,Belinda
Helena,DN,0,1,Belinda
James,N,0,1,Belinda
James,C,0,1,Belinda
James,I,0,1,Belinda
James,A,0,1,Belinda
James,DC,0,1,Belinda
James,DN,0,1,Belinda
Jenny Mason,N,0,1,Belinda
Jenny Mason,C,0,1,Belinda
Jenny Mason,I,0,1,Belinda
Jenny Mason,A,0,1,Belinda
Jenny Mason,DC,0,1,Belinda
Jenny Mason,DN,0,1,Belinda
Joddrell,N,0,1,Belinda
Joddrell,C,0,1,Belinda
Joddrell,I,0,1,Belinda
Joddrell,A,0,1,Belinda
Joddrell,DC,0,1,Belinda
Joddrell,DN,0,1,Belinda
Jove,N,0,1,Belinda
Jove,C,0,1,Belinda
Jove,I,0,1,Belinda
Jove,A,0,1,Belinda
Jove,DC,0,1,Belinda
Jove,DN,0,1,Belinda
Juba,N,0,1,Belinda
Juba,C,0,1,Belinda
Juba,I,0,1,Belinda
Juba,A,0,1,Belinda
Juba,DC,0,1,Belinda
Juba,DN,0,1,Belinda
Lady Almeria,N,0,1,Belinda
Lady Almeria,C,0,1,Belinda
Lady Almeria,I,0,1,Belinda
Lady Almeria,A,0,1,Belinda
Lady Almeria,DC,0,1,Belinda
Lady Almeria,DN,0,1,Belinda
Lady Anne,N,1,1,Belinda
Lady Anne,C,0,1,Belinda
Lady Anne,I,0,1,Belinda
Lady Anne,A,1,1,Belinda
Lady Anne,DC,1,1,Belinda
Lady Anne,DN,0,1,Belinda
Lady Boucher,N,0,1,Belinda
Lady Boucher,C,0,1,Belinda
Lady Boucher,I,0,1,Belinda
Lady Boucher,A,0,1,Belinda
Lady Boucher,DC,0,1,Belinda
Lady Boucher,DN,0,1,Belinda
Lady Delacour,N,29,1,Belinda
Lady Delacour,C,6,1,Belinda
Lady Delacour,I,4,1,Belinda
Lady Delacour,A,12,1,Belinda
Lady Delacour,DC,7,1,Belinda
Lady Delacour,DN,1,1,Belinda
Lady Singleton,N,0,1,Belinda
Lady Singleton,C,0,1,Belinda
Lady Singleton,I,0,1,Belinda
Lady Singleton,A,0,1,Belinda
Lady Singleton,DC,0,1,Belinda
Lady Singleton,DN,0,1,Belinda
Lawless,N,0,1,Belinda
Lawless,C,0,1,Belinda
Lawless,I,0,1,Belinda
Lawless,A,0,1,Belinda
Lawless,DC,0,1,Belinda
Lawless,DN,0,1,Belinda
Lord,N,0,1,Belinda
Lord,C,0,1,Belinda
Lord,I,0,1,Belinda
Lord,A,0,1,Belinda
Lord,DC,0,1,Belinda
Lord,DN,0,1,Belinda
Lord Delacour,N,10,1,Belinda
Lord Delacour,C,1,1,Belinda
Lord Delacour,I,0,1,Belinda
Lord Delacour,A,1,1,Belinda
Lord Delacour,DC,1,1,Belinda
Lord Delacour,DN,0,1,Belinda
Lord Studley,N,0,1,Belinda
Lord Studley,C,0,1,Belinda
Lord Studley,I,0,1,Belinda
Lord Studley,A,0,1,Belinda
Lord Studley,DC,0,1,Belinda
Lord Studley,DN,0,1,Belinda
Lucy,N,0,1,Belinda
Lucy,C,0,1,Belinda
Lucy,I,0,1,Belinda
Lucy,A,0,1,Belinda
Lucy,DC,0,1,Belinda
Lucy,DN,0,1,Belinda
M. de St. Pierre,N,0,1,Belinda
M. de St. Pierre,C,0,1,Belinda
M. de St. Pierre,I,0,1,Belinda
M. de St. Pierre,A,0,1,Belinda
M. de St. Pierre,DC,0,1,Belinda
M. de St. Pierre,DN,0,1,Belinda
Mad,N,0,1,Belinda
Mad,C,0,1,Belinda
Mad,I,0,1,Belinda
Mad,A,0,1,Belinda
Mad,DC,0,1,Belinda
Mad,DN,0,1,Belinda
Mamma,N,0,1,Belinda
Mamma,C,0,1,Belinda
Mamma,I,0,1,Belinda
Mamma,A,0,1,Belinda
Mamma,DC,0,1,Belinda
Mamma,DN,0,1,Belinda
Marraton,N,0,1,Belinda
Marraton,C,0,1,Belinda
Marraton,I,0,1,Belinda
Marraton,A,0,1,Belinda
Marraton,DC,0,1,Belinda
Marraton,DN,0,1,Belinda
Marriott,N,0,1,Belinda
Marriott,C,0,1,Belinda
Marriott,I,0,1,Belinda
Marriott,A,0,1,Belinda
Marriott,DC,0,1,Belinda
Marriott,DN,0,1,Belinda
Ma’am,N,0,1,Belinda
Ma’am,C,0,1,Belinda
Ma’am,I,0,1,Belinda
Ma’am,A,0,1,Belinda
Ma’am,DC,0,1,Belinda
Ma’am,DN,0,1,Belinda
Milord,N,0,1,Belinda
Milord,C,0,1,Belinda
Milord,I,0,1,Belinda
Milord,A,0,1,Belinda
Milord,DC,0,1,Belinda
Milord,DN,0,1,Belinda
Miss Delacour,N,0,1,Belinda
Miss Delacour,C,0,1,Belinda
Miss Delacour,I,0,1,Belinda
Miss Delacour,A,0,1,Belinda
Miss Delacour,DC,0,1,Belinda
Miss Delacour,DN,0,1,Belinda
Miss Hartley,N,0,1,Belinda
Miss Hartley,C,0,1,Belinda
Miss Hartley,I,0,1,Belinda
Miss Hartley,A,0,1,Belinda
Miss Hartley,DC,0,1,Belinda
Miss Hartley,DN,0,1,Belinda
Miss Honour O’Grady,N,0,1,Belinda
Miss Honour O’Grady,C,0,1,Belinda
Miss Honour O’Grady,I,0,1,Belinda
Miss Honour O’Grady,A,0,1,Belinda
Miss Honour O’Grady,DC,0,1,Belinda
Miss Honour O’Grady,DN,0,1,Belinda
Miss Moreton,N,0,1,Belinda
Miss Moreton,C,0,1,Belinda
