character,tag,count,chapter,novel
Annémie,N,0,1,Bébée
Annémie,C,0,1,Bébée
Annémie,I,0,1,Bébée
Annémie,A,0,1,Bébée
Annémie,DC,0,1,Bébée
Annémie,DN,0,1,Bébée
Antoine,N,18,1,Bébée
Antoine,C,0,1,Bébée
Antoine,I,3,1,Bébée
Antoine,A,8,1,Bébée
Antoine,DC,3,1,Bébée
Antoine,DN,2,1,Bébée
Bac,N,0,1,Bébée
Bac,C,0,1,Bébée
Bac,I,0,1,Bébée
Bac,A,0,1,Bébée
Bac,DC,0,1,Bébée
Bac,DN,0,1,Bébée
Bébée,N,39,1,Bébée
Bébée,C,13,1,Bébée
Bébée,I,23,1,Bébée
Bébée,A,32,1,Bébée
Bébée,DC,1,1,Bébée
Bébée,DN,20,1,Bébée
Christ,N,1,1,Bébée
Christ,C,0,1,Bébée
Christ,I,0,1,Bébée
Christ,A,0,1,Bébée
Christ,DC,0,1,Bébée
Christ,DN,0,1,Bébée
Father Francis,N,5,1,Bébée
Father Francis,C,1,1,Bébée
Father Francis,I,2,1,Bébée
Father Francis,A,0,1,Bébée
Father Francis,DC,2,1,Bébée
Father Francis,DN,0,1,Bébée
Flamen,N,0,1,Bébée
Flamen,C,0,1,Bébée
Flamen,I,0,1,Bébée
Flamen,A,0,1,Bébée
Flamen,DC,0,1,Bébée
Flamen,DN,0,1,Bébée
Franz,N,0,1,Bébée
Franz,C,0,1,Bébée
Franz,I,0,1,Bébée
Franz,A,0,1,Bébée
Franz,DC,0,1,Bébée
Franz,DN,0,1,Bébée
God,N,1,1,Bébée
God,C,0,1,Bébée
God,I,1,1,Bébée
God,A,0,1,Bébée
God,DC,1,1,Bébée
God,DN,0,1,Bébée
Gretchen,N,0,1,Bébée
Gretchen,C,0,1,Bébée
Gretchen,I,0,1,Bébée
Gretchen,A,0,1,Bébée
Gretchen,DC,0,1,Bébée
Gretchen,DN,0,1,Bébée
Jeannot,N,0,1,Bébée
Jeannot,C,0,1,Bébée
Jeannot,I,0,1,Bébée
Jeannot,A,0,1,Bébée
Jeannot,DC,0,1,Bébée
Jeannot,DN,0,1,Bébée
Jesus,N,1,1,Bébée
Jesus,C,0,1,Bébée
Jesus,I,0,1,Bébée
Jesus,A,0,1,Bébée
Jesus,DC,0,1,Bébée
Jesus,DN,0,1,Bébée
John,N,0,1,Bébée
John,C,0,1,Bébée
John,I,0,1,Bébée
John,A,0,1,Bébée
John,DC,0,1,Bébée
John,DN,0,1,Bébée
Jules,N,0,1,Bébée
Jules,C,0,1,Bébée
Jules,I,0,1,Bébée
Jules,A,0,1,Bébée
Jules,DC,0,1,Bébée
Jules,DN,0,1,Bébée
Lisa,N,0,1,Bébée
Lisa,C,0,1,Bébée
Lisa,I,0,1,Bébée
Lisa,A,0,1,Bébée
Lisa,DC,0,1,Bébée
Lisa,DN,0,1,Bébée
Mary,N,0,1,Bébée
Mary,C,0,1,Bébée
Mary,I,0,1,Bébée
Mary,A,0,1,Bébée
Mary,DC,0,1,Bébée
Mary,DN,0,1,Bébée
Mère Krebs,N,1,1,Bébée
Mère Krebs,C,0,1,Bébée
Mère Krebs,I,0,1,Bébée
Mère Krebs,A,0,1,Bébée
Mère Krebs,DC,0,1,Bébée
Mère Krebs,DN,0,1,Bébée
Old Gran'mère Bishot,N,0,1,Bébée
Old Gran'mère Bishot,C,0,1,Bébée
Old Gran'mère Bishot,I,0,1,Bébée
Old Gran'mère Bishot,A,0,1,Bébée
Old Gran'mère Bishot,DC,0,1,Bébée
Old Gran'mère Bishot,DN,0,1,Bébée
Phryne,N,0,1,Bébée
Phryne,C,0,1,Bébée
Phryne,I,0,1,Bébée
Phryne,A,0,1,Bébée
Phryne,DC,0,1,Bébée
Phryne,DN,0,1,Bébée
Psyche,N,0,1,Bébée
Psyche,C,0,1,Bébée
Psyche,I,0,1,Bébée
Psyche,A,0,1,Bébée
Psyche,DC,0,1,Bébée
Psyche,DN,0,1,Bébée
Reine,N,0,1,Bébée
Reine,C,0,1,Bébée
Reine,I,0,1,Bébée
Reine,A,0,1,Bébée
Reine,DC,0,1,Bébée
Reine,DN,0,1,Bébée
Rubes,N,0,1,Bébée
Rubes,C,0,1,Bébée
Rubes,I,0,1,Bébée
Rubes,A,0,1,Bébée
Rubes,DC,0,1,Bébée
Rubes,DN,0,1,Bébée
Scheffer,N,0,1,Bébée
Scheffer,C,0,1,Bébée
Scheffer,I,0,1,Bébée
Scheffer,A,0,1,Bébée
Scheffer,DC,0,1,Bébée
Scheffer,DN,0,1,Bébée
Sun,N,0,1,Bébée
Sun,C,0,1,Bébée
Sun,I,0,1,Bébée
Sun,A,0,1,Bébée
Sun,DC,0,1,Bébée
Sun,DN,0,1,Bébée
Tambour,N,0,1,Bébée
Tambour,C,0,1,Bébée
