character,tag,count,chapter,novel
Alice,N,0,1,Can_You_Forgive_Her
Alice,C,0,1,Can_You_Forgive_Her
Alice,I,0,1,Can_You_Forgive_Her
Alice,A,0,1,Can_You_Forgive_Her
Alice,DC,0,1,Can_You_Forgive_Her
Alice,DN,0,1,Can_You_Forgive_Her
Alice Macleod,N,0,1,Can_You_Forgive_Her
Alice Macleod,C,0,1,Can_You_Forgive_Her
Alice Macleod,I,0,1,Can_You_Forgive_Her
Alice Macleod,A,0,1,Can_You_Forgive_Her
Alice Macleod,DC,0,1,Can_You_Forgive_Her
Alice Macleod,DN,0,1,Can_You_Forgive_Her
"Alice,--""I",N,0,1,Can_You_Forgive_Her
"Alice,--""I",C,0,1,Can_You_Forgive_Her
"Alice,--""I",I,0,1,Can_You_Forgive_Her
"Alice,--""I",A,0,1,Can_You_Forgive_Her
"Alice,--""I",DC,0,1,Can_You_Forgive_Her
"Alice,--""I",DN,0,1,Can_You_Forgive_Her
"Alice,--if",N,0,1,Can_You_Forgive_Her
"Alice,--if",C,0,1,Can_You_Forgive_Her
"Alice,--if",I,0,1,Can_You_Forgive_Her
"Alice,--if",A,0,1,Can_You_Forgive_Her
"Alice,--if",DC,0,1,Can_You_Forgive_Her
"Alice,--if",DN,0,1,Can_You_Forgive_Her
Alice--,N,0,1,Can_You_Forgive_Her
Alice--,C,0,1,Can_You_Forgive_Her
Alice--,I,0,1,Can_You_Forgive_Her
Alice--,A,0,1,Can_You_Forgive_Her
Alice--,DC,0,1,Can_You_Forgive_Her
Alice--,DN,0,1,Can_You_Forgive_Her
Arabella,N,0,1,Can_You_Forgive_Her
Arabella,C,0,1,Can_You_Forgive_Her
Arabella,I,0,1,Can_You_Forgive_Her
Arabella,A,0,1,Can_You_Forgive_Her
Arabella,DC,0,1,Can_You_Forgive_Her
Arabella,DN,0,1,Can_You_Forgive_Her
Athenian,N,0,1,Can_You_Forgive_Her
Athenian,C,0,1,Can_You_Forgive_Her
Athenian,I,0,1,Can_You_Forgive_Her
Athenian,A,0,1,Can_You_Forgive_Her
Athenian,DC,0,1,Can_You_Forgive_Her
Athenian,DN,0,1,Can_You_Forgive_Her
Auld Reekie,N,0,1,Can_You_Forgive_Her
Auld Reekie,C,0,1,Can_You_Forgive_Her
Auld Reekie,I,0,1,Can_You_Forgive_Her
Auld Reekie,A,0,1,Can_You_Forgive_Her
Auld Reekie,DC,0,1,Can_You_Forgive_Her
Auld Reekie,DN,0,1,Can_You_Forgive_Her
Aunt Greenow,N,0,1,Can_You_Forgive_Her
Aunt Greenow,C,0,1,Can_You_Forgive_Her
Aunt Greenow,I,0,1,Can_You_Forgive_Her
Aunt Greenow,A,0,1,Can_You_Forgive_Her
Aunt Greenow,DC,0,1,Can_You_Forgive_Her
Aunt Greenow,DN,0,1,Can_You_Forgive_Her
Aunt Macleod,N,0,1,Can_You_Forgive_Her
Aunt Macleod,C,0,1,Can_You_Forgive_Her
Aunt Macleod,I,0,1,Can_You_Forgive_Her
Aunt Macleod,A,0,1,Can_You_Forgive_Her
Aunt Macleod,DC,0,1,Can_You_Forgive_Her
Aunt Macleod,DN,0,1,Can_You_Forgive_Her
Baker,N,0,1,Can_You_Forgive_Her
Baker,C,0,1,Can_You_Forgive_Her
Baker,I,0,1,Can_You_Forgive_Her
Baker,A,0,1,Can_You_Forgive_Her
Baker,DC,0,1,Can_You_Forgive_Her
Baker,DN,0,1,Can_You_Forgive_Her
Basle,N,0,1,Can_You_Forgive_Her
Basle,C,0,1,Can_You_Forgive_Her
Basle,I,0,1,Can_You_Forgive_Her
Basle,A,0,1,Can_You_Forgive_Her
Basle,DC,0,1,Can_You_Forgive_Her
Basle,DN,0,1,Can_You_Forgive_Her
Bat,N,0,1,Can_You_Forgive_Her
Bat,C,0,1,Can_You_Forgive_Her
Bat,I,0,1,Can_You_Forgive_Her
Bat,A,0,1,Can_You_Forgive_Her
Bat,DC,0,1,Can_You_Forgive_Her
Bat,DN,0,1,Can_You_Forgive_Her
Bellfield,N,0,1,Can_You_Forgive_Her
Bellfield,C,0,1,Can_You_Forgive_Her
Bellfield,I,0,1,Can_You_Forgive_Her
Bellfield,A,0,1,Can_You_Forgive_Her
Bellfield,DC,0,1,Can_You_Forgive_Her
Bellfield,DN,0,1,Can_You_Forgive_Her
Burgo,N,0,1,Can_You_Forgive_Her
Burgo,C,0,1,Can_You_Forgive_Her
Burgo,I,0,1,Can_You_Forgive_Her
Burgo,A,0,1,Can_You_Forgive_Her
Burgo,DC,0,1,Can_You_Forgive_Her
Burgo,DN,0,1,Can_You_Forgive_Her
"Burgo--""very",N,0,1,Can_You_Forgive_Her
"Burgo--""very",C,0,1,Can_You_Forgive_Her
"Burgo--""very",I,0,1,Can_You_Forgive_Her
"Burgo--""very",A,0,1,Can_You_Forgive_Her
"Burgo--""very",DC,0,1,Can_You_Forgive_Her
"Burgo--""very",DN,0,1,Can_You_Forgive_Her
Calder Jones,N,0,1,Can_You_Forgive_Her
Calder Jones,C,0,1,Can_You_Forgive_Her
Calder Jones,I,0,1,Can_You_Forgive_Her
Calder Jones,A,0,1,Can_You_Forgive_Her
Calder Jones,DC,0,1,Can_You_Forgive_Her
Calder Jones,DN,0,1,Can_You_Forgive_Her
Captain Bellfield,N,0,1,Can_You_Forgive_Her
Captain Bellfield,C,0,1,Can_You_Forgive_Her
Captain Bellfield,I,0,1,Can_You_Forgive_Her
Captain Bellfield,A,0,1,Can_You_Forgive_Her
Captain Bellfield,DC,0,1,Can_You_Forgive_Her
Captain Bellfield,DN,0,1,Can_You_Forgive_Her
Charlie,N,0,1,Can_You_Forgive_Her
Charlie,C,0,1,Can_You_Forgive_Her
Charlie,I,0,1,Can_You_Forgive_Her
Charlie,A,0,1,Can_You_Forgive_Her
Charlie,DC,0,1,Can_You_Forgive_Her
Charlie,DN,0,1,Can_You_Forgive_Her
Cheesy,N,0,1,Can_You_Forgive_Her
Cheesy,C,0,1,Can_You_Forgive_Her
Cheesy,I,0,1,Can_You_Forgive_Her
Cheesy,A,0,1,Can_You_Forgive_Her
Cheesy,DC,0,1,Can_You_Forgive_Her
Cheesy,DN,0,1,Can_You_Forgive_Her
Child,N,0,1,Can_You_Forgive_Her
Child,C,0,1,Can_You_Forgive_Her
Child,I,0,1,Can_You_Forgive_Her
Child,A,0,1,Can_You_Forgive_Her
Child,DC,0,1,Can_You_Forgive_Her
Child,DN,0,1,Can_You_Forgive_Her
Claydon,N,0,1,Can_You_Forgive_Her
Claydon,C,0,1,Can_You_Forgive_Her
Claydon,I,0,1,Can_You_Forgive_Her
Claydon,A,0,1,Can_You_Forgive_Her
Claydon,DC,0,1,Can_You_Forgive_Her
Claydon,DN,0,1,Can_You_Forgive_Her
Cora,N,0,1,Can_You_Forgive_Her
Cora,C,0,1,Can_You_Forgive_Her
Cora,I,0,1,Can_You_Forgive_Her
Cora,A,0,1,Can_You_Forgive_Her
Cora,DC,0,1,Can_You_Forgive_Her
Cora,DN,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",N,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",C,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",I,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",A,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",DC,0,1,Can_You_Forgive_Her
"DEAREST JOHN,--",DN,0,1,Can_You_Forgive_Her
Dandy,N,0,1,Can_You_Forgive_Her
Dandy,C,0,1,Can_You_Forgive_Her
Dandy,I,0,1,Can_You_Forgive_Her
Dandy,A,0,1,Can_You_Forgive_Her
Dandy,DC,0,1,Can_You_Forgive_Her
Dandy,DN,0,1,Can_You_Forgive_Her
Duchess,N,0,1,Can_You_Forgive_Her
Duchess,C,0,1,Can_You_Forgive_Her
Duchess,I,0,1,Can_You_Forgive_Her
Duchess,A,0,1,Can_You_Forgive_Her
Duchess,DC,0,1,Can_You_Forgive_Her
Duchess,DN,0,1,Can_You_Forgive_Her
Duke,N,0,1,Can_You_Forgive_Her
Duke,C,0,1,Can_You_Forgive_Her
Duke,I,0,1,Can_You_Forgive_Her
Duke,A,0,1,Can_You_Forgive_Her
Duke,DC,0,1,Can_You_Forgive_Her
Duke,DN,0,1,Can_You_Forgive_Her
Fanny Fairstairs,N,0,1,Can_You_Forgive_Her
Fanny Fairstairs,C,0,1,Can_You_Forgive_Her
Fanny Fairstairs,I,0,1,Can_You_Forgive_Her
Fanny Fairstairs,A,0,1,Can_You_Forgive_Her
Fanny Fairstairs,DC,0,1,Can_You_Forgive_Her
Fanny Fairstairs,DN,0,1,Can_You_Forgive_Her
Farringcourt,N,0,1,Can_You_Forgive_Her
Farringcourt,C,0,1,Can_You_Forgive_Her
Farringcourt,I,0,1,Can_You_Forgive_Her
Farringcourt,A,0,1,Can_You_Forgive_Her
Farringcourt,DC,0,1,Can_You_Forgive_Her
Farringcourt,DN,0,1,Can_You_Forgive_Her
Fate,N,0,1,Can_You_Forgive_Her
Fate,C,0,1,Can_You_Forgive_Her
Fate,I,0,1,Can_You_Forgive_Her
Fate,A,0,1,Can_You_Forgive_Her
Fate,DC,0,1,Can_You_Forgive_Her
Fate,DN,0,1,Can_You_Forgive_Her
George,N,0,1,Can_You_Forgive_Her
George,C,0,1,Can_You_Forgive_Her
George,I,0,1,Can_You_Forgive_Her
George,A,0,1,Can_You_Forgive_Her
George,DC,0,1,Can_You_Forgive_Her
George,DN,0,1,Can_You_Forgive_Her
God,N,0,1,Can_You_Forgive_Her
God,C,0,1,Can_You_Forgive_Her
God,I,0,1,Can_You_Forgive_Her
God,A,0,1,Can_You_Forgive_Her
God,DC,0,1,Can_You_Forgive_Her
God,DN,0,1,Can_You_Forgive_Her
Grandpapa,N,0,1,Can_You_Forgive_Her
Grandpapa,C,0,1,Can_You_Forgive_Her
Grandpapa,I,0,1,Can_You_Forgive_Her
Grandpapa,A,0,1,Can_You_Forgive_Her
Grandpapa,DC,0,1,Can_You_Forgive_Her
Grandpapa,DN,0,1,Can_You_Forgive_Her
