character,tag,count,chapter,novel
Alice,N,0,1,Deerbrook
Alice,C,0,1,Deerbrook
Alice,I,0,1,Deerbrook
Alice,A,0,1,Deerbrook
Alice,DC,0,1,Deerbrook
Alice,DN,0,1,Deerbrook
Anna,N,0,1,Deerbrook
Anna,C,0,1,Deerbrook
Anna,I,0,1,Deerbrook
Anna,A,0,1,Deerbrook
Anna,DC,0,1,Deerbrook
Anna,DN,0,1,Deerbrook
Anna Rowland,N,0,1,Deerbrook
Anna Rowland,C,0,1,Deerbrook
Anna Rowland,I,0,1,Deerbrook
Anna Rowland,A,0,1,Deerbrook
Anna Rowland,DC,0,1,Deerbrook
Anna Rowland,DN,0,1,Deerbrook
Anne,N,0,1,Deerbrook
Anne,C,0,1,Deerbrook
Anne,I,0,1,Deerbrook
Anne,A,0,1,Deerbrook
Anne,DC,0,1,Deerbrook
Anne,DN,0,1,Deerbrook
Ben,N,0,1,Deerbrook
Ben,C,0,1,Deerbrook
Ben,I,0,1,Deerbrook
Ben,A,0,1,Deerbrook
Ben,DC,0,1,Deerbrook
Ben,DN,0,1,Deerbrook
Betsy,N,2,1,Deerbrook
Betsy,C,0,1,Deerbrook
Betsy,I,0,1,Deerbrook
Betsy,A,1,1,Deerbrook
Betsy,DC,0,1,Deerbrook
Betsy,DN,1,1,Deerbrook
Brother,N,0,1,Deerbrook
Brother,C,0,1,Deerbrook
Brother,I,0,1,Deerbrook
Brother,A,0,1,Deerbrook
Brother,DC,0,1,Deerbrook
Brother,DN,0,1,Deerbrook
Charles,N,0,1,Deerbrook
Charles,C,0,1,Deerbrook
Charles,I,0,1,Deerbrook
Charles,A,0,1,Deerbrook
Charles,DC,0,1,Deerbrook
Charles,DN,0,1,Deerbrook
"Dear Frank,--Your",N,0,1,Deerbrook
"Dear Frank,--Your",C,0,1,Deerbrook
"Dear Frank,--Your",I,0,1,Deerbrook
"Dear Frank,--Your",A,0,1,Deerbrook
"Dear Frank,--Your",DC,0,1,Deerbrook
"Dear Frank,--Your",DN,0,1,Deerbrook
Deborah Giles,N,0,1,Deerbrook
Deborah Giles,C,0,1,Deerbrook
Deborah Giles,I,0,1,Deerbrook
Deborah Giles,A,0,1,Deerbrook
Deborah Giles,DC,0,1,Deerbrook
Deborah Giles,DN,0,1,Deerbrook
Deerbrook,N,0,1,Deerbrook
Deerbrook,C,0,1,Deerbrook
Deerbrook,I,0,1,Deerbrook
Deerbrook,A,0,1,Deerbrook
Deerbrook,DC,0,1,Deerbrook
Deerbrook,DN,0,1,Deerbrook
Dr Levitt,N,1,1,Deerbrook
Dr Levitt,C,0,1,Deerbrook
Dr Levitt,I,0,1,Deerbrook
Dr Levitt,A,0,1,Deerbrook
Dr Levitt,DC,1,1,Deerbrook
