character,tag,count,chapter,novel
Alexander MacStinger,N,0,1,Dombey_and_Son
Alexander MacStinger,C,0,1,Dombey_and_Son
Alexander MacStinger,I,0,1,Dombey_and_Son
Alexander MacStinger,A,0,1,Dombey_and_Son
Alexander MacStinger,DC,0,1,Dombey_and_Son
Alexander MacStinger,DN,0,1,Dombey_and_Son
Alice,N,0,1,Dombey_and_Son
Alice,C,0,1,Dombey_and_Son
Alice,I,0,1,Dombey_and_Son
Alice,A,0,1,Dombey_and_Son
Alice,DC,0,1,Dombey_and_Son
Alice,DN,0,1,Dombey_and_Son
B.A.,N,0,1,Dombey_and_Son
B.A.,C,0,1,Dombey_and_Son
B.A.,I,0,1,Dombey_and_Son
B.A.,A,0,1,Dombey_and_Son
B.A.,DC,0,1,Dombey_and_Son
B.A.,DN,0,1,Dombey_and_Son
Betsey Jane,N,0,1,Dombey_and_Son
Betsey Jane,C,0,1,Dombey_and_Son
Betsey Jane,I,0,1,Dombey_and_Son
Betsey Jane,A,0,1,Dombey_and_Son
Betsey Jane,DC,0,1,Dombey_and_Son
Betsey Jane,DN,0,1,Dombey_and_Son
Biler,N,0,1,Dombey_and_Son
Biler,C,0,1,Dombey_and_Son
Biler,I,0,1,Dombey_and_Son
Biler,A,0,1,Dombey_and_Son
Biler,DC,0,1,Dombey_and_Son
Biler,DN,0,1,Dombey_and_Son
Bill Bitherstone,N,0,1,Dombey_and_Son
Bill Bitherstone,C,0,1,Dombey_and_Son
Bill Bitherstone,I,0,1,Dombey_and_Son
Bill Bitherstone,A,0,1,Dombey_and_Son
Bill Bitherstone,DC,0,1,Dombey_and_Son
Bill Bitherstone,DN,0,1,Dombey_and_Son
Bitherstone,N,0,1,Dombey_and_Son
Bitherstone,C,0,1,Dombey_and_Son
Bitherstone,I,0,1,Dombey_and_Son
Bitherstone,A,0,1,Dombey_and_Son
Bitherstone,DC,0,1,Dombey_and_Son
Bitherstone,DN,0,1,Dombey_and_Son
Briggs,N,0,1,Dombey_and_Son
Briggs,C,0,1,Dombey_and_Son
Briggs,I,0,1,Dombey_and_Son
Briggs,A,0,1,Dombey_and_Son
Briggs,DC,0,1,Dombey_and_Son
Briggs,DN,0,1,Dombey_and_Son
Bunsby,N,0,1,Dombey_and_Son
Bunsby,C,0,1,Dombey_and_Son
Bunsby,I,0,1,Dombey_and_Son
Bunsby,A,0,1,Dombey_and_Son
Bunsby,DC,0,1,Dombey_and_Son
Bunsby,DN,0,1,Dombey_and_Son
Burgess,N,0,1,Dombey_and_Son
Burgess,C,0,1,Dombey_and_Son
Burgess,I,0,1,Dombey_and_Son
Burgess,A,0,1,Dombey_and_Son
Burgess,DC,0,1,Dombey_and_Son
Burgess,DN,0,1,Dombey_and_Son
Captain Cuttle,N,0,1,Dombey_and_Son
Captain Cuttle,C,0,1,Dombey_and_Son
Captain Cuttle,I,0,1,Dombey_and_Son
Captain Cuttle,A,0,1,Dombey_and_Son
Captain Cuttle,DC,0,1,Dombey_and_Son
Captain Cuttle,DN,0,1,Dombey_and_Son
Captain Gills,N,0,1,Dombey_and_Son
Captain Gills,C,0,1,Dombey_and_Son
Captain Gills,I,0,1,Dombey_and_Son
Captain Gills,A,0,1,Dombey_and_Son
Captain Gills,DC,0,1,Dombey_and_Son
Captain Gills,DN,0,1,Dombey_and_Son
Cap’en Cuttle,N,0,1,Dombey_and_Son
Cap’en Cuttle,C,0,1,Dombey_and_Son
Cap’en Cuttle,I,0,1,Dombey_and_Son
Cap’en Cuttle,A,0,1,Dombey_and_Son
