character,tag,count,chapter,novel
Afy,N,0,1,East_Lynne
Afy,C,0,1,East_Lynne
Afy,I,0,1,East_Lynne
Afy,A,0,1,East_Lynne
Afy,DC,0,1,East_Lynne
Afy,DN,0,1,East_Lynne
Alice,N,0,1,East_Lynne
Alice,C,0,1,East_Lynne
Alice,I,0,1,East_Lynne
Alice,A,0,1,East_Lynne
Alice,DC,0,1,East_Lynne
Alice,DN,0,1,East_Lynne
Archibald,N,0,1,East_Lynne
Archibald,C,0,1,East_Lynne
Archibald,I,0,1,East_Lynne
Archibald,A,0,1,East_Lynne
Archibald,DC,0,1,East_Lynne
Archibald,DN,0,1,East_Lynne
Archie,N,0,1,East_Lynne
Archie,C,0,1,East_Lynne
Archie,I,0,1,East_Lynne
Archie,A,0,1,East_Lynne
Archie,DC,0,1,East_Lynne
Archie,DN,0,1,East_Lynne
Arthur,N,0,1,East_Lynne
Arthur,C,0,1,East_Lynne
Arthur,I,0,1,East_Lynne
Arthur,A,0,1,East_Lynne
Arthur,DC,0,1,East_Lynne
Arthur,DN,0,1,East_Lynne
Aunt Cornelia,N,0,1,East_Lynne
Aunt Cornelia,C,0,1,East_Lynne
Aunt Cornelia,I,0,1,East_Lynne
Aunt Cornelia,A,0,1,East_Lynne
Aunt Cornelia,DC,0,1,East_Lynne
Aunt Cornelia,DN,0,1,East_Lynne
Barbara,N,0,1,East_Lynne
Barbara,C,0,1,East_Lynne
Barbara,I,0,1,East_Lynne
Barbara,A,0,1,East_Lynne
Barbara,DC,0,1,East_Lynne
Barbara,DN,0,1,East_Lynne
Barbara Carlyle,N,0,1,East_Lynne
Barbara Carlyle,C,0,1,East_Lynne
Barbara Carlyle,I,0,1,East_Lynne
Barbara Carlyle,A,0,1,East_Lynne
Barbara Carlyle,DC,0,1,East_Lynne
Barbara Carlyle,DN,0,1,East_Lynne
Baron von Stalkenberg,N,0,1,East_Lynne
Baron von Stalkenberg,C,0,1,East_Lynne
Baron von Stalkenberg,I,0,1,East_Lynne
Baron von Stalkenberg,A,0,1,East_Lynne
Baron von Stalkenberg,DC,0,1,East_Lynne
Baron von Stalkenberg,DN,0,1,East_Lynne
Beauchamp,N,0,1,East_Lynne
Beauchamp,C,0,1,East_Lynne
Beauchamp,I,0,1,East_Lynne
Beauchamp,A,0,1,East_Lynne
Beauchamp,DC,0,1,East_Lynne
Beauchamp,DN,0,1,East_Lynne
Beloved,N,0,1,East_Lynne
Beloved,C,0,1,East_Lynne
Beloved,I,0,1,East_Lynne
Beloved,A,0,1,East_Lynne
Beloved,DC,0,1,East_Lynne
Beloved,DN,0,1,East_Lynne
Benjamin,N,0,1,East_Lynne
Benjamin,C,0,1,East_Lynne
Benjamin,I,0,1,East_Lynne
Benjamin,A,0,1,East_Lynne
Benjamin,DC,0,1,East_Lynne
Benjamin,DN,0,1,East_Lynne
Bethel,N,0,1,East_Lynne
Bethel,C,0,1,East_Lynne
Bethel,I,0,1,East_Lynne
Bethel,A,0,1,East_Lynne
Bethel,DC,0,1,East_Lynne
Bethel,DN,0,1,East_Lynne
Bezant,N,0,1,East_Lynne
Bezant,C,0,1,East_Lynne
Bezant,I,0,1,East_Lynne
Bezant,A,0,1,East_Lynne
Bezant,DC,0,1,East_Lynne
Bezant,DN,0,1,East_Lynne
Bill White,N,0,1,East_Lynne
Bill White,C,0,1,East_Lynne
Bill White,I,0,1,East_Lynne
Bill White,A,0,1,East_Lynne
Bill White,DC,0,1,East_Lynne
Bill White,DN,0,1,East_Lynne
Blanche,N,0,1,East_Lynne
Blanche,C,0,1,East_Lynne
Blanche,I,0,1,East_Lynne
Blanche,A,0,1,East_Lynne
Blanche,DC,0,1,East_Lynne
Blanche,DN,0,1,East_Lynne
Buck,N,0,1,East_Lynne
Buck,C,0,1,East_Lynne
Buck,I,0,1,East_Lynne
Buck,A,0,1,East_Lynne
Buck,DC,0,1,East_Lynne
Buck,DN,0,1,East_Lynne
Captain Levison,N,0,1,East_Lynne
Captain Levison,C,0,1,East_Lynne
Captain Levison,I,0,1,East_Lynne
Captain Levison,A,0,1,East_Lynne
Captain Levison,DC,0,1,East_Lynne
Captain Levison,DN,0,1,East_Lynne
Captain Thorn,N,0,1,East_Lynne
Captain Thorn,C,0,1,East_Lynne
Captain Thorn,I,0,1,East_Lynne
Captain Thorn,A,0,1,East_Lynne
Captain Thorn,DC,0,1,East_Lynne
Captain Thorn,DN,0,1,East_Lynne
Child,N,0,1,East_Lynne
Child,C,0,1,East_Lynne
Child,I,0,1,East_Lynne
Child,A,0,1,East_Lynne
Child,DC,0,1,East_Lynne
Child,DN,0,1,East_Lynne
Cornelia,N,0,1,East_Lynne
Cornelia,C,0,1,East_Lynne
Cornelia,I,0,1,East_Lynne
Cornelia,A,0,1,East_Lynne
Cornelia,DC,0,1,East_Lynne
Cornelia,DN,0,1,East_Lynne
Davidson,N,0,1,East_Lynne
Davidson,C,0,1,East_Lynne
Davidson,I,0,1,East_Lynne
Davidson,A,0,1,East_Lynne
Davidson,DC,0,1,East_Lynne
Davidson,DN,0,1,East_Lynne
Death,N,0,1,East_Lynne
Death,C,0,1,East_Lynne
Death,I,0,1,East_Lynne
Death,A,0,1,East_Lynne
Death,DC,0,1,East_Lynne
Death,DN,0,1,East_Lynne
Dick,N,0,1,East_Lynne
Dick,C,0,1,East_Lynne
Dick,I,0,1,East_Lynne
Dick,A,0,1,East_Lynne
Dick,DC,0,1,East_Lynne
Dick,DN,0,1,East_Lynne
Dill,N,0,1,East_Lynne
Dill,C,0,1,East_Lynne
Dill,I,0,1,East_Lynne
Dill,A,0,1,East_Lynne
Dill,DC,0,1,East_Lynne
Dill,DN,0,1,East_Lynne
Dr. Martin,N,0,1,East_Lynne
Dr. Martin,C,0,1,East_Lynne
Dr. Martin,I,0,1,East_Lynne
Dr. Martin,A,0,1,East_Lynne
Dr. Martin,DC,0,1,East_Lynne
Dr. Martin,DN,0,1,East_Lynne
Earl of Mount Severn,N,0,1,East_Lynne
Earl of Mount Severn,C,0,1,East_Lynne
Earl of Mount Severn,I,0,1,East_Lynne
Earl of Mount Severn,A,0,1,East_Lynne
Earl of Mount Severn,DC,0,1,East_Lynne
Earl of Mount Severn,DN,0,1,East_Lynne
East Lynne,N,0,1,East_Lynne
East Lynne,C,0,1,East_Lynne
East Lynne,I,0,1,East_Lynne
East Lynne,A,0,1,East_Lynne
East Lynne,DC,0,1,East_Lynne
East Lynne,DN,0,1,East_Lynne
Emma,N,0,1,East_Lynne
Emma,C,0,1,East_Lynne
Emma,I,0,1,East_Lynne
Emma,A,0,1,East_Lynne
Emma,DC,0,1,East_Lynne
Emma,DN,0,1,East_Lynne
Francis Levison,N,0,1,East_Lynne
Francis Levison,C,0,1,East_Lynne
Francis Levison,I,0,1,East_Lynne
Francis Levison,A,0,1,East_Lynne
Francis Levison,DC,0,1,East_Lynne
Francis Levison,DN,0,1,East_Lynne
God,N,0,1,East_Lynne
God,C,0,1,East_Lynne
God,I,0,1,East_Lynne
God,A,0,1,East_Lynne
God,DC,0,1,East_Lynne
God,DN,0,1,East_Lynne
Hallijohn,N,0,1,East_Lynne
Hallijohn,C,0,1,East_Lynne
Hallijohn,I,0,1,East_Lynne
Hallijohn,A,0,1,East_Lynne
Hallijohn,DC,0,1,East_Lynne
Hallijohn,DN,0,1,East_Lynne
Hannah,N,0,1,East_Lynne
